"importId";"code";"name";"country";"symbol";"codeISO";"numberOfDecimals"
147;"UGX";"Uganda Shilling";"Uganda";;"UGX";0
148;"USD";"US Dollar";"American Samoa, British Indian Ocean Territory, Ecuador, El Salvador, Guam, Haiti, Marshall Islands, Micronesia, Northern Mariana Islands, Palau, Panama, Puerto Rico, East Timor, Turks and Caicos Islands, United States, Virgin Islands";"$";"USD";2
149;"USN";"USN";"United States";;"USN";2
150;"USS";"USS";"United States";;"USS";2
151;"UYU";"Peso Uruguayo";"Uruguay";"$U";"UYU";2
152;"UZS";"Uzbekistan Som";"Uzbekistan";"лв";"UZS";2
153;"VEB";"Venezuelan bolívar";"Venezuela";"Bs";"VEB";2
154;"VND";"Vietnamese đồng";"Vietnam";"₫";"VND";0
155;"VUV";"Vatu";"Vanuatu";;"VUV";0
156;"WST";"Samoan Tala";"Samoa";;"WST";2
157;"XAF";"CFA Franc BEAC";"Cameroon, Central African Republic, Congo, Chad, Equatorial Guinea, Gabon";"CFA";"XAF";0
158;"XCD";"East Caribbean Dollar";"Anguilla, Antigua and Barbuda, Dominica, Grenada, Montserrat, Saint Kitts and Nevis, Saint Lucia, Saint Vincent and the Grenadines";;"XCD";2
159;"XOF";"CFA Franc BCEAO";"Benin, Burkina Faso, Côte d'Ivoire, Guinea-Bissau, Mali, Niger, Senegal, Togo";;"XOF";0
160;"XPF";"CFP franc";"French Polynesia, New Caledonia, Wallis and Futuna";;"XPF";0
161;"XTS";"Code reserved for testing purposes";;;"XTS";2
162;"XXX";"No currency";;;"XXX";2
163;"YER";"Yemeni Rial";"Yemen";"﷼";"YER";2
164;"ZAR";"South African Rand";"South Africa";;"ZAR";2
165;"ZMK";"Kwacha";"Zambia";;"ZMK";2
166;"ZWD";"Zimbabwe Dollar";"Zimbabwe";;"ZWD";2
