"importId";"addressL2";"addressL3";"addressL4";"addressL5";"addressL6";"addressL7Country.alpha3Code"
181;;;"37 RUE PASTEUR";;"18000 BOURGES";"FRA"
190;;;"59 10 RUE FELIX VIDALIN";;"19000 TULLE";"FRA"
200;;;"79 AVENUE ANTOINE SERAFINI";;"20000 AJACCIO";"FRA"
210;;;"5 PLACE DE LA LIBERATION";;"21000 DIJON";"FRA"
220;;;"83 PLACE DU GENERAL DE GAULLE";;"22000 SAINT-BRIEUC";"FRA"
240;;;"83 PLACE DE L HOTEL DE VILLE";;"24000 PERIGUEUX";"FRA"
250;;;"98 RUE MEGEVAND";;"25000 BESANCON";"FRA"
260;;;"4 PLACE DE LA LIBERTE";;"26000 VALENCE";"FRA"
310;;;"79 RUE PARGAMINIERES";;"31000 TOULOUSE";"FRA"
311;;;"4 BD D'ARCOLE";;"31000 TOULOUSE";"FRA"
312;;;"75 RUE DE METZ";;"31000 TOULOUSE";"FRA"
313;;;"16 RUE VALADE";;"31000 TOULOUSE";"FRA"
314;;;"5 RUE DES LOIS";;"31000 TOULOUSE";"FRA"
315;;;"28 AVENUE HONORE SERRES";;"31000 TOULOUSE";"FRA"
316;;;"24 BD LASCROSSES";;"31000 TOULOUSE";"FRA"
317;;;"7 RUE DEVILLE";;"31000 TOULOUSE";"FRA"
330;;;"56 COURS MARECHAL JUIN";;"33000 BORDEAUX";"FRA"
331;;;"47 RUE FRANCOIS DE SOURDIS";;"33000 BORDEAUX";"FRA"
332;;;"79 RUE D'ORNANO";;"33000 BORDEAUX";"FRA"
333;;;"79 RUE GEORGES BONNAC";;"33000 BORDEAUX";"FRA"
334;;;"80 RUE DE CURSOL";;"33000 BORDEAUX";"FRA"
335;;;"63 RUE HENRI IV";;"33000 BORDEAUX";"FRA"
336;;;"33 RUE SAINT-GENES";;"33000 BORDEAUX";"FRA"
350;;;"1 BD DE LA LIBERTE";;"35000 RENNES";"FRA"
351;;;"70 RUE DE PARIS";;"35000 RENNES";"FRA"
352;;;"85 AVENUE ARISTIDE BRIAND";;"35000 RENNES";"FRA"
353;;;"52 BD DE LA LIBERTE";;"35000 RENNES";"FRA"
354;;;"96 RUE D'ISLY";;"35000 RENNES";"FRA"
440;;;"6 RUE GAMBETTA";;"44000 NANTES";"FRA"
441;;;"17 AVENUE CARNOT";;"44000 NANTES";"FRA"
442;;;"10 RUE DE STRASBOURG";;"44000 NANTES";"FRA"
443;;;"73 RUE PITRE CHEVALIER";;"44000 NANTES";"FRA"
444;;;"53 RUE DE COULMIERS";;"44000 NANTES";"FRA"
590;;;"40 RUE ABELARD";;"59000 LILLE";"FRA"
591;;;"86 BD DE METZ";;"59000 LILLE";"FRA"
592;;;"72 BD MONTEBELLO";;"59000 LILLE";"FRA"
593;;;"43 RUE D'IENA";;"59000 LILLE";"FRA"
594;;;"20 RUE D'ESQUERMES";;"59000 LILLE";"FRA"
595;;;"67 RUE DES POSTES";;"59000 LILLE";"FRA"
596;;;"19 BD VICTOR HUGO";;"59000 LILLE";"FRA"
597;;;"63 BD DE STRASBOURG";;"59000 LILLE";"FRA"
598;;;"11 RUE DE L'ARBRISSEAU";;"59000 LILLE";"FRA"
630;;;"3 BD JACQUES BINGEN";;"63000 CLERMONT-FERRAND";"FRA"
631;;;"78 RUE DE L'ORADOU";;"63000 CLERMONT-FERRAND";"FRA"
632;;;"40 BD GUSTAVE FAUBERT";;"63000 CLERMONT-FERRAND";"FRA"
633;;;"29 BD LAFAYETTE";;"63000 CLERMONT-FERRAND";"FRA"
634;;;"88 BD ARISTIDE BRIAND";;"63000 CLERMONT-FERRAND";"FRA"
635;;;"1 AVENUE PASTEUR";;"63000 CLERMONT-FERRAND";"FRA"
670;;;"31 AVENUE DES VOSGES";;"67000 STRASBOURG";"FRA"
671;;;"55 BD CLEMENCEAU";;"67000 STRASBOURG";"FRA"
672;;;"47 AVENUE DE LA PAIX";;"67000 STRASBOURG";"FRA"
673;;;"10 AVENUE JEAN JAURES";;"67000 STRASBOURG";"FRA"
674;;;"68 BD DE NANCY";;"67000 STRASBOURG";"FRA"
675;;;"11 BD DE LYON";;"67000 STRASBOURG";"FRA"
676;;;"91 BD D'ANVERS";;"67000 STRASBOURG";"FRA"
770;;;"350 RUE DU MARECHAL JUIN";;"77000 MELUN";"FRA"
771;;;"1 AVENUE LINGENFELD";;"77200 TORCY";"FRA"
790;;;"65 RUE JOULE";;"79000 NIORT";"FRA"
920;;;"58 PLACE DU 11 NOVEMBRE";;"92240 MALAKOFF";"FRA"
921;;;"51 BD RICHARD WALLACE";;"92800 PUTEAUX";"FRA"
930;;;"12 RUE PABLO PICASSO";;"93000 BOBIGNY";"FRA"
940;;;"10 RUE DES ARCHIVES";;"94000 CRETEIL";"FRA"
950;;;"49 RUE DES GENOTTES";;"95000 CERGY";"FRA"
1000;;;"SQUARE JULES HIERNAUX, 10";;"6000 CHARLEROI";"BEL"
1001;;;"KOETELWIJK, 23";;"8000 BRUGGE";"BEL"
1002;;;"BD ANSPACH, 98";;"1000 BRUXELLES";"BEL"
2000;;;"ZHUMA INDUSTRIAL PARK";;"JINHUA 321000";"CHN"
2001;;;"465 TONGDE STREET";"BAIYUN DISTRICT";"GUANGZHOU 510000";"CHN"
2002;;"No 1 BUILDING";"702 WANSHUNYUAN";"PNGSHAN NEW DISTRICT";"SHENZHEN";"CHN"
2003;;"ROOM 207, No 2 BUILDING";"ZHONG CUN TOWN";"PANYU DISTRICT";"GUANGZHOU 511495";"CHN"
2004;;"ROOM 403, BUILDING 1";"1500 YOUYI ROAD";"BAOSHAN DISTRICT";"SHANGHAI 201900";"CHN"
2005;;;"68 HEGUMIAO TOWN";;"XINGTAI 054600";"CHN"
2006;;;"30 PINGHUAN INDUSTRIAL ZONE";"PINGHUAN DISTRICT";"SHENZHEN 518118";"CHN"
2007;;;"SHENGSHAN DEVELOPMENT ZONE";;"NINGBO 315323";"CHN"
2008;;;"7 DATONG WEST RD";"QINGBAIJIANG";"CHENGDU 610300";"CHN"
2009;;;"SHIYIJING RD";"HEDONG DISTRICT";"TIANJIN 300171";"CHN"
2010;;;"ZHICHUN RD";"HAIDIAN DISTRICT";"BEIJING 100190";"CHN"
2011;;"B10/F 100A";"9 GUANGHUA RD";"CHAOYANG DISTRICT";"BEIJING 100004";"CHN"
3000;;;"PRINZENSTRABE, 53";;"10969 BERLIN";"DEU"
3001;;;"GUBENER STRABE, 85";;"10243 BERLIN";"DEU"
3002;;;"GOETHESTRABE, 11";;"80336 MUNCHEN";"DEU"
4000;;;"76 WARDOUR STREET";;"LONDON W1D 6Q4";"GBR"
4001;;;"65 NEWMAN STREET";;"LONDON W1T 3ET";"GBR"
4002;;;"63 HARLEY STREET";;"LONDON W1G 8QY";"GBR"
4003;;;"81 STREDFORD ROAD";;"MANCHESTER M15 4ZY";"GBR"
4004;;;"69 BURLEY ROAD";;"LEEDS LS3 1JP";"GBR"
4005;;;"1 LIVERY STREET";;"BIRMINGHAM B3 1RJ";"GBR"
4006;;;"82 HILL LANE";;"SOUTHAMPTON SO15 5AY";"GBR"
4007;;;"78 KENSINGTON";;"L7 2RE LIVERPOOL";"GBR"
4008;;;"79 LONDON ROAD";;"L3 8JA LIVERPOOL";"GBR"
4009;;;"182 PORTLAND ROAD";;"NE2 1DJ NEWCASTLE";"GBR"
5000;;;"VIA ALESSANDRO MANZONI, 95";;"20121 MILANO";"ITA"
5001;;;"CORSO FRANCIA, 72";;"10138 TORINO";"ITA"
6000;;;"AOBA 3-6-20";"FUKUOKA";"KITAKYUSHU 803-0822";"JPN"
6001;;;"4-5-6 NISHIOGU";;"ARAKAWA-KU 116-0011";"JPN"
6002;;;"1-3-4 HAMADERA-ISHIZUCHO";"OSAKA";"SAKAI-CHI 592-8334";"JPN"
6003;;"ROOM 300";"2-3-30 MINAMISENBA";"OSAKA";"OSAKA-SHI 542-0081";"JPN"
6004;;;"02-12-10 KONAN";"TOKYO";"MINATO-KU 108-0075";"JPN"
7000;;;"27 RUE DE HOLLERICH";;"1441 Luxembourg";"LUX"
7001;;;"20 RUE DE STRASBOURG";;"1441 Luxembourg";"LUX"
7002;;;"82 BD G.-D. CHARLOTTE";;"1331 Luxembourg";"LUX"
8000;;;"EERSTE HELMERSSTRAAT, 60";;"1054 DH AMSTERDAM";"NLD"
8001;;;"BILDERDIJKSTRAAT, 26";;"1053 KX AMSTERDAM";"NLD"
8002;;;"LINDENGRACHT, 55";;"1015 KH AMSTERDAM";"NLD"
8003;;;"GOUDSESINGEL, 46";;"3011 KL ROTTERDAM";"NLD"
10000;;;"38 CROSBY STREET";;"NY 10012";"USA"
10001;;;"64 LAFAYETTE STREET";;"NY 10003";"USA"
10002;;;"400 HUDSON STREET";;"NY 10014";"USA"
10003;;;"300 BEACON STREET";;"BOSTON MA 02116";"USA"
10004;;;"500 MASSACHUSETTS AVENUE";;"BOSTON MA 02319 ";"USA"
10005;;;"1500 EAST TROPICANA AVENUE";;"LAS VEGAS NV 89119 ";"USA"
10006;;;"4500 WEST WASHINGTON BD";;"LOS ANGELES CA 90016";"USA"
10007;;;"1500 SOUTH BURNSIDE AVENUE";;"LOS ANGELES CA 90019";"USA"
10008;;;"5600 PICKFORD STREET";;"LOS ANGELES CA 90019";"USA"
10009;;;"9000 WEST OLYMPIC BD";;"LOS ANGELES CA 90212";"USA"
10010;;;"2200 GEARY BVD";;"SAN FRANCISCO CA 94115";"USA"
10011;;;"2100 SUTTER STREET";;"SAN FRANCISCO CA 94115";"USA"
10012;;;"1700 STEINER STREET";;"SAN FRANCISCO CA 94115";"USA"
10013;;;"3600 CALIFORNIA STREET";;"SAN FRANCISCO CA 94118";"USA"
10014;;;"1600 BALBOA STREET";;"SAN FRANCISCO CA 94121";"USA"
10015;;;"2900 26TH AVENUE";;"SAN FRANCISCO CA 94132";"USA"
10016;;;"700 EAST 6TH AVENUE";;"DENVER CO 80203";"USA"
10017;;;"200 BROADWAY";;"DENVER CO 80203";"USA"
10018;;;"3000 WILLIAMS STREET";;"DENVER CO 80205";"USA"
10019;;;"1000 WEST TAYLOR STREET";;"SAN JOSE CA 95126";"USA"
10020;;;"600 NORTH ST. PAUL STREET";;"DALLAS TX 75201";"USA"
10021;;;"3900 GASTON AVENUE";;"DALLAS TX 75246";"USA"
10022;;;"3200 NORTH FITZHUGH AVENUE";;"DALLAS TX 75204";"USA"
10023;;;"1300 CORAL WAY";;"MIAMI FL 33145";"USA"
10024;;;"1100 CARLOS ARBOLEYA BLVD";;"MIAMI FL 33130";"USA"
10025;;;"500 NORTH MIAMI AVENUE";;"MIAMI FL 33136";"USA"
10026;;;"4501 BISCAYNE BLVD";;"MIAMI FL 33137";"USA"
10027;;;"846 NORTHEAST 83RD STREET";;"MIAMI FL 33138";"USA"
10028;;;"1900 EAST BUSCH BOULEVARD";;"TAMPA FL 33612";"USA"
10029;;;"9973 WEST HILLSBOROUGH AVENUE";;"TAMPA FL 33615";"USA"
10030;;;"1400 RHODE ISLAND AVENUE NW";;"WASHINGTON DC 20005";"USA"
10031;;;"1300 U STREET NORTHWEST";;"WASHINGTON DC 20009";"USA"
10032;;;"3023 BLADENBURG ROAD NE";;"WASHINGTON DC 20018";"USA"
10033;;;"1200 SNYDER AVENUE";;"PHILADELPHIA PA 19148";"USA"
10034;;;"800 WASHINGTON AVENUE";;"PHILADELPHIA PA 19147";"USA"
10035;;;"612 SOUTH 8TH STREET";;"PHILADELPHIA PA 19147";"USA"
10036;;;"1000 CHARLOTTE AVENUE";;"NASHVILLE TN 37203";"USA"
10037;;;"2000 CENTRE AVENUE";;"PITTSBURGH PA  15219";"USA"
10038;;;"1640 PENN AVENUE";;"PITTSBURGH PA  15222";"USA"
10039;;;"932 KIRKBRIDE ST";;"PITTSBURGH PA  15212";"USA"
13000;;;"56 BD VOLTAIRE";;"13001 MARSEILLE";"FRA"
13001;;;"75 RUE MARCEL SEMBAT";;"13001 MARSEILLE";"FRA"
13002;;;"15 BD DE LA LIBERTE";;"13001 MARSEILLE";"FRA"
13003;;;"5 AVENUE VAUDOYER";;"13001 MARSEILLE";"FRA"
13004;;;"86 AVENUE ROBERT SCHUMAN";;"13001 MARSEILLE";"FRA"
13005;;;"64 RUE DU REFUGE";;"13001 MARSEILLE";"FRA"
13006;;;"46 RUE LOUBON";;"13001 MARSEILLE";"FRA"
13007;;;"90 BD NATIONAL";;"13001 MARSEILLE";"FRA"
13008;;;"93 BD DE STRASBOURG";;"13001 MARSEILLE";"FRA"
13009;;;"83 RUE BELLE DE MAI";;"13001 MARSEILLE";"FRA"
13010;;;"49 RUE SAINT-BRUNO";;"13001 MARSEILLE";"FRA"
13011;;;"22 BD FRANCOISE DUPARC";;"13001 MARSEILLE";"FRA"
13012;;;"74 RUE BRUNET";;"13001 MARSEILLE";"FRA"
13013;;;"18 RUE DE ROME";;"13001 MARSEILLE";"FRA"
13014;;;"41 RUE PARADIS";;"13001 MARSEILLE";"FRA"
13015;;;"56 RUE BRETEUIL";;"13001 MARSEILLE";"FRA"
13016;;;"81 BD BAILLE";;"13001 MARSEILLE";"FRA"
13017;;;"84 RUE MONTPLAISIR";;"13001 MARSEILLE";"FRA"
13018;;;"31 RUE DE LA DOUANE";;"13001 MARSEILLE";"FRA"
13019;;;"8 RUE D'ENDOUME";;"13001 MARSEILLE";"FRA"
69000;;;"54 RUE GARIBALDI";;"69001 LYON";"FRA"
69001;;;"98 AVENUE FELIX FAURE";;"69001 LYON";"FRA"
69002;;;"7 AVENUE LACASSAGNE";;"69001 LYON";"FRA"
69003;;;"39 AVENUE GENERAL FRERE";;"69001 LYON";"FRA"
69004;;;"30 AVENUE PAUL SANTY";;"69001 LYON";"FRA"
75000;;;"54 RUE DE RIVOLI";;"75001 PARIS";"FRA"
75001;;;"69 RUE ETIENNE MARCEL";;"75001 PARIS";"FRA"
75002;;;"3 RUE DE TIQUETONNE";;"75001 PARIS";"FRA"
75003;;;"85 RUE DU MAIL";;"75001 PARIS";"FRA"
75004;;;"69 RUE D'ABOUKIR";;"75001 PARIS";"FRA"
75005;;;"21 RUE DE TURENNE";;"75001 PARIS";"FRA"
75006;;;"49 RUE DES ARCHIVES";;"75001 PARIS";"FRA"
75007;;;"55 RUE CHAPON";;"75001 PARIS";"FRA"
75008;;;"83 RUE DE BRETAGNE";;"75001 PARIS";"FRA"
75009;;;"93 RUE DE FOURCY";;"75001 PARIS";"FRA"
75010;;;"96 RUE SAINT ANTOINE";;"75001 PARIS";"FRA"
75011;;;"29 RUE MONGE";;"75001 PARIS";"FRA"
75012;;;"67 RUE LIME";;"75001 PARIS";"FRA"
75013;;;"91 RUE MONGE";;"75001 PARIS";"FRA"
75014;;;"32 RUE BONAPARTE";;"75001 PARIS";"FRA"
75015;;;"72 BD SAINT-GERMAIN";;"75001 PARIS";"FRA"
75016;;;"44 RUE DAUPHINE";;"75001 PARIS";"FRA"
75017;;;"48 RUE DE L'UNIVERSITE";;"75001 PARIS";"FRA"
75018;;;"60 RUE DE VARENNE";;"75001 PARIS";"FRA"
75019;;;"55 RUE DE GRENELLE";;"75001 PARIS";"FRA"
75020;;;"52 BOULEVARD HAUSSMANN";;"75001 PARIS";"FRA"
75021;;;"84 AVENUE DE WAGRAM";;"75001 PARIS";"FRA"
75022;;;"12 AVENUE DES CHAMPS-ELYSEES";;"75001 PARIS";"FRA"
75023;;;"53 AVENUE HOCHE";;"75001 PARIS";"FRA"
75024;;;"83 RUE DE LA BOETIE";;"75001 PARIS";"FRA"
75025;;;"19 RUE DU FAUB. SAINT HONORE";;"75001 PARIS";"FRA"
75026;;;"75 RUE CONDORCET";;"75001 PARIS";"FRA"
75027;;;"53 RUE SAINT-GEORGES";;"75001 PARIS";"FRA"
75028;;;"19 RUE SAINT LAZARD";;"75001 PARIS";"FRA"
75029;;;"88 RUE LAFAYETTE";;"75001 PARIS";"FRA"
75030;;;"42 BD DE MAGENTA";;"75001 PARIS";"FRA"
75031;;;"89 RUE VOLTAIRE";;"75001 PARIS";"FRA"
75032;;;"63 AVENUE DE LA REPUBLIQUE";;"75001 PARIS";"FRA"
75033;;;"48 RUE DE LA ROQUETTE";;"75001 PARIS";"FRA"
75034;;;"20 RUE CHARONNE";;"75001 PARIS";"FRA"
75035;;;"96 RUE DE BERCY";;"75001 PARIS";"FRA"
75036;;;"91 RUE VILLIOT";;"75001 PARIS";"FRA"
75037;;;"97 AVENUE DE CHOISY";;"75001 PARIS";"FRA"
75038;;;"72 AVENUE DU MAINE";;"75001 PARIS";"FRA"
75039;;;"8 RUE D'ALESIA";;"75001 PARIS";"FRA"
75040;;;"54 RUE LECOURBE";;"75001 PARIS";"FRA"
75041;;;"74 RUE VAUGIRARD";;"75001 PARIS";"FRA"
75042;;;"30 AVENUE GEORGES MANDEL";;"75001 PARIS";"FRA"
75043;;;"44 AVENUE HENRI MARTIN";;"75001 PARIS";"FRA"
75044;;;"30 AVENUE RAYMOND POINCARE";;"75001 PARIS";"FRA"
75045;;;"84 RUE DE TOCQUEVILLE";;"75001 PARIS";"FRA"
75046;;;"56 BD MALESHERBES";;"75001 PARIS";"FRA"
75047;;;"46 RUE ORDENER";;"75001 PARIS";"FRA"
75048;;;"77 RUE MARCADET";;"75001 PARIS";"FRA"
75049;;;"43 AVENUE JEAN JAURES";;"75001 PARIS";"FRA"
75050;;;"47 RUE DE MEAUX";;"75001 PARIS";"FRA"
75051;;;"26 RUE DE BAGNOLET";;"75001 PARIS";"FRA"
75052;;;"28 RUE DES PYRENEES";;"75001 PARIS";"FRA"
90000;;;"12 RUE ALBERT EINSTEIN";;"77420 CHAMPS-SUR-MARNE";"FRA"
90001;;;"6 AVENUE DANTE";;"67000 STRASBOURG";"FRA"
90002;;;"110 RUE PAUL BERT";;"69001 LYON";"FRA"
90003;;;"40 RUE JEAN JAURES";;"44000 NANTES";"FRA"
90004;;;"5 AVENUE DIDIER DAURAT";;"31000 TOULOUSE";"FRA"
