importId;name_fr_FR;code_fr_FR;name_en_EN;description_fr_FR;description_en_EN;productCategory.code;productFamily.code;productTypeSelect;procurementMethodSelect;isRawMaterial;unit.code;productTypeSelect;salePrice;saleCurrency.code;purchasePrice;purchaseCurrency.code;startDate;endDate
20;VÃ©lo Chemin Lapierre Trekking Ice;CHE-XPERF-0020;;;;CHE;XPERF;storable;buy;false;PCE;storable;0;EUR;0;EUR;2013-01-01;
21;VÃ©lo Chemin Lapierre City Black;CHE-XLOIS-0021;;;;CHE;XLOIS;storable;buy;false;PCE;storable;0;EUR;0;EUR;2013-01-01;
22;VÃ©lo Chemin Lapierre City Silver Men;CHE-XLOIS-0022;;;;CHE;XLOIS;storable;buy;false;PCE;storable;0;EUR;0;EUR;2013-01-01;
23;VÃ©lo Chemin Lapierre City White;CHE-XLOIS-0023;;;;CHE;XLOIS;storable;buy;false;PCE;storable;0;EUR;0;EUR;2013-01-01;
24;VÃ©lo Tout terrain Lapierre Pro Race 700;TT-APRO-0024;;;;TT;APRO;storable;buy;false;PCE;storable;5499;EUR;3904.29;EUR;2013-01-01;
25;VÃ©lo Tout terrain Lapierre X-flow 912;TT-APRO-0025;;;;TT;APRO;storable;buy;false;PCE;storable;6499;EUR;5069.22;EUR;2013-01-01;
26;VÃ©lo Tout terrain Lapierre Zesty 914;TT-APRO-0026;;;;TT;APRO;storable;buy;false;PCE;storable;5499;EUR;4729.14;EUR;2013-01-01;
27;VÃ©lo Tout terrain Lapierre Pro Race 500;TT-AAMA-0027;;;;TT;AAMA;storable;buy;false;PCE;storable;2199;EUR;1803.18;EUR;2013-01-01;
28;VÃ©lo Tout terrain Lapierre X-flow 712;TT-AAMA-0028;;;;TT;AAMA;storable;buy;false;PCE;storable;4999;EUR;4349.13;EUR;2013-01-01;
29;VÃ©lo Tout terrain Lapierre Zesty 714;TT-AAMA-0029;;;;TT;AAMA;storable;buy;false;PCE;storable;4499;EUR;3149.3;EUR;2013-01-01;
30;VÃ©lo Tout terrain Lapierre X-control 610;TT-AAMA-0030;;;;TT;AAMA;storable;buy;false;PCE;storable;2099;EUR;1679.2;EUR;2013-01-01;
31;VÃ©lo Tout terrain Lapierre Pro Race 300;TT-APERF-0031;;;;TT;APERF;storable;buy;false;PCE;storable;1799;EUR;1367.24;EUR;2013-01-01;
32;VÃ©lo Tout terrain Lapierre X-flow 612;TT-APERF-0032;;;;TT;APERF;storable;buy;false;PCE;storable;3999;EUR;3599.1;EUR;2013-01-01;
33;VÃ©lo Tout terrain Lapierre Zesty 414;TT-APERF-0033;;;;TT;APERF;storable;buy;false;PCE;storable;3399;EUR;3059.1;EUR;2013-01-01;
34;VÃ©lo Tout terrain Lapierre X-control 310;TT-APERF-0034;;;;TT;APERF;storable;buy;false;PCE;storable;1699;EUR;1240.27;EUR;2013-01-01;
35;VÃ©lo Tout terrain Lapierre Pro Race 100;TT-ALOIS-0035;;;;TT;ALOIS;storable;buy;false;PCE;storable;999;EUR;809.19;EUR;2013-01-01;
36;VÃ©lo Tout terrain Lapierre X-flow 412;TT-ALOIS-0036;;;;TT;ALOIS;storable;buy;false;PCE;storable;2899;EUR;2348.19;EUR;2013-01-01;
37;VÃ©lo Tout terrain Lapierre Zesty 314;TT-ALOIS-0037;;;;TT;ALOIS;storable;buy;false;PCE;storable;2799;EUR;2155.23;EUR;2013-01-01;
38;VÃ©lo Tout terrain Lapierre X-control 210;TT-ALOIS-0038;;;;TT;ALOIS;storable;buy;false;PCE;storable;1499;EUR;1109.26;EUR;2013-01-01;
39;VÃ©lo Femmes Lapierre Sensium 200L;FEM-FRTE-0039;;;;FEM;FRTE;storable;buy;false;PCE;storable;749;EUR;644.14;EUR;2013-01-01;
40;VÃ©lo Femmes Lapierre Audacio 400L;FEM-FRTE-0040;;;;FEM;FRTE;storable;buy;false;PCE;storable;999;EUR;839.16;EUR;2013-01-01;
41;VÃ©lo Femmes Lapierre Audacio 200L;FEM-FRTE-0041;;;;FEM;FRTE;storable;buy;false;PCE;storable;799;EUR;583.27;EUR;2013-01-01;
42;VÃ©lo Femmes Lapierre Shaper 300L;FEM-FRTE-0042;;;;FEM;FRTE;storable;buy;false;PCE;storable;799;EUR;631.21;EUR;2013-01-01;
43;VÃ©lo Femmes Lapierre Shaper 100L;FEM-FRTE-0043;;;;FEM;FRTE;storable;buy;false;PCE;storable;549;EUR;439.2;EUR;2013-01-01;
44;VÃ©lo Femmes Lapierre City Silver Women;FEM-FCHE-0044;;;;FEM;FCHE;storable;buy;false;PCE;storable;459;EUR;390.15;EUR;2013-01-01;
45;VÃ©lo Femmes Lapierre Rock Lady;FEM-FCHE-0045;;;;FEM;FCHE;storable;buy;false;PCE;storable;699;EUR;545.22;EUR;2013-01-01;
46;VÃ©lo Femmes Lapierre Zesty 314L;FEM-FTT-0046;;;;FEM;FTT;storable;buy;false;PCE;storable;2499;EUR;2024.19;EUR;2013-01-01;
47;VÃ©lo Femmes Lapierre X-control 210L;FEM-FTT-0047;;;;FEM;FTT;storable;buy;false;PCE;storable;1499;EUR;1274.15;EUR;2013-01-01;
48;VÃ©lo Femmes Lapierre Pro Race 100L;FEM-FTT-0048;;;;FEM;FTT;storable;buy;false;PCE;storable;999;EUR;889.11;EUR;2013-01-01;
49;VÃ©lo Femmes Lapierre Raid 729L;FEM-FTT-0049;;;;FEM;FTT;storable;buy;false;PCE;storable;949;EUR;797.16;EUR;2013-01-01;
50;VÃ©lo Enfants Lapierre Shaper Kids;ENF-ERTE-0050;;;;ENF;ERTE;storable;buy;false;PCE;storable;349;EUR;258.26;EUR;2013-01-01;
51;VÃ©lo Enfants Lapierre Pro Race 24;ENF-ETT-0051;;;;ENF;ETT;storable;buy;false;PCE;storable;399;EUR;319.2;EUR;2013-01-01;
52;VÃ©lo Enfants Lapierre Pro Race 20;ENF-ETT-0052;;;;ENF;ETT;storable;buy;false;PCE;storable;299;EUR;242.19;EUR;2013-01-01;
53;VÃ©lo Enfants Lapierre Raid 24;ENF-ETT-0053;;;;ENF;ETT;storable;buy;false;PCE;storable;299;EUR;263.12;EUR;2013-01-01;
54;VÃ©lo Enfants Lapierre Raid 20;ENF-ETT-0054;;;;ENF;ETT;storable;buy;false;PCE;storable;249;EUR;201.69;EUR;2013-01-01;
55;VÃ©lo Sur Mesure AX Bike Carbon Touch;SM-SMRTE-0055;;;;SM;SMRTE;storable;buy;false;PCE;storable;3949;EUR;2764.3;EUR;2013-01-01;
56;VÃ©lo Sur Mesure AX Bike Titanium Touch;SM-SMRTE-0056;;;;SM;SMRTE;storable;buy;false;PCE;storable;3649;EUR;2846.22;EUR;2013-01-01;
57;VÃ©lo Sur Mesure AX Bike Aluminium Touch;SM-SMRTE-0057;;;;SM;SMRTE;storable;buy;false;PCE;storable;3449;EUR;2655.73;EUR;2013-01-01;
58;VÃ©lo Sur Mesure AX Bike Carbon Touch;SM-SMVTT-0058;;;;SM;SMVTT;storable;buy;false;PCE;storable;3649;EUR;3028.67;EUR;2013-01-01;
59;VÃ©lo Sur Mesure AX Bike Titanium Touch;SM-SMVTT-0059;;;;SM;SMVTT;storable;buy;false;PCE;storable;3349;EUR;2344.3;EUR;2013-01-01;
60;VÃ©lo Sur Mesure AX Bike Aluminium Touch;SM-SMVTT-0060;;;;SM;SMVTT;storable;buy;false;PCE;storable;3149;EUR;2708.14;EUR;2013-01-01;
61;Etude et CAO VÃ©lo Sur Mesure AX Bike;SM-SMSPE-0061;;;;SM;SMSPE;storable;buy;false;PCE;storable;500;EUR;385;EUR;2013-01-01;
62;Maquettage et Prototypage VÃ©lo Sur Mesure AX Bike;SM-SMSPE-0062;;;;SM;SMSPE;storable;buy;false;PCE;storable;1000;EUR;750;EUR;2013-01-01;
63;Production, Assemblage et Montage VÃ©lo Sur Mesure AX Bike;SM-SMSPE-0063;;;;SM;SMSPE;storable;buy;false;PCE;storable;2000;EUR;1700;EUR;2013-01-01;
64;Cadre Lapierre VTT Spicy 916;PCED-CDR-0064;;;;PCED;CDR;storable;buy;false;PCE;storable;1999;EUR;1699.15;EUR;2013-01-01;
65;Cadre Lapierre VTT DH 920;PCED-CDR-0065;;;;PCED;CDR;storable;buy;false;PCE;storable;2999;EUR;2399.2;EUR;2013-01-01;
66;Cadre Lapierre Route AÃ©rostrom 2012;PCED-CDR-0066;;;;PCED;CDR;storable;buy;false;PCE;storable;2699;EUR;2402.11;EUR;2013-01-01;
67;Cadre Lapierre Route Xelius Black;PCED-CDR-0067;;;;PCED;CDR;storable;buy;false;PCE;storable;1999;EUR;1719.14;EUR;2013-01-01;
68;Cadre Lapierre Route Xelius FDJ;PCED-CDR-0068;;;;PCED;CDR;storable;buy;false;PCE;storable;1999;EUR;1559.22;EUR;2013-01-01;
69;Fourche Fox Racing shox VTT Talas 36R 160 mm;PCED-FRC-0069;;;;PCED;FRC;storable;buy;false;PCE;storable;1239;EUR;1040.76;EUR;2013-01-01;
70;Fourche Marzocchi VTT 55 RC3 160 mm;PCED-FRC-0070;;;;PCED;FRC;storable;buy;false;PCE;storable;1029;EUR;833.49;EUR;2013-01-01;
71;Fourche Rock shox VTT SID XX 100 mm;PCED-FRC-0071;;;;PCED;FRC;storable;buy;false;PCE;storable;707;EUR;523.18;EUR;2013-01-01;
72;Fourche SR Suntour VTT RAIDON 100 mm;PCED-FRC-0072;;;;PCED;FRC;storable;buy;false;PCE;storable;199;EUR;153.23;EUR;2013-01-01;
73;Cintre Syncros VTT FR31 Blanc 790 mm;PCED-CTR-0073;;;;PCED;CTR;storable;buy;false;PCE;storable;38;EUR;30.02;EUR;2013-01-01;
74;Cintre Syncros VTT FL25 Noir 660 mm;PCED-CTR-0074;;;;PCED;CTR;storable;buy;false;PCE;storable;64;EUR;48.64;EUR;2013-01-01;
75;Cintre Planet X VTT FAST BAR Argent;PCED-CTR-0075;;;;PCED;CTR;storable;buy;false;PCE;storable;39;EUR;28.86;EUR;2013-01-01;
76;Cintre Planet X VTT FAST BAR Noir;PCED-CTR-0076;;;;PCED;CTR;storable;buy;false;PCE;storable;39;EUR;32.76;EUR;2013-01-01;
77;Potence Syncros VTT FR50 Noir;PCED-POT-0077;;;;PCED;POT;storable;buy;false;PCE;storable;49;EUR;37.24;EUR;2013-01-01;
78;Potence BBB VTT Mountain Drive Noir;PCED-POT-0078;;;;PCED;POT;storable;buy;false;PCE;storable;45;EUR;36.45;EUR;2013-01-01;
79;Potence BBB VTT Mtn. Drive 35Â° Blanche;PCED-POT-0079;;;;PCED;POT;storable;buy;false;PCE;storable;45;EUR;36.9;EUR;2013-01-01;
80;Potence BBB Route Road Drive Noir;PCED-POT-0080;;;;PCED;POT;storable;buy;false;PCE;storable;65;EUR;46.8;EUR;2013-01-01;
81;Tige de selle Specialized VTT Command 75 mm;PCED-TDS-0081;;;;PCED;TDS;storable;buy;false;PCE;storable;299.9;EUR;260.913;EUR;2013-01-01;
82;Tige de selle Specialized VTT Command 100 mm;PCED-TDS-0082;;;;PCED;TDS;storable;buy;false;PCE;storable;299.9;EUR;236.921;EUR;2013-01-01;
83;Tige de selle Syncros VTT FL 31.6 Blanc tige;PCED-TDS-0083;;;;PCED;TDS;storable;buy;false;PCE;storable;89;EUR;75.65;EUR;2013-01-01;
84;Tige de selle Syncros VTT FL 27,2 Noir tige;PCED-TDS-0084;;;;PCED;TDS;storable;buy;false;PCE;storable;79;EUR;67.15;EUR;2013-01-01;
85;Tige de selle Easton Route EA70 Zero Noir;PCED-TDS-0085;;;;PCED;TDS;storable;buy;false;PCE;storable;60;EUR;52.2;EUR;2013-01-01;
86;Tige de selle Easton Route EC70 Zero Noir;PCED-TDS-0086;;;;PCED;TDS;storable;buy;false;PCE;storable;107;EUR;87.74;EUR;2013-01-01;
87;Selle SMP VTT Extra Rouge;PCED-SEL-0087;;;;PCED;SEL;storable;buy;false;PCE;storable;59;EUR;43.07;EUR;2013-01-01;
88;Selle SMP VTT Trekking Femme;PCED-SEL-0088;;;;PCED;SEL;storable;buy;false;PCE;storable;59;EUR;48.38;EUR;2013-01-01;
89;Selle SMP Route Extra Noire;PCED-SEL-0089;;;;PCED;SEL;storable;buy;false;PCE;storable;59;EUR;48.97;EUR;2013-01-01;
90;Selle SMP Route Lite Noire;PCED-SEL-0090;;;;PCED;SEL;storable;buy;false;PCE;storable;210;EUR;180.6;EUR;2013-01-01;
91;Selle Italia VTT XO Flow;PCED-SEL-0091;;;;PCED;SEL;storable;buy;false;PCE;storable;45;EUR;39.6;EUR;2013-01-01;
92;Selle Italia VTT GEL Flow Femme;PCED-SEL-0092;;;;PCED;SEL;storable;buy;false;PCE;storable;89;EUR;68.53;EUR;2013-01-01;
93;Selle Italia Route XO Flow;PCED-SEL-0093;;;;PCED;SEL;storable;buy;false;PCE;storable;45;EUR;34.2;EUR;2013-01-01;
94;Selle Italia Route GEL Flow Femme;PCED-SEL-0094;;;;PCED;SEL;storable;buy;false;PCE;storable;89;EUR;69.42;EUR;2013-01-01;
95;Manettes    ;PCED-MAN-0095;;;;PCED;MAN;storable;buy;false;PCE;storable;1;EUR;0.76;EUR;2013-01-01;
96;DÃ©railleur avant Shimano Route Ultegra 6703 TP;PCED-DAV-0096;;;;PCED;DAV;storable;buy;false;PCE;storable;59;EUR;43.07;EUR;2013-01-01;
97;DÃ©railleur avant Shimano Route 105 FD-5700;PCED-DAV-0097;;;;PCED;DAV;storable;buy;false;PCE;storable;37;EUR;28.49;EUR;2013-01-01;
98;DÃ©railleur avant Campagnolo Route Chorus Av;PCED-DAV-0098;;;;PCED;DAV;storable;buy;false;PCE;storable;85;EUR;65.45;EUR;2013-01-01;
99;DÃ©railleur avant Campagnolo Route Veloce Av;PCED-DAV-0099;;;;PCED;DAV;storable;buy;false;PCE;storable;34;EUR;29.58;EUR;2013-01-01;
100;DÃ©railleur avant Shimano VTT XT FD-M785;PCED-DAV-0100;;;;PCED;DAV;storable;buy;false;PCE;storable;43.9;EUR;32.047;EUR;2013-01-01;
101;DÃ©railleur avant Shimano VTT SLX FD-M660;PCED-DAV-0101;;;;PCED;DAV;storable;buy;false;PCE;storable;35.5;EUR;31.24;EUR;2013-01-01;
102;DÃ©railleur arriÃ¨re Shimano Route Ultegra RD-6700 Gris ;PCED-DAR-0102;;;;PCED;DAR;storable;buy;false;PCE;storable;93;EUR;78.12;EUR;2013-01-01;
103;DÃ©railleur arriÃ¨re Shimano Route 105 FD-5700-S-SS;PCED-DAR-0103;;;;PCED;DAR;storable;buy;false;PCE;storable;37;EUR;27.01;EUR;2013-01-01;
104;DÃ©railleur arriÃ¨re Campagnolo Route Chorus Ar;PCED-DAR-0104;;;;PCED;DAR;storable;buy;false;PCE;storable;199;EUR;155.22;EUR;2013-01-01;
105;DÃ©railleur arriÃ¨re Campagnolo Route Veloce Ar;PCED-DAR-0105;;;;PCED;DAR;storable;buy;false;PCE;storable;90;EUR;72.9;EUR;2013-01-01;
106;DÃ©railleur arriÃ¨re Shimano VTT XT RD-M780-GS;PCED-DAR-0106;;;;PCED;DAR;storable;buy;false;PCE;storable;89;EUR;74.76;EUR;2013-01-01;
107;DÃ©railleur arriÃ¨re Shimano VTT SLX RD-M663-SGS;PCED-DAR-0107;;;;PCED;DAR;storable;buy;false;PCE;storable;59;EUR;43.07;EUR;2013-01-01;
108;Freins Shimano Route Ultegra 6700;PCED-FRE-0108;;;;PCED;FRE;storable;buy;false;PCE;storable;144;EUR;105.12;EUR;2013-01-01;
109;Freins BBB Route Techstop Shimano;PCED-FRE-0109;;;;PCED;FRE;storable;buy;false;PCE;storable;27.95;EUR;22.6395;EUR;2013-01-01;
110;Freins Formula VTT Disque R1 AR 160 mm;PCED-FRE-0110;;;;PCED;FRE;storable;buy;false;PCE;storable;258;EUR;208.98;EUR;2013-01-01;
111;Freins Formula VTT Disque R1 AV 160 mm;PCED-FRE-0111;;;;PCED;FRE;storable;buy;false;PCE;storable;258;EUR;190.92;EUR;2013-01-01;
112;Freins BBB Route Discstop Formula;PCED-FRE-0112;;;;PCED;FRE;storable;buy;false;PCE;storable;16.3;EUR;12.877;EUR;2013-01-01;
113;Leviers de frein Shimano Route Ultegra 6700;PCED-LFR-0113;;;;PCED;LFR;storable;buy;false;PCE;storable;383;EUR;298.74;EUR;2013-01-01;
114;Cassette Shimano Route Ultegra ;PCED-CAS-0114;;;;PCED;CAS;storable;buy;false;PCE;storable;150;EUR;108;EUR;2013-01-01;
115;ChaÃ®ne Shimano Route Ultegra 10V;PCED-CHA-0115;;;;PCED;CHA;storable;buy;false;PCE;storable;39;EUR;31.98;EUR;2013-01-01;
116;ChaÃ®ne Shimano Route 105 CN-5701;PCED-CHA-0116;;;;PCED;CHA;storable;buy;false;PCE;storable;33;EUR;28.05;EUR;2013-01-01;
117;ChaÃ®ne Shimano VTT XT CN-HG94;PCED-CHA-0117;;;;PCED;CHA;storable;buy;false;PCE;storable;41.9;EUR;36.034;EUR;2013-01-01;
118;ChaÃ®ne Shimano VTT SLX CN-HG74;PCED-CHA-0118;;;;PCED;CHA;storable;buy;false;PCE;storable;35;EUR;29.75;EUR;2013-01-01;
119;ChaÃ®ne Campagnolo Route Chorus 11V;PCED-CHA-0119;;;;PCED;CHA;storable;buy;false;PCE;storable;47;EUR;42.3;EUR;2013-01-01;
120;ChaÃ®ne Campagnolo Route Veloce 10V;PCED-CHA-0120;;;;PCED;CHA;storable;buy;false;PCE;storable;38;EUR;28.88;EUR;2013-01-01;
121;PÃ©dalier Shimano Route Ultegra TP;PCED-PED-0121;;;;PCED;PED;storable;buy;false;PCE;storable;319;EUR;242.44;EUR;2013-01-01;
122;BoÃ®tier de pÃ©dalier Shimano Route Ultegra 6700 BSA;PCED-BPED-0122;;;;PCED;BPED;storable;buy;false;PCE;storable;23;EUR;19.32;EUR;2013-01-01;
123;Jantes Mavic Route Cosmic Carb. SL M10;PCED-JTE-0123;;;;PCED;JTE;storable;buy;false;PCE;storable;900;EUR;711;EUR;2013-01-01;
124;Jantes Mavic Route Cosmic Elite M10;PCED-JTE-0124;;;;PCED;JTE;storable;buy;false;PCE;storable;400;EUR;340;EUR;2013-01-01;
125;Jantes Shimano Route RS80 C50;PCED-JTE-0125;;;;PCED;JTE;storable;buy;false;PCE;storable;930;EUR;706.8;EUR;2013-01-01;
126;Jantes Shimano Route RS80 Alu et Carb.;PCED-JTE-0126;;;;PCED;JTE;storable;buy;false;PCE;storable;529;EUR;439.07;EUR;2013-01-01;
127;Jantes Mavic VTT Crossmax SLR CL;PCED-JTE-0127;;;;PCED;JTE;storable;buy;false;PCE;storable;899;EUR;701.22;EUR;2013-01-01;
128;Jantes Mavic VTT Crossline 6T;PCED-JTE-0128;;;;PCED;JTE;storable;buy;false;PCE;storable;295;EUR;206.5;EUR;2013-01-01;
129;Jantes Shimano VTT XT M785;PCED-JTE-0129;;;;PCED;JTE;storable;buy;false;PCE;storable;399;EUR;303.24;EUR;2013-01-01;
130;Moyeux  Route Moyeux standard;PCED-MOY-0130;;;;PCED;MOY;storable;buy;false;PCE;storable;40;EUR;29.6;EUR;2013-01-01;
131;Moyeux  VTT Moyeux standard;PCED-MOY-0131;;;;PCED;MOY;storable;buy;false;PCE;storable;45;EUR;36.45;EUR;2013-01-01;
132;Rayons  Route Rayons aciers standards;PCED-RAY-0132;;;;PCED;RAY;storable;buy;false;PCE;storable;40;EUR;29.6;EUR;2013-01-01;
133;Rayons  VTT Rayons aciers standards;PCED-RAY-0133;;;;PCED;RAY;storable;buy;false;PCE;storable;45;EUR;32.4;EUR;2013-01-01;
134;Pneus Michelin Route Pro 4 23C Noir;PCED-PNE-0134;;;;PCED;PNE;storable;buy;false;PCE;storable;44.9;EUR;34.124;EUR;2013-01-01;
135;Pneus Michelin Route Dyn. Sport 23C Noir;PCED-PNE-0135;;;;PCED;PNE;storable;buy;false;PCE;storable;14.9;EUR;11.175;EUR;2013-01-01;
136;Pneus Schwalbe Route Ultremo ZX Noir;PCED-PNE-0136;;;;PCED;PNE;storable;buy;false;PCE;storable;50.9;EUR;43.774;EUR;2013-01-01;
137;Pneus Schwalbe Route Lugano 23CR Bleu;PCED-PNE-0137;;;;PCED;PNE;storable;buy;false;PCE;storable;16.9;EUR;14.196;EUR;2013-01-01;
138;Pneus Michelin VTT Wildrace'r TS;PCED-PNE-0138;;;;PCED;PNE;storable;buy;false;PCE;storable;31.9;EUR;26.477;EUR;2013-01-01;
139;Pneus Michelin VTT Country trail 26 X;PCED-PNE-0139;;;;PCED;PNE;storable;buy;false;PCE;storable;18.5;EUR;13.69;EUR;2013-01-01;
140;Pneus Schwalbe VTT Nobby Nic Evo;PCED-PNE-0140;;;;PCED;PNE;storable;buy;false;PCE;storable;50;EUR;44.5;EUR;2013-01-01;
141;Pneus Schwalbe VTT Racing Ralph;PCED-PNE-0141;;;;PCED;PNE;storable;buy;false;PCE;storable;31.9;EUR;24.563;EUR;2013-01-01;
142;Autres   Textile Equipement;TXTEQ-DIVTEE-0142;;;;TXTEQ;DIVTEE;storable;buy;false;PCE;storable;1;EUR;0.9;EUR;2013-01-01;
143;Maillot MC H  Route  Blanc;TXTH-HTH-0143;;;;TXTH;HTH;storable;buy;false;PCE;storable;28;EUR;25.2;EUR;2013-01-01;
144;Maillot MC H  Route  Jaune;TXTH-HTH-0144;;;;TXTH;HTH;storable;buy;false;PCE;storable;28;EUR;24.36;EUR;2013-01-01;
145;Maillot MC H  Route Bleu;TXTH-HTH-0145;;;;TXTH;HTH;storable;buy;false;PCE;storable;28;EUR;21.84;EUR;2013-01-01;
146;Maillot MC H  Route Gris;TXTH-HTH-0146;;;;TXTH;HTH;storable;buy;false;PCE;storable;28;EUR;24.08;EUR;2013-01-01;
147;Maillot ML H  Route Noir;TXTH-HTH-0147;;;;TXTH;HTH;storable;buy;false;PCE;storable;35;EUR;26.25;EUR;2013-01-01;
148;Maillot MC H  VTT Jaune;TXTH-HTH-0148;;;;TXTH;HTH;storable;buy;false;PCE;storable;30;EUR;26.4;EUR;2013-01-01;
149;Maillot MC H  VTT Gris;TXTH-HTH-0149;;;;TXTH;HTH;storable;buy;false;PCE;storable;30;EUR;24;EUR;2013-01-01;
150;CaleÃ§on court H  Route Noir;TXTH-BASH-0150;;;;TXTH;BASH;storable;buy;false;PCE;storable;45;EUR;35.55;EUR;2013-01-01;
151;CaleÃ§on court H  Route Gris;TXTH-BASH-0151;;;;TXTH;BASH;storable;buy;false;PCE;storable;45;EUR;35.1;EUR;2013-01-01;
152;CaleÃ§on court H  Route Noir;TXTH-BASH-0152;;;;TXTH;BASH;storable;buy;false;PCE;storable;55;EUR;38.5;EUR;2013-01-01;
153;CaleÃ§on court H  Route Bleu foncÃ©;TXTH-BASH-0153;;;;TXTH;BASH;storable;buy;false;PCE;storable;55;EUR;41.25;EUR;2013-01-01;
154;Chaussettes H Mavic Race Jaune;TXTH-CHTH-0154;;;;TXTH;CHTH;storable;buy;false;PCE;storable;10;EUR;7.1;EUR;2013-01-01;
155;Chaussettes H Mavic Race Blanche;TXTH-CHTH-0155;;;;TXTH;CHTH;storable;buy;false;PCE;storable;10;EUR;8.1;EUR;2013-01-01;
156;Chaussettes H Mavic Race Noir;TXTH-CHTH-0156;;;;TXTH;CHTH;storable;buy;false;PCE;storable;10;EUR;8;EUR;2013-01-01;
157;Chaussettes H  100% Cotton Jaune;TXTH-CHTH-0157;;;;TXTH;CHTH;storable;buy;false;PCE;storable;6;EUR;4.62;EUR;2013-01-01;
158;Chaussettes H  100% Cotton Blanche;TXTH-CHTH-0158;;;;TXTH;CHTH;storable;buy;false;PCE;storable;6;EUR;4.56;EUR;2013-01-01;
159;Chaussettes H  100% Cotton Noir;TXTH-CHTH-0159;;;;TXTH;CHTH;storable;buy;false;PCE;storable;6;EUR;4.8;EUR;2013-01-01;
160;Chaussures H Mavic Zxellium grise Route;EQH-CHRH-0160;;;;EQH;CHRH;storable;buy;false;PCE;storable;249;EUR;194.22;EUR;2013-01-01;
161;Chaussures H Sidi Five noir Route;EQH-CHRH-0161;;;;EQH;CHRH;storable;buy;false;PCE;storable;219;EUR;162.06;EUR;2013-01-01;
162;Chaussures H Shimano SH-R077 grise Route;EQH-CHRH-0162;;;;EQH;CHRH;storable;buy;false;PCE;storable;81;EUR;63.18;EUR;2013-01-01;
