"name","object","read","write","delete","create","export","group"
"AnalyticJournalType MANAGE","com.axelor.apps.account.db.AnalyticJournalType","true","true","true","true","true","ACCO|"
"CashRegister READ","com.axelor.apps.account.db.CashRegister","true",,,,,"SALE|PURCH|HRSC|OPTS"
"CashRegister MANAGE","com.axelor.apps.account.db.CashRegister","true","true","true","true","true","ACCO|"
"CashRegisterLine READ","com.axelor.apps.account.db.CashRegisterLine","true",,,,,"SALE|PURCH|HRSC|OPTS"
"CashRegisterLine MANAGE","com.axelor.apps.account.db.CashRegisterLine","true","true","true","true","true","ACCO|"
"CfonbConfig READ","com.axelor.apps.account.db.CfonbConfig","true",,,,,"SALE|PURCH|HRSC|OPTS"
"CfonbConfig MANAGE","com.axelor.apps.account.db.CfonbConfig","true","true","true","true","true","ACCO|"
"ChequeRejection READ","com.axelor.apps.account.db.ChequeRejection","true",,,,,"SALE|PURCH|HRSC|OPTS"
"ChequeRejection MANAGE","com.axelor.apps.account.db.ChequeRejection","true","true","true","true","true","ACCO|"
"DirectDebitManagement READ","com.axelor.apps.account.db.DirectDebitManagement","true",,,,,"SALE|PURCH|HRSC|OPTS"
"DirectDebitManagement MANAGE","com.axelor.apps.account.db.DirectDebitManagement","true","true","true","true","true","ACCO|"
"FiscalPosition READ","com.axelor.apps.account.db.FiscalPosition","true",,,,,"SALE|PURCH|HRSC|OPTS"
"FiscalPosition MANAGE","com.axelor.apps.account.db.FiscalPosition","true","true","true","true","true","ACCO|"
"InterbankCode READ","com.axelor.apps.account.db.InterbankCode","true",,,,,"SALE|PURCH|HRSC|OPTS"
"InterbankCode MANAGE","com.axelor.apps.account.db.InterbankCode","true","true","true","true","true","ACCO|"
"InterbankCodeLine READ","com.axelor.apps.account.db.InterbankCodeLine","true",,,,,"SALE|PURCH|HRSC|OPTS"
"InterbankCodeLine MANAGE","com.axelor.apps.account.db.InterbankCodeLine","true","true","true","true","true","ACCO|"
"Invoice READ","com.axelor.apps.account.db.Invoice","true",,,,,"HRSC|OPTS"
"Invoice MANAGE","com.axelor.apps.account.db.Invoice","true","true","true","true","true","SALE|PURCH|ACCO|"
"InvoiceBatch READ","com.axelor.apps.account.db.InvoiceBatch","true",,,,,"SALE|PURCH|HRSC|OPTS"
"InvoiceBatch MANAGE","com.axelor.apps.account.db.InvoiceBatch","true","true","true","true","true","ACCO|"
"InvoiceLine READ","com.axelor.apps.account.db.InvoiceLine","true",,,,,"HRSC|OPTS"
"InvoiceLine MANAGE","com.axelor.apps.account.db.InvoiceLine","true","true","true","true","true","SALE|PURCH|ACCO|"
"InvoiceLineEvent READ","com.axelor.apps.account.db.InvoiceLineEvent","true",,,,,"HRSC|OPTS"
"InvoiceLineEvent MANAGE","com.axelor.apps.account.db.InvoiceLineEvent","true","true","true","true","true","SALE|PURCH|ACCO|"
"InvoiceLineTax READ","com.axelor.apps.account.db.InvoiceLineTax","true",,,,,"HRSC|OPTS"
"InvoiceLineTax MANAGE","com.axelor.apps.account.db.InvoiceLineTax","true","true","true","true","true","SALE|PURCH|ACCO|"
"InvoiceLineType READ","com.axelor.apps.account.db.InvoiceLineType","true",,,,,"HRSC|OPTS"
"InvoiceLineType MANAGE","com.axelor.apps.account.db.InvoiceLineType","true","true","true","true","true","SALE|PURCH|ACCO|"
"Irrecoverable READ","com.axelor.apps.account.db.Irrecoverable","true",,,,,"SALE|PURCH|HRSC|OPTS"
"Irrecoverable MANAGE","com.axelor.apps.account.db.Irrecoverable","true","true","true","true","true","ACCO|"
"IrrecoverableCustomerLine READ","com.axelor.apps.account.db.IrrecoverableCustomerLine","true",,,,,"SALE|PURCH|HRSC|OPTS"
"IrrecoverableCustomerLine MANAGE","com.axelor.apps.account.db.IrrecoverableCustomerLine","true","true","true","true","true","ACCO|"
"IrrecoverableInvoiceLine READ","com.axelor.apps.account.db.IrrecoverableInvoiceLine","true",,,,,"SALE|PURCH|HRSC|OPTS"
"IrrecoverableInvoiceLine MANAGE","com.axelor.apps.account.db.IrrecoverableInvoiceLine","true","true","true","true","true","ACCO|"
"IrrecoverablePaymentScheduleLineLine READ","com.axelor.apps.account.db.IrrecoverablePaymentScheduleLineLine","true",,,,,"SALE|PURCH|HRSC|OPTS"
"IrrecoverablePaymentScheduleLineLine MANAGE","com.axelor.apps.account.db.IrrecoverablePaymentScheduleLineLine","true","true","true","true","true","ACCO|"
"IrrecoverableReportLine READ","com.axelor.apps.account.db.IrrecoverableReportLine","true",,,,,"SALE|PURCH|HRSC|OPTS"
"IrrecoverableReportLine MANAGE","com.axelor.apps.account.db.IrrecoverableReportLine","true","true","true","true","true","ACCO|"
"Journal READ","com.axelor.apps.account.db.Journal","true",,,,,"SALE|PURCH|HRSC|OPTS"
"Journal MANAGE","com.axelor.apps.account.db.Journal","true","true","true","true","true","ACCO|"
"JournalType READ","com.axelor.apps.account.db.JournalType","true",,,,,"SALE|PURCH|HRSC|OPTS"
"JournalType MANAGE","com.axelor.apps.account.db.JournalType","true","true","true","true","true","ACCO|"
"KeyPricingList READ","com.axelor.apps.account.db.KeyPricingList","true",,,,,"SALE|PURCH|HRSC|OPTS"
"KeyPricingList MANAGE","com.axelor.apps.account.db.KeyPricingList","true","true","true","true","true","ACCO|"
"ManagementObject READ","com.axelor.apps.account.db.ManagementObject","true",,,,,"SALE|PURCH|HRSC|OPTS"
"ManagementObject MANAGE","com.axelor.apps.account.db.ManagementObject","true","true","true","true","true","ACCO|"
"MatrixStructure READ","com.axelor.apps.account.db.MatrixStructure","true",,,,,"SALE|PURCH|HRSC|OPTS"
"MatrixStructure MANAGE","com.axelor.apps.account.db.MatrixStructure","true","true","true","true","true","ACCO|"
"Move READ","com.axelor.apps.account.db.Move","true",,,,,"SALE|PURCH|HRSC|OPTS"
"Move MANAGE","com.axelor.apps.account.db.Move","true","true","true","true","true","ACCO|"
"MoveLine READ","com.axelor.apps.account.db.MoveLine","true",,,,,"SALE|PURCH|HRSC|OPTS"
"MoveLine MANAGE","com.axelor.apps.account.db.MoveLine","true","true","true","true","true","ACCO|"
"MoveLineReport READ","com.axelor.apps.account.db.MoveLineReport","true",,,,,"SALE|PURCH|HRSC|OPTS"
"MoveLineReport MANAGE","com.axelor.apps.account.db.MoveLineReport","true","true","true","true","true","ACCO|"
"Parameter READ","com.axelor.apps.account.db.Parameter","true",,,,,"SALE|PURCH|HRSC|OPTS"
"Parameter MANAGE","com.axelor.apps.account.db.Parameter","true","true","true","true","true","ACCO|"
"ParameterType READ","com.axelor.apps.account.db.ParameterType","true",,,,,"SALE|PURCH|HRSC|OPTS"
"ParameterType MANAGE","com.axelor.apps.account.db.ParameterType","true","true","true","true","true","ACCO|"
"Paybox READ","com.axelor.apps.account.db.Paybox","true",,,,,"SALE|PURCH|HRSC|OPTS"
"Paybox MANAGE","com.axelor.apps.account.db.Paybox","true","true","true","true","true","ACCO|"
"PayboxConfig READ","com.axelor.apps.account.db.PayboxConfig","true",,,,,"SALE|PURCH|HRSC|OPTS"
"PayboxConfig MANAGE","com.axelor.apps.account.db.PayboxConfig","true","true","true","true","true","ACCO|"
"PayerQualityConfigLine READ","com.axelor.apps.account.db.PayerQualityConfigLine","true",,,,,"SALE|PURCH|HRSC|OPTS"
"PayerQualityConfigLine MANAGE","com.axelor.apps.account.db.PayerQualityConfigLine","true","true","true","true","true","ACCO|"
"PaymentCondition READ","com.axelor.apps.account.db.PaymentCondition","true",,,,,"SALE|PURCH|HRSC|OPTS"
"PaymentCondition MANAGE","com.axelor.apps.account.db.PaymentCondition","true","true","true","true","true","ACCO|"
"PaymentInvoice READ","com.axelor.apps.account.db.PaymentInvoice","true",,,,,"SALE|PURCH|HRSC|OPTS"
"PaymentInvoice MANAGE","com.axelor.apps.account.db.PaymentInvoice","true","true","true","true","true","ACCO|"
"PaymentInvoiceToPay READ","com.axelor.apps.account.db.PaymentInvoiceToPay","true",,,,,"SALE|PURCH|HRSC|OPTS"
"PaymentInvoiceToPay MANAGE","com.axelor.apps.account.db.PaymentInvoiceToPay","true","true","true","true","true","ACCO|"
"PaymentMode READ","com.axelor.apps.account.db.PaymentMode","true",,,,,"SALE|PURCH|HRSC|OPTS"
"PaymentMode MANAGE","com.axelor.apps.account.db.PaymentMode","true","true","true","true","true","ACCO|"
"PaymentSchedule READ","com.axelor.apps.account.db.PaymentSchedule","true",,,,,"SALE|PURCH|HRSC|OPTS"
"PaymentSchedule MANAGE","com.axelor.apps.account.db.PaymentSchedule","true","true","true","true","true","ACCO|"
"PaymentScheduleLine READ","com.axelor.apps.account.db.PaymentScheduleLine","true",,,,,"SALE|PURCH|HRSC|OPTS"
"PaymentScheduleLine MANAGE","com.axelor.apps.account.db.PaymentScheduleLine","true","true","true","true","true","ACCO|"
"PaymentVoucher READ","com.axelor.apps.account.db.PaymentVoucher","true",,,,,"SALE|PURCH|HRSC|OPTS"
"PaymentVoucher MANAGE","com.axelor.apps.account.db.PaymentVoucher","true","true","true","true","true","ACCO|"
"Reconcile READ","com.axelor.apps.account.db.Reconcile","true",,,,,"SALE|PURCH|HRSC|OPTS"
"Reconcile MANAGE","com.axelor.apps.account.db.Reconcile","true","true","true","true","true","ACCO|"
"Reimbursement READ","com.axelor.apps.account.db.Reimbursement","true",,,,,"SALE|PURCH|HRSC|OPTS"
"Reimbursement MANAGE","com.axelor.apps.account.db.Reimbursement","true","true","true","true","true","ACCO|"
"Reminder READ","com.axelor.apps.account.db.Reminder","true",,,,,"SALE|PURCH|HRSC|OPTS"
"Reminder MANAGE","com.axelor.apps.account.db.Reminder","true","true","true","true","true","ACCO|"
"ReminderConfigLine READ","com.axelor.apps.account.db.ReminderConfigLine","true",,,,,"SALE|PURCH|HRSC|OPTS"
"ReminderConfigLine MANAGE","com.axelor.apps.account.db.ReminderConfigLine","true","true","true","true","true","ACCO|"
"ReminderHistory READ","com.axelor.apps.account.db.ReminderHistory","true",,,,,"SALE|PURCH|HRSC|OPTS"
"ReminderHistory MANAGE","com.axelor.apps.account.db.ReminderHistory","true","true","true","true","true","ACCO|"
"ReminderLevel READ","com.axelor.apps.account.db.ReminderLevel","true",,,,,"SALE|PURCH|HRSC|OPTS"
"ReminderLevel MANAGE","com.axelor.apps.account.db.ReminderLevel","true","true","true","true","true","ACCO|"
"ReminderMethod READ","com.axelor.apps.account.db.ReminderMethod","true",,,,,"SALE|PURCH|HRSC|OPTS"
"ReminderMethod MANAGE","com.axelor.apps.account.db.ReminderMethod","true","true","true","true","true","ACCO|"
"ReminderMethodLine READ","com.axelor.apps.account.db.ReminderMethodLine","true",,,,,"SALE|PURCH|HRSC|OPTS"
"ReminderMethodLine MANAGE","com.axelor.apps.account.db.ReminderMethodLine","true","true","true","true","true","ACCO|"
"ReportedBalance READ","com.axelor.apps.account.db.ReportedBalance","true",,,,,"SALE|PURCH|HRSC|OPTS"
"ReportedBalance MANAGE","com.axelor.apps.account.db.ReportedBalance","true","true","true","true","true","ACCO|"
"ReportedBalanceLine READ","com.axelor.apps.account.db.ReportedBalanceLine","true",,,,,"SALE|PURCH|HRSC|OPTS"
"ReportedBalanceLine MANAGE","com.axelor.apps.account.db.ReportedBalanceLine","true","true","true","true","true","ACCO|"
"Tax READ","com.axelor.apps.account.db.Tax","true",,,,,"SALE|PURCH|HRSC|OPTS"
"Tax MANAGE","com.axelor.apps.account.db.Tax","true","true","true","true","true","ACCO|"
"TaxAccount READ","com.axelor.apps.account.db.TaxAccount","true",,,,,"SALE|PURCH|HRSC|OPTS"
"TaxAccount MANAGE","com.axelor.apps.account.db.TaxAccount","true","true","true","true","true","ACCO|"
"TaxEquiv READ","com.axelor.apps.account.db.TaxEquiv","true",,,,,"SALE|PURCH|HRSC|OPTS"
"TaxEquiv MANAGE","com.axelor.apps.account.db.TaxEquiv","true","true","true","true","true","ACCO|"
"TaxLine READ","com.axelor.apps.account.db.TaxLine","true",,,,,"SALE|PURCH|HRSC|OPTS"
"TaxLine MANAGE","com.axelor.apps.account.db.TaxLine","true","true","true","true","true","ACCO|"
"Address READ","com.axelor.apps.base.db.Address","true",,,,,"OPTS"
"Address MANAGE","com.axelor.apps.base.db.Address","true","true","true","true","true","SALE|PURCH|ACCO|HRSC|"
"AddressExport READ","com.axelor.apps.base.db.AddressExport","true",,,,,"SALE|PURCH|ACCO|HRSC|OPTS"
"Alarm READ","com.axelor.apps.base.db.Alarm","true",,,,,"SALE|PURCH|ACCO|HRSC|OPTS"
"AlarmEngine READ","com.axelor.apps.base.db.AlarmEngine","true",,,,,"SALE|PURCH|ACCO|HRSC|OPTS"
"AlarmEngineBatch READ","com.axelor.apps.base.db.AlarmEngineBatch","true",,,,,"SALE|PURCH|ACCO|HRSC|OPTS"
"AlarmMessage READ","com.axelor.apps.base.db.AlarmMessage","true",,,,,"SALE|PURCH|ACCO|HRSC|OPTS"
"BankDetails READ","com.axelor.apps.base.db.BankDetails","true",,,,,"HRSC|OPTS"
"BankDetails MANAGE","com.axelor.apps.base.db.BankDetails","true","true","true","true","true","SALE|PURCH|ACCO|"
"BaseBatch READ","com.axelor.apps.base.db.BaseBatch","true",,,,,"SALE|PURCH|ACCO|HRSC|OPTS"
"Batch READ","com.axelor.apps.base.db.Batch","true",,,,,"SALE|PURCH|ACCO|HRSC|OPTS"
"Bic READ","com.axelor.apps.base.db.Bic","true",,,,,"SALE|PURCH|HRSC|OPTS"
"Bic MANAGE","com.axelor.apps.base.db.Bic","true","true","true","true","true","ACCO|"
"BirtTemplate READ","com.axelor.apps.base.db.BirtTemplate","true",,,,,"OPTS"
"BirtTemplate MANAGE","com.axelor.apps.base.db.BirtTemplate","true","true","true","true","true","SALE|PURCH|ACCO|HRSC|"
"BirtTemplateParameter READ","com.axelor.apps.base.db.BirtTemplateParameter","true",,,,,"SALE|PURCH|ACCO|HRSC|OPTS"
"Blocking READ","com.axelor.apps.base.db.Blocking","true",,,,,"SALE|PURCH|HRSC|OPTS"
"Blocking MANAGE","com.axelor.apps.base.db.Blocking","true","true","true","true","true","ACCO|"
"Canton READ","com.axelor.apps.base.db.Canton","true",,,,,"OPTS"
"Canton MANAGE","com.axelor.apps.base.db.Canton","true","true","true","true","true","SALE|PURCH|ACCO|HRSC|"
"Commune READ","com.axelor.apps.base.db.Commune","true",,,,,"OPTS"
"Commune MANAGE","com.axelor.apps.base.db.Commune","true","true","true","true","true","SALE|PURCH|ACCO|HRSC|"
"Company READ","com.axelor.apps.base.db.Company","true",,,,,"SALE|PURCH|ACCO|HRSC|OPTS"
"CompanyDepartment READ","com.axelor.apps.base.db.CompanyDepartment","true",,,,,"SALE|PURCH|ACCO|HRSC|OPTS"
"Country READ","com.axelor.apps.base.db.Country","true",,,,,"OPTS"
"Country MANAGE","com.axelor.apps.base.db.Country","true","true","true","true","true","SALE|PURCH|ACCO|HRSC|"
"Currency READ","com.axelor.apps.base.db.Currency","true",,,,,"SALE|PURCH|HRSC|OPTS"
"Currency MANAGE","com.axelor.apps.base.db.Currency","true","true","true","true","true","ACCO|"
"CurrencyConversionLine READ","com.axelor.apps.base.db.CurrencyConversionLine","true",,,,,"SALE|PURCH|HRSC|OPTS"
"CurrencyConversionLine MANAGE","com.axelor.apps.base.db.CurrencyConversionLine","true","true","true","true","true","ACCO|"
"Department READ","com.axelor.apps.base.db.Department","true",,,,,"OPTS"
"Department MANAGE","com.axelor.apps.base.db.Department","true","true","true","true","true","SALE|PURCH|ACCO|HRSC|"
"Filter MANAGE","com.axelor.apps.base.db.Filter","true","true","true","true","true","SALE|PURCH|ACCO|HRSC|OPTS"
"FilterList MANAGE","com.axelor.apps.base.db.FilterList","true","true","true","true","true","SALE|PURCH|ACCO|HRSC|OPTS"
"General READ","com.axelor.apps.base.db.General","true",,,,,"SALE|PURCH|ACCO|HRSC|OPTS"
"GeographicalArea MANAGE","com.axelor.apps.base.db.GeographicalArea","true","true","true","true","true","SALE|PURCH|ACCO|HRSC|OPTS"
"Import READ","com.axelor.apps.base.db.Import","true",,,,,"SALE|PURCH|ACCO|HRSC|OPTS"
"IndicatorGenerator READ","com.axelor.apps.base.db.IndicatorGenerator","true",,,,,"SALE|PURCH|ACCO|HRSC|OPTS"
"IndicatorGeneratorGrouping READ","com.axelor.apps.base.db.IndicatorGeneratorGrouping","true",,,,,"SALE|PURCH|ACCO|HRSC|OPTS"
"JpqlQuery READ","com.axelor.apps.base.db.JpqlQuery","true",,,,,"SALE|PURCH|ACCO|HRSC|OPTS"
"Keyword READ","com.axelor.apps.base.db.Keyword","true",,,,,"OPTS"
"Keyword MANAGE","com.axelor.apps.base.db.Keyword","true","true","true","true","true","SALE|PURCH|ACCO|HRSC|"
"Language READ","com.axelor.apps.base.db.Language","true",,,,,"SALE|PURCH|ACCO|HRSC|OPTS"
"Mail MANAGE","com.axelor.apps.base.db.Mail","true","true","true","true","true","SALE|PURCH|ACCO|HRSC|OPTS"
"MailModel MANAGE","com.axelor.apps.base.db.MailModel","true","true","true","true","true","SALE|PURCH|ACCO|HRSC|OPTS"
"MailModelTag READ","com.axelor.apps.base.db.MailModelTag","true",,,,,"SALE|PURCH|ACCO|HRSC|OPTS"
"Partner READ","com.axelor.apps.base.db.Partner","true",,,,,"OPTS"
"Partner MANAGE","com.axelor.apps.base.db.Partner","true","true","true","true","true","SALE|PURCH|ACCO|HRSC|"
"PartnerCategory READ","com.axelor.apps.base.db.PartnerCategory","true",,,,,"SALE|PURCH|ACCO|HRSC|OPTS"
"PartnerList MANAGE","com.axelor.apps.base.db.PartnerList","true","true","true","true","true","SALE|PURCH|ACCO|HRSC|OPTS"
"Period READ","com.axelor.apps.base.db.Period","true",,,,,"SALE|PURCH|HRSC|OPTS"
"Period MANAGE","com.axelor.apps.base.db.Period","true","true","true","true","true","ACCO|"
"PickListEntry READ","com.axelor.apps.base.db.PickListEntry","true",,,,,"OPTS"
"PickListEntry MANAGE","com.axelor.apps.base.db.PickListEntry","true","true","true","true","true","SALE|PURCH|ACCO|HRSC|"
"Price MANAGE","com.axelor.apps.base.db.Price","true","true","true","true","true","SALE|PURCH|ACCO|HRSC|OPTS"
"PriceList READ","com.axelor.apps.base.db.PriceList","true",,,,,"ACCO|HRSC|OPTS"
"PriceList MANAGE","com.axelor.apps.base.db.PriceList","true","true","true","true","true","SALE|PURCH|"
"PriceListLine READ","com.axelor.apps.base.db.PriceListLine","true",,,,,"ACCO|HRSC|OPTS"
"PriceListLine MANAGE","com.axelor.apps.base.db.PriceListLine","true","true","true","true","true","SALE|PURCH|"
"PrintingSettings READ","com.axelor.apps.base.db.PrintingSettings","true",,,,,"SALE|PURCH|ACCO|HRSC|OPTS"
"Product READ","com.axelor.apps.base.db.Product","true",,,,,"HRSC|OPTS"
"Product MANAGE","com.axelor.apps.base.db.Product","true","true","true","true","true","SALE|PURCH|ACCO|"
"ProductCategory READ","com.axelor.apps.base.db.ProductCategory","true",,,,,"HRSC|OPTS"
"ProductCategory MANAGE","com.axelor.apps.base.db.ProductCategory","true","true","true","true","true","SALE|PURCH|ACCO|"
"ProductFamily READ","com.axelor.apps.base.db.ProductFamily","true",,,,,"HRSC|OPTS"
"ProductFamily MANAGE","com.axelor.apps.base.db.ProductFamily","true","true","true","true","true","SALE|PURCH|ACCO|"
"ProductVariant READ","com.axelor.apps.base.db.ProductVariant","true",,,,,"HRSC|OPTS"
"ProductVariant MANAGE","com.axelor.apps.base.db.ProductVariant","true","true","true","true","true","SALE|PURCH|ACCO|"
"ProductVariantAttribute READ","com.axelor.apps.base.db.ProductVariantAttribute","true",,,,,"HRSC|OPTS"
"ProductVariantAttribute MANAGE","com.axelor.apps.base.db.ProductVariantAttribute","true","true","true","true","true","SALE|PURCH|ACCO|"
"ProductVariantConfiguration READ","com.axelor.apps.base.db.ProductVariantConfiguration","true",,,,,"HRSC|OPTS"
"ProductVariantConfiguration MANAGE","com.axelor.apps.base.db.ProductVariantConfiguration","true","true","true","true","true","SALE|PURCH|ACCO|"
"ProductVariantValue READ","com.axelor.apps.base.db.ProductVariantValue","true",,,,,"HRSC|OPTS"
"ProductVariantValue MANAGE","com.axelor.apps.base.db.ProductVariantValue","true","true","true","true","true","SALE|PURCH|ACCO|"
"Querie READ","com.axelor.apps.base.db.Querie","true",,,,,"SALE|PURCH|ACCO|HRSC|OPTS"
"Region READ","com.axelor.apps.base.db.Region","true",,,,,"OPTS"
"Region MANAGE","com.axelor.apps.base.db.Region","true","true","true","true","true","SALE|PURCH|ACCO|HRSC|"
"Routing READ","com.axelor.apps.base.db.Routing","true",,,,,"SALE|PURCH|ACCO|HRSC|OPTS"
"RoutingAction READ","com.axelor.apps.base.db.RoutingAction","true",,,,,"SALE|PURCH|ACCO|HRSC|OPTS"
"RoutingActionCreate READ","com.axelor.apps.base.db.RoutingActionCreate","true",,,,,"SALE|PURCH|ACCO|HRSC|OPTS"
"RoutingActionCreateLine READ","com.axelor.apps.base.db.RoutingActionCreateLine","true",,,,,"SALE|PURCH|ACCO|HRSC|OPTS"
"RoutingRule READ","com.axelor.apps.base.db.RoutingRule","true",,,,,"SALE|PURCH|ACCO|HRSC|OPTS"
"Scheduler READ","com.axelor.apps.base.db.Scheduler","true",,,,,"HRSC|OPTS"
"Scheduler MANAGE","com.axelor.apps.base.db.Scheduler","true","true","true","true","true","SALE|PURCH|ACCO|"
"SchedulerInstance READ","com.axelor.apps.base.db.SchedulerInstance","true",,,,,"HRSC|OPTS"
"SchedulerInstance MANAGE","com.axelor.apps.base.db.SchedulerInstance","true","true","true","true","true","SALE|PURCH|ACCO|"
"SchedulerInstanceHistory READ","com.axelor.apps.base.db.SchedulerInstanceHistory","true",,,,,"HRSC|OPTS"
"SchedulerInstanceHistory MANAGE","com.axelor.apps.base.db.SchedulerInstanceHistory","true","true","true","true","true","SALE|PURCH|ACCO|"
"Sequence READ","com.axelor.apps.base.db.Sequence","true",,,,,"SALE|PURCH|ACCO|HRSC|OPTS"
"Source READ","com.axelor.apps.base.db.Source","true",,,,,"SALE|PURCH|ACCO|HRSC|OPTS"
"SpentTime R W C","com.axelor.apps.base.db.SpentTime","true","true",,"true",,"SALE|PURCH|ACCO|HRSC|OPTS"
"Status READ","com.axelor.apps.base.db.Status","true",,,,,"SALE|PURCH|ACCO|HRSC|OPTS"
"StopReason READ","com.axelor.apps.base.db.StopReason","true",,,,,"SALE|PURCH|ACCO|HRSC|OPTS"
"SupplierCatalog READ","com.axelor.apps.base.db.SupplierCatalog","true",,,,,"SALE|ACCO|HRSC|OPTS"
"SupplierCatalog MANAGE","com.axelor.apps.base.db.SupplierCatalog","true","true","true","true","true","PURCH|"
"Team READ","com.axelor.apps.base.db.Team","true",,,,,"SALE|PURCH|ACCO|OPTS"
"Team MANAGE","com.axelor.apps.base.db.Team","true","true","true","true","true","HRSC|"
"Template READ","com.axelor.apps.base.db.Template","true",,,,,"SALE|PURCH|ACCO|HRSC|OPTS"
"TemplateContext READ","com.axelor.apps.base.db.TemplateContext","true",,,,,"SALE|PURCH|ACCO|HRSC|OPTS"
"TemplateContextLine READ","com.axelor.apps.base.db.TemplateContextLine","true",,,,,"SALE|PURCH|ACCO|HRSC|OPTS"
"TemplateRule READ","com.axelor.apps.base.db.TemplateRule","true",,,,,"SALE|PURCH|ACCO|HRSC|OPTS"
"TemplateRuleLine READ","com.axelor.apps.base.db.TemplateRuleLine","true",,,,,"SALE|PURCH|ACCO|HRSC|OPTS"
"Territory READ","com.axelor.apps.base.db.Territory","true",,,,,"OPTS"
"Territory MANAGE","com.axelor.apps.base.db.Territory","true","true","true","true","true","SALE|PURCH|ACCO|HRSC|"
"TrackingNumber READ","com.axelor.apps.base.db.TrackingNumber","true",,,,,"ACCO|HRSC|"
"TrackingNumber MANAGE","com.axelor.apps.base.db.TrackingNumber","true","true","true","true","true","SALE|PURCH|OPTS"
"TrackingNumberConfiguration READ","com.axelor.apps.base.db.TrackingNumberConfiguration","true",,,,,"ACCO|HRSC|"
"TrackingNumberConfiguration MANAGE","com.axelor.apps.base.db.TrackingNumberConfiguration","true","true","true","true","true","SALE|PURCH|OPTS"
"Unit READ","com.axelor.apps.base.db.Unit","true",,,,,"SALE|PURCH|ACCO|HRSC|OPTS"
"UnitConversion READ","com.axelor.apps.base.db.UnitConversion","true",,,,,"SALE|PURCH|ACCO|HRSC|OPTS"
"UserInfo READ","com.axelor.apps.base.db.UserInfo","true",,,,,"SALE|PURCH|ACCO|HRSC|OPTS"
"ViewController READ","com.axelor.apps.base.db.ViewController","true",,,,,"SALE|PURCH|ACCO|HRSC|OPTS"
