"importId";"code";"name"
171;"235";"SRI LANKA"
172;"128";"ST MARIN"
173;"104";"SUEDOISE"
174;"140";"SUISSE"
175;"250";"SULTANAT-OMAN"
176;"437";"SURINAM"
177;"391";"SWAZILAND"
178;"206";"SYRIENNE"
179;"236";"TAIWAN"
180;"259";"TADJIKISTAN"
181;"309";"TANZANIE"
182;"344";"TCHADIENNE"
183;"116";"TCHEQUE"
184;"431";"Ter.PaysBas:ANTILLES NEERL. *"
185;"425";"Ter.Roy.Uni aux ANTILLES *"
186;"427";"Ter.Roy.Uni.dans l’Atlantique *"
187;"432";"Ter.USA:PortoRico I.vierges de USA *"
188;"306";"Ter.Roy.UNI.OC.ATL:Ste HELENE *"
189;"503";"Ter.Roy.UNI:Iles PITCAIRN *"
190;"505";"Ter.des USA (OCEANIE)"
191;"219";"THAILANDAISE"
192;"345";"TOGOLAISE"
193;"509";"TONGA"
194;"433";"TRINITE et TOBAGO"
195;"351";"TUNISIENNE"
196;"260";"TURMENISTAN"
197;"208";"TURQUE"
198;"511";"TUVALU"
199;"155";"UKRAINE"
200;"423";"URUGUAYENNE"
201;"514";"VANUATU"
202;"129";"VATICANE"
203;"424";"VENEZUELIENNE"
204;"243";"VIETNAMIENNE"
205;"251";"YEMENITE"
206;"121";"YOUGOSLAVIE"
207;"346";"ZAMBIE"
208;"310";"ZIMBABWE"
