"importId";"inseeCode";"name";"nbInhCommune";"canton.code";"department.code";"region.code";"name_delivery";"name_standardized";"zip";"artmin"
"41";"01044";"BILLIAT";"547";;"01";"84";"BILLIAT";"BILLIAT";"01200";
"42";"01045";"BIRIEUX";"265";;"01";"84";"BIRIEUX";"BIRIEUX";"01330";
"43";"01046";"BIZIAT";"817";;"01";"84";"BIZIAT";"BIZIAT";"01290";
"44";"01047";"BLYES";"915";;"01";"84";"BLYES";"BLYES";"01150";
"45";"01049";"LA BOISSE";"2903";;"01";"84";"LA BOISSE";"LA BOISSE";"01120";
"46";"01050";"BOISSEY";"300";;"01";"84";"BOISSEY";"BOISSEY";"01380";
"47";"01051";"BOLOZON";"91";;"01";"84";"BOLOZON";"BOLOZON";"01450";
"48";"01052";"BOULIGNEUX";"310";;"01";"84";"BOULIGNEUX";"BOULIGNEUX";"01330";
"49";"01053";"BOURG-EN-BRESSE";"40171";;"01";"84";"BOURG EN BRESSE";"BOURG EN BRESSE";"01000";
"50";"01054";"BOURG-SAINT-CHRISTOPHE";"1230";;"01";"84";"BOURG ST CHRISTOPHE";"BOURG ST CHRISTOPHE";"01800";
"51";"01056";"BOYEUX-SAINT-JEROME";"358";;"01";"84";"BOYEUX ST JEROME";"BOYEUX ST JEROME";"01640";
"52";"01057";"BOZ";"495";;"01";"84";"BOZ";"BOZ";"01190";
"53";"01058";"BREGNIER-CORDON";"889";;"01";"84";"BREGNIER CORDON";"BREGNIER CORDON";"01300";
"54";"01059";"BRENAZ";"92";;"01";"84";"BRENAZ";"BRENAZ";"01260";
"55";"01060";"BRENOD";"543";;"01";"84";"BRENOD";"BRENOD";"01110";
"56";"01061";"BRENS";"1215";;"01";"84";"BRENS";"BRENS";"01300";
"57";"01062";"BRESSOLLES";"777";;"01";"84";"BRESSOLLES";"BRESSOLLES";"01360";
"58";"01063";"BRION";"517";;"01";"84";"BRION";"BRION";"01460";
"59";"01064";"BRIORD";"919";;"01";"84";"BRIORD";"BRIORD";"01470";
"60";"01065";"BUELLAS";"1714";;"01";"84";"BUELLAS";"BUELLAS";"01310";
"61";"01066";"LA BURBANCHE";"73";;"01";"84";"LA BURBANCHE";"LA BURBANCHE";"01510";
"62";"01067";"CEIGNES";"261";;"01";"84";"CEIGNES";"CEIGNES";"01430";
"63";"01068";"CERDON";"734";;"01";"84";"CERDON";"CERDON";"01450";
"64";"01069";"CERTINES";"1443";;"01";"84";"CERTINES";"CERTINES";"01240";
"65";"01071";"CESSY";"4342";;"01";"84";"CESSY";"CESSY";"01170";
"66";"01072";"CEYZERIAT";"2939";;"01";"84";"CEYZERIAT";"CEYZERIAT";"01250";
"67";"01073";"CEYZERIEU";"979";;"01";"84";"CEYZERIEU";"CEYZERIEU";"01350";
"68";"01074";"CHALAMONT";"2402";;"01";"84";"CHALAMONT";"CHALAMONT";"01320";
"69";"01075";"CHALEINS";"1160";;"01";"84";"CHALEINS";"CHALEINS";"01480";
"70";"01076";"CHALEY";"140";;"01";"84";"CHALEY";"CHALEY";"01230";
"71";"01077";"CHALLES-LA-MONTAGNE";"179";;"01";"84";"CHALLES LA MONTAGNE";"CHALLES LA MONTAGNE";"01450";
"72";"01078";"CHALLEX";"1389";;"01";"84";"CHALLEX";"CHALLEX";"01630";
"73";"01079";"CHAMPAGNE-EN-VALROMEY";"788";;"01";"84";"CHAMPAGNE EN VALROMEY";"CHAMPAGNE EN VALROMEY";"01260";
"74";"01080";"CHAMPDOR";"466";;"01";"84";"CHAMPDOR CORCELLES";"CHAMPDOR CORCELLES";"01110";
"75";"01081";"CHAMPFROMIER";"696";;"01";"84";"CHAMPFROMIER";"CHAMPFROMIER";"01410";
"76";"01082";"CHANAY";"636";;"01";"84";"CHANAY";"CHANAY";"01420";
"77";"01083";"CHANEINS";"817";;"01";"84";"CHANEINS";"CHANEINS";"01990";
"78";"01084";"CHANOZ-CHATENAY";"732";"0123";"01";"84";"CHANOZ CHATENAY";"CHANOZ CHATENAY";"01400";
"79";"01085";"LA CHAPELLE-DU-CHATELARD";"363";;"01";"84";"LA CHAPELLE DU CHATELARD";"LA CHAPELLE DU CHATELARD";"01240";
"80";"01087";"CHARIX";"283";;"01";"84";"CHARIX";"CHARIX";"01130";
"81";"01088";"CHARNOZ-SUR-AIN";"914";;"01";"84";"CHARNOZ SUR AIN";"CHARNOZ SUR AIN";"01800";
"82";"01089";"CHATEAU-GAILLARD";"1881";;"01";"84";"CHATEAU GAILLARD";"CHATEAU GAILLARD";"01500";
"83";"01090";"CHATENAY";"346";;"01";"84";"CHATENAY";"CHATENAY";"01320";
"84";"01091";"CHATILLON-EN-MICHAILLE";"3136";;"01";"84";"CHATILLON EN MICHAILLE";"CHATILLON EN MICHAILLE";"01200";
"85";"01092";"CHATILLON-LA-PALUD";"1578";;"01";"84";"CHATILLON LA PALUD";"CHATILLON LA PALUD";"01320";
"86";"01093";"CHATILLON-SUR-CHALARONNE";"4957";;"01";"84";"CHATILLON SUR CHALARONNE";"CHATILLON SUR CHALARONNE";"01400";
"87";"01094";"CHAVANNES-SUR-REYSSOUZE";"715";;"01";"84";"CHAVANNES SUR REYSSOUZE";"CHAVANNES SUR REYSSOUZE";"01190";
"88";"01095";"CHAVANNES-SUR-SURAN";"638";;"01";"84";"CHAVANNES SUR SURAN";"CHAVANNES SUR SURAN";"01250";
"89";"01096";"CHAVEYRIAT";"959";"0123";"01";"84";"CHAVEYRIAT";"CHAVEYRIAT";"01660";
"90";"01097";"CHAVORNAY";"212";;"01";"84";"CHAVORNAY";"CHAVORNAY";"01510";
"91";"01098";"CHAZEY-BONS";"803";;"01";"84";"CHAZEY BONS";"CHAZEY BONS";"01300";
"92";"01099";"CHAZEY-SUR-AIN";"1555";;"01";"84";"CHAZEY SUR AIN";"CHAZEY SUR AIN";"01150";
"93";"01100";"CHEIGNIEU-LA-BALME";"152";;"01";"84";"CHEIGNIEU LA BALME";"CHEIGNIEU LA BALME";"01510";
"94";"01101";"CHEVILLARD";"160";;"01";"84";"CHEVILLARD";"CHEVILLARD";"01430";
"95";"01102";"CHEVROUX";"941";;"01";"84";"CHEVROUX";"CHEVROUX";"01190";
"96";"01103";"CHEVRY";"1333";;"01";"84";"CHEVRY";"CHEVRY";"01170";
"97";"01104";"CHEZERY-FORENS";"451";;"01";"84";"CHEZERY FORENS";"CHEZERY FORENS";"01410";
"98";"01105";"CIVRIEUX";"1394";;"01";"84";"CIVRIEUX";"CIVRIEUX";"01390";
"99";"01106";"CIZE";"173";;"01";"84";"CIZE";"CIZE";"01250";
"100";"01107";"CLEYZIEU";"139";;"01";"84";"CLEYZIEU";"CLEYZIEU";"01230";
"101";"01108";"COLIGNY";"1166";;"01";"84";"COLIGNY";"COLIGNY";"01270";
"102";"01109";"COLLONGES";"2046";;"01";"84";"COLLONGES";"COLLONGES";"01550";
"103";"01110";"COLOMIEU";"118";;"01";"84";"COLOMIEU";"COLOMIEU";"01300";
"104";"01111";"CONAND";"107";;"01";"84";"CONAND";"CONAND";"01230";
"105";"01112";"CONDAMINE";"418";;"01";"84";"CONDAMINE";"CONDAMINE";"01430";
"106";"01113";"CONDEISSIAT";"785";;"01";"84";"CONDEISSIAT";"CONDEISSIAT";"01400";
"107";"01114";"CONFORT";"553";;"01";"84";"CONFORT";"CONFORT";"01200";
"108";"01115";"CONFRANCON";"1245";;"01";"84";"CONFRANCON";"CONFRANCON";"01310";
"109";"01116";"CONTREVOZ";"528";;"01";"84";"CONTREVOZ";"CONTREVOZ";"01300";
"110";"01117";"CONZIEU";"145";;"01";"84";"CONZIEU";"CONZIEU";"01300";
"111";"01118";"CORBONOD";"1203";;"01";"84";"CORBONOD";"CORBONOD";"01420";
"112";"01121";"CORLIER";"119";;"01";"84";"CORLIER";"CORLIER";"01110";
"113";"01122";"CORMARANCHE-EN-BUGEY";"815";;"01";"84";"CORMARANCHE EN BUGEY";"CORMARANCHE EN BUGEY";"01110";
"114";"01123";"CORMORANCHE-SUR-SAONE";"1081";;"01";"84";"CORMORANCHE SUR SAONE";"CORMORANCHE SUR SAONE";"01290";
"115";"01124";"CORMOZ";"670";;"01";"84";"CORMOZ";"CORMOZ";"01560";
"116";"01125";"CORVEISSIAT";"614";;"01";"84";"CORVEISSIAT";"CORVEISSIAT";"01250";
"117";"01127";"COURMANGOUX";"507";;"01";"84";"COURMANGOUX";"COURMANGOUX";"01370";
"118";"01128";"COURTES";"272";;"01";"84";"COURTES";"COURTES";"01560";
"119";"01129";"CRANS";"263";;"01";"84";"CRANS";"CRANS";"01320";
"120";"01130";"CRAS-SUR-REYSSOUZE";"1368";;"01";"84";"CRAS SUR REYSSOUZE";"CRAS SUR REYSSOUZE";"01340";
"121";"01133";"CRESSIN-ROCHEFORT";"375";;"01";"84";"CRESSIN ROCHEFORT";"CRESSIN ROCHEFORT";"01350";
"122";"01134";"CROTTET";"1716";;"01";"84";"CROTTET";"CROTTET";"01750";
"123";"01135";"CROZET";"1964";;"01";"84";"CROZET";"CROZET";"01170";
"124";"01136";"CRUZILLES-LES-MEPILLAT";"829";;"01";"84";"CRUZILLES LES MEPILLAT";"CRUZILLES LES MEPILLAT";"01290";
"125";"01138";"CULOZ";"2940";;"01";"84";"CULOZ";"CULOZ";"01350";
"126";"01139";"CURCIAT-DONGALON";"451";;"01";"84";"CURCIAT DONGALON";"CURCIAT DONGALON";"01560";
"127";"01140";"CURTAFOND";"726";;"01";"84";"CURTAFOND";"CURTAFOND";"01310";
"128";"01141";"CUZIEU";"410";;"01";"84";"CUZIEU";"CUZIEU";"01300";
"129";"01142";"DAGNEUX";"4169";;"01";"84";"DAGNEUX";"DAGNEUX";"01120";
"130";"01143";"DIVONNE-LES-BAINS";"8615";;"01";"84";"DIVONNE LES BAINS";"DIVONNE LES BAINS";"01220";
"131";"01144";"DOMMARTIN";"872";;"01";"84";"DOMMARTIN";"DOMMARTIN";"01380";
"132";"01145";"DOMPIERRE-SUR-VEYLE";"1192";;"01";"84";"DOMPIERRE SUR VEYLE";"DOMPIERRE SUR VEYLE";"01240";
"133";"01146";"DOMPIERRE-SUR-CHALARONNE";"389";;"01";"84";"DOMPIERRE SUR CHALARONNE";"DOMPIERRE SUR CHALARONNE";"01400";
"134";"01147";"DOMSURE";"465";;"01";"84";"DOMSURE";"DOMSURE";"01270";
"135";"01148";"DORTAN";"1871";;"01";"84";"DORTAN";"DORTAN";"01590";
"136";"01149";"DOUVRES";"993";;"01";"84";"DOUVRES";"DOUVRES";"01500";
"137";"01150";"DROM";"214";;"01";"84";"DROM";"DROM";"01250";
"138";"01151";"DRUILLAT";"1153";;"01";"84";"DRUILLAT";"DRUILLAT";"01160";
"139";"01152";"ECHALLON";"770";;"01";"84";"ECHALLON";"ECHALLON";"01130";
"140";"01153";"ECHENEVEX";"1813";;"01";"84";"ECHENEVEX";"ECHENEVEX";"01170";
"141";"01154";"ETREZ";"796";;"01";"84";"ETREZ";"ETREZ";"01340";
"142";"01155";"EVOSGES";"144";;"01";"84";"EVOSGES";"EVOSGES";"01230";
"143";"01156";"FARAMANS";"742";;"01";"84";"FARAMANS";"FARAMANS";"01800";
"144";"01157";"FAREINS";"2196";;"01";"84";"FAREINS";"FAREINS";"01480";
"145";"01158";"FARGES";"919";;"01";"84";"FARGES";"FARGES";"01550";
"146";"01159";"FEILLENS";"3147";;"01";"84";"FEILLENS";"FEILLENS";"01570";
"147";"01160";"FERNEY-VOLTAIRE";"8844";;"01";"84";"FERNEY VOLTAIRE";"FERNEY VOLTAIRE";"01210";
"148";"01162";"FLAXIEU";"65";;"01";"84";"FLAXIEU";"FLAXIEU";"01350";
"149";"01163";"FOISSIAT";"1980";;"01";"84";"FOISSIAT";"FOISSIAT";"01340";
"150";"01165";"FRANCHELEINS";"1450";;"01";"84";"FRANCHELEINS";"FRANCHELEINS";"01090";
"151";"01166";"FRANS";"1972";;"01";"84";"FRANS";"FRANS";"01480";
"152";"01167";"GARNERANS";"663";;"01";"84";"GARNERANS";"GARNERANS";"01140";
"153";"01169";"GENOUILLEUX";"598";;"01";"84";"GENOUILLEUX";"GENOUILLEUX";"01090";
"154";"01170";"BEARD-GEOVREISSIAT";"974";;"01";"84";"BEARD GEOVREISSIAT";"BEARD GEOVREISSIAT";"01460";
"155";"01171";"GEOVREISSET";"920";;"01";"84";"GEOVREISSET";"GEOVREISSET";"01100";
"156";"01172";"GERMAGNAT";"147";;"01";"84";"GERMAGNAT";"GERMAGNAT";"01250";
"157";"01173";"GEX";"10677";;"01";"84";"GEX";"GEX";"01170";
"158";"01174";"GIRON";"168";;"01";"84";"GIRON";"GIRON";"01130";
"159";"01175";"GORREVOD";"816";;"01";"84";"GORREVOD";"GORREVOD";"01190";
"160";"01177";"GRAND-CORENT";"170";;"01";"84";"GRAND CORENT";"GRAND CORENT";"01250";
"161";"01179";"GRIEGES";"1943";;"01";"84";"GRIEGES";"GRIEGES";"01290";
"162";"01180";"GRILLY";"779";;"01";"84";"GRILLY";"GRILLY";"01220";
"163";"01181";"GROISSIAT";"1164";;"01";"84";"GROISSIAT";"GROISSIAT";"01100";
"164";"01183";"GUEREINS";"1388";;"01";"84";"GUEREINS";"GUEREINS";"01090";
"165";"01184";"HAUTECOURT-ROMANECHE";"796";;"01";"84";"HAUTECOURT ROMANECHE";"HAUTECOURT ROMANECHE";"01250";
"166";"01185";"HAUTEVILLE-LOMPNES";"3921";;"01";"84";"HAUTEVILLE LOMPNES";"HAUTEVILLE LOMPNES";"01110";
"167";"01186";"HOSTIAZ";"85";;"01";"84";"HOSTIAZ";"HOSTIAZ";"01110";
"168";"01187";"HOTONNES";"300";;"01";"84";"HAUT VALROMEY";"HAUT VALROMEY";"01260";
"169";"01188";"ILLIAT";"583";;"01";"84";"ILLIAT";"ILLIAT";"01140";
"170";"01189";"INJOUX-GENISSIAT";"1117";;"01";"84";"INJOUX GENISSIAT";"INJOUX GENISSIAT";"01200";
"171";"01190";"INNIMOND";"117";;"01";"84";"INNIMOND";"INNIMOND";"01680";
"172";"01191";"IZENAVE";"169";;"01";"84";"IZENAVE";"IZENAVE";"01430";
"173";"01192";"IZERNORE";"2309";;"01";"84";"IZERNORE";"IZERNORE";"01580";
"174";"01193";"IZIEU";"211";;"01";"84";"IZIEU";"IZIEU";"01300";
"175";"01194";"JASSANS-RIOTTIER";"6306";;"01";"84";"JASSANS RIOTTIER";"JASSANS RIOTTIER";"01480";
"176";"01195";"JASSERON";"1664";;"01";"84";"JASSERON";"JASSERON";"01250";
"177";"01196";"JAYAT";"1091";;"01";"84";"JAYAT";"JAYAT";"01340";
"178";"01197";"JOURNANS";"341";;"01";"84";"JOURNANS";"JOURNANS";"01250";
"179";"01198";"JOYEUX";"250";;"01";"84";"JOYEUX";"JOYEUX";"01800";
"180";"01199";"JUJURIEUX";"2148";;"01";"84";"JUJURIEUX";"JUJURIEUX";"01640";
"181";"01200";"LABALME";"202";;"01";"84";"LABALME";"LABALME";"01450";
"182";"01202";"LAGNIEU";"6789";;"01";"84";"LAGNIEU";"LAGNIEU";"01150";
"183";"01203";"LAIZ";"1149";;"01";"84";"LAIZ";"LAIZ";"01290";
"184";"01204";"LALLEYRIAT";"255";;"01";"84";"LE POIZAT LALLEYRIAT";"LE POIZAT LALLEYRIAT";"01130";
"185";"01205";"LANCRANS";"1038";;"01";"84";"LANCRANS";"LANCRANS";"01200";
"186";"01206";"LANTENAY";"263";;"01";"84";"LANTENAY";"LANTENAY";"01430";
"187";"01207";"LAPEYROUSE";"297";;"01";"84";"LAPEYROUSE";"LAPEYROUSE";"01330";
"188";"01208";"LAVOURS";"152";;"01";"84";"LAVOURS";"LAVOURS";"01350";
"189";"01209";"LEAZ";"614";;"01";"84";"LEAZ";"LEAZ";"01200";
"190";"01210";"LELEX";"229";;"01";"84";"LELEX";"LELEX";"01410";
"191";"01211";"LENT";"1385";;"01";"84";"LENT";"LENT";"01240";
"192";"01212";"LESCHEROUX";"688";;"01";"84";"LESCHEROUX";"LESCHEROUX";"01560";
"193";"01213";"LEYMENT";"1257";;"01";"84";"LEYMENT";"LEYMENT";"01150";
"194";"01214";"LEYSSARD";"147";;"01";"84";"LEYSSARD";"LEYSSARD";"01450";
"195";"01215";"LHOPITAL";"53";"0103";"01";"84";"LHOPITAL";"LHOPITAL";"01420";
"196";"01216";"LHUIS";"873";;"01";"84";"LHUIS";"LHUIS";"01680";
"197";"01218";"LOCHIEU";"96";;"01";"84";"LOCHIEU";"LOCHIEU";"01260";
"198";"01219";"LOMPNAS";"154";;"01";"84";"LOMPNAS";"LOMPNAS";"01680";
"199";"01221";"LOMPNIEU";"122";;"01";"84";"LOMPNIEU";"LOMPNIEU";"01260";
"200";"01224";"LOYETTES";"3004";;"01";"84";"LOYETTES";"LOYETTES";"01360";
"201";"01225";"LURCY";"394";;"01";"84";"LURCY";"LURCY";"01090";
"202";"01227";"MAGNIEU";"428";;"01";"84";"MAGNIEU";"MAGNIEU";"01300";
"203";"01228";"MAILLAT";"657";;"01";"84";"MAILLAT";"MAILLAT";"01430";
"204";"01229";"MALAFRETAZ";"1076";;"01";"84";"MALAFRETAZ";"MALAFRETAZ";"01340";
"205";"01230";"MANTENAY-MONTLIN";"302";;"01";"84";"MANTENAY MONTLIN";"MANTENAY MONTLIN";"01560";
"206";"01231";"MANZIAT";"1940";;"01";"84";"MANZIAT";"MANZIAT";"01570";
"207";"01232";"MARBOZ";"2208";;"01";"84";"MARBOZ";"MARBOZ";"01851";
"208";"01233";"MARCHAMP";"129";;"01";"84";"MARCHAMP";"MARCHAMP";"01680";
"209";"01234";"MARIGNIEU";"156";;"01";"84";"MARIGNIEU";"MARIGNIEU";"01300";
"210";"01235";"MARLIEUX";"960";;"01";"84";"MARLIEUX";"MARLIEUX";"01240";
"211";"01236";"MARSONNAS";"1009";;"01";"84";"MARSONNAS";"MARSONNAS";"01340";
"212";"01237";"MARTIGNAT";"1585";;"01";"84";"MARTIGNAT";"MARTIGNAT";"01100";
"213";"01238";"MASSIEUX";"2420";;"01";"84";"MASSIEUX";"MASSIEUX";"01600";
"214";"01239";"MASSIGNIEU-DE-RIVES";"628";;"01";"84";"MASSIGNIEU DE RIVES";"MASSIGNIEU DE RIVES";"01300";
"215";"01240";"MATAFELON-GRANGES";"652";;"01";"84";"MATAFELON GRANGES";"MATAFELON GRANGES";"01580";
"216";"01241";"MEILLONNAS";"1295";;"01";"84";"MEILLONNAS";"MEILLONNAS";"01370";
"217";"01242";"MERIGNAT";"130";;"01";"84";"MERIGNAT";"MERIGNAT";"01450";
"218";"01243";"MESSIMY-SUR-SAONE";"1213";;"01";"84";"MESSIMY SUR SAONE";"MESSIMY SUR SAONE";"01480";
"219";"01244";"MEXIMIEUX";"7304";;"01";"84";"MEXIMIEUX";"MEXIMIEUX";"01800";
"220";"01245";"BOHAS-MEYRIAT-RIGNAT";"853";;"01";"84";"BOHAS MEYRIAT RIGNAT";"BOHAS MEYRIAT RIGNAT";"01250";
"221";"01246";"MEZERIAT";"2111";;"01";"84";"MEZERIAT";"MEZERIAT";"01660";
"222";"01247";"MIJOUX";"374";;"01";"84";"MIJOUX";"MIJOUX";"01410";
"223";"01248";"MIONNAY";"2115";;"01";"84";"MIONNAY";"MIONNAY";"01390";
"224";"01249";"MIRIBEL";"9128";;"01";"84";"MIRIBEL";"MIRIBEL";"01700";
"225";"01250";"MISERIEUX";"1785";;"01";"84";"MISERIEUX";"MISERIEUX";"01600";
"226";"01252";"MOGNENEINS";"751";;"01";"84";"MOGNENEINS";"MOGNENEINS";"01140";
"227";"01254";"MONTAGNAT";"1748";;"01";"84";"MONTAGNAT";"MONTAGNAT";"01250";
"228";"01255";"MONTAGNIEU";"537";;"01";"84";"MONTAGNIEU";"MONTAGNIEU";"01470";
"229";"01257";"MONTANGES";"333";;"01";"84";"MONTANGES";"MONTANGES";"01200";
"230";"01258";"MONTCEAUX";"1222";;"01";"84";"MONTCEAUX";"MONTCEAUX";"01090";
"231";"01259";"MONTCET";"655";;"01";"84";"MONTCET";"MONTCET";"01310";
"232";"01260";"LE MONTELLIER";"241";;"01";"84";"LE MONTELLIER";"LE MONTELLIER";"01800";
"233";"01261";"MONTHIEUX";"646";;"01";"84";"MONTHIEUX";"MONTHIEUX";"01390";
"234";"01262";"MONTLUEL";"7112";;"01";"84";"MONTLUEL";"MONTLUEL";"01120";
"235";"01263";"MONTMERLE-SUR-SAONE";"3847";;"01";"84";"MONTMERLE SUR SAONE";"MONTMERLE SUR SAONE";"01090";
"236";"01264";"MONTRACOL";"984";;"01";"84";"MONTRACOL";"MONTRACOL";"01310";
"237";"01265";"MONTREAL-LA-CLUSE";"3424";;"01";"84";"MONTREAL LA CLUSE";"MONTREAL LA CLUSE";"01460";
"238";"01266";"MONTREVEL-EN-BRESSE";"2415";;"01";"84";"MONTREVEL EN BRESSE";"MONTREVEL EN BRESSE";"01340";
"239";"01267";"NURIEUX-VOLOGNAT";"1037";;"01";"84";"NURIEUX VOLOGNAT";"NURIEUX VOLOGNAT";"01460";
"240";"01268";"MURS-ET-GELIGNIEUX";"248";;"01";"84";"MURS ET GELIGNIEUX";"MURS ET GELIGNIEUX";"01300";
"241";"01269";"NANTUA";"3588";;"01";"84";"NANTUA";"NANTUA";"01460";
"242";"01272";"NEUVILLE-LES-DAMES";"1490";;"01";"84";"NEUVILLE LES DAMES";"NEUVILLE LES DAMES";"01400";
"243";"01273";"NEUVILLE-SUR-AIN";"1595";;"01";"84";"NEUVILLE SUR AIN";"NEUVILLE SUR AIN";"01160";
"244";"01274";"LES NEYROLLES";"634";;"01";"84";"LES NEYROLLES";"LES NEYROLLES";"01130";
"245";"01275";"NEYRON";"2506";;"01";"84";"NEYRON";"NEYRON";"01700";
"246";"01276";"NIEVROZ";"1502";;"01";"84";"NIEVROZ";"NIEVROZ";"01120";
"247";"01277";"NIVOLLET-MONTGRIFFON";"127";;"01";"84";"NIVOLLET MONTGRIFFON";"NIVOLLET MONTGRIFFON";"01230";
"248";"01279";"ONCIEU";"95";;"01";"84";"ONCIEU";"ONCIEU";"01230";
"249";"01280";"ORDONNAZ";"153";;"01";"84";"ORDONNAZ";"ORDONNAZ";"01510";
"250";"01281";"ORNEX";"4027";;"01";"84";"ORNEX";"ORNEX";"01210";
"251";"01282";"OUTRIAZ";"254";;"01";"84";"OUTRIAZ";"OUTRIAZ";"01430";
"252";"01283";"OYONNAX";"22436";;"01";"84";"OYONNAX";"OYONNAX";"01100";
"253";"01284";"OZAN";"643";;"01";"84";"OZAN";"OZAN";"01190";
"254";"01285";"PARCIEUX";"1124";;"01";"84";"PARCIEUX";"PARCIEUX";"01600";
"255";"01286";"PARVES";"369";;"01";"84";"PARVES ET NATTAGES";"PARVES ET NATTAGES";"01300";
"256";"01288";"PERON";"2324";"0120";"01";"84";"PERON";"PERON";"01630";
"257";"01289";"PERONNAS";"6095";;"01";"84";"PERONNAS";"PERONNAS";"01960";
"258";"01290";"PEROUGES";"1209";;"01";"84";"PEROUGES";"PEROUGES";"01800";
"259";"01291";"PERREX";"795";;"01";"84";"PERREX";"PERREX";"01540";
"260";"01293";"PEYRIAT";"174";;"01";"84";"PEYRIAT";"PEYRIAT";"01430";
"261";"01294";"PEYRIEU";"831";;"01";"84";"PEYRIEU";"PEYRIEU";"01300";
