"fileName";"filePath";"fileType";"size";"sizeText";"description"
"import-config-location.xml";"import-config-location.xml";"text/xml";420;"420 Bytes";"Configuration file to import Locations based on import-data-location.csv datasource."
"import-data-location.csv";"import-data-location.csv";"text/csv";126;"126 Bytes";"File containing the location data to import using the import-config-location.xml config file as import settings."
"import-config-machine.xml";"import-config-machine.xml";"text/xml";385;"385 Bytes";"Configuration file to import Machines based on import-data-machine.csv datasource."
"import-data-machine.csv";"import-data-machine.csv";"text/csv";82;"82 Bytes";"File containing the machine data to import using the import-config-machine.xml config file as import settings."
"import-config-stock-rules.xml";"import-config-stock-rules.xml";"text/xml";396;"396 Bytes";"Configuration file to import StockRules based on import-data-stock-rules.csv datasource."
"import-data-stock-rules.csv";"import-data-stock-rules.csv";"text/csv";100;"100 Bytes";"File containing the StockRule data to import using the import-config-stock-rules.xml config file as import settings."
"import-config-opportunity.xml";"import-config-opportunity.xml";"text/xml";704;"704 Bytes";"Configuration file to import Opportunities based on import-data-opportunity.csv datasource."
"import-data-opportunity.csv";"import-data-opportunity.csv";"text/csv";245;"245 Bytes";"File containing the Opportunity data to import using the import-config-opportunity.xml config file as import settings."
"import-config-partner.xml";"import-config-partner.xml";"text/xml";860;"860 Bytes";"Configuration file to import partners based on import-data-partner.csv datasource."
"import-data-partner.csv";"import-data-partner.csv";"text/csv";602;"602 Bytes";"File containing the partner data to import using the import-config-partner.xml config file as import settings."
"import-config-payment-condition.xml";"import-config-payment-condition.xml";"text/xml";437;"437 Bytes";"Configuration file to import PaymentConditions based on import-data-payment-condition.csv datasource."
"import-data-payment-condition.csv";"import-data-payment-condition.csv";"text/csv";73;"73 Bytes";"File containing the PaymentCondition data to import using the import-config-payment-condition.xml config file as import settings."
"import-config-payment-mode.xml";"import-config-payment-mode.xml";"text/xml";429;"429 Bytes";"Configuration file to import PaymentModes based on import-data-payment-mode.csv datasource."
"import-data-payment-mode.csv";"import-data-payment-mode.csv";"text/csv";90;"90 Bytes";"File containing the PaymentMode data to import using the import-config-payment-mode.xml config file as import settings."
"import-config-permission.xml";"import-config-permission.xml";"text/xml";407;"407 Bytes";"Configuration file to import Permissions based on import-data-permission.csv datasource."
"import-data-permission.csv";"import-data-permission.csv";"text/csv";85;"85 Bytes";"File containing the Permission data to import using the import-config-payment-mode.xml config file as import settings."
"import-config-product.xml";"import-config-product.xml";"text/xml";654;"654 Bytes";"Configuration file to import Products based on import-data-product.csv datasource."
"import-data-product.csv";"import-data-product.csv";"text/csv";498;"498 Bytes";"File containing the Product data to import using the import-config-product.xml config file as import settings."
"import-config-project.xml";"import-config-project.xml";"text/xml";784;"784 Bytes";"Configuration file to import Projects based on import-data-project.csv datasource."
"import-data-project.csv";"import-data-project.csv";"text/csv";736;"736 Bytes";"File containing the Project data to import using the import-config-project.xml config file as import settings."
"import-config-role.xml";"import-config-role.xml";"text/xml";539;"539 Bytes";"Configuration file to import Roles based on import-data-role.csv datasource."
"import-data-role.csv";"import-data-role.csv";"text/csv";40;"40 Bytes";"File containing the Role data to import using the import-config-role.xml config file as import settings."
"import-config-sequence.xml";"import-config-sequence.xml";"text/xml";787;"787 Bytes";"Configuration file to import Sequences based on import-data-sequence.csv datasource."
"import-data-sequence.csv";"import-data-sequence.csv";"text/csv";101;"101 Bytes";"File containing the Sequence data to import using the import-config-sequence.xml config file as import settings."
"import-config-supplier-catalog.xml";"import-config-supplier-catalog.xml";"text/xml";396;"396 Bytes";"Configuration file to import SupplierCatalogs based on import-data-supplier-catalog.csv datasource."
"import-data-supplier-catalog.csv";"import-data-supplier-catalog.csv";"text/csv";134;"134 Bytes";"File containing the SupplierCatalog data to import using the import-config-supplier-catalog.xml config file as import settings."
"import-config-task.xml";"import-config-task.xml";"text/xml";657;"657 Bytes";"Configuration file to import Tasks based on import-data-task.csv datasource."
"import-data-task.csv";"import-data-task.csv";"text/csv";317;"317 Bytes";"File containing the Task data to import using the import-config-task.xml config file as import settings."
"import-config-team.xml";"import-config-team.xml";"text/xml";411;"411 Bytes";"Configuration file to import Teams based on import-data-team.csv datasource."
"import-data-team.csv";"import-data-team.csv";"text/csv";25;"25 Bytes";"File containing the Team data to import using the import-config-team.xml config file as import settings."
"import-config-unit.xml";"import-config-unit.xml";"text/xml";411;"411 Bytes";"Configuration file to import Units based on import-data-unit.csv datasource."
"import-data-unit.csv";"import-data-unit.csv";"text/csv";25;"25 Bytes";"File containing the Unit data to import using the import-config-unit.xml config file as import settings."
"import-config-unit-conversion.xml";"import-config-unit-conversion.xml";"text/xml";429;"429 Bytes";"Configuration file to import UnitConversions based on import-data-unit-conversion.csv datasource."
"import-data-unit-conversion.csv";"import-data-unit-conversion.csv";"text/csv";58;"58 Bytes";"File containing the UnitConversion data to import using the import-config-unit-conversion.xml config file as import settings."
"import-config-user.xml";"import-config-user.xml";"text/xml";397;"397 Bytes";"Configuration file to import Users based on import-data-user.csv datasource."
"import-data-user.csv";"import-data-user.csv";"text/csv";212;"212 Bytes";"File containing the User data to import using the import-config-user.xml config file as import settings."
