"code";"shortName";"isFinal"
"0910Z";"Activités de soutien à l'extraction d'hydrocarbures";"true"
"0990Z";"Activités de soutien aux autres industries extractives ";"true"
"1011Z";"Transformation et conservation de la viande de boucherie";"true"
"1012Z";"Transformation et conservation de la viande de volaille";"true"
"1013A";"Préparation industrielle de produits à base de viande";"true"
"1013B";"Charcuterie";"true"
"1020Z";"Transformation et conservation de poisson, de crustacés et de mollusques";"true"
"1031Z";"Transformation et conservation de pommes de terre";"true"
"1032Z";"Préparation de jus de fruits et légumes";"true"
"1039A";"Autre transformation et conservation de légumes";"true"
"1039B";"Transformation et conservation de fruits";"true"
"1041A";"Fabrication d'huiles et graisses brutes";"true"
"1041B";"Fabrication d'huiles et graisses raffinées";"true"
"1042Z";"Fabrication de margarine et graisses comestibles similaires";"true"
"1051A";"Fabrication de lait liquide et de produits frais";"true"
"1051B";"Fabrication de beurre";"true"
"1051C";"Fabrication de fromage";"true"
"1051D";"Fabrication d'autres produits laitiers";"true"
"1052Z";"Fabrication de glaces et sorbets";"true"
"1061A";"Meunerie";"true"
"1061B";"Autres activités du travail des grains";"true"
"1062Z";"Fabrication de produits amylacés";"true"
"1071A";"Fabrication industrielle de pain et de pâtisserie fraîche";"true"
"1071B";"Cuisson de produits de boulangerie";"true"
"1071C";"Boulangerie et boulangerie-pâtisserie";"true"
"1071D";"Pâtisserie";"true"
"1072Z";"Fabrication de biscuits, biscottes et pâtisseries de conservation";"true"
"1073Z";"Fabrication de pâtes alimentaires";"true"
"1081Z";"Fabrication de sucre";"true"
"1082Z";"Fabrication de cacao, chocolat et de produits de confiserie";"true"
"1083Z";"Transformation du thé et du café";"true"
"1084Z";"Fabrication de condiments et assaisonnements";"true"
"1085Z";"Fabrication de plats préparés";"true"
"1086Z";"Fabrication d'aliments homogénéisés et diététiques";"true"
"1089Z";"Fabrication d'autres produits alimentaires n.c.a.";"true"
"1091Z";"Fabrication d'aliments pour animaux de ferme";"true"
"1092Z";"Fabrication d'aliments pour animaux de compagnie";"true"
"1101Z";"Production de boissons alcooliques distillées";"true"
"1102A";"Fabrication de vins effervescents";"true"
"1102B";"Vinification";"true"
"1103Z";"Fabrication de cidre et de vins de fruits ";"true"
"1104Z";"Production d'autres boissons fermentées non distillées";"true"
"1105Z";"Fabrication de bière";"true"
"1106Z";"Fabrication de malt";"true"
"1107A";"Industrie des eaux de table";"true"
"1107B";"Production de boissons rafraîchissantes";"true"
"1200Z";"Fabrication de produits à base de tabac";"true"
"1310Z";"Préparation de fibres textiles et filature";"true"
"1320Z";"Tissage";"true"
"1330Z";"Ennoblissement textile";"true"
"1391Z";"Fabrication d'étoffes à mailles";"true"
"1392Z";"Fabrication d'articles textiles, sauf habillement";"true"
"1393Z";"Fabrication de tapis et moquettes";"true"
"1394Z";"Fabrication de ficelles, cordes et filets";"true"
"1395Z";"Fabrication de non-tissés, sauf habillement";"true"
"1396Z";"Fabrication d'autres textiles techniques et industriels";"true"
"1399Z";"Fabrication d'autres textiles n.c.a.";"true"
"1411Z";"Fabrication de vêtements en cuir";"true"
"1412Z";"Fabrication de vêtements de travail";"true"
"1413Z";"Fabrication de vêtements de dessus";"true"
"1414Z";"Fabrication de vêtements de dessous";"true"
"1419Z";"Fabrication d'autres vêtements et accessoires";"true"
"1420Z";"Fabrication d'articles en fourrure";"true"
"1431Z";"Fabrication d'articles chaussants à mailles";"true"
"1439Z";"Fabrication d'autres articles à mailles";"true"
"1511Z";"Apprêt et tannage des cuirs ; préparation et teinture des fourrures";"true"
"1512Z";"Fabrication d'articles de voyage, de maroquinerie et de sellerie";"true"
"1520Z";"Fabrication de chaussures";"true"
"1610A";"Sciage et rabotage du bois, hors imprégnation";"true"
"1610B";"Imprégnation du bois";"true"
"1621Z";"Fabrication de placage et de panneaux de bois";"true"
"1622Z";"Fabrication de parquets assemblés";"true"
"1623Z";"Fabrication de charpentes et d'autres menuiseries";"true"
"1624Z";"Fabrication d'emballages en bois";"true"
"1629Z";"Fabrication d'objets divers en bois ; fabrication d'objets en liège, vannerie et sparterie";"true"
"1711Z";"Fabrication de pâte à papier";"true"
"1712Z";"Fabrication de papier et de carton";"true"
"1721A";"Fabrication de carton ondulé";"true"
"1721B";"Fabrication de cartonnages ";"true"
"1721C";"Fabrication d'emballages en papier";"true"
"1722Z";"Fabrication d'articles en papier à usage sanitaire ou domestique";"true"
"1723Z";"Fabrication d'articles de papeterie";"true"
"1724Z";"Fabrication de papiers peints";"true"
"1729Z";"Fabrication d'autres articles en papier ou en carton";"true"
"1811Z";"Imprimerie de journaux";"true"
"1812Z";"Autre imprimerie (labeur)";"true"
"1813Z";"Activités de pré-presse ";"true"
"1814Z";"Reliure et activités connexes";"true"
"1820Z";"Reproduction d'enregistrements";"true"
"1910Z";"Cokéfaction";"true"
"1920Z";"Raffinage du pétrole";"true"
"2011Z";"Fabrication de gaz industriels";"true"
"2012Z";"Fabrication de colorants et de pigments";"true"
"2013A";"Enrichissement et  retraitement de matières nucléaires";"true"
"2013B";"Fabrication d'autres produits chimiques inorganiques de base n.c.a.";"true"
"2014Z";"Fabrication d'autres produits chimiques organiques de base";"true"
"2015Z";"Fabrication de produits azotés et d'engrais";"true"
"2016Z";"Fabrication de matières plastiques de base";"true"
"2017Z";"Fabrication de caoutchouc synthétique";"true"
"2020Z";"Fabrication de pesticides et d’autres produits agrochimiques";"true"
"2030Z";"Fabrication de peintures, vernis, encres et mastics";"true"
"2041Z";"Fabrication de savons, détergents et produits d'entretien";"true"
"2042Z";"Fabrication de parfums et de produits pour la toilette";"true"
"2051Z";"Fabrication de produits explosifs";"true"
"2052Z";"Fabrication de colles";"true"
"2053Z";"Fabrication d'huiles essentielles";"true"
"2059Z";"Fabrication d'autres produits chimiques n.c.a.";"true"
"2060Z";"Fabrication de fibres artificielles ou synthétiques";"true"
"2110Z";"Fabrication de produits pharmaceutiques de base";"true"
"2120Z";"Fabrication de préparations pharmaceutiques";"true"
"2211Z";"Fabrication et rechapage de pneumatiques";"true"
"2219Z";"Fabrication d'autres articles en caoutchouc";"true"
"2221Z";"Fabrication de plaques, feuilles, tubes et profilés en matières plastiques";"true"
"2222Z";"Fabrication d'emballages en matières plastiques";"true"
"2223Z";"Fabrication d'éléments en matières plastiques pour la construction";"true"
"2229A";"Fabrication de pièces techniques à base de matières plastiques";"true"
"2229B";"Fabrication de produits de consommation courante en matières plastiques";"true"
"2311Z";"Fabrication de verre plat";"true"
"2312Z";"Façonnage et transformation du verre plat";"true"
"2313Z";"Fabrication de verre creux";"true"
"2314Z";"Fabrication de fibres de verre";"true"
"2319Z";"Fabrication et façonnage d'autres articles en verre, y compris verre technique";"true"
"2320Z";"Fabrication de produits réfractaires";"true"
"2331Z";"Fabrication de carreaux en céramique";"true"
"2332Z";"Fabrication de briques, tuiles et produits de construction, en terre cuite";"true"
"2341Z";"Fabrication d'articles céramiques à usage domestique ou ornemental";"true"
"2342Z";"Fabrication d'appareils sanitaires en céramique";"true"
"2343Z";"Fabrication d'isolateurs et pièces isolantes en céramique";"true"
"2344Z";"Fabrication d'autres produits céramiques à usage technique";"true"
"2349Z";"Fabrication d'autres produits céramiques";"true"
"2351Z";"Fabrication de ciment";"true"
"2352Z";"Fabrication de chaux et plâtre";"true"
"2361Z";"Fabrication d'éléments en béton pour la construction";"true"
"2362Z";"Fabrication d'éléments en plâtre pour la construction";"true"
"2363Z";"Fabrication de béton prêt à l'emploi";"true"
"2364Z";"Fabrication de mortiers et bétons secs";"true"
"2365Z";"Fabrication d'ouvrages en fibre-ciment";"true"
"2369Z";"Fabrication d'autres ouvrages en béton, en ciment ou en plâtre";"true"
"2370Z";"Taille, façonnage et finissage de pierres";"true"
"2391Z";"Fabrication de produits abrasifs";"true"
"2399Z";"Fabrication d'autres produits minéraux non métalliques n.c.a.";"true"
"2410Z";"Sidérurgie";"true"
"2420Z";"Fabrication de tubes, tuyaux, profilés creux et accessoires correspondants en acier ";"true"
"2431Z";"Étirage à froid de barres";"true"
"2432Z";"Laminage à froid de feuillards";"true"
"2433Z";"Profilage à froid par formage ou pliage";"true"
"2434Z";"Tréfilage à froid";"true"
"2441Z";"Production de métaux précieux";"true"
"2442Z";"Métallurgie de l'aluminium";"true"
"2443Z";"Métallurgie du plomb, du zinc ou de l'étain";"true"
"2444Z";"Métallurgie du cuivre";"true"
"2445Z";"Métallurgie des autres métaux non ferreux";"true"
"2446Z";"Élaboration et transformation de matières nucléaires";"true"
"2451Z";"Fonderie de fonte";"true"
"2452Z";"Fonderie d'acier";"true"
"2453Z";"Fonderie de métaux légers";"true"
"2454Z";"Fonderie d'autres métaux non ferreux";"true"
"2511Z";"Fabrication de structures métalliques et de parties de structures";"true"
"2512Z";"Fabrication de portes et fenêtres en métal";"true"
"2521Z";"Fabrication de radiateurs et de chaudières pour le chauffage central";"true"
"2529Z";"Fabrication d'autres réservoirs, citernes et conteneurs métalliques";"true"
"2530Z";"Fabrication de générateurs de vapeur, à l'exception des chaudières pour le chauffage central";"true"
"2540Z";"Fabrication d'armes et de munitions";"true"
"2550A";"Forge, estampage, matriçage ; métallurgie des poudres";"true"
"2550B";"Découpage, emboutissage";"true"
"2561Z";"Traitement et revêtement des métaux";"true"
"2562A";"Décolletage";"true"
"2562B";"Mécanique industrielle";"true"
"2571Z";"Fabrication de coutellerie";"true"
"2572Z";"Fabrication de serrures et de ferrures";"true"
"2573A";"Fabrication de moules et modèles";"true"
"2573B";"Fabrication d'autres outillages";"true"
"2591Z";"Fabrication de fûts et emballages métalliques similaires";"true"
"2592Z";"Fabrication d'emballages métalliques légers";"true"
"2593Z";"Fabrication d'articles en fils métalliques, de chaînes et de ressorts";"true"
"2594Z";"Fabrication de vis et de boulons";"true"
"2599A";"Fabrication d'articles métalliques ménagers";"true"
"2599B";"Fabrication d'autres articles métalliques";"true"
"2611Z";"Fabrication de composants électroniques";"true"
"2612Z";"Fabrication de cartes électroniques assemblées";"true"
"2620Z";"Fabrication d'ordinateurs et d'équipements périphériques";"true"
"2630Z";"Fabrication d'équipements de communication ";"true"
"2640Z";"Fabrication de produits électroniques grand public";"true"
"2651A";"Fabrication d'équipements d'aide à la navigation";"true"
"2651B";"Fabrication d'instrumentation scientifique et technique";"true"
"2652Z";"Horlogerie";"true"
"2660Z";"Fabrication d'équipements d'irradiation médicale, d'équipements électromédicaux et électrothérapeutiques ";"true"
"2670Z";"Fabrication de matériels optique et photographique";"true"
"2680Z";"Fabrication de supports magnétiques et optiques";"true"
"2711Z";"Fabrication de moteurs, génératrices et transformateurs électriques";"true"
"2712Z";"Fabrication de matériel de distribution et de commande électrique";"true"
"2720Z";"Fabrication de piles et d'accumulateurs électriques";"true"
"2731Z";"Fabrication de câbles de fibres optiques";"true"
"2732Z";"Fabrication d'autres fils et câbles électroniques ou électriques";"true"
"2733Z";"Fabrication de matériel d'installation électrique";"true"
"2740Z";"Fabrication d'appareils d'éclairage électrique";"true"
"2751Z";"Fabrication d'appareils électroménagers";"true"
"2752Z";"Fabrication d'appareils ménagers non électriques";"true"
"2790Z";"Fabrication d'autres matériels électriques";"true"
"2811Z";"Fabrication de moteurs et turbines, à l'exception des moteurs d’avions et de véhicules";"true"
"2812Z";"Fabrication d'équipements hydrauliques et pneumatiques";"true"
"2813Z";"Fabrication d'autres pompes et compresseurs";"true"
"2814Z";"Fabrication d'autres articles de robinetterie";"true"
"2815Z";"Fabrication d'engrenages et d'organes mécaniques de transmission";"true"
"2821Z";"Fabrication de fours et brûleurs";"true"
"2822Z";"Fabrication de matériel de levage et de manutention";"true"
"2823Z";"Fabrication de machines et d'équipements de bureau (à l'exception des ordinateurs et équipements périphériques)";"true"
"2824Z";"Fabrication d'outillage portatif à moteur incorporé";"true"
"2825Z";"Fabrication d'équipements aérauliques et frigorifiques industriels";"true"
"2829A";"Fabrication d'équipements d'emballage, de conditionnement et de pesage ";"true"
"2829B";"Fabrication d'autres machines d'usage général";"true"
"2830Z";"Fabrication de machines agricoles et forestières";"true"
"2841Z";"Fabrication de machines-outils pour le travail des métaux";"true"
"2849Z";"Fabrication d'autres machines-outils ";"true"
"2891Z";"Fabrication de machines pour la métallurgie";"true"
"2892Z";"Fabrication de machines pour l'extraction ou la construction";"true"
"2893Z";"Fabrication de machines pour l'industrie agro-alimentaire";"true"
"2894Z";"Fabrication de machines pour les industries textiles";"true"
"2895Z";"Fabrication de machines pour les industries du papier et du carton";"true"
"2896Z";"Fabrication de machines pour le travail du caoutchouc ou des plastiques";"true"
"2899A";"Fabrication de machines d'imprimerie";"true"
"2899B";"Fabrication d'autres machines spécialisées";"true"
"2910Z";"Construction de véhicules automobiles";"true"
"2920Z";"Fabrication de carrosseries et remorques";"true"
"2931Z";"Fabrication d'équipements électriques et électroniques automobiles";"true"
"2932Z";"Fabrication d'autres équipements automobiles";"true"
"3011Z";"Construction de navires et de structures flottantes";"true"
"3012Z";"Construction de bateaux de plaisance";"true"
"3020Z";"Construction de locomotives et d'autre matériel ferroviaire roulant ";"true"
"3030Z";"Construction aéronautique et spatiale ";"true"
"3040Z";"Construction de véhicules militaires de combat ";"true"
"3091Z";"Fabrication de motocycles";"true"
"3092Z";"Fabrication de bicyclettes et de véhicules pour invalides";"true"
"3099Z";"Fabrication d’autres équipements de transport n.c.a.";"true"
"3101Z";"Fabrication de meubles de bureau et de magasin";"true"
"3102Z";"Fabrication de meubles de cuisine ";"true"
"3103Z";"Fabrication de matelas";"true"
"3109A";"Fabrication de sièges d'ameublement d'intérieur";"true"
"3109B";"Fabrication d’autres meubles et industries connexes de l’ameublement";"true"
"3211Z";"Frappe de monnaie";"true"
"3212Z";"Fabrication d’articles de joaillerie et bijouterie";"true"
"3213Z";"Fabrication d’articles de bijouterie fantaisie et articles similaires";"true"
"3220Z";"Fabrication d'instruments de musique";"true"
"3230Z";"Fabrication d'articles de sport";"true"
"3240Z";"Fabrication de jeux et jouets";"true"
"3250A";"Fabrication de matériel médico-chirurgical et dentaire";"true"
"3250B";"Fabrication de lunettes";"true"
"3291Z";"Fabrication d’articles de brosserie";"true"
"3299Z";"Autres activités manufacturières n.c.a. ";"true"
"3311Z";"Réparation d'ouvrages en métaux";"true"
"3312Z";"Réparation de machines et équipements mécaniques";"true"
"3313Z";"Réparation de matériels électroniques et optiques";"true"
"3314Z";"Réparation d'équipements électriques";"true"
"3315Z";"Réparation et maintenance navale";"true"
"3316Z";"Réparation et maintenance d'aéronefs et d'engins spatiaux ";"true"
"3317Z";"Réparation et maintenance d'autres équipements de transport";"true"
"3319Z";"Réparation d'autres équipements";"true"
"3320A";"Installation de structures métalliques, chaudronnées et de tuyauterie";"true"
"3320B";"Installation de machines et équipements mécaniques";"true"
"3320C";"Conception d'ensemble et assemblage sur site industriel d'équipements de contrôle des processus industriels ";"true"
"3320D";"Installation d'équipements électriques, de matériels électroniques et optiques ou d'autres matériels";"true"
"3511Z";"Production d'électricité";"true"
"3512Z";"Transport d'électricité";"true"
"3513Z";"Distribution d'électricité";"true"
"3514Z";"Commerce d'électricité";"true"
"3521Z";"Production de combustibles gazeux";"true"
"3522Z";"Distribution de combustibles gazeux par conduites";"true"
"3523Z";"Commerce de combustibles gazeux par conduites";"true"
"3530Z";"Production et distribution de vapeur et d'air conditionné ";"true"
"3600Z";"Captage, traitement et distribution d'eau";"true"
"3700Z";"Collecte et traitement des eaux usées";"true"
"3811Z";"Collecte des déchets non dangereux";"true"
"3812Z";"Collecte des déchets dangereux";"true"
"3821Z";"Traitement et élimination des déchets non dangereux";"true"
"3822Z";"Traitement et élimination des déchets dangereux";"true"
"3831Z";"Démantèlement d'épaves";"true"
"3832Z";"Récupération de déchets triés";"true"
"3900Z";"Dépollution et autres services de gestion des déchets";"true"
"4110A";"Promotion immobilière de logements";"true"
"4110B";"Promotion immobilière de bureaux";"true"
"4110C";"Promotion immobilière d'autres bâtiments";"true"
"4110D";"Supports juridiques de programmes";"true"
"4120A";"Construction de maisons individuelles";"true"
"4120B";"Construction d'autres bâtiments";"true"
"4211Z";"Construction de routes et autoroutes";"true"
"4212Z";"Construction de voies ferrées de surface et souterraines";"true"
"4213A";"Construction d'ouvrages d'art";"true"
"4213B";"Construction et entretien de tunnels";"true"
"4221Z";"Construction de réseaux pour fluides";"true"
"4222Z";"Construction de réseaux électriques et de télécommunications";"true"
"4291Z";"Construction d'ouvrages maritimes et fluviaux";"true"
"4299Z";"Construction d'autres ouvrages de génie civil n.c.a.";"true"
"4311Z";"Travaux de démolition";"true"
"4312A";"Travaux de terrassement courants et travaux préparatoires";"true"
"4312B";"Travaux de terrassement spécialisés ou de grande masse";"true"
"4313Z";"Forages et sondages";"true"
"4321A";"Travaux d'installation électrique dans tous locaux";"true"
"4321B";"Travaux d'installation électrique sur la voie publique";"true"
"4322A";"Travaux d'installation d'eau et de gaz en tous locaux";"true"
"4322B";"Travaux d'installation d'équipements thermiques et de climatisation";"true"
"4329A";"Travaux d'isolation";"true"
"4329B";"Autres travaux d'installation n.c.a.";"true"
"4331Z";"Travaux de plâtrerie";"true"
"4332A";"Travaux de menuiserie bois et PVC";"true"
"4332B";"Travaux de menuiserie métallique et serrurerie";"true"
"4332C";"Agencement de lieux de vente";"true"
"4333Z";"Travaux de revêtement des sols et des murs";"true"
"4334Z";"Travaux de peinture et vitrerie";"true"
"4339Z";"Autres travaux de finition";"true"
"4391A";"Travaux de charpente";"true"
"4391B";"Travaux de couverture par éléments";"true"
"4399A";"Travaux d'étanchéification";"true"
"4399B";"Travaux de montage de structures métalliques";"true"
"4399C";"Travaux de maçonnerie générale et gros œuvre de bâtiment";"true"
"4399D";"Autres travaux spécialisés de construction";"true"
"4399E";"Location avec opérateur de matériel de construction";"true"
"4511Z";"Commerce de voitures et de véhicules automobiles légers";"true"
"4519Z";"Commerce d'autres véhicules automobiles";"true"
"4520A";"Entretien et réparation de véhicules automobiles légers";"true"
"4520B";"Entretien et réparation d'autres véhicules automobiles";"true"
"4531Z";"Commerce de gros d'équipements automobiles";"true"
"4532Z";"Commerce de détail d'équipements automobiles";"true"
"4540Z";"Commerce et réparation de motocycles";"true"
"4611Z";"Intermédiaires du commerce en matières premières agricoles, animaux vivants, matières premières textiles et produits semi-finis";"true"
"4612A";"Centrales d'achat de carburant";"true"
"4612B";"Autres intermédiaires du commerce en combustibles, métaux, minéraux et produits chimiques";"true"
"4613Z";"Intermédiaires du commerce en bois et matériaux de construction";"true"
"4614Z";"Intermédiaires du commerce en machines, équipements industriels, navires et avions";"true"
"4615Z";"Intermédiaires du commerce en meubles, articles de ménage et quincaillerie";"true"
"4616Z";"Intermédiaires du commerce en textiles, habillement, fourrures, chaussures et articles en cuir";"true"
"4617A";"Centrales d'achat alimentaires";"true"
"4617B";"Autres intermédiaires du commerce en denrées, boissons et tabac";"true"
"4618Z";"Intermédiaires spécialisés dans le commerce d'autres produits spécifiques";"true"
"4619A";"Centrales d'achat non alimentaires";"true"
"4619B";"Autres intermédiaires du commerce en produits divers";"true"
"4621Z";"Commerce de gros (commerce interentreprises) de céréales, de tabac non manufacturé, de semences et d'aliments pour le bétail ";"true"
"4622Z";"Commerce de gros (commerce interentreprises) de fleurs et plantes";"true"
"4623Z";"Commerce de gros (commerce interentreprises) d'animaux vivants";"true"
"4624Z";"Commerce de gros (commerce interentreprises) de cuirs et peaux";"true"
"4631Z";"Commerce de gros (commerce interentreprises) de fruits et légumes";"true"
"4632A";"Commerce de gros (commerce interentreprises) de viandes de boucherie";"true"
"4632B";"Commerce de gros (commerce interentreprises) de produits à base de viande";"true"
"4632C";"Commerce de gros (commerce interentreprises) de volailles et gibier";"true"
"4633Z";"Commerce de gros (commerce interentreprises) de produits laitiers, œufs, huiles et matières grasses comestibles";"true"
"4634Z";"Commerce de gros (commerce interentreprises) de boissons";"true"
"4635Z";"Commerce de gros (commerce interentreprises) de produits à base de tabac";"true"
"4636Z";"Commerce de gros (commerce interentreprises) de sucre, chocolat et confiserie";"true"
"4637Z";"Commerce de gros (commerce interentreprises) de café, thé, cacao et épices";"true"
"4638A";"Commerce de gros (commerce interentreprises) de poissons, crustacés et mollusques";"true"
"4638B";"Commerce de gros (commerce interentreprises) alimentaire spécialisé divers";"true"
"4639A";"Commerce de gros (commerce interentreprises) de produits surgelés";"true"
"4639B";"Commerce de gros (commerce interentreprises) alimentaire non spécialisé";"true"
"4641Z";"Commerce de gros (commerce interentreprises) de textiles";"true"
"4642Z";"Commerce de gros (commerce interentreprises) d'habillement et de chaussures";"true"
"4643Z";"Commerce de gros (commerce interentreprises) d'appareils électroménagers";"true"
"4644Z";"Commerce de gros (commerce interentreprises) de vaisselle, verrerie et produits d'entretien";"true"
"4645Z";"Commerce de gros (commerce interentreprises) de parfumerie et de produits de beauté";"true"
"4646Z";"Commerce de gros (commerce interentreprises) de produits pharmaceutiques";"true"
"4647Z";"Commerce de gros (commerce interentreprises) de meubles, de tapis et d'appareils d'éclairage ";"true"
"4648Z";"Commerce de gros (commerce interentreprises) d'articles d'horlogerie et de bijouterie";"true"
"4649Z";"Commerce de gros (commerce interentreprises) d'autres biens domestiques ";"true"
"4651Z";"Commerce de gros (commerce interentreprises) d'ordinateurs, d'équipements informatiques périphériques et de logiciels";"true"
"4652Z";"Commerce de gros (commerce interentreprises) de composants et d'équipements électroniques et de télécommunication";"true"
"4661Z";"Commerce de gros (commerce interentreprises) de matériel agricole";"true"
"4662Z";"Commerce de gros (commerce interentreprises) de machines-outils";"true"
"4663Z";"Commerce de gros (commerce interentreprises) de machines pour l'extraction, la construction et le génie civil ";"true"
"4664Z";"Commerce de gros (commerce interentreprises) de machines pour l'industrie textile et l'habillement";"true"
"4665Z";"Commerce de gros (commerce interentreprises) de mobilier de bureau";"true"
"4666Z";"Commerce de gros (commerce interentreprises) d'autres machines et équipements de bureau ";"true"
"4669A";"Commerce de gros (commerce interentreprises) de matériel électrique";"true"
"4669B";"Commerce de gros (commerce interentreprises) de fournitures et équipements industriels divers";"true"
"4669C";"Commerce de gros (commerce interentreprises) de fournitures et équipements divers pour le commerce et les services";"true"
"4671Z";"Commerce de gros (commerce interentreprises) de combustibles et de produits annexes";"true"
"4672Z";"Commerce de gros (commerce interentreprises) de minerais et métaux";"true"
"4673A";"Commerce de gros (commerce interentreprises) de bois et de matériaux de construction ";"true"
"4673B";"Commerce de gros (commerce interentreprises) d'appareils sanitaires et de produits de décoration";"true"
"4674A";"Commerce de gros (commerce interentreprises) de quincaillerie";"true"
"4674B";"Commerce de gros (commerce interentreprises) de fournitures pour la plomberie et le chauffage";"true"
"4675Z";"Commerce de gros (commerce interentreprises) de produits chimiques";"true"
"4676Z";"Commerce de gros (commerce interentreprises) d'autres produits intermédiaires";"true"
"4677Z";"Commerce de gros (commerce interentreprises) de déchets et débris";"true"
"4690Z";"Commerce de gros (commerce interentreprises) non spécialisé";"true"
"4711A";"Commerce de détail de produits surgelés";"true"
"4711B";"Commerce d'alimentation générale";"true"
"4711C";"Supérettes";"true"
"4711D";"Supermarchés";"true"
"4711E";"Magasins multi-commerces";"true"
"4711F";"Hypermarchés";"true"
"4719A";"Grands magasins";"true"
"4719B";"Autres commerces de détail en magasin non spécialisé";"true"
"4721Z";"Commerce de détail de fruits et légumes en magasin spécialisé";"true"
"4722Z";"Commerce de détail de viandes et de produits à base de viande en magasin spécialisé";"true"
"4723Z";"Commerce de détail de poissons, crustacés et mollusques en magasin spécialisé";"true"
"4724Z";"Commerce de détail de pain, pâtisserie et confiserie en magasin spécialisé";"true"
"4725Z";"Commerce de détail de boissons en magasin spécialisé";"true"
"4726Z";"Commerce de détail de produits à base de tabac en magasin spécialisé";"true"
"4729Z";"Autres commerces de détail alimentaires en magasin spécialisé ";"true"
"4730Z";"Commerce de détail de carburants en magasin spécialisé";"true"
"4741Z";"Commerce de détail d'ordinateurs, d'unités périphériques et de logiciels en magasin spécialisé";"true"
"4742Z";"Commerce de détail de matériels de télécommunication en magasin spécialisé";"true"
"4743Z";"Commerce de détail de matériels audio et vidéo en magasin spécialisé";"true"
"4751Z";"Commerce de détail de textiles en magasin spécialisé";"true"
"4752A";"Commerce de détail de quincaillerie, peintures et verres en petites surfaces (moins de 400 m2)";"true"
"4752B";"Commerce de détail de quincaillerie, peintures et verres en grandes surfaces (400 m2et plus)";"true"
"4753Z";"Commerce de détail de tapis, moquettes et revêtements de murs et de sols en magasin spécialisé";"true"
"4754Z";"Commerce de détail d'appareils électroménagers en magasin spécialisé";"true"
"4759A";"Commerce de détail de meubles";"true"
"4759B";"Commerce de détail d'autres équipements du foyer";"true"
"4761Z";"Commerce de détail de livres en magasin spécialisé";"true"
"4762Z";"Commerce de détail de journaux et papeterie en magasin spécialisé";"true"
"4763Z";"Commerce de détail d'enregistrements musicaux et vidéo en magasin spécialisé";"true"
"4764Z";"Commerce de détail d'articles de sport en magasin spécialisé";"true"
"4765Z";"Commerce de détail de jeux et jouets en magasin spécialisé";"true"
"4771Z";"Commerce de détail d'habillement en magasin spécialisé";"true"
"4772A";"Commerce de détail de la chaussure";"true"
"4772B";"Commerce de détail de maroquinerie et d'articles de voyage";"true"
