"name";"groups"
"crm-root";"admins|ERP|CRM|VTE|ACH|OPS|MGT|HRM|CST"
"admin-root-batch-crm";"admins"
"menu-crm-dashboards";"admins|ERP|CRM|VTE"
"admin-conf-general-currency";"admins|ERP|MGT|CPT"
"invoice-root-sale-custinvoices";"admins|ERP|CPT|MGT"
"top-invoice-custinvoices";"admins|ERP|CPT|MGT"
"top-stock-cust-deliveries";"admins|ERP|VTE|OPS|MGT"
"stock-root-custdeliveries";"admins|ERP|VTE|OPS|MGT"
"invoice-root-sale-custrefunds";"admins|ERP|CPT|MGT"
"top-invoice-custrefunds";"admins|ERP|CPT|MGT"
"menu-dashboards";"admins|ERP|CRM|VTE|ACH|OPS|MGT|HRM|CST"
"account-root-debt-recovery";"admins|ERP|CPT|MGT"
"admin-root-organisation-territory-department";"admins|ERP"
"menu-domain";"admins"
"mail-root-email-draft";"admins"
"mail-root-email-conf-mail-account";"admins"
"mail-root-email-conf-email-address";"admins"
"mail-root-email-box";"admins"
"menu-wkf-intermediate-email-message-event";"admins"
"mail-conf-mail-model-tag";"admins"
"mail-conf-email-model";"admins"
"mail-root";"admins"
"hr-root-employee";"admins|ERP|HRM|MGT"
"menu-wkf-end-event";"admins|ERP|BPM"
"admin-root";"admins|ERP"
"crm-conf-category";"admins|ERP|CRM"
"portal.crm.event.graph";"admins|ERP|CRM"
"portal.crm.event";"admins|ERP|CRM"
"menu-wkf-nodes-root-event";"admins|ERP|BPM"
"menu-wkf-exclusive-gateway";"admins|ERP|BPM"
"hr-root-paymentforms-expenses";"admins|ERP|MGT|HRM|CPT"
"hr-root-validationforms-Expenses-commercial";"admins|ERP|MGT|VTE|ACH|OPS|HRM"
"hr-root-validationforms-expenses-manager";"admins|ERP|MGT|HRM"
"menu-wkf-intermediate-facebook-event";"admins|ERP|BPM"
"menu-wkf-filter-event";"admins|ERP|BPM"
"menu-wkf-nodes-root-filter";"admins|ERP|BPM"
"account-conf-financial";"admins|ERP|CPT|MGT"
"account-conf-financial-account";"admins|ERP|CPT|MGT"
"account-conf-financial-account-management";"admins|ERP|CPT|MGT"
"contact-conf-fiscal-position";"admins|ERP|CPT|MGT"
"account-conf-financial-year";"admins|ERP|CPT|MGT"
"menu-wkf-nodes-root-gateway";"admins|ERP|BPM"
"admin-root-general";"admins|ERP|"
"admin-root-general-general";"admins"
"menu-auth-groups";"admins"
"hr-root-history";"admins|ERP|MGT|VTE|ACH|OPS|HRM"
"hr-root";"admins|ERP|VTE|ACH|OPS|MGT|HRM"
"menu-human-resources-dashboard-sample";"admins|ERP|MGT|HRM"
"admin-root-import-permission";"admins"
"admin-root-import";"admins"
"mail-root-email-inbox";"admins"
"menu-wkf-inclusive-gateway";"admins|ERP|BPM"
"admin-root-indicator-generator";"admins|ERP|BPM"
"admin-root-indicator-generator-grouping";"admins|ERP|BPM"
"hr-root-inputforms";"admins|ERP|VTE|ACH|OPS|MGT|HRM"
"menu-wkf-instances";"admins|ERP|BPM"
"top-stock-internal-moves";"admins|ERP|OPS|MGT"
"stock-root-internal";"admins|ERP|OPS|MGT"
"menu-wkf-intermediate-internet-site-event";"admins|ERP|BPM"
"stock-root-inventories-draft";"admins|ERP|OPS|MGT"
"invoice-root";"admins|ERP|VTE|ACH|MGT|CPT"
"top-invoice";"admins|ERP|VTE|ACH|MGT|CPT"
"top-invoice-all";"admins|ERP|VTE|ACH|MGT|CPT"
"menu-job-management";"admins|ERP|MGT|HRM"
"hr-root-recruitment-jobOffer";"admins|ERP|MGT|HRM"
"account-conf-financial-journal";"admins|ERP|CPT|MGT"
"account-conf-financial-journal-type";"admins|ERP|CPT|MGT"
"admin-conf-general-keyword";"admins|ERP"
"portal.crm.lead.graph";"admins|ERP|CRM|VTE|MGT"
"portal.crm.lead.list";"admins|ERP|CRM|VTE|MGT"
"crm-root-lead";"admins|ERP|CRM|VTE|MGT"
"top-prospection-leads";"admins|ERP|CRM|VTE|MGT"
"crm-conf-lead-source";"admins|ERP|CRM"
"hr-root-conf-task-leave-request-reason";"admins|ERP|MGT|HRM"
"hr-root-validationforms-leave-request";"admins|ERP|MGT|HRM"
"menu-wkf-intermediate-linkedin-event";"admins|ERP|BPM"
"manufacturing-conf-machine";"admins|ERP|MGT|"
"menu-wkf-intermediate-mail-event";"admins|ERP|BPM"
"mail-conf-mail-model";"admins"
"manufacturing-root";"admins|ERP|MGT|VTE|ACH|OPS"
"menu-manufacturing-dashboard-sample";"admins|ERP|MGT|OPS"
"manufacturing-root-manuf-order";"admins|ERP|MGT|VTE|ACH|OPS"
"manufacturing-root-prod-process";"admins|ERP|MGT|OPS"
"crm-root-create-meeting";"admins|ERP|VTE|ACH|OPS|MGT|HRM|CRM"
"crm-conf-participant";"admins"
"crm-root-meeting";"admins|ERP|CRM|VTE|ACH|MGT"
"crm-conf-meeting-type";"admins|ERP|CRM"
"menu-wkf-nodes-root-message";"admins|ERP|BPM"
"stock-root-conf-min-stock-rules";"admins|ERP|MGT|OPS"
"hr-root-mission-order";"admins|ERP|CST|VTE|HRM|OPS|MGT"
"menu-model";"admins"
"menu-module-management";"admins"
"admin-root-conf";"admins"
"account-root-move-move-line";"admins|ERP|MGT|CPT"
"account-root-move-move";"admins|ERP|MGT|CPT"
"account-root-move";"admins|ERP|MGT|CPT"
"crm-root-meeting-my-calendar";"admins|ERP|CST|CRM|VTE|HRM|OPS|MGT|ACH"
"top-menu-activity-my-calendar";"admins|ERP|CST|CRM|VTE|HRM|OPS|MGT|ACH"
"menu-consultant-dashbord";"CST"
"hr-root-inputforms-expenses";"admins|ERP|VTE|HRM|OPS|MGT|ACH|OPS"
"menu-consultant-expense";"CST"
"menu-consultant-leave-request-calendar";"CST"
"hr-root-inputforms-leave-request";"admins|ERP|VTE|HRM|OPS|MGT|ACH|OPS"
"menu-consultant-leave-request";"CST"
"hr-root-inputforms-overtimes";"admins|ERP|VTE|HRM|OPS|MGT|ACH|OPS"
"menu-consultant-my-task";"CST"
"top-menu-activity-team-calendar";"admins|ERP|MGT|CRM|VTE|ACH|OPS"
"menu-consultant-my-tickets";"CST"
"hr-root-inputforms-timesheet";"admins|ERP|MGT|CRM|VTE|ACH|OPS"
"hr-root-my-timesheet-line-calendar";"admins|ERP|MGT|CRM|VTE|ACH|OPS"
"menu-consultant-timesheet";"CST"
"menu-network-root";"admins"
"menu-network-configuration";"admins"
"business-root-project-new-business";"admins|ERP|MGT"
"invoice-root-cust-invoice";"admins|ERP|MGT|VTE|CPT"
"mail-root-email-new";"admins|ERP|MGT|HRM"
"sc-root-purchase-order-new";"admins|ERP|MGT|ACH"
"sc-root-sale-new-so";"admins|ERP|MGT|VTE|CRM"
"invoice-root-sup-invoice";"admins|ERP|MGT|ACH|CPT"
"menu-wkf-nodes-root";"admins|ERP|BPM"
"hr-root-history-olds-timesheets";"admins|ERP|MGT|CRM|VTE|ACH|OPS|HRM"
"menu-operating-system";"admins"
"manufacturing-root-operation-order";"admins|ERP|MGT|VTE|ACH|OPS"
"crm-root-opportunity";"admins|ERP|CRM|VTE|MGT"
"top-prospection-opportunity";"admins|ERP|CRM|VTE|MGT"
"portal.opportunities.graph";"admins|ERP|CRM|VTE|MGT"
"portal.opportunities";"admins|ERP|CRM|VTE|MGT"
"top-sale-orders";"admins|ERP|CRM|VTE|MGT"
"top-purchase-orders";"admins|ERP|ACH|MGT"
"menu-organisation-dashboard-sample";"admins"
"admin-root-organisation";"admins|ERP"
"account-root-periodic-processing-overpayment-clearances";"admins|ERP|MGT|CPT"
"hr-root-paymentforms-overtimes";"admins|ERP|MGT|CPT"
"hr-root-validationforms-overtimes";"admins|ERP|MGT|CPT"
"menu-wkf-parallel-gateway";"admins|ERP|BPM"
"contact-conf-category";"admins|ERP|MGT|CRM|VTE|ACH"
"portal.base.crm.partner.graph";"admins|ERP|MGT|CRM|VTE|ACH"
"mail-conf-email-list";"admins"
"account-conf-payment-paybox";"admins|ERP|MGT|CPT"
"account-conf-payment";"admins|ERP|MGT|VTE|ACH|OPS"
"account-conf-payment-payment-condition";"admins|ERP|MGT|CPT"
"hr-root-paymentforms";"admins|ERP|MGT|CPT"
"account-conf-payment-payment-mode";"admins|ERP|MGT|CPT"
"account-root-payments";"admins|ERP|MGT|CPT|VTE|ACH"
"account-root-payment-schedule";"admins|ERP|MGT|CPT"
"account-root-payment-schedule-payment-schedule";"admins|ERP|MGT|CPT"
"account-root-payment-schedule-payment-schedule-line";"admins|ERP|MGT|CPT"
"account-root-payments-payment-voucher";"admins|ERP|MGT|CPT|VTE|ACH"
"stock-root-inventories";"admins|ERP|MGT|OPS"
"account-root-periodic-processing";"admins|ERP|MGT|CPT"
"account-conf-financial-period";"admins|ERP|MGT|CPT"
"admin-conf-general-period";"admins|ERP"
"menu-auth-permissions";"admins"
"menu-wkf-intermediate-phone-call-event";"admins|ERP|BPM"
"manufacturing-root-operation-order-planned-calendar";"admins|ERP|MGT|VTE|ACH|OPS"
"hr-root-planning";"admins|ERP|HRM"
"contact-conf-price-list";"admins|ERP|CRM|VTE|ACH|MGT"
"product-conf-product-category";"admins|ERP|MGT|VTE|CRM|ACH"
"product-conf-product-family";"admins|ERP|MGT|VTE|CRM|ACH"
"admin-root-conf-production-config";"admins|ERP|MGT|"
"manufacturing-root-production-order";"admins|ERP|MGT|VTE|ACH|OPS"
"product-root";"admins|ERP|MGT|VTE|ACH|OPS|CRM|CPT|HRM"
"product-root-product";"admins|ERP|MGT|VTE|ACH|OPS|CRM|CPT|HRM"
"product-root-product-model";"admins|ERP|MGT|VTE|ACH|OPS|CRM|CPT|HRM"
"protraining-root";"admins|"
"project-root";"admins|ERP|VTE|ACH"
"project-root-project";"admins|ERP|VTE|ACH"
"top-prospection";"admins|ERP|CRM|VTE|MGT"
"hr-root-config-public-holidays";"admins|ERP|HRM"
"menu-purchase-buyer-dashboard-sample";"admins|ERP|ACH|MGT"
"menu-purchase-manager-dashboard-sample";"admins|ERP|ACH|MGT"
"menu-purchase-order-dashboard-sample";"admins|ERP|ACH|MGT"
"sc-root-purchase-orders";"admins|ERP|ACH|MGT|CPT|OPS"
"sc-root-purchase";"admins|ERP|ACH|MGT|CPT|OPS"
"top-purchase";"admins|ERP|ACH|MGT|CPT|OPS"
"invoice-root-purchase";"admins|ERP|ACH|MGT|CPT|OPS"
"top-sale-offers";"admins|ERP|VTE|MGT|CPT|OPS|CRM"
"manufacturing-root-operation-order-real-calendar";"admins|ERP|MGT|VTE|ACH|OPS"
"account-root-periodic-processing-reconcile";"admins|ERP|CPT|MGT"
"hr-root-recruitment";"admins|ERP|MGT|HRM"
"admin-root-organisation-region";"admins|ERP"
"mail-root-email-reimboursement";"admins"
"mail-root-mail-reimboursement";"admins"
"account-root-accounting-reimbursement";"admins|ERP|CPT|MGT"
"mail-root-email-reject-import";"admins"
"account-conf-reporting-interbank-code";"admins|ERP|CPT|MGT"
"account-root-periodic-processing-cheque-reject";"admins|ERP|CPT|MGT"
"top-relations";"admins|ERP|MGT|VTE|ACH|OPS|CRM|CPT|HRM"
"mail-root-email-debtrecovery";"admins|ERP|CPT|MGT"
"debt-recovery-root-conf-reminder-level";"admins|ERP|CPT|MGT"
"debt-recovery-root-conf-mail-model";"admins|ERP|CPT|MGT"
"mail-root-mail-debtrecovery";"admins|ERP|CPT|MGT"
"debt-recovery-root-conf-reminder-method";"admins|ERP|CPT|MGT"
"debt-recovery-root-reminders";"admins|ERP|CPT|MGT"
"account-conf-reporting";"admins|ERP|CPT|MGT"
"manufacturing-conf-work-center";"admins|ERP|MGT"
"top-purchase-quotes";"admins|ERP|MGT|ACH"
"menu-auth-roles";"admins"
"mail-root-email-conf-routing";"admins"
"sc-root-sale-orders";"admins|ERP|CRM|VTE|OPS|MGT|CPT"
"invoice-root-sale";"admins|ERP|VTE|MGT|CPT"
"sc-root-sale";"admins|ERP|CRM|VTE|OPS|MGT|CPT"
"top-sale";"admins|ERP|CRM|VTE|OPS|MGT|CPT"
"menu-sale-manager-dashboard-sample";"admins|ERP|CRM|VTE|MGT"
"menu-saleman-dashboard-sample";"admins|ERP|CRM|VTE|MGT"
"menu-dashboards-sample";"admins|ERP|MGT|CRM|VTE|ACH|MGT|CPT|HRM"
"mail-root-email-sent";"admins"
"admin-conf-general-sequence-generic";"admins|ERP"
"menu-server-account";"admins"
"menu-server-application";"admins"
"menu-server";"admins"
"menu-server-type";"admins"
"account-root-periodic-processing-shift-irrecoverable";"admins|ERP|MGT|CPT"
"contact-conf-invoice-site";"admins|ERP|MGT|CRM|VTE|ACH|MGT"
"business-root-site";"admins|ERP|MGT|VTE|ACH|MGT"
"menu-wkf-intermediate-sms-event";"admins|ERP|BPM"
"menu-wkf-nodes-root-social-network";"admins|ERP|BPM"
"contact-conf-invoice-sources";"admins|ERP"
"admin-conf-general-source";"admins|ERP"
"menu-wkf-start-event";"admins|ERP|BPM"
"top-stock";"admins|ERP|MGT|VTE|OPS|ACH|CPT"
"menu-stock-dashboard-sample";"admins|ERP|MGT|OPS"
"stock-root-location";"admins|ERP|MGT|OPS|CPT"
"stock-root";"admins|ERP|MGT|OPS|CPT"
"stock-root-all-line";"admins|ERP|MGT|VTE|OPS|ACH|CPT"
"menu-wkf-stop-filter-event";"admins|ERP|BPM"
"stock-root-suparrivals";"admins|ERP|MGT|VTE|OPS|ACH|CPT"
"top-stock-suppl-deliveries";"admins|ERP|MGT|VTE|OPS|ACH|CPT"
"top-invoice-supplinvoices";"admins|ERP|MGT|OPS|ACH|CPT"
"invoice-root-purchase-supinvoices";"admins|ERP|MGT|OPS|ACH|CPT"
"invoice-root-purchase-suprefunds";"admins|ERP|MGT|OPS|ACH|CPT"
"top-invoice-supplrefunds";"admins|ERP|MGT|OPS|ACH|CPT"
"admin-root-batch-supplychain";"admins"
"admin-root-conf-supplychain-config";"admins"
"contact-conf-invoice-bic";"admins|ERP|CPT|MGT|ACH|VTE|CRM"
"crm-conf-target";"admins|ERP|MGT|VTE|CRM"
"crm-conf-target-configuration";"admins|ERP|MGT|VTE|CRM"
"menu-target-team-dashboard";"admins|ERP|MGT|VTE|CRM"
"menu-target-user-dashboard";"admins|ERP|MGT|VTE|CRM"
"crm-root-create-task";"admins|ERP|MGT|CRM|VTE|ACH|MGT|CPT|HRM"
"crm-root-task";"admins|ERP|MGT|CRM|VTE|ACH|MGT|CPT|HRM"
"project-root-task";"admins|ERP|MGT|OPS"
"crm-root-meeting-team-calendar";"admins|ERP|MGT|CRM|VTE|ACH|MGT|"
"admin-root-user-team";"admins|ERP"
"admin-root-maintenance";"admins"
"admin-root-templating-template";"admins|ERP|MGT|CRM"
"admin-root-templating-template-rules";"admins|ERP|MGT|CRM"
"admin-root-templating";"admins|ERP|MGT|CRM"
"admin-root-organisation-territory";"admins|ERP"
"crm-root-create-ticket";"admins|ERP|OPS|CRM|VTE|MGT"
"crm-root-ticket";"admins|ERP|OPS|CRM|VTE|MGT"
"menu-wkf-intermediate-timer-event";"admins|ERP|BPM"
"hr-root-validationforms-timesheet";"admins|ERP|MGT|HRM"
"admin-root-maintenance-trace-back";"admins"
"product-conf-tracking-number-config";"admins|ERP|MGT|VTE|ACH|OPS"
"hr-root-training";"admins|ERP|HRM|MGT"
"protraining-root-pro-training";"admins"
"menu-wkf-transitions";"admins|ERP|BPM"
"mail-root-email-trash";"admins"
"menu-wkf-intermediate-twitter-event";"admins|ERP|BPM"
"admin-conf-general-unit-conversion";"admins|ERP"
"admin-conf-general-unit";"admins|ERP"
"menu-auth";"admins"
"menu-auth-users";"admins"
"admin-root-user";"admins"
"hr-root-validationforms";"admins|ERP|MGT|HRM"
"account-conf-financial-tax";"admins|ERP|MGT|CPT"
"menu-view-management";"admins"
"menu-wkf";"admins|ERP|BPM"
"menu-wkf-workflows";"admins|ERP|BPM"
"hr-root-schedule";"admins|ERP|MGT|HRM"
"admin-conf-general-year";"admins|ERP"
"menu-dashboards-partner-contact";"admins|ERP|CRM|VTE|ACH|MGT"
"menu-project-business-dashboard";"admins|ERP|VTE|ACH|MGT|CPT"
"menu-stock-dashboard";"admins|ERP|MGT|OPS"
"menu-stock-dashboard-1";"admins|ERP|MGT|OPS"
"menu-accounting-dashboard";"admins|ERP|MGT|CPT"
"menu-human-resources-dashboard";"admins|ERP|MGT|HRM"
"menu-wkf-stop-filter-event";"admins|ERP|BPM"
"menu-target-dashboard";"admins|ERP|MGT|CRM|VTE"
"menu-tasks-dashboard";"admins|ERP|MGT|CRM"
"menu-tasks-dashboard-1";"admins|ERP|MGT|CRM"
"menu-tickets-dashboard";"admins|ERP|CRM|VTE|OPS|MGT"
"menu-tickets-dashboard-1";"admins|ERP|CRM|VTE|OPS|MGT"
"menu-tickets-dashboard-2";"admins|ERP|CRM|VTE|OPS|MGT"
"menu-purchase-dashboard";"admins|ERP|ACH|MGT"
"menu-sale-dashboard";"admins|ERP|CRM|VTE|MGT"
"menu-accounting-dashboard-1";"admins|ERP|MGT|CPT"
"menu-account-invoice-dashboard";"admins|ERP|MGT|CPT"
"menu-account-mix-invoice-dashboard";"admins|ERP|MGT|CPT"
"menu-account-mix-invoice-dashboard-1";"admins|ERP|MGT|CPT"
"menu-account-purchase-invoice-dashboard";"admins|ERP|MGT|CPT"
"menu-account-purchase-invoice-dashboard-1";"admins|ERP|MGT|CPT"
"menu-account-sale-invoice-dashboard";"admins|ERP|MGT|CPT"
"menu-account-sale-invoice-dashboard-1";"admins|ERP|MGT|CPT"
"menu-account-sale-invoice-dashboard-2";"admins|ERP|MGT|CPT"
"menu-calls-dashboard";"admins|ERP|CRM|MGT|VTE"
"menu-calls-dashboard-1";"admins|ERP|CRM|MGT|VTE"
"menu-category-dashboard";"admins|ERP|CRM|MGT|VTE"
"menu-category-dashboard-1";"admins|ERP|CRM|MGT|VTE"
"menu-dashboards-contact";"admins|ERP|CRM|MGT|VTE|ACH"
"menu-dashboards-contact-1";"admins|ERP|CRM|MGT|VTE|ACH"
"menu-dashboards-partner";"admins|ERP|CRM|MGT|VTE|ACH"
"menu-dashboards-partner-1";"admins|ERP|CRM|MGT|VTE|ACH"
"menu-dashboards-products-goods";"admins|ERP|CRM|MGT|VTE|ACH"
"menu-event-dashboard";"admins|ERP|CRM|MGT|VTE|ACH"
"menu-event-dashboard-one";"admins|ERP|CRM|MGT|VTE|ACH"
"menu-family-dashboard";"admins|ERP|CRM|MGT|VTE|ACH"
"menu-family-dashboard-1";"admins|ERP|CRM|MGT|VTE|ACH"
"menu-holidays-dashboard";"admins|ERP|MGT|HRM"
"menu-holidays-dashboard-1";"admins|ERP|MGT|HRM"
"menu-human-resources-dashboard-db-1";"admins|ERP|MGT|HRM"
"menu-human-resources-dashboard-db-2";"admins|ERP|MGT|HRM"
"menu-lead-dashboard";"admins|ERP|CRM|VTE|MGT"
"menu-lead-dashboard-one";"admins|ERP|CRM|VTE|MGT"
"menu-manufacturing-dashboard";"admins|ERP|MGT|OPS"
"menu-manufacturing-dashboard-1";"admins|ERP|MGT|OPS"
"menu-meetings-dashboard";"admins|ERP|CRM|MGT"
"menu-meetings-dashboard-1";"admins|ERP|CRM|MGT"
"menu-opportunities-dashboard";"admins|ERP|CRM|VTE|MGT"
"menu-opportunities-dashboard-1";"admins|ERP|CRM|VTE|MGT"
"menu-opportunities-dashboard-2";"admins|ERP|CRM|VTE|MGT"
"menu-opportunities-dashboard-3";"admins|ERP|CRM|VTE|MGT"
"menu-products-dashboard";"admins|ERP|CRM|VTE|ACH|MGT"
"menu-products-dashboard-1";"admins|ERP|CRM|VTE|ACH|MGT"
"menu-project-business-dashboard-1";"admins|ERP|MGT|CPT"
"menu-purchase-dashboard-1";"admins|ERP|ACH|MGT"
"menu-purchase-dashboard-2";"admins|ERP|ACH|MGT"
"menu-purchase-dashboard-3";"admins|ERP|ACH|MGT"
"menu-sale-dashboard-1";"admins|ERP|CRM|VTE|MGT"
"menu-sale-dashboard-2";"admins|ERP|CRM|VTE|MGT"
"menu-stock-dashboard-2";"admins|ERP|MGT|OPS"
"top-sale-orders-all";"admins|ERP|CRM|VTE|MGT"
"top-purchase-orders-all";"admins|ERP|ACH|MGT|OPS"
"top-stock-moves-all";"admins|ERP|MGT|OPS"
"top-payments";"admins|ERP|MGT|CPT"
"top-payments-all";"admins|ERP|MGT|CPT"
"top-payments-customers";"admins|ERP|MGT|CPT"
"top-payments-suppliers";"admins|ERP|MGT|CPT"
"top-hr";"admins|ERP"
"top-hr-profile";"admins|ERP"
"top-hr-employees";"admins|ERP"
"top-hr-create-timesheet";"admins|ERP"
"top-hr-timsheet-all";"admins|ERP"
"top-hr-create-leave-request";"admins|ERP"
"top-hr-leave-request-all";"admins|ERP"
"top-hr-create-expense";"admins|ERP"
"top-hr-expense-all";"admins|ERP"
"top-hr-create-job-offer";"admins|ERP"
"top-hr-job-offer-all";"admins|ERP"
"top-project";"admins|ERP"
"top-project-create-project";"admins|ERP"
"top-project-project-all";"admins|ERP"
"top-project-task-all";"admins|ERP"
"top-manufacturing";"admins|ERP"
"top-manufacturing-create-manufacturing-order";"admins|ERP"
"top-manufacturing-manufacturing-orders";"admins|ERP"
"top-manufacturing-operation-orders";"admins|ERP"
"top-manufacturing-bill-of-material";"admins|ERP"
