"importId";"name";"country.code"
"87";"Florida State University";"USA"
"88";"Louisiana State University - Baton Rouge";"USA"
"89";"Rensselaer Polytechnic Institute";"USA"
"90";"State University of New York at Buffalo";"USA"
"91";"The George Washington University";"USA"
"92";"The University of Alabama at Birmingham";"USA"
"93";"The University of Connecticut - Storrs";"USA"
"94";"The University of New Mexico - Albuquerque";"USA"
"95";"Thomas Jefferson University";"USA"
"96";"University of Central Florida";"USA"
"97";"University of Cincinnati";"USA"
"98";"University of Colorado at Denver";"USA"
"99";"University of Houston";"USA"
"100";"University of Kansas - Lawrence";"USA"
"101";"University of Kentucky";"USA"
"102";"University of Medicine and Dentistry New Jersey";"USA"
"103";"University of Missouri - Columbia";"USA"
"104";"University of Notre Dame";"USA"
"105";"University of Oregon";"USA"
"106";"University of South Carolina - Columbia";"USA"
"107";"University of South Florida";"USA"
"108";"Washington State University - Pullman";"USA"
"109";"Yeshiva University";"USA"
"110";"Brigham Young University";"USA"
"111";"City University of New York City College";"USA"
"112";"Clemson University";"USA"
"113";"Drexel University";"USA"
"114";"Georgetown University";"USA"
"115";"Indiana University-Purdue University at Indianapolis";"USA"
"116";"Kansas State University";"USA"
"117";"Medical University of South Carolina";"USA"
"118";"Northeastern University";"USA"
"119";"Saint Louis University";"USA"
"120";"San Diego State University";"USA"
"121";"State University of New York at Albany";"USA"
"122";"State University of New York Health Science Center at Brooklyn";"USA"
"123";"Syracuse University";"USA"
"124";"Temple University";"USA"
"125";"The University of Montana - Missoula";"USA"
"126";"The University of Texas at Dallas";"USA"
"127";"The University of Texas Health Science Center at San Antonio";"USA"
"128";"The University of Texas Medical Branch at Galveston";"USA"
"129";"Tulane University";"USA"
"130";"University of Alaska - Fairbanks";"USA"
"131";"University of Nebraska Medical Center";"USA"
"132";"University of New Hampshire - Durham";"USA"
"133";"University of Oklahoma - Norman";"USA"
"134";"University of Rhode Island";"USA"
"135";"University of Vermont";"USA"
"136";"Wake Forest University";"USA"
"137";"Wayne State University";"USA"
"138";"Auburn University";"USA"
"139";"Boston College";"USA"
"140";"Kent State University";"USA"
"141";"Lehigh University";"USA"
"142";"Medical College of Wisconsin";"USA"
"143";"Montana State University - Bozeman";"USA"
"144";"Southern Methodist University";"USA"
"145";"Texas Tech University";"USA"
"146";"The University of Texas at San Antonio";"USA"
"147";"University of Arkansas at Fayetteville";"USA"
"148";"University of Louisville";"USA"
"149";"University of Wyoming";"USA"
"150";"Utah State University";"USA"
"151";"University of Cambridge";"GBR"
"152";"University of Oxford";"GBR"
"153";"University College London";"GBR"
"154";"The Imperial College of Science, Technology and Medicine";"GBR"
"155";"The University of Manchester";"GBR"
"156";"The University of Edinburgh";"GBR"
"157";"King's College London";"GBR"
"158";"University of Bristol";"GBR"
"159";"University of Nottingham";"GBR"
"160";"London School of Economics and Political Science";"GBR"
"161";"The University of Sheffield";"GBR"
"162";"University of Birmingham";"GBR"
"163";"University of Liverpool";"GBR"
"164";"University of Sussex";"GBR"
"165";"Cardiff University";"GBR"
"166";"The University of Glasgow";"GBR"
"167";"University of Leeds";"GBR"
"168";"University of Southampton";"GBR"
"169";"University of Warwick";"GBR"
"170";"Lancaster University";"GBR"
"171";"Newcastle University";"GBR"
"172";"Queen Mary, U. of London";"GBR"
"173";"The University of Reading";"GBR"
"174";"University of Aberdeen";"GBR"
"175";"University of Durham";"GBR"
"176";"University of East Anglia";"GBR"
"177";"University of Exeter";"GBR"
"178";"University of Leicester";"GBR"
"179";"University of St Andrews";"GBR"
"180";"University of York";"GBR"
"181";"Queen's University Belfast";"GBR"
"182";"The University of Dundee";"GBR"
"183";"University of Bath";"GBR"
"184";"London School of Hygiene and Tropical Medicine";"GBR"
"185";"Swansea Univ";"GBR"
"186";"The Open University";"GBR"
"187";"University of Essex";"GBR"
"188";"University of Surrey";"GBR"
"189";"The University of Tokyo";"JPN"
"190";"Kyoto University";"JPN"
"191";"Osaka University";"JPN"
"192";"Nagoya University";"JPN"
"193";"Hokkaido University";"JPN"
"194";"Tohoku University";"JPN"
"195";"Tokyo Institute of Technology";"JPN"
"196";"Kyushu University";"JPN"
"197";"University of Tsukuba";"JPN"
"198";"Hiroshima University";"JPN"
"199";"Kanazawa University";"JPN"
"200";"Keio University";"JPN"
"201";"Kobe University";"JPN"
"202";"Okayama University";"JPN"
"203";"Tokyo Medical and Dental University";"JPN"
"204";"Waseda University";"JPN"
"205";"Chiba University";"JPN"
"206";"Nagasaki University";"JPN"
"207";"Nara Institute of Science and Technology";"JPN"
"208";"Niigata University";"JPN"
"209";"The University of Tokushima";"JPN"
"210";"University of Toronto";"CAN"
"211";"University of British Columbia";"CAN"
"212";"McGill University";"CAN"
"213";"McMaster University";"CAN"
"214";"University of Alberta";"CAN"
"215";"University of Montreal";"CAN"
"216";"University of Waterloo";"CAN"
"217";"Dalhousie University";"CAN"
"218";"Laval University";"CAN"
"219";"Queen's University";"CAN"
"220";"Simon Fraser University";"CAN"
"221";"The University of Calgary";"CAN"
"222";"The University of Western Ontario";"CAN"
"223";"University of Guelph";"CAN"
"224";"University of Manitoba";"CAN"
"225";"University of Ottawa";"CAN"
"226";"University of Saskatchewan";"CAN"
"227";"University of Victoria";"CAN"
"228";"Carleton University";"CAN"
"229";"University of Quebec";"CAN"
"230";"University of Sherbrooke";"CAN"
"231";"York University";"CAN"
"232";"Swiss Federal Institute of Technology Zurich";"CHE"
"233";"University of Zurich";"CHE"
"234";"University of Geneva";"CHE"
"235";"University of Basel";"CHE"
"236";"Swiss Federal Institute of Technology of Lausanne";"CHE"
"237";"University of Bern";"CHE"
"238";"University of Lausanne";"CHE"
"239";"University of Paris Sud (Paris 11)";"FRA"
"240";"Pierre and Marie Curie University - Paris 6";"FRA"
"241";"Ecole Normale Superieure - Paris";"FRA"
"242";"Aix Marseille University";"FRA"
"243";"Joseph Fourier University (Grenoble 1)";"FRA"
"244";"University of Paris Diderot (Paris 7)";"FRA"
"245";"University of Strasbourg";"FRA"
"246";"University of Paris Descartes (Paris 5)";"FRA"
"247";"Claude Bernard University Lyon 1";"FRA"
"248";"Paul Sabatier University (Toulouse 3)";"FRA"
"249";"University of Lorraine";"FRA"
"250";"University of Montpellier 2";"FRA"
"251";"University of Paris Dauphine (Paris 9)";"FRA"
"252";"Ecole Polytechnique";"FRA"
"253";"Industrial Physics and Chemistry Higher Educational Institution - Paris";"FRA"
"254";"University of Bordeaux 1";"FRA"
"255";"Ecole National Superieure Mines - Paris";"FRA"
"256";"University of Lille 1";"FRA"
"257";"University of Nice Sophia Antipolis";"FRA"
"258";"University of Rennes 1";"FRA"
"259";"Karolinska Institute";"SWE"
"260";"Uppsala University";"SWE"
"261";"Stockholm University";"SWE"
"262";"Lund University";"SWE"
"263";"University of Gothenburg";"SWE"
"264";"Royal Institute of Technology";"SWE"
"265";"Umea University";"SWE"
"266";"Chalmers University of Technology";"SWE"
"267";"Linkoping University";"SWE"
"268";"Stockholm School of Economics";"SWE"
"269";"Swedish University of Agricultural Sciences";"SWE"
"270";"University of Copenhagen";"DNK"
"271";"Aarhus University";"DNK"
"272";"Technical University of Denmark";"DNK"
"273";"University of Southern Denmark";"DNK"
"274";"Technical University Munich";"DEU"
"275";"University of Munich";"DEU"
"276";"University of Heidelberg";"DEU"
"277";"University of Freiburg";"DEU"
"278";"University of Bonn";"DEU"
"279";"University of Frankfurt";"DEU"
"280";"University of Goettingen";"DEU"
"281";"University of Muenster";"DEU"
"282";"University of Hamburg";"DEU"
"283";"University of Kiel";"DEU"
"284";"University of Koeln";"DEU"
"285";"University of Mainz";"DEU"
"286";"University of Tuebingen";"DEU"
"287";"University of Wuerzburg";"DEU"
"288";"Dresden University of Technology";"DEU"
"289";"RWTH Aachen University";"DEU"
"290";"Technical University of Berlin";"DEU"
"291";"University of Bochum";"DEU"
"292";"University of Duesseldorf";"DEU"
"293";"University of Erlangen-Nuremberg";"DEU"
"294";"University of Karlsruhe";"DEU"
"295";"University of Leipzig";"DEU"
"296";"University of Marburg";"DEU"
"297";"University of Stuttgart";"DEU"
"298";"Technical University Darmstadt";"DEU"
"299";"University of Giessen";"DEU"
"300";"University of Halle-Wittenberg";"DEU"
"301";"University of Konstanz";"DEU"
"302";"University of Regensburg";"DEU"
"303";"University of Ulm";"DEU"
"304";"Technical University of Braunschweig";"DEU"
"305";"University of Bayreuth";"DEU"
"306";"University of Bielefeld";"DEU"
"307";"University of Bremen";"DEU"
"308";"University of Duisburg-Essen";"DEU"
"309";"University of Hannover";"DEU"
"310";"University of Jena";"DEU"
"311";"The Hebrew University of Jerusalem";"ISR"
"312";"Technion-Israel Institute of Technology";"ISR"
"313";"Weizmann Institute of Science";"ISR"
"314";"Tel Aviv University";"ISR"
"315";"Bar-Ilan University";"ISR"
"316";"Ben-Gurion University of the Negev";"ISR"
"317";"Utrecht University";"NLD"
"318";"Leiden University";"NLD"
"319";"Radboud University Nijmegen";"NLD"
"320";"University of Amsterdam";"NLD"
"321";"University of Groningen";"NLD"
"322";"University of Wageningen";"NLD"
"323";"VU University Amsterdam";"NLD"
"324";"Erasmus University";"NLD"
"325";"Delft University of Technology";"NLD"
"326";"University of Maastricht";"NLD"
"327";"Eindhoven University of Technology";"NLD"
"328";"University of Twente";"NLD"
"329";"Tilburg University";"NLD"
"330";"University of Melbourne";"AUS"
"331";"The Australian National University";"AUS"
"332";"The University of Queensland";"AUS"
"333";"University of Sydney";"AUS"
"334";"The University of Western Australia";"AUS"
"335";"Monash University";"AUS"
"336";"University of New South Wales";"AUS"
"337";"Macquarie University";"AUS"
"338";"The University of Adelaide";"AUS"
"339";"Flinders University";"AUS"
"340";"Griffith University";"AUS"
"341";"James Cook University";"AUS"
"342";"Swinburne University of Technology";"AUS"
"343";"University of Newcastle";"AUS"
"344";"University of Tasmania";"AUS"
"345";"University of Wollongong";"AUS"
"346";"Curtin University of Technology";"AUS"
"347";"La Trobe University";"AUS"
"348";"University of Technology, Sydney";"AUS"
"349";"University of Helsinki";"FIN"
"350";"University of Oulu";"FIN"
"351";"University of Turku";"FIN"
"352";"University of Eastern Finland";"FIN"
"353";"University of Jyvaskyla";"FIN"
"354";"Moscow State University";"RUS"
"355";"Saint Petersburg State University";"RUS"
"356";"Ghent University";"BEL"
"357";"Catholic University of Leuven";"BEL"
"358";"Catholic University of Louvain";"BEL"
"359";"University Libre Bruxelles";"BEL"
"360";"University of Antwerp";"BEL"
"361";"University of Liege";"BEL"
"362";"Vrije University Brussel";"BEL"
"363";"National University of Singapore";"SGP"
"364";"Nanyang Technological University";"SGP"
"365";"National Taiwan University";"CHN"
"366";"National Cheng Kung University";"CHN"
"367";"National Tsing Hua University";"CHN"
"368";"Chang Gung University";"CHN"
"369";"National Chiao Tung University";"CHN"
"370";"China Medical University";"CHN"
"371";"National Central University";"CHN"
"372";"National Sun Yat-Sen University";"CHN"
"373";"National Yang Ming University";"CHN"
"374";"The Chinese University of Hong Kong";"CHN"
"375";"The University of Hong Kong";"CHN"
"376";"City University of Hong Kong";"CHN"
"377";"The Hong Kong Polytechnic University";"CHN"
"378";"The Hong Kong University of Science and Technology";"CHN"
"379";"Peking University";"CHN"
"380";"Shanghai Jiao Tong University";"CHN"
"381";"Tsinghua University";"CHN"
"382";"Zhejiang University";"CHN"
"383";"Fudan University";"CHN"
"384";"Nanjing University";"CHN"
"385";"University of Science and Technology of China";"CHN"
"386";"China Agricultural University";"CHN"
"387";"Huazhong University of Science and Technology";"CHN"
"388";"Jilin University";"CHN"
"389";"Shandong University";"CHN"
"390";"Sichuan University";"CHN"
"391";"Sun Yat-sen University";"CHN"
"392";"Xian Jiao Tong University";"CHN"
"393";"Beihang University";"CHN"
"394";"Beijing Normal University";"CHN"
"395";"Central South University";"CHN"
"396";"Dalian University of Technology";"CHN"
"397";"Harbin Institute of Technology";"CHN"
"398";"Lanzhou University";"CHN"
"399";"Nankai University";"CHN"
"400";"Peking Union Medical College";"CHN"
"401";"South China University of Technology";"CHN"
"402";"Southeast University";"CHN"
"403";"Tianjin University";"CHN"
"404";"Tongji University";"CHN"
"405";"Wuhan University";"CHN"
"406";"Xiamen University";"CHN"
"407";"Seoul National University";"KOR"
"408";"Korea Advanced Institute of Science and Technology";"KOR"
"409";"Sungkyunkwan University";"KOR"
"410";"Yonsei University";"KOR"
"411";"Hanyang University";"KOR"
"412";"Korea University";"KOR"
"413";"Pohang University of Science and Technology";"KOR"
"414";"Kyung Hee University";"KOR"
"415";"Kyungpook National University";"KOR"
"416";"Pusan National University";"KOR"
"417";"University of Pisa";"ITA"
"418";"University of Roma - La Sapienza";"ITA"
"419";"University of Milan";"ITA"
"420";"University of Padua";"ITA"
"421";"Polytechnic Institute of Milan";"ITA"
"422";"Scuola Normale Superiore - Pisa";"ITA"
"423";"University of Bologna";"ITA"
"424";"University of Florence";"ITA"
"425";"University of Turin";"ITA"
"426";"University of Genova";"ITA"
"427";"University of Naples Federico II";"ITA"
"428";"University of Roma - Tor Vergata";"ITA"
"429";"Catholic University of the Sacred Heart";"ITA"
"430";"Polytechnic University of Turin";"ITA"
"431";"University of Bari";"ITA"
"432";"University of Ferrara";"ITA"
"433";"University of Milan - Bicocca";"ITA"
"434";"University of Palermo";"ITA"
"435";"University of Parma";"ITA"
"436";"University of Perugia";"ITA"
"437";"University of Sao Paulo";"BRA"
"438";"State University of Campinas";"BRA"
"439";"Federal University of Minas Gerais";"BRA"
"440";"Federal University of Rio de Janeiro";"BRA"
"441";"Sao Paulo State University";"BRA"
"442";"Federal University of Rio Grande do Sul";"BRA"
"443";"National Autonomous University of Mexico";"MEX"
"444";"University of Buenos Aires";"ARG"
"445";"King Saud University";"SAU"
"446";"King Abdulaziz University";"SAU"
"447";"King Fahd University of Petroleum & Minerals";"SAU"
"448";"University of Vienna";"AUT"
"449";"Medical University of Vienna";"AUT"
"450";"University of Innsbruck";"AUT"
"451";"Medical University of Graz";"AUT"
"452";"Medical University of Innsbruck";"AUT"
"453";"University of Graz";"AUT"
"454";"Vienna University of Technology";"AUT"
"455";"Autonomous University of Madrid";"ESP"
"456";"Complutense University of Madrid";"ESP"
"457";"University of Barcelona";"ESP"
"458";"Autonomous University of Barcelona";"ESP"
"459";"Polytechnic University of Valencia";"ESP"
"460";"University of the Basque Country";"ESP"
"461";"University of Valencia";"ESP"
"462";"University of Granada";"ESP"
"463";"University of Pompeu Fabra";"ESP"
"464";"University of Vigo";"ESP"
"465";"University of Zaragoza";"ESP"
"466";"University of Cape Town";"ZAF"
"467";"University of the Witwatersrand";"ZAF"
"468";"University of KwaZulu-Natal";"ZAF"
"469";"Aristotle University of Thessaloniki";"GRC"
"470";"National and Kapodistrian University of Athens";"GRC"
"471";"Indian Institute of Science";"IND"
"472";"Jagiellonian University";"POL"
"473";"University of Warsaw";"POL"
"474";"Trinity College Dublin";"IRL"
"475";"University College Cork";"IRL"
"476";"University College Dublin";"IRL"
"477";"University of Porto";"PRT"
"478";"Technical University of Lisbon";"PRT"
"479";"University of Lisbon";"PRT"
"480";"University of Tehran";"IRN"
"481";"Cairo University";"EGY"
"482";"Catholic University of Chile";"CHL"
"483";"University of Chile";"CHL"
"484";"Istanbul University";"TUR"
"485";"University of Belgrade";"SRB"
"486";"University of Malaya";"MYS"
"487";"University of Zagreb";"HRV"
