"code_fichier";"description_operation";"date_fin";"nom_fichier";"code_operation";"libelle_operation";"description_operation";"operation_technique";"virement";"prelevement";"prelevement_sepa";"lcr_bor";"cheque"
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"75";"Remboursement";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"76";"Dépôt à terme";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"77";"Echéance dépôt à terme";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"80";"Achats autres TC";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"81";"Ventes autres TC";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"82";"Contrats";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"83";"Options";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"84";"Achats BE (Bourses étrangères)";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"85";"Ventes BE (Bourses étrangères)";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"86";"Opérations sur titres";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"87";"Revenus sur titres";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"88";"Commissions et droits de garde";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"89";"Remboursement impôts étrangers";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"90";"Facture Acceptée à Echéance émise";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"91";"Opérations diverses";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"92";"Centralisation de recettes";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"93";"Centralisation de dépenses";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"94";"Centralisation de trésorerie - Crédit";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"95";"Centralisation de trésorerie - Débit";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"96";"Télérèglements domiciliés";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"97";"Télérèglements émis";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"98";"Télérèglements rejetés/impayés";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"99";"Annulations et régularisations";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"A1";"Prélèvements SEPA émis";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"A2";"Prélèvements SEPA interentreprises émis";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"A3";"Prélèvements SEPA rejetés/impayés émis (par le débiteur ou sa banque - « R-transaction »)";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"A4";"Prélèvements SEPA interentreprises rejetés/impayés émis (par le débiteur ou sa banque -« R-transaction »)";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"A5";"Prélèvements SEPA – reversements émis (par le créancier ou sa banque « R-transaction »)";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"A6";"Prélèvements SEPA interentreprises – reversements émis (par le créancier ou sa banque « R-transaction »)";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"B1";"Prélèvements SEPA domiciliés";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"B2";"Prélèvements SEPA interentreprises domiciliés";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"B3";"Prélèvements SEPA rejetés/impayés reçus (par le créancier - « R-transaction »)";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"B4";"Prélèvements SEPA interentreprises rejetés/impayés reçus (par le créancier - « R-transaction »)";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"B5";"Prélèvements SEPA – reversements reçus (par le débiteur - « R-transaction »)";;;;;;;
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"B6";"Prélèvements SEPA interentreprises – reversements reçus (par le débiteur - « R-transaction »)";;;;;;;
