"importId";"code";"parent_code";"name";"accountType.technicalTypeSelect";"reconcileOk";"company.importId";"compatibleAccounts";"useForPartnerBalance";"isTaxAuthorizedOnMoveLine";"isTaxRequiredOnMoveLine";"commonPosition";"serviceType_code";"defaultTax.code"
198;218200;218000;"Transportation equipment";"immobilisation";;1;;;;;2;"NDAS";
199;218300;218000;"Office equipment and computer hardware";"immobilisation";;1;;;;;2;"NDAS";
200;218400;218000;"Furniture";"immobilisation";;1;;;;;2;"NDAS";
201;218500;218000;"Livestock";"immobilisation";;1;;;;;2;"NDAS";
202;218600;218000;"Returnable packaging";"immobilisation";;1;;;;;2;"NDAS";
203;22;"CL2";"Assets in concession";"view";;1;;;;;2;"NDAS";
204;23;"CL2";"Assets under construction";"view";;1;;;;;2;"NDAS";
205;231000;23;"Assets under construction";"immobilisation";;1;;;;;2;"NDAS";
206;231200;231000;"Land";"immobilisation";;1;;;;;2;"NDAS";
207;231300;231000;"Constructions";"immobilisation";;1;;;;;2;"NDAS";
208;231500;231000;"Technical equipment industrial machinery and equipment";"immobilisation";;1;;;;;2;"NDAS";
209;231800;231000;"Other tangible assets";"immobilisation";;1;;;;;2;"NDAS";
210;232000;23;"Intangible assets under";"immobilisation";;1;;;;;2;"HONO";
211;237000;23;"Advances and prepayments of intangible assets";"immobilisation";;1;;;;;2;"NDAS";
212;238000;23;"Advances and prepayments of fixed assets";"immobilisation";;1;;;;;2;"NDAS";
213;238200;238000;"Land";"immobilisation";;1;;;;;2;"NDAS";
214;238300;238000;"Construction";"immobilisation";;1;;;;;2;"NDAS";
215;238500;238000;"Technical equipment industrial machinery and equipment";"immobilisation";;1;;;;;2;"NDAS";
216;238800;238000;"Other tangible assets";"immobilisation";;1;;;;;2;"NDAS";
217;25;"CL2";"Shares in affiliated undertakings and amounts receivable in affiliated enterprises";"view";;1;;;;;2;"NDAS";
218;26;"CL2";"Investments and advances in subsidiaries";"view";;1;;;;;2;"NDAS";
219;261000;26;"Equity";"immobilisation";;1;;;;;2;"NDAS";
220;261100;261000;"Actions";"immobilisation";;1;;;;;2;"NDAS";
221;261800;261000;"Other titles";"immobilisation";;1;;;;;2;"NDAS";
222;262000;26;"Investments stated at equity";"immobilisation";;1;;;;;2;"NDAS";
223;266000;26;"Forms of participation";"immobilisation";;1;;;;;2;"NDAS";
224;267000;26;"Receivables from participations";"immobilisation";;1;;;;;2;"NDAS";
225;267100;267000;"Receivables from affiliates (Group)";"immobilisation";;1;;;;;2;"NDAS";
226;267400;267000;"Receivables from affiliates (excluding Group)";"immobilisation";;1;;;;;2;"NDAS";
227;267500;267000;"Payments representing unfunded contributions (fundraising)";"immobilisation";;1;;;;;2;"NDAS";
228;267600;267000;"Advances's consolidating";"immobilisation";;1;;;;;2;"NDAS";
229;267700;267000;"Other receivables from participations";"immobilisation";;1;;;;;2;"NDAS";
230;267800;267000;"Accrued Interest";"immobilisation";;1;;;;;2;"NDAS";
231;268000;26;"Receivables from joint ventures";"immobilisation";;1;;;;;2;"NDAS";
232;268100;268000;"Main";"immobilisation";;1;;;;;2;"NDAS";
233;268800;268000;"Accrued Interest";"immobilisation";;1;;;;;2;"NDAS";
234;269000;26;"Payments outstanding equity securities on an undischarged";"immobilisation";;1;;;;;2;"NDAS";
235;27;"CL2";"Other financial assets";"view";;1;;;;;2;"NDAS";
236;271000;27;"Other investments other than investment securities portfolio activity (property)";"immobilisation";;1;;;;;2;"NDAS";
237;271100;271000;"Actions";"immobilisation";;1;;;;;2;"NDAS";
238;271800;271000;"Other titles";"immobilisation";;1;;;;;2;"NDAS";
239;272000;27;"Term investments (debt)";"immobilisation";;1;;;;;2;"NDAS";
240;272100;272000;"Bonds";"immobilisation";;1;;;;;2;"NDAS";
241;272200;272000;"Good";"immobilisation";;1;;;;;2;"NDAS";
242;273000;27;"Investment securities portfolio activity (portfolio investments)";"immobilisation";;1;;;;;2;"NDAS";
243;274000;27;"Loans";"immobilisation";;1;;;;;2;"NDAS";
244;274100;274000;"Equity loans";"immobilisation";;1;;;;;2;"NDAS";
245;274200;274000;"Loans to associates";"immobilisation";;1;;;;;2;"NDAS";
246;274300;274000;"Staff loans";"immobilisation";;1;;;;;2;"NDAS";
247;274800;274000;"Other loans";"immobilisation";;1;;;;;2;"NDAS";
248;275000;27;"Deposits and guarantees paid";"immobilisation";;1;;;;;2;"NDAS";
249;275100;275000;"Deposits";"immobilisation";;1;;;;;2;"NDAS";
250;275500;275000;"Deposits";"immobilisation";;1;;;;;2;"NDAS";
251;276000;27;"Other long term receivables";"immobilisation";;1;;;;;2;"NDAS";
252;276100;276000;"Other receivables";"immobilisation";;1;;;;;0;"NDAS";
253;276800;276000;"Accrued Interest";"immobilisation";;1;;;;;2;"NDAS";
254;276820;276800;"On investment securities (debt)";"immobilisation";;1;;;;;2;"NDAS";
255;276840;276800;"Loan";"immobilisation";;1;;;;;2;"NDAS";
256;276850;276800;"On deposits and bonds";"immobilisation";;1;;;;;2;"NDAS";
257;276880;276800;"Various credit";"immobilisation";;1;;;;;2;"NDAS";
258;277000;27;"Own shares or own shares";"immobilisation";;1;;;;;2;"NDAS";
259;277100;277000;"Own shares or own shares";"immobilisation";;1;;;;;2;"NDAS";
260;277200;277000;"Own shares or own shares in the cancellation";"immobilisation";;1;;;;;2;"NDAS";
261;279000;27;"Payments outstanding on an undischarged term investments";"immobilisation";;1;;;;;2;"NDAS";
262;28;"CL2";"Amortization of capital assets";"view";;1;;;;;2;"NDAS";
263;280000;28;"Amortization of intangible assets";"immobilisation";;1;;;;;2;"NDAS";
264;280100;280000;"Expenses (same breakdown as the account 201)";"immobilisation";;1;;;;;1;"NDAS";
265;280300;280000;"Costs of research and development";"immobilisation";;1;;;;;1;"NDAS";
266;280500;280000;"Concessions and similar rights, patents, licenses, software, similar rights and assets";"immobilisation";;1;;;;;1;"NDAS";
267;280700;280000;"Goodwill";"immobilisation";;1;;;;;1;"NDAS";
268;280800;280000;"Other intangible assets";"immobilisation";;1;;;;;1;"NDAS";
269;281000;28;"Depreciation of fixed assets";"immobilisation";;1;;;;;2;"NDAS";
270;281100;281000;"Lots of deposit";"immobilisation";;1;;;;;2;"NDAS";
271;281200;281000;"Fixtures and fittings of land (same breakdown as the account 212)";"immobilisation";;1;;;;;2;"NDAS";
272;281300;281000;"Structures (same breakdown as the account 213)";"immobilisation";;1;;;;;2;"NDAS";
273;281400;281000;"Buildings on land of another (same breakdown as Account 214)";"immobilisation";;1;;;;;1;"NDAS";
274;281500;281000;"Industrial machinery and equipment installations (same breakdown as Account 215)";"immobilisation";;1;;;;;1;"NDAS";
275;281800;281000;"Other intangible assets (same breakdown as the account 218)";"immobilisation";;1;;;;;1;"NDAS";
276;282000;28;"Depreciation of fixed assets in concession";"immobilisation";;1;;;;;2;"NDAS";
277;29;"CL2";"Impairment of assets";"view";;1;;;;;2;"NDAS";
278;290000;29;"Impairment of intangible assets";"immobilisation";;1;;;;;2;"NDAS";
279;290500;290000;"Marks, processes, rights and similar values";"immobilisation";;1;;;;;1;"NDAS";
280;290600;290000;"Lease rights";"immobilisation";;1;;;;;1;"NDAS";
281;290700;290000;"Goodwill";"immobilisation";;1;;;;;1;"NDAS";
282;290800;290000;"Other intangible assets";"immobilisation";;1;;;;;2;"NDAS";
283;291000;29;"Impairment of fixed assets (same breakdown as the account 21)";"immobilisation";;1;;;;;2;"NDAS";
284;291100;291000;"Land (other than land of deposit)";"immobilisation";;1;;;;;2;"NDAS";
285;292000;29;"Impairment of fixed assets in concession";"immobilisation";;1;;;;;2;"NDAS";
286;293000;29;"Impairment of assets under";"immobilisation";;1;;;;;2;"NDAS";
287;293100;293000;"Assets under construction";"immobilisation";;1;;;;;2;"NDAS";
288;293200;293000;"Intangible assets under";"immobilisation";;1;;;;;2;"NDAS";
289;296000;29;"Impairment of investments and advances to subsidiaries";"immobilisation";;1;;;;;2;"NDAS";
290;296100;296000;"Equity";"immobilisation";;1;;;;;1;"NDAS";
291;296600;296000;"Forms of participation";"immobilisation";;1;;;;;2;"NDAS";
292;296700;296000;"Receivables from affiliates (same breakdown as the 267)";"immobilisation";;1;;;;;2;"NDAS";
293;296800;296000;"Receivables from associated companies (same breakdown as Account 268)";"immobilisation";;1;;;;;2;"NDAS";
294;297000;29;"Impairment of other investments";"immobilisation";;1;;;;;2;"NDAS";
295;297100;297000;"Other investments other than investment securities portfolio of activity - property rights (breakdown: 271)";"immobilisation";;1;;;;;1;"NDAS";
296;297200;297000;"Investment securities - debt securities (same breakdown as Account 272)";"immobilisation";;1;;;;;2;"NDAS";
297;297300;297000;"Investment securities portfolio activity";"immobilisation";;1;;;;;2;"NDAS";
298;297400;297000;"Loans (same breakdown as Account 274)";"immobilisation";;1;;;;;2;"NDAS";
299;297500;297000;"Deposits and guarantees paid (same breakdown as the account 275)";"immobilisation";;1;;;;;1;"NDAS";
300;297600;297000;"Other long term receivables (same breakdown as Account 276)";"immobilisation";;1;;;;;1;"NDAS";
301;31;"CL3";"Raw materials (and delivery)";"view";;1;;;;;2;"NDAS";
302;311000;31;"Material (or group) A";"currentAsset";;1;;;;;2;"NDAS";
303;312000;31;"Material (or group) B";"currentAsset";;1;;;;;2;"NDAS";
304;317000;31;"Supplies A, B, C, ..";"currentAsset";;1;;;;;2;"NDAS";
305;32;"CL3";"Other supplies";"view";;1;;;;;2;"NDAS";
306;321000;32;"Consumables";"currentAsset";;1;;;;;2;"NDAS";
307;321100;321000;"Material (or group) C";"currentAsset";;1;;;;;2;"NDAS";
308;321200;321000;"Material (or group) D";"currentAsset";;1;;;;;2;"NDAS";
309;322000;32;"Consumables";"currentAsset";;1;;;;;2;"NDAS";
310;322100;322000;"Fuels";"currentAsset";;1;;;;;2;"NDAS";
311;322200;322000;"Cleaning Products";"currentAsset";;1;;;;;2;"NDAS";
312;322300;322000;"Shop Supplies and plant";"currentAsset";;1;;;;;2;"NDAS";
313;322400;322000;"Store supplies";"currentAsset";;1;;;;;2;"NDAS";
314;322500;322000;"Office Supplies";"currentAsset";;1;;;;;2;"NDAS";
315;326000;32;"Packaging";"currentAsset";;1;;;;;2;"NDAS";
316;326100;326000;"Packaging waste";"currentAsset";;1;;;;;2;"NDAS";
317;326500;326000;"Returnable packaging unidentifiable";"currentAsset";;1;;;;;2;"NDAS";
318;326700;326000;"Mixed-use packaging";"currentAsset";;1;;;;;2;"NDAS";
319;33;"CL3";"In-process goods";"view";;1;;;;;2;"NDAS";
320;331000;33;"Products in";"currentAsset";;1;;;;;2;"NDAS";
321;331100;331000;"Product in P 1";"currentAsset";;1;;;;;2;"NDAS";
322;331200;331000;"Product in P 2";"currentAsset";;1;;;;;2;"NDAS";
323;335000;33;"Work in progress";"currentAsset";;1;;;;;2;"NDAS";
324;335100;335000;"Work in Progress T 1";"currentAsset";;1;;;;;2;"NDAS";
325;335200;335000;"Work in Progress T 2";"currentAsset";;1;;;;;2;"NDAS";
326;34;"CL3";"In-process services";"view";;1;;;;;2;"NDAS";
327;341000;34;"Ongoing Studies";"currentAsset";;1;;;;;2;"NDAS";
328;341100;341000;"Ongoing Studies E 1";"currentAsset";;1;;;;;2;"NDAS";
329;341200;341000;"Ongoing studies E 2";"currentAsset";;1;;;;;2;"NDAS";
330;345000;34;"Services being";"currentAsset";;1;;;;;2;"NDAS";
331;345100;345000;"Services S 1";"currentAsset";;1;;;;;2;"NDAS";
332;345200;345000;"Services S 2";"currentAsset";;1;;;;;2;"NDAS";
333;35;"CL3";"Product Stocks";"view";;1;;;;;2;"NDAS";
334;351000;35;"Intermediates";"currentAsset";;1;;;;;2;"NDAS";
335;351100;351000;"Intermediate products (or group) A";"currentAsset";;1;;;;;2;"NDAS";
336;351200;351000;"Intermediate products (or group) B";"currentAsset";;1;;;;;2;"NDAS";
337;355000;35;"Finished Products";"currentAsset";;1;;;;;2;"NDAS";
