"code_fichier";"description_operation";"date_fin";"nom_fichier";"code_operation";"libelle_operation";"description_operation";"operation_technique";"virement";"prelevement";"prelevement_sepa";"lcr_bor";"cheque";"importId"
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"A1";"Prélèvements SEPA émis";;;;;;;;89
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"A2";"Prélèvements SEPA interentreprises émis";;;;;;;;90
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"A3";"Prélèvements SEPA rejetés/impayés émis (par le débiteur ou sa banque - « R-transaction »)";;;;;;;;91
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"A4";"Prélèvements SEPA interentreprises rejetés/impayés émis (par le débiteur ou sa banque -« R-transaction »)";;;;;;;;92
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"A5";"Prélèvements SEPA – reversements émis (par le créancier ou sa banque « R-transaction »)";;;;;;;;93
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"A6";"Prélèvements SEPA interentreprises – reversements émis (par le créancier ou sa banque « R-transaction »)";;;;;;;;94
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"B1";"Prélèvements SEPA domiciliés";;;;;;;;95
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"B2";"Prélèvements SEPA interentreprises domiciliés";;;;;;;;96
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"B3";"Prélèvements SEPA rejetés/impayés reçus (par le créancier - « R-transaction »)";;;;;;;;97
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"B4";"Prélèvements SEPA interentreprises rejetés/impayés reçus (par le créancier - « R-transaction »)";;;;;;;;98
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"B5";"Prélèvements SEPA – reversements reçus (par le débiteur - « R-transaction »)";;;;;;;;99
"OPERATION";"Codes opérations restitués dans les relevés de compte.";;"Opérations CFONB";"B6";"Prélèvements SEPA interentreprises – reversements reçus (par le débiteur - « R-transaction »)";;;;;;;;100
