"code";"wording";"supplementaryUnit";"parentCode"
"0102 31 00";"Animaux vivants de l'espèce bovine > Buffles > reproducteurs de race pure";"p/st";"0102"
"0102 39";"Animaux vivants de l'espèce bovine > Buffles > autres";"";"0102"
"0102 39 10";"Animaux vivants de l'espèce bovine > Buffles > autres > des espèces domestiques";"p/st";"0102 39"
"0102 39 90";"Animaux vivants de l'espèce bovine > Buffles > autres > autres";"p/st";"0102 39"
"0102 90";"Animaux vivants de l'espèce bovine > autres";"";"0102"
"0102 90 20";"Animaux vivants de l'espèce bovine > autres > reproducteurs de race pure";"p/st";"0102 90"
"0102 90 91";"Animaux vivants de l'espèce bovine > autres > autres > des espèces domestiques";"p/st";"0102 90"
"0102 90 99";"Animaux vivants de l'espèce bovine > autres > autres > autres";"p/st";"0102 90"
"0103";"Animaux vivants de l'espèce porcine";"";"01"
"0103 10 00";"Animaux vivants de l'espèce porcine > reproducteurs de race pure";"p/st";"0103"
"0103 91";"Animaux vivants de l'espèce porcine > autres > d'un poids inférieur à 50 kg";"";"0103"
"0103 91 10";"Animaux vivants de l'espèce porcine > autres > d'un poids inférieur à 50 kg > des espèces domestiques";"p/st";"0103 91"
"0103 91 90";"Animaux vivants de l'espèce porcine > autres > d'un poids inférieur à 50 kg > autres";"p/st";"0103 91"
"0103 92";"Animaux vivants de l'espèce porcine > autres > d'un poids égal ou supérieur à 50 kg";"";"0103"
"0103 92 11";"Animaux vivants de l'espèce porcine > autres > d'un poids égal ou supérieur à 50 kg > des espèces domestiques > Truies ayant mis bas au moins une fois et d'un poids minimal de 160 kg";"p/st";"0103 92"
"0103 92 19";"Animaux vivants de l'espèce porcine > autres > d'un poids égal ou supérieur à 50 kg > des espèces domestiques > autres";"p/st";"0103 92"
"0103 92 90";"Animaux vivants de l'espèce porcine > autres > d'un poids égal ou supérieur à 50 kg > autres";"p/st";"0103 92"
"0104";"Animaux vivants des espèces ovine ou caprine";"";"01"
"0104 10";"Animaux vivants des espèces ovine ou caprine > de l'espèce ovine";"";"0104"
"0104 10 10";"Animaux vivants des espèces ovine ou caprine > de l'espèce ovine > reproducteurs de race pure";"p/st";"0104 10"
"0104 10 30";"Animaux vivants des espèces ovine ou caprine > de l'espèce ovine > autres > Agneaux (jusqu'à l'âge d'un an)";"p/st";"0104 10"
"0104 10 80";"Animaux vivants des espèces ovine ou caprine > de l'espèce ovine > autres > autres";"p/st";"0104 10"
"0104 20";"Animaux vivants des espèces ovine ou caprine > de l'espèce caprine";"";"0104"
"0104 20 10";"Animaux vivants des espèces ovine ou caprine > de l'espèce caprine > reproducteurs de race pure";"p/st";"0104 20"
"0104 20 90";"Animaux vivants des espèces ovine ou caprine > de l'espèce caprine > autres";"p/st";"0104 20"
"0105";"Coqs, poules, canards, oies, dindons, dindes et pintades, vivants, des espèces domestiques";"";"01"
"0105 11";"Coqs, poules, canards, oies, dindons, dindes et pintades, vivants, des espèces domestiques > d'un poids n'excédant pas 185 g > Volailles de l'espèce Gallus domesticus";"";"0105"
"0105 11 11";"Coqs, poules, canards, oies, dindons, dindes et pintades, vivants, des espèces domestiques > d'un poids n'excédant pas 185 g > Volailles de l'espèce Gallus domesticus > Poussins femelles de sélection et de multiplication > de race de ponte";"p/st";"0105 11"
"0105 11 19";"Coqs, poules, canards, oies, dindons, dindes et pintades, vivants, des espèces domestiques > d'un poids n'excédant pas 185 g > Volailles de l'espèce Gallus domesticus > Poussins femelles de sélection et de multiplication > autres";"p/st";"0105 11"
"0105 11 91";"Coqs, poules, canards, oies, dindons, dindes et pintades, vivants, des espèces domestiques > d'un poids n'excédant pas 185 g > Volailles de l'espèce Gallus domesticus > autres > de race de ponte";"p/st";"0105 11"
"0105 11 99";"Coqs, poules, canards, oies, dindons, dindes et pintades, vivants, des espèces domestiques > d'un poids n'excédant pas 185 g > Volailles de l'espèce Gallus domesticus > autres > autres";"p/st";"0105 11"
"0105 12 00";"Coqs, poules, canards, oies, dindons, dindes et pintades, vivants, des espèces domestiques > d'un poids n'excédant pas 185 g > Dindes et dindons";"p/st";"0105"
"0105 13 00";"Coqs, poules, canards, oies, dindons, dindes et pintades, vivants, des espèces domestiques > d'un poids n'excédant pas 185 g > Canards";"p/st";"0105"
"0105 14 00";"Coqs, poules, canards, oies, dindons, dindes et pintades, vivants, des espèces domestiques > d'un poids n'excédant pas 185 g > Oies";"p/st";"0105"
"0105 15 00";"Coqs, poules, canards, oies, dindons, dindes et pintades, vivants, des espèces domestiques > d'un poids n'excédant pas 185 g > Pintades";"p/st";"0105"
"0105 94 00";"Coqs, poules, canards, oies, dindons, dindes et pintades, vivants, des espèces domestiques > autres > Volailles de l'espèce Gallus domesticus";"p/st";"0105"
"0105 99";"Coqs, poules, canards, oies, dindons, dindes et pintades, vivants, des espèces domestiques > autres > autres";"";"0105"
"0105 99 10";"Coqs, poules, canards, oies, dindons, dindes et pintades, vivants, des espèces domestiques > autres > autres > Canards";"p/st";"0105 99"
"0105 99 20";"Coqs, poules, canards, oies, dindons, dindes et pintades, vivants, des espèces domestiques > autres > autres > Oies";"p/st";"0105 99"
"0105 99 30";"Coqs, poules, canards, oies, dindons, dindes et pintades, vivants, des espèces domestiques > autres > autres > Dindes et dindons";"p/st";"0105 99"
"0105 99 50";"Coqs, poules, canards, oies, dindons, dindes et pintades, vivants, des espèces domestiques > autres > autres > Pintades";"p/st";"0105 99"
"0106";"Autres animaux vivants";"";"01"
"0106 11 00";"Autres animaux vivants > Mammifères > Primates";"p/st";"0106"
"0106 12 00";"Autres animaux vivants > Mammifères > Baleines, dauphins et marsouins (mammifères de l’ordre Cetacea); lamantins et dugongs (mammifères de l’ordre Sirenia); otaries et phoques, lions de mer et morses (mammifères du sous-ordre Pinnipedia)";"p/st";"0106"
"0106 13 00";"Autres animaux vivants > Mammifères > Chameaux et autres camélidés (Camelidae)";"p/st";"0106"
"0106 14";"Autres animaux vivants > Mammifères > Lapins et lièvres";"";"0106"
"0106 14 10";"Autres animaux vivants > Mammifères > Lapins et lièvres > Lapins domestiques";"p/st";"0106 14"
"0106 14 90";"Autres animaux vivants > Mammifères > Lapins et lièvres > autres";"-";"0106 14"
"0106 19 00";"Autres animaux vivants > Mammifères > autres";"-";"0106"
"0106 20 00";"Autres animaux vivants > Reptiles (y compris les serpents et les tortues de mer)";"p/st";"0106"
"0106 31 00";"Autres animaux vivants > Oiseaux > Oiseaux de proie";"p/st";"0106"
"0106 32 00";"Autres animaux vivants > Oiseaux > Psittaciformes (y compris les perroquets, perruches, aras et cacatoès)";"p/st";"0106"
"0106 33 00";"Autres animaux vivants > Oiseaux > Autruches; émeus (Dromaius novaehollandiae).";"p/st";"0106"
"0106 39";"Autres animaux vivants > Oiseaux > autres";"";"0106"
"0106 39 10";"Autres animaux vivants > Oiseaux > autres > Pigeons";"p/st";"0106 39"
"0106 39 80";"Autres animaux vivants > Oiseaux > autres > autres";"-";"0106 39"
"0106 41 00";"Autres animaux vivants > Insectes > Abeilles";"-";"0106"
"0106 49 00";"Autres animaux vivants > Insectes > Autres";"-";"0106"
"0106 90 00";"Autres animaux vivants > autres";"-";"0106"
"02";"CHAPITRE 2 - VIANDES ET ABATS COMESTIBLES";"";""
"0201";"Viandes des animaux de l'espèce bovine, fraîches ou réfrigérées";"";"02"
"0201 10 00";"Viandes des animaux de l'espèce bovine, fraîches ou réfrigérées > en carcasses ou demi-carcasses";"-";"0201"
"0201 20";"Viandes des animaux de l'espèce bovine, fraîches ou réfrigérées > autres morceaux non désossés";"";"0201"
"0201 20 20";"Viandes des animaux de l'espèce bovine, fraîches ou réfrigérées > autres morceaux non désossés > Quartiers dits « compensés »";"-";"0201 20"
"0201 20 30";"Viandes des animaux de l'espèce bovine, fraîches ou réfrigérées > autres morceaux non désossés > Quartiers avant attenants ou séparés";"-";"0201 20"
"0201 20 50";"Viandes des animaux de l'espèce bovine, fraîches ou réfrigérées > autres morceaux non désossés > Quartiers arrière attenants ou séparés";"-";"0201 20"
"0201 20 90";"Viandes des animaux de l'espèce bovine, fraîches ou réfrigérées > autres morceaux non désossés > autres";"-";"0201 20"
"0201 30 00";"Viandes des animaux de l'espèce bovine, fraîches ou réfrigérées > désossées";"-";"0201"
"0202";"Viandes des animaux de l'espèce bovine, congelées";"";"02"
"0202 10 00";"Viandes des animaux de l'espèce bovine, congelées > en carcasses ou demi-carcasses";"-";"0202"
"0202 20";"Viandes des animaux de l'espèce bovine, congelées > autres morceaux non désossés";"";"0202"
"0202 20 10";"Viandes des animaux de l'espèce bovine, congelées > autres morceaux non désossés > Quartiers dits « compensés »";"-";"0202 20"
"0202 20 30";"Viandes des animaux de l'espèce bovine, congelées > autres morceaux non désossés > Quartiers avant attenants ou séparés";"-";"0202 20"
"0202 20 50";"Viandes des animaux de l'espèce bovine, congelées > autres morceaux non désossés > Quartiers arrière attenants ou séparés";"-";"0202 20"
"0202 20 90";"Viandes des animaux de l'espèce bovine, congelées > autres morceaux non désossés > autres";"-";"0202 20"
"0202 30";"Viandes des animaux de l'espèce bovine, congelées > désossées";"";"0202"
"0202 30 10";"Viandes des animaux de l'espèce bovine, congelées > désossées > Quartiers avant, entiers ou découpés en cinq morceaux au maximum, chaque quartier avant étant présenté en un seul bloc de congélation; quartiers dits « compensés » présentés en deux blocs de congélation contenant, l'un, le quartier avant entier ou découpé en cinq morceaux au maximum, et l'autre, le quartier arrière, à l'exclusion du filet, en un seul morceau";"-";"0202 30"
"0202 30 50";"Viandes des animaux de l'espèce bovine, congelées > désossées > Découpes de quartiers avant et de poitrines dites « australiennes »";"-";"0202 30"
"0202 30 90";"Viandes des animaux de l'espèce bovine, congelées > désossées > autres";"-";"0202 30"
"0203";"Viandes des animaux de l'espèce porcine, fraîches, réfrigérées ou congelées";"";"02"
"0203 11";"Viandes des animaux de l'espèce porcine, fraîches, réfrigérées ou congelées > fraîches ou réfrigérées > en carcasses ou demi-carcasses";"";"0203"
"0203 11 10";"Viandes des animaux de l'espèce porcine, fraîches, réfrigérées ou congelées > fraîches ou réfrigérées > en carcasses ou demi-carcasses > des animaux de l'espèce porcine domestique";"-";"0203 11"
"0203 11 90";"Viandes des animaux de l'espèce porcine, fraîches, réfrigérées ou congelées > fraîches ou réfrigérées > en carcasses ou demi-carcasses > autres";"-";"0203 11"
"0203 12";"Viandes des animaux de l'espèce porcine, fraîches, réfrigérées ou congelées > fraîches ou réfrigérées > Jambons, épaules et leurs morceaux, non désossés";"";"0203"
"0203 12 11";"Viandes des animaux de l'espèce porcine, fraîches, réfrigérées ou congelées > fraîches ou réfrigérées > Jambons, épaules et leurs morceaux, non désossés > des animaux de l'espèce porcine domestique > Jambons et morceaux de jambons";"-";"0203 12"
"0203 12 19";"Viandes des animaux de l'espèce porcine, fraîches, réfrigérées ou congelées > fraîches ou réfrigérées > Jambons, épaules et leurs morceaux, non désossés > des animaux de l'espèce porcine domestique > Épaules et morceaux d'épaules";"-";"0203 12"
"0203 12 90";"Viandes des animaux de l'espèce porcine, fraîches, réfrigérées ou congelées > fraîches ou réfrigérées > Jambons, épaules et leurs morceaux, non désossés > autres";"-";"0203 12"
"0203 19";"Viandes des animaux de l'espèce porcine, fraîches, réfrigérées ou congelées > fraîches ou réfrigérées > autres";"";"0203"
"0203 19 11";"Viandes des animaux de l'espèce porcine, fraîches, réfrigérées ou congelées > fraîches ou réfrigérées > autres > des animaux de l'espèce porcine domestique > Parties avant et morceaux de parties avant";"-";"0203 19"
"0203 19 13";"Viandes des animaux de l'espèce porcine, fraîches, réfrigérées ou congelées > fraîches ou réfrigérées > autres > des animaux de l'espèce porcine domestique > Longes et morceaux de longes";"-";"0203 19"
"0203 19 15";"Viandes des animaux de l'espèce porcine, fraîches, réfrigérées ou congelées > fraîches ou réfrigérées > autres > des animaux de l'espèce porcine domestique > Poitrines (entrelardées) et morceaux de poitrines";"-";"0203 19"
"0203 19 55";"Viandes des animaux de l'espèce porcine, fraîches, réfrigérées ou congelées > fraîches ou réfrigérées > autres > des animaux de l'espèce porcine domestique > autres > désossées";"-";"0203 19"
"0203 19 59";"Viandes des animaux de l'espèce porcine, fraîches, réfrigérées ou congelées > fraîches ou réfrigérées > autres > des animaux de l'espèce porcine domestique > autres > autres";"-";"0203 19"
"0203 19 90";"Viandes des animaux de l'espèce porcine, fraîches, réfrigérées ou congelées > fraîches ou réfrigérées > autres > autres";"-";"0203 19"
"0203 21";"Viandes des animaux de l'espèce porcine, fraîches, réfrigérées ou congelées > congelées > en carcasses ou demi-carcasses";"";"0203"
"0203 21 10";"Viandes des animaux de l'espèce porcine, fraîches, réfrigérées ou congelées > congelées > en carcasses ou demi-carcasses > des animaux de l'espèce porcine domestique";"-";"0203 21"
"0203 21 90";"Viandes des animaux de l'espèce porcine, fraîches, réfrigérées ou congelées > congelées > en carcasses ou demi-carcasses > autres";"-";"0203 21"
"0203 22";"Viandes des animaux de l'espèce porcine, fraîches, réfrigérées ou congelées > congelées > Jambons, épaules et leurs morceaux, non désossés";"";"0203"
"0203 22 11";"Viandes des animaux de l'espèce porcine, fraîches, réfrigérées ou congelées > congelées > Jambons, épaules et leurs morceaux, non désossés > des animaux de l'espèce porcine domestique > Jambons et morceaux de jambons";"-";"0203 22"
"0203 22 19";"Viandes des animaux de l'espèce porcine, fraîches, réfrigérées ou congelées > congelées > Jambons, épaules et leurs morceaux, non désossés > des animaux de l'espèce porcine domestique > Épaules et morceaux d'épaules";"-";"0203 22"
"0203 22 90";"Viandes des animaux de l'espèce porcine, fraîches, réfrigérées ou congelées > congelées > Jambons, épaules et leurs morceaux, non désossés > autres";"-";"0203 22"
"0203 29";"Viandes des animaux de l'espèce porcine, fraîches, réfrigérées ou congelées > congelées > autres";"";"0203"
"0203 29 11";"Viandes des animaux de l'espèce porcine, fraîches, réfrigérées ou congelées > congelées > autres > des animaux de l'espèce porcine domestique > Parties avant et morceaux de parties avant";"-";"0203 29"
"0203 29 13";"Viandes des animaux de l'espèce porcine, fraîches, réfrigérées ou congelées > congelées > autres > des animaux de l'espèce porcine domestique > Longes et morceaux de longes";"-";"0203 29"
"0203 29 15";"Viandes des animaux de l'espèce porcine, fraîches, réfrigérées ou congelées > congelées > autres > des animaux de l'espèce porcine domestique > Poitrines (entrelardées) et morceaux de poitrines";"-";"0203 29"
"0203 29 55";"Viandes des animaux de l'espèce porcine, fraîches, réfrigérées ou congelées > congelées > autres > des animaux de l'espèce porcine domestique > autres > désossées";"-";"0203 29"
"0203 29 59";"Viandes des animaux de l'espèce porcine, fraîches, réfrigérées ou congelées > congelées > autres > des animaux de l'espèce porcine domestique > autres > autres";"-";"0203 29"
"0203 29 90";"Viandes des animaux de l'espèce porcine, fraîches, réfrigérées ou congelées > congelées > autres > autres";"-";"0203 29"
"0204";"Viandes des animaux des espèces ovine ou caprine, fraîches, réfrigérées ou congelées";"";"02"
"0204 10 00";"Viandes des animaux des espèces ovine ou caprine, fraîches, réfrigérées ou congelées > Carcasses et demi-carcasses d'agneau, fraîches ou réfrigérées";"-";"0204"
"0204 21 00";"Viandes des animaux des espèces ovine ou caprine, fraîches, réfrigérées ou congelées > autres viandes des animaux de l'espèce ovine, fraîches ou réfrigérées > en carcasses ou demi-carcasses";"-";"0204"
"0204 22";"Viandes des animaux des espèces ovine ou caprine, fraîches, réfrigérées ou congelées > autres viandes des animaux de l'espèce ovine, fraîches ou réfrigérées > en autres morceaux non désossés";"";"0204"
"0204 22 10";"Viandes des animaux des espèces ovine ou caprine, fraîches, réfrigérées ou congelées > autres viandes des animaux de l'espèce ovine, fraîches ou réfrigérées > en autres morceaux non désossés > Casque ou demi-casque";"-";"0204 22"
"0204 22 30";"Viandes des animaux des espèces ovine ou caprine, fraîches, réfrigérées ou congelées > autres viandes des animaux de l'espèce ovine, fraîches ou réfrigérées > en autres morceaux non désossés > Carré et/ou selle ou demi-carré et/ou demi-selle";"-";"0204 22"
"0204 22 50";"Viandes des animaux des espèces ovine ou caprine, fraîches, réfrigérées ou congelées > autres viandes des animaux de l'espèce ovine, fraîches ou réfrigérées > en autres morceaux non désossés > Culotte ou demi-culotte";"-";"0204 22"
"0204 22 90";"Viandes des animaux des espèces ovine ou caprine, fraîches, réfrigérées ou congelées > autres viandes des animaux de l'espèce ovine, fraîches ou réfrigérées > en autres morceaux non désossés > autres";"-";"0204 22"
"0204 23 00";"Viandes des animaux des espèces ovine ou caprine, fraîches, réfrigérées ou congelées > autres viandes des animaux de l'espèce ovine, fraîches ou réfrigérées > désossées";"-";"0204"
"0204 30 00";"Viandes des animaux des espèces ovine ou caprine, fraîches, réfrigérées ou congelées > Carcasses et demi-carcasses d'agneau, congelées";"-";"0204"
"0204 41 00";"Viandes des animaux des espèces ovine ou caprine, fraîches, réfrigérées ou congelées > autres viandes des animaux de l'espèce ovine, congelées > en carcasses ou demi-carcasses";"-";"0204"
"0204 42";"Viandes des animaux des espèces ovine ou caprine, fraîches, réfrigérées ou congelées > autres viandes des animaux de l'espèce ovine, congelées > en autres morceaux non désossés";"";"0204"
"0204 42 10";"Viandes des animaux des espèces ovine ou caprine, fraîches, réfrigérées ou congelées > autres viandes des animaux de l'espèce ovine, congelées > en autres morceaux non désossés > Casque ou demi-casque";"-";"0204 42"
"0204 42 30";"Viandes des animaux des espèces ovine ou caprine, fraîches, réfrigérées ou congelées > autres viandes des animaux de l'espèce ovine, congelées > en autres morceaux non désossés > Carré et/ou selle ou demi-carré et/ou demi-selle";"-";"0204 42"
"0204 42 50";"Viandes des animaux des espèces ovine ou caprine, fraîches, réfrigérées ou congelées > autres viandes des animaux de l'espèce ovine, congelées > en autres morceaux non désossés > Culotte ou demi-culotte";"-";"0204 42"
"0204 42 90";"Viandes des animaux des espèces ovine ou caprine, fraîches, réfrigérées ou congelées > autres viandes des animaux de l'espèce ovine, congelées > en autres morceaux non désossés > autres";"-";"0204 42"
"0204 43";"Viandes des animaux des espèces ovine ou caprine, fraîches, réfrigérées ou congelées > autres viandes des animaux de l'espèce ovine, congelées > désossées";"";"0204"
"0204 43 10";"Viandes des animaux des espèces ovine ou caprine, fraîches, réfrigérées ou congelées > autres viandes des animaux de l'espèce ovine, congelées > désossées > d'agneau";"-";"0204 43"
"0204 43 90";"Viandes des animaux des espèces ovine ou caprine, fraîches, réfrigérées ou congelées > autres viandes des animaux de l'espèce ovine, congelées > désossées > autres";"-";"0204 43"
"0204 50";"Viandes des animaux des espèces ovine ou caprine, fraîches, réfrigérées ou congelées > Viandes des animaux de l'espèce caprine";"";"0204"
"0204 50 11";"Viandes des animaux des espèces ovine ou caprine, fraîches, réfrigérées ou congelées > Viandes des animaux de l'espèce caprine > fraîches ou réfrigérées > Carcasses ou demi-carcasses";"-";"0204 50"
"0204 50 13";"Viandes des animaux des espèces ovine ou caprine, fraîches, réfrigérées ou congelées > Viandes des animaux de l'espèce caprine > fraîches ou réfrigérées > Casque ou demi-casque";"-";"0204 50"
"0204 50 15";"Viandes des animaux des espèces ovine ou caprine, fraîches, réfrigérées ou congelées > Viandes des animaux de l'espèce caprine > fraîches ou réfrigérées > Carré et/ou selle ou demi-carré et/ou demi-selle";"-";"0204 50"
"0204 50 19";"Viandes des animaux des espèces ovine ou caprine, fraîches, réfrigérées ou congelées > Viandes des animaux de l'espèce caprine > fraîches ou réfrigérées > Culotte ou demi-culotte";"-";"0204 50"
"0204 50 31";"Viandes des animaux des espèces ovine ou caprine, fraîches, réfrigérées ou congelées > Viandes des animaux de l'espèce caprine > fraîches ou réfrigérées > autres > Morceaux non désossés";"-";"0204 50"
"0204 50 39";"Viandes des animaux des espèces ovine ou caprine, fraîches, réfrigérées ou congelées > Viandes des animaux de l'espèce caprine > fraîches ou réfrigérées > autres > Morceaux désossés";"-";"0204 50"
"0204 50 51";"Viandes des animaux des espèces ovine ou caprine, fraîches, réfrigérées ou congelées > Viandes des animaux de l'espèce caprine > congelées > Carcasses ou demi-carcasses";"-";"0204 50"
"0204 50 53";"Viandes des animaux des espèces ovine ou caprine, fraîches, réfrigérées ou congelées > Viandes des animaux de l'espèce caprine > congelées > Casque ou demi-casque";"-";"0204 50"
"0204 50 55";"Viandes des animaux des espèces ovine ou caprine, fraîches, réfrigérées ou congelées > Viandes des animaux de l'espèce caprine > congelées > Carré et/ou selle ou demi-carré et/ou demi-selle";"-";"0204 50"
"0204 50 59";"Viandes des animaux des espèces ovine ou caprine, fraîches, réfrigérées ou congelées > Viandes des animaux de l'espèce caprine > congelées > Culotte ou demi-culotte";"-";"0204 50"
"0204 50 71";"Viandes des animaux des espèces ovine ou caprine, fraîches, réfrigérées ou congelées > Viandes des animaux de l'espèce caprine > congelées > autres > Morceaux non désossés";"-";"0204 50"
"0204 50 79";"Viandes des animaux des espèces ovine ou caprine, fraîches, réfrigérées ou congelées > Viandes des animaux de l'espèce caprine > congelées > autres > Morceaux désossés";"-";"0204 50"
"0205 00";"Viandes des animaux des espèces chevaline, asine ou mulassière, fraîches, réfrigérées ou congelées";"";"02"
"0205 00 20";"Viandes des animaux des espèces chevaline, asine ou mulassière, fraîches, réfrigérées ou congelées > fraîches ou réfrigérées";"-";"0205 00"
"0205 00 80";"Viandes des animaux des espèces chevaline, asine ou mulassière, fraîches, réfrigérées ou congelées > congelées";"-";"0205 00"
"0206";"Abats comestibles des animaux des espèces bovine, porcine, ovine, caprine, chevaline, asine ou mulassière, frais, réfrigérés ou congelés";"";"02"
"0206 10";"Abats comestibles des animaux des espèces bovine, porcine, ovine, caprine, chevaline, asine ou mulassière, frais, réfrigérés ou congelés > de l'espèce bovine, frais ou réfrigérés";"";"0206"
"0206 10 10";"Abats comestibles des animaux des espèces bovine, porcine, ovine, caprine, chevaline, asine ou mulassière, frais, réfrigérés ou congelés > de l'espèce bovine, frais ou réfrigérés > destinés à la fabrication de produits pharmaceutiques";"-";"0206 10"
"0206 10 95";"Abats comestibles des animaux des espèces bovine, porcine, ovine, caprine, chevaline, asine ou mulassière, frais, réfrigérés ou congelés > de l'espèce bovine, frais ou réfrigérés > autres > Onglets et hampes";"-";"0206 10"
"0206 10 98";"Abats comestibles des animaux des espèces bovine, porcine, ovine, caprine, chevaline, asine ou mulassière, frais, réfrigérés ou congelés > de l'espèce bovine, frais ou réfrigérés > autres > autres";"-";"0206 10"
"0206 21 00";"Abats comestibles des animaux des espèces bovine, porcine, ovine, caprine, chevaline, asine ou mulassière, frais, réfrigérés ou congelés > de l'espèce bovine, congelés > Langues";"-";"0206"
"0206 22 00";"Abats comestibles des animaux des espèces bovine, porcine, ovine, caprine, chevaline, asine ou mulassière, frais, réfrigérés ou congelés > de l'espèce bovine, congelés > Foies";"-";"0206"
"0206 29";"Abats comestibles des animaux des espèces bovine, porcine, ovine, caprine, chevaline, asine ou mulassière, frais, réfrigérés ou congelés > de l'espèce bovine, congelés > autres";"";"0206"
"0206 29 10";"Abats comestibles des animaux des espèces bovine, porcine, ovine, caprine, chevaline, asine ou mulassière, frais, réfrigérés ou congelés > de l'espèce bovine, congelés > autres > destinés à la fabrication de produits pharmaceutiques";"-";"0206 29"
"0206 29 91";"Abats comestibles des animaux des espèces bovine, porcine, ovine, caprine, chevaline, asine ou mulassière, frais, réfrigérés ou congelés > de l'espèce bovine, congelés > autres > autres > Onglets et hampes";"-";"0206 29"
"0206 29 99";"Abats comestibles des animaux des espèces bovine, porcine, ovine, caprine, chevaline, asine ou mulassière, frais, réfrigérés ou congelés > de l'espèce bovine, congelés > autres > autres > autres";"-";"0206 29"
"0206 30 00";"Abats comestibles des animaux des espèces bovine, porcine, ovine, caprine, chevaline, asine ou mulassière, frais, réfrigérés ou congelés > de l'espèce porcine, frais ou réfrigérés";"-";"0206"
"0206 41 00";"Abats comestibles des animaux des espèces bovine, porcine, ovine, caprine, chevaline, asine ou mulassière, frais, réfrigérés ou congelés > de l'espèce porcine, congelés > Foies";"-";"0206"
"0206 49 00";"Abats comestibles des animaux des espèces bovine, porcine, ovine, caprine, chevaline, asine ou mulassière, frais, réfrigérés ou congelés > de l'espèce porcine, congelés > autres";"-";"0206"
"0206 80";"Abats comestibles des animaux des espèces bovine, porcine, ovine, caprine, chevaline, asine ou mulassière, frais, réfrigérés ou congelés > autres, frais ou réfrigérés";"";"0206"
