"importId";"name";"engineSelect";"templateStr";"addressL2Str";"addressL3Str";"addressL4Str";"addressL5Str";"addressL6Str"
"11";"BRAZIL";"2";"${(Address.addressL2 == null) ? '' : Address.addressL2}
${(Address.addressL3 == null) ? '' : Address.addressL3}
${(Address.addressL4 == null) ? '' : Address.addressL4}
${(Address.addressL5 == null) ? '' : Address.addressL5}
${(Address.addressL6 == null) ? '' : Address.addressL6}
${(Address.country == null) ? '' : Address.country.name}";"${(Address.department == null) ? '' : Address.department}";"${(Address.streetName == null) ? '' : Address.streetName} ${(Address.buildingNumber == null) ? '' : ','+ Address.buildingNumber}";"${(Address.districtName == null) ? '' : Address.districtName}";"${(Address.townName == null) ? '' : Address.townName}${(Address.countrySubDivision == null) ? '' : '-'+ Address.countrySubDivision}";"${(Address.zip == null) ? '' : Address.zip}"
"12";"UNITED ARAB EMIRATES";"2";"${(Address.addressL5 == null) ? '' : Address.addressL5}
${(Address.addressL6 == null) ? '' : Address.addressL6}
${(Address.country == null) ? '' : Address.country.name}";;;;"${(Address.postBox == null) ? '' : Address.postBox}";"${(Address.city == null) ? '' : Address.city.name}"
"13";"GERMANY";"2";"${(Address.addressL2 == null) ? '' : Address.addressL2}
${(Address.addressL3 == null) ? '' : Address.addressL3}
${(Address.addressL4 == null) ? '' : Address.addressL4}
${(Address.addressL5 == null) ? '' : Address.addressL5}
${(Address.addressL6 == null) ? '' : Address.addressL6}
${(Address.country == null) ? '' : Address.country.name}";"${(Address.department == null) ? '' : Address.department}";"${(Address.buildingName == null) ? '' : Address.buildingName}" ;"${(Address.streetName == null) ? '' : Address.streetName} ${(Address.buildingNumber == null) ? '' : Address.buildingNumber}${(Address.room == null) ? '' : ' // Appartment '+Address.room}";"${(Address.postBox == null) ? '' : 'Postfach '+Address.postBox}";"${(Address.zip == null) ? '' : Address.zip} ${(Address.townName == null) ? '' : Address.townName}"
"14";"IRELAND";"2";"${(Address.addressL2 == null) ? '' : Address.addressL2}
${(Address.addressL3 == null) ? '' : Address.addressL3}
${(Address.addressL4 == null) ? '' : Address.addressL4}
${(Address.addressL5 == null) ? '' : Address.addressL5}
${(Address.addressL6 == null) ? '' : Address.addressL6}
${(Address.country == null) ? '' : Address.country.name}";"${(Address.buildingNumber == null) ? '' : Address.buildingNumber} ${(Address.streetName == null) ? '' : Address.streetName}" ;"${(Address.townName == null) ? '' : Address.townName}";"${(Address.postBox == null) ? '' : Address.postBox}";"${(Address.countrySubDivision == null) ? '' : Address.countrySubDivision}";"${(Address.zip == null) ? '' : Address.zip}"
"15";"ITALY";"2";"${(Address.addressL2 == null) ? '' : Address.addressL2}
${(Address.addressL3 == null) ? '' : Address.addressL3}
${(Address.addressL4 == null) ? '' : Address.addressL4}
${(Address.addressL5 == null) ? '' : Address.addressL5}
${(Address.addressL6 == null) ? '' : Address.addressL6}
${(Address.country == null) ? '' : Address.country.name}";"${(Address.department == null) ? '' : Address.department}";"${(Address.streetName == null) ? '' : Address.streetName} ${(Address.streetName == null && Address.townLocationName != null) ? Address.townLocationName : ''} ${(Address.buildingNumber == null) ? '' : Address.buildingNumber}" ;"${(Address.room == null) ? '' : 'INTERNO '+Address.room} ${(Address.floor == null) ? '' : 'PIANO '+Address.floor}";"${(Address.postBox == null) ? '' : 'CASELLA POSTALE '+Address.postBox}";"${(Address.zip == null) ? '' : Address.zip} ${(Address.townName == null) ? '' : Address.townName} ${(Address.countrySubDivision == null) ? '' : Address.countrySubDivision}"
"16";"JAPAN";"2";"${(Address.addressL2 == null) ? '' : Address.addressL2}
${(Address.addressL3 == null) ? '' : Address.addressL3}
${(Address.addressL4 == null) ? '' : Address.addressL4}
${(Address.addressL5 == null) ? '' : Address.addressL5}
${(Address.addressL6 == null) ? '' : Address.addressL6}, ${(Address.country == null) ? '' : Address.country.name}";"${(Address.department == null) ? '' : Address.department}";"${(Address.streetName == null) ? '' : Address.streetName}";"${(Address.postBox == null) ? '' : 'P.O. Box '+Address.postBox}";"${(Address.townName == null) ? '' : Address.townName}${(Address.countrySubDivision == null) ? '' : ', '+Address.countrySubDivision}";"${(Address.zip == null) ? '' : Address.zip}"
"17";"KOREA";"2";"${(Address.addressL2 == null) ? '' : Address.addressL5}
${(Address.addressL3 == null) ? '' : Address.addressL3}
${(Address.addressL4 == null) ? '' : Address.addressL4}
${(Address.addressL5 == null) ? '' : Address.addressL2}
${(Address.addressL6 == null) ? '' : Address.addressL6}
${(Address.country == null) ? '' : Address.country.name}";;"${(Address.buildingName == null) ? '' : ''+Address.buildingName} ${(Address.room == null) ? '' : ''+Address.room}";"${(Address.buildingNumber == null) ? '' : Address.buildingNumber}, ${(Address.streetName == null) ? '' : Address.streetName}, ${(Address.townName == null) ? '' : Address.townName}";"${(Address.postBox == null) ? '' : 'P.O. Box '+Address.postBox}";"${(Address.countrySubDivision == null) ? '' : ''+Address.countrySubDivision} ${(Address.zip == null) ? '' : ''+Address.zip}"
"18";"LUXEMBOURG";"2";"${(Address.addressL2 == null) ? '' : Address.addressL2}
${(Address.addressL3 == null) ? '' : Address.addressL3}
${(Address.addressL5 == null) ? '' : Address.addressL5}
${(Address.addressL6 == null) ? '' : Address.addressL6}, ${(Address.country == null) ? '' : Address.country.name}";"${(Address.department == null) ? '' : Address.department}";"${(Address.buildingNumber == null) ? '' : Address.buildingNumber} ${(Address.streetName == null) ? '' : Address.streetName}";;"${(Address.postBox == null) ? '' : ''+Address.postBox}";"${(Address.zip == null) ? '' : Address.zip} ${(Address.townName == null) ? '' : Address.townName}"
"19";"MEXICO";"2";"${(Address.addressL3 == null) ? '' : Address.addressL3}
${(Address.addressL4 == null) ? '' : Address.addressL4}
${(Address.addressL6 == null) ? '' : Address.addressL6}, ${(Address.country == null) ? '' : Address.country.name}";;"${(Address.streetName == null) ? '' : Address.streetName}${(Address.room == null) ? '' : '-'+Address.room}";"${(Address.districtName == null) ? '' : Address.districtName}";;"${(Address.zip == null) ? '' : Address.zip} ${(Address.townName == null) ? '' : Address.townName}${(Address.countrySubDivision == null) ? '' : ', '+Address.countrySubDivision}"
"20";"NETHERLANDS";"2";"${(Address.addressL2 == null) ? '' : Address.addressL2}
${(Address.addressL3 == null) ? '' : Address.addressL3}
${(Address.addressL4 == null) ? '' : Address.addressL4}
${(Address.addressL5 == null) ? '' : Address.addressL5}
${(Address.addressL6 == null) ? '' : Address.addressL6}
${(Address.country == null) ? '' : Address.country.name}";"${(Address.department == null) ? '' : Address.department}";"${(Address.buildingName == null) ? '' : ''+Address.buildingName} ${(Address.room == null) ? '' : ''+Address.room}";"${(Address.streetName == null) ? '' : Address.streetName} ${(Address.buildingNumber == null) ? '' : Address.buildingNumber}";"${(Address.postBox == null) ? '' : 'Postbus '+Address.postBox}";"${(Address.zip == null) ? '' : Address.zip} ${(Address.townName == null) ? '' : Address.townName}"
"21";"PARAGUAY";"2";"${(Address.addressL5 == null) ? '' : Address.addressL5}
${(Address.addressL4 == null) ? '' : Address.addressL4}
${(Address.addressL3 == null) ? '' : Address.addressL3}
${(Address.addressL2 == null) ? '' : Address.addressL2}
${(Address.addressL6 == null) ? '' : Address.addressL6}
${(Address.country == null) ? '' : Address.country.name}";"${(Address.department == null) ? '' : Address.department}";"${(Address.buildingName == null) ? '' : ''+Address.buildingName} ${(Address.floor == null) ? '' : ''+Address.floor} ${(Address.room == null) ? '' : ''+Address.room}";"${(Address.streetName == null) ? '' : Address.streetName} ${(Address.buildingNumber == null) ? '' : Address.buildingNumber}";"${(Address.postBox == null) ? '' : 'CC '+Address.postBox}";"${(Address.zip == null) ? '' : Address.zip} ${(Address.townName == null) ? '' : Address.townName} ${(Address.countrySubDivision == null) ? '' : ', '+Address.countrySubDivision}"
"23";"SINGAPORE";"2";"${(Address.addressL2 == null) ? '' : Address.addressL2}
${(Address.addressL5 == null) ? '' : Address.addressL5}
${(Address.addressL4 == null) ? '' : Address.addressL4}
${(Address.addressL3 == null) ? '' : Address.addressL3}
${(Address.country == null) ? '' : Address.country.name} ${(Address.addressL6 == null) ? '' : Address.addressL6}";"${(Address.department == null) ? '' : Address.department}";"${(Address.floor == null) ? '' : '#'+Address.floor}${(Address.floor != null && Address.room != null) ? '-' : ''}${(Address.room == null) ? '' : Address.room} ${(Address.buildingName == null) ? '' : Address.buildingName}";"${(Address.buildingNumber == null) ? '' : Address.buildingNumber} ${(Address.streetName == null) ? '' : Address.streetName}";"${(Address.subDepartment == null) ? '' : Address.subDepartment}";"${(Address.zip == null) ? '' : Address.zip}"
"24";"SPAIN";"2";"${(Address.addressL3 == null) ? '' : Address.addressL3}
${(Address.addressL4 == null) ? '' : Address.addressL4}
${(Address.addressL5 == null) ? '' : Address.addressL5}
${(Address.addressL6 == null) ? '' : Address.addressL6}
${(Address.addressL2 == null) ? '' : Address.addressL2}
${(Address.country == null) ? '' : Address.country.name}";"${(Address.countrySubDivision == null) ? '' : Address.countrySubDivision}";"${(Address.buildingName == null) ? '' : Address.buildingName}";"${(Address.streetName == null) ? '' : Address.streetName} ${(Address.buildingNumber == null) ? '' : Address.buildingNumber} ${(Address.floor == null) ? '' : ', '+Address.floor} ${(Address.room == null) ? '' : Address.room}";"${(Address.postBox == null) ? '' : Address.postBox}";"${(Address.zip == null) ? '' : Address.zip} ${(Address.townName == null) ? '' : Address.townName}"
