"ImportId";"addressL2";"addressL3";"addressL4";"addressL5";"addressL6";"addressL7Country.code"
38;;;"12 AVENUE DES CHAMPS-ELYSEES";;"75008 PARIS";"FRA"
39;;;"53 AVENUE HOCHE";;"75008 PARIS";"FRA"
40;;;"54 RUE DE RIVOLI";;"75001 PARIS";"FRA"
41;;;"97 AVENUE DE CHOISY";;"75013 PARIS";"FRA"
42;;;"21 RUE DE TURENNE";;"75003 PARIS";"FRA"
43;;;"49 RUE DES ARCHIVES";;"75003 PARIS";"FRA"
44;;;"69 RUE ETIENNE MARCEL";;"75001 PARIS";"FRA"
45;;;"3 RUE DE TIQUETONNE";;"75002 PARIS";"FRA"
46;;;"12 RUE ALBERT EINSTEIN";;"77420 CHAMPS SUR MARNE";"FRA"
47;;;"1 AVENUE LINGENFELD";;"77200 TORCY";"FRA"
48;;;"58 PLACE DU 11 NOVEMBRE";;"92240 MALAKOF";"FRA"
49;;;"12 RUE PABLO PICASSO";;"93000 BOBIGNY";"FRA"
50;;;"10 RUE DES ARCHIVES";;"94000 CRETEIL";"FRA"
51;;;"49 RUE DES GENOTTES";;"95000 CERGY";"FRA"
52;;;"51 BD RICHARD WALLACE";;"92800 PUTEAUX";"FRA"
53;;;"26 RUE DE BAGNOLET";;"75020 PARIS";"FRA"
54;;;"28 RUE DES PYRENEES";;"75020 PARIS";"FRA"
55;;;"43 AVENUE JEAN JAURES";;"75019 PARIS";"FRA"
56;;;"47 RUE DE MEAUX";;"75019 PARIS";"FRA"
57;;;"46 RUE ORDENER";;"75018 PARIS";"FRA"
58;;;"77 RUE MARCADET";;"75018 PARIS";"FRA"
59;;;"84 RUE DE TOCQUEVILLE";;"75017 PARIS";"FRA"
60;;;"56 BD MALESHERBES";;"75017 PARIS";"FRA"
61;;;"30 AVENUE GEORGES MANDEL";;"75016 PARIS";"FRA"
62;;;"44 AVENUE HENRI MARTIN";;"75016 PARIS";"FRA"
63;;;"30 AVENUE RAYMOND POINCARE";;"75016 PARIS";"FRA"
64;;;"54 RUE LECOURBE";;"75015 PARIS";"FRA"
65;;;"74 RUE VAUGIRARD";;"75015 PARIS";"FRA"
66;;;"72 AVENUE DU MAINE";;"75014 PARIS";"FRA"
67;;;"8 RUE D'ALESIA";;"75014 PARIS";"FRA"
68;;;"96 RUE DE BERCY";;"75012 PARIS";"FRA"
69;;;"91 RUE VILLIOT";;"75012 PARIS";"FRA"
70;;;"48 RUE DE LA ROQUETTE";;"75011 PARIS";"FRA"
71;;;"20 RUE CHARONNE";;"75011 PARIS";"FRA"
72;;;"88 RUE LAFAYETTE";;"75010 PARIS";"FRA"
73;;;"42 BD DE MAGENTA";;"75010 PARIS";"FRA"
74;;;"53 RUE SAINT-GEORGES";;"75009 PARIS";"FRA"
75;;;"19 RUE SAINT LAZARD";;"75009 PARIS";"FRA"
76;;;"83 RUE DE LA BOETIE";;"75008 PARIS";"FRA"
77;;;"19 RUE DU FAUB. SAINT HONORE";;"75008 PARIS";"FRA"
78;;;"60 RUE DE VARENNE";;"75007 PARIS";"FRA"
79;;;"55 RUE DE GRENELLE";;"75007 PARIS";"FRA"
80;;;"32 RUE BONAPARTE";;"75006 PARIS";"FRA"
81;;;"72 BD SAINT-GERMAIN";;"75006 PARIS";"FRA"
82;;;"44 RUE DAUPHINE";;"75006 PARIS";"FRA"
83;;;"67 RUE LIME";;"75005 PARIS";"FRA"
84;;;"91 RUE MONGE";;"75005 PARIS";"FRA"
85;;;"93 RUE DE FOURCY";;"75004 PARIS";"FRA"
86;;;"96 RUE SAINT ANTOINE";;"75004 PARIS";"FRA"
87;;;"55 RUE CHAPON";;"75003 PARIS";"FRA"
88;;;"83 RUE DE BRETAGNE";;"75003 PARIS";"FRA"
89;;;"85 RUE DU MAIL";;"75002 PARIS";"FRA"
90;;;"69 RUE D'ABOUKIR";;"75002 PARIS";"FRA"
91;;;"56 BD VOLTAIRE";;"13001 MARSEILLE";"FRA"
92;;;"75 RUE MARCEL SEMBAT";;"13001 MARSEILLE";"FRA"
93;;;"15 BD DE LA LIBERTE";;"13001 MARSEILLE";"FRA"
94;;;"5 AVENUE VAUDOYER";;"13002 MARSEILLE";"FRA"
95;;;"86 AVENUE ROBERT SCHUMAN";;"13002 MARSEILLE";"FRA"
96;;;"64 RUE DU REFUGE";;"13002 MARSEILLE";"FRA"
97;;;"46 RUE LOUBON";;"13003 MARSEILLE";"FRA"
98;;;"90 BD NATIONAL";;"13003 MARSEILLE";"FRA"
99;;;"93 BD DE STRASBOURG";;"13003 MARSEILLE";"FRA"
100;;;"83 RUE BELLE DE MAI";;"13003 MARSEILLE";"FRA"
101;;;"49 RUE SAINT-BRUNO";;"13004 MARSEILLE";"FRA"
102;;;"22 BD FRANCOISE DUPARC";;"13004 MARSEILLE";"FRA"
103;;;"74 RUE BRUNET";;"13004 MARSEILLE";"FRA"
104;;;"18 RUE DE ROME";;"13006 MARSEILLE";"FRA"
105;;;"41 RUE PARADIS";;"13006 MARSEILLE";"FRA"
106;;;"56 RUE BRETEUIL";;"13006 MARSEILLE";"FRA"
107;;;"81 BD BAILLE";;"13006 MARSEILLE";"FRA"
108;;;"84 RUE MONTPLAISIR";;"13007 MARSEILLE";"FRA"
109;;;"31 RUE DE LA DOUANE";;"13007 MARSEILLE";"FRA"
110;;;"8 RUE D'ENDOUME";;"13007 MARSEILLE";"FRA"
111;;;"56 COURS MARECHAL JUIN";;"33000 BORDEAUX";"FRA"
112;;;"47 RUE FRANCOIS DE SOURDIS";;"33000 BORDEAUX";"FRA"
113;;;"79 RUE D'ORNANO";;"33000 BORDEAUX";"FRA"
114;;;"79 RUE GEORGES BONNAC";;"33000 BORDEAUX";"FRA"
115;;;"80 RUE DE CURSOL";;"33000 BORDEAUX";"FRA"
116;;;"63 RUE HENRI IV";;"33000 BORDEAUX";"FRA"
117;;;"33 RUE SAINT-GENES";;"33000 BORDEAUX";"FRA"
118;;;"79 RUE PARGAMINIERES";;"31000 TOULOUSE";"FRA"
119;;;"4 BD D'ARCOLE";;"31000 TOULOUSE";"FRA"
120;;;"75 RUE DE ETZ";;"31000 TOULOUSE";"FRA"
121;;;"16 RUE VALADE";;"31000 TOULOUSE";"FRA"
122;;;"5 RUE DES LOIS";;"31000 TOULOUSE";"FRA"
123;;;"28 AVENUE HONORE SERRES";;"31000 TOULOUSE";"FRA"
124;;;"24 BD LASCROSSES";;"31000 TOULOUSE";"FRA"
125;;;"7 RUE DEVILLE";;"31000 TOULOUSE";"FRA"
126;;;"3 BD JACQUES BINGEN";;"63000 CLERMONT-FERRAND";"FRA"
127;;;"78 RUE DE L'ORADOU";;"63000 CLERMONT-FERRAND";"FRA"
128;;;"40 BD GUSTAVE FAUBERT";;"63000 CLERMONT-FERRAND";"FRA"
129;;;"29 BD LAFAYETTE";;"63000 CLERMONT-FERRAND";"FRA"
130;;;"88 BD ARISTIDE BRIAND";;"63000 CLERMONT-FERRAND";"FRA"
131;;;"1 AVENUE PASTEUR";;"63000 CLERMONT-FERRAND";"FRA"
132;;;"40 RUE ABELARD";;"59000 LILLE";"FRA"
133;;;"86 BD DE METZ";;"59000 LILLE";"FRA"
134;;;"72 BD MONTEBELLO";;"59000 LILLE";"FRA"
135;;;"43 RUE D'IENA";;"59000 LILLE";"FRA"
136;;;"20 RUE D'ESQUERMES";;"59000 LILLE";"FRA"
137;;;"67 RUE DES POSTES";;"59000 LILLE";"FRA"
138;;;"19 BD VICTOR HUGO";;"59000 LILLE";"FRA"
139;;;"63 BD DE STRASBOURG";;"59000 LILLE";"FRA"
140;;;"11 RUE DE L'ARBRISSEAU";;"59000 LILLE";"FRA"
141;;;"31 AVENUE DES VOSGES";;"67000 STRASBOURG";"FRA"
142;;;"55 BD CLEMENCEAU";;"67000 STRASBOURG";"FRA"
143;;;"47 AVENUE DE LA PAIX";;"67000 STRASBOURG";"FRA"
144;;;"10 AVENUE JEAN JAURES";;"67000 STRASBOURG";"FRA"
145;;;"68 BD DE NANCY";;"67000 STRASBOURG";"FRA"
146;;;"11 BD DE LYON";;"67000 STRASBOURG";"FRA"
147;;;"91 BD D'ANVERS";;"67000 STRASBOURG";"FRA"
148;;;"70 BD VICTOR HUGO";;"06000 NICE";"FRA"
149;;;"70 RUE PASTORELLI";;"06000 NICE";"FRA"
150;;;"16 RUE DU MARECHAL JOFFRES";;"06000 NICE";"FRA"
151;;;"14 AVENUE THIERS";;"06000 NICE";"FRA"
152;;;"32 RUE DE PARIS";;"06000 NICE";"FRA"
153;;;"63 BD CARABACEL";;"06000 NICE";"FRA"
154;;;"6 BD GAMBETTA";;"06000 NICE";"FRA"
155;;;"1 BD DE LA LIBERTE";;"35000 RENNES";"FRA"
156;;;"70 RUE DE PARIS";;"35000 RENNES";"FRA"
157;;;"85 AVENUE ARISTIDE BRIAND";;"35000 RENNES";"FRA"
158;;;"52 BD DE LA LIBERTE";;"35000 RENNES";"FRA"
159;;;"96 RUE D'ISLY";;"35000 RENNES";"FRA"
160;;;"6 RUE GAMBETTA";;"44000 NANTES";"FRA"
161;;;"17 AVENUE CARNOT";;"44000 NANTES";"FRA"
162;;;"10 RUE DE STRASBOURG";;"44000 NANTES";"FRA"
163;;;"73 RUE PITRE CHEVALIER";;"44000 NANTES";"FRA"
164;;;"53 RUE DE COULMIERS";;"44000 NANTES";"FRA"
165;;;"SQUARE JULES HIERNAUX, 10";;"6000 CHARLEROI";"BEL"
166;;;"KOETELWIJK, 23";;"8000 BRUGGE";"BEL"
167;;;"BD ANSPACH, 98";;"1000 BRUXELLES";"BEL"
168;;;"27 RUE DE HOLLERICH";;"1441 Luxembourg";"LUX"
169;;;"20 RUE DE STRASBOURG";;"1441 Luxembourg";"LUX"
170;;;"82 BD G.-D. CHARLOTTE";;"1331 Luxembourg";"LUX"
171;;;"EERSTE HELMERSSTRAAT, 60";;"1054 DH AMSTERDAM";"NLD"
172;;;"BILDERDIJKSTRAAT, 26";;"1053 KX AMSTERDAM";"NLD"
173;;;"LINDENGRACHT, 55";;"1015 KH AMSTERDAM";"NLD"
174;;;"GOUDSESINGEL, 46";;"3011 KL ROTTERDAM";"NLD"
175;;;"PRINZENSTRABE, 53";;"10969 BERLIN";"DEU"
176;;;"GUBENER STRABE, 85";;"10243 BERLIN";"DEU"
177;;;"GOETHESTRABE, 11";;"80336 MUNCHEN";"DEU"
178;;;"VIA ALESSANDRO MANZONI, 95";;"20121 MILANO";"ITA"
179;;;"CORSO FRANCIA, 72";;"10138 TORINO";"ITA"
180;;;"76 WARDOUR STREET";;"LONDON W1D 6Q4";"GBR"
181;;;"65 NEWMAN STREET";;"LONDON W1T 3ET";"GBR"
182;;;"63 HARLEY STREET";;"LONDON W1G 8QY";"GBR"
183;;;"81 STREDFORD ROAD";;"MANCHESTER M15 4ZY";"GBR"
184;;;"69 BURLEY ROAD";;"LEEDS LS3 1JP";"GBR"
185;;;"1 LIVERY STREET";;"BIRMINGHAM B3 1RJ";"GBR"
186;;;"82 HILL LANE";;"SOUTHAMPTON SO15 5AY";"GBR"
187;;;"78 KENSINGTON";;"L7 2RE LIVERPOOL";"GBR"
188;;;"79 LONDON ROAD";;"L3 8JA LIVERPOOL";"GBR"
189;;;"182 PORTLAND ROAD";;"NE2 1DJ NEWCASTLE";"GBR"
190;;;"38 CROSBY STREET";;"NY 10012";"USA"
191;;;"64 LAFAYETTE STREET";;"NY 10003";"USA"
192;;;"400 HUDSON STREET";;"NY 10014";"USA"
193;;;"300 BEACON STREET";;"BOSTON MA 02116";"USA"
194;;;"500 MASSACHUSETTS AVENUE";;"BOSTON MA 02319 ";"USA"
195;;;"1500 EAST TROPICANA AVENUE";;"LAS VEGAS NV 89119 ";"USA"
196;;;"4500 WEST WASHINGTON BD";;"LOS ANGELES CA 90016";"USA"
197;;;"1500 SOUTH BURNSIDE AVENUE";;"LOS ANGELES CA 90019";"USA"
198;;;"5600 PICKFORD STREET";;"LOS ANGELES CA 90019";"USA"
199;;;"9000 WEST OLYMPIC BD";;"LOS ANGELES CA 90212";"USA"
200;;;"2200 GEARY BVD";;"SAN FRANCISCO CA 94115";"USA"
201;;;"2100 SUTTER STREET";;"SAN FRANCISCO CA 94115";"USA"
202;;;"1700 STEINER STREET";;"SAN FRANCISCO CA 94115";"USA"
203;;;"3600 CALIFORNIA STREET";;"SAN FRANCISCO CA 94118";"USA"
204;;;"1600 BALBOA STREET";;"SAN FRANCISCO CA 94121";"USA"
205;;;"2900 26TH AVENUE";;"SAN FRANCISCO CA 94132";"USA"
206;;;"700 EAST 6TH AVENUE";;"DENVER CO 80203";"USA"
207;;;"200 BROADWAY";;"DENVER CO 80203";"USA"
208;;;"3000 WILLIAMS STREET";;"DENVER CO 80205";"USA"
209;;;"1000 WEST TAYLOR STREET";;"SAN JOSE CA 95126";"USA"
210;;;"600 NORTH ST. PAUL STREET";;"DALLAS TX 75201";"USA"
211;;;"3900 GASTON AVENUE";;"DALLAS TX 75246";"USA"
212;;;"3200 NORTH FITZHUGH AVENUE";;"DALLAS TX 75204";"USA"
213;;;"1300 CORAL WAY";;"MIAMI FL 33145";"USA"
214;;;"1100 CARLOS ARBOLEYA BLVD";;"MIAMI FL 33130";"USA"
215;;;"500 NORTH MIAMI AVENUE";;"MIAMI FL 33136";"USA"
216;;;"4501 BISCAYNE BLVD";;"MIAMI FL 33137";"USA"
217;;;"846 NORTHEAST 83RD STREET";;"MIAMI FL 33138";"USA"
218;;;"1900 EAST BUSCH BOULEVARD";;"TAMPA FL 33612";"USA"
219;;;"9973 WEST HILLSBOROUGH AVENUE";;"TAMPA FL 33615";"USA"
220;;;"1400 RHODE ISLAND AVENUE NW";;"WASHINGTON DC 20005";"USA"
221;;;"1300 U STREET NORTHWEST";;"WASHINGTON DC 20009";"USA"
222;;;"3023 BLADENBURG ROAD NE";;"WASHINGTON DC 20018";"USA"
223;;;"1200 SNYDER AVENUE";;"PHILADELPHIA PA 19148";"USA"
224;;;"800 WASHINGTON AVENUE";;"PHILADELPHIA PA 19147";"USA"
225;;;"612 SOUTH 8TH STREET";;"PHILADELPHIA PA 19147";"USA"
226;;;"1000 CHARLOTTE AVENUE";;"NASHVILLE TN 37203";"USA"
227;;;"2000 CENTRE AVENUE";;"PITTSBURGH PA  15219";"USA"
228;;;"1640 PENN AVENUE";;"PITTSBURGH PA  15222";"USA"
229;;;"932 KIRKBRIDE ST";;"PITTSBURGH PA  15212";"USA"
230;;;"ZHUMA INDUSTRIAL PARK";;"JINHUA 321000";"CHN"
231;;;"465 TONGDE STREET";"BAIYUN DISTRICT";"GUANGZHOU 510000";"CHN"
232;;"No 1 BUILDING";"702 WANSHUNYUAN";"PNGSHAN NEW DISTRICT";"SHENZHEN";"CHN"
233;;"ROOM 207, No 2 BUILDING";"ZHONG CUN TOWN";"PANYU DISTRICT";"GUANGZHOU 511495";"CHN"
234;;"ROOM 403, BUILDING 1";"1500 YOUYI ROAD";"BAOSHAN DISTRICT";"SHANGHAI 201900";"CHN"
235;;;"68 HEGUMIAO TOWN";;"XINGTAI 054600";"CHN"
236;;;"30 PINGHUAN INDUSTRIAL ZONE";"PINGHUAN DISTRICT";"SHENZHEN 518118";"CHN"
237;;;"SHENGSHAN DEVELOPMENT ZONE";;"NINGBO 315323";"CHN"
238;;;"AOBA 3-6-20";"FUKUOKA";"KITAKYUSHU 803-0822";"JPN"
239;;;"4-5-6 NISHIOGU";;"ARAKAWA-KU 116-0011";"JPN"
240;;;"1-3-4 HAMADERA-ISHIZUCHO";"OSAKA";"SAKAI-CHI 592-8334";"JPN"
241;;"ROOM 300";"2-3-30 MINAMISENBA";"OSAKA";"OSAKA-SHI 542-0081";"JPN"
242;;;"02-12-10 KONAN";"TOKYO";"MINATO-KU 108-0075";"JPN"
