"importId";"name_fr";"code_fr";"name_en";"code_en";"description_fr";"description_en";"productFamily.id";"productCategory.id";"applicationTypeSelect";"procurementMethodSelect";"isRawMaterial";"unit.code";"productTypeSelect";"salePrice";"saleCurrency.code";"purchasePrice";"purchaseCurrency.code";"defaultSupplierPartner.importId";"startDate";"endDate";"invoiceLineType.id";"saleSupplySelect";"costPrice";"hasWarranty";"warrantyNbrOfMonths";"isPerishable";"perishableNbrOfMonths"
12;"Mémoire 8 Go DDR3";"COMP-0006";"Memory 8 Go DDR3";"COMP-0006";;;3;8;1;"buy";"false";"U";"storable";80;"EUR";"56.00";"EUR";170;"2013-01-01";;3;1;72;"true";12;"false";
13;"Mémoire 16 Go DDR3";"COMP-0007";"Memory 16 Go DDR3";"COMP-0007";;;3;8;1;"buy";"false";"U";"storable";160;"EUR";"113.60";"EUR";170;"2013-01-01";;3;1;144;"true";12;"false";
14;"Carte mère classique";"COMP-0008";"Classic MotherBoard";"COMP-0008";;;3;9;1;"buy";"false";"U";"storable";150;"EUR";"124.50";"EUR";152;"2013-01-01";;3;1;135;"true";12;"false";
15;"Carte mère haut de gamme";"COMP-0009";"High Performance MotherBoard";"COMP-0009";;;3;9;1;"buy";"false";"U";"storable";250;"EUR";"197.50";"EUR";152;"2013-01-01";;3;1;225;"true";12;"false";
16;"Cartouche jet d'encre";"CONS-0001";"Ink Cartridge";"CONS-0001";"Couleur : Black, Magenta, Yellow, Cyan/ Capacité : 1500 copies";"Color : Black, Magenta, Yellow, Blue/ Capacity : 1500 copies";4;10;1;"buy";"false";"U";"storable";329;"EUR";"240.17";"EUR";88;"2013-01-01";;4;1;296;"false";;"false";
17;"Cartouche encre laser";"CONS-0002";"Laser Cartridge";"CONS-0002";"Couleur : Black, Magenta, Yellow, Cyan/ Capacité : 2600 copies";"Color : Black, Magenta, Yellow, Blue/ Capacity : 2600 copies";4;10;1;"buy";"false";"U";"storable";425;"EUR";"339.92";"EUR";88;"2013-01-01";;4;1;382;"false";;"false";
18;"Ramette 500 Feuilles A4 Standard 80 g";"CONS-0003";"Paper ream 500 Sheets A4 Standard 80 g";"CONS-0003";"Format : A4 / Quantité : 500 feuilles / Poids : 80 g";"Format : A4 / Quantity : 500 Sheets / Weight : 80 g";4;10;1;"buy";"false";"U";"storable";7;"EUR";"5.03";"EUR";88;"2013-01-01";;4;1;6;"false";;"false";
19;"Stylos billes medium (Bte 50)";"CONS-0004";"Inkball Pen medium (Box 50)";"CONS-0004";"Couleurs disponibles : Noir, Bleu, Rouge, Vert";"Available colors : Black, Blue, Red, Green";4;10;1;"buy";"true";"U";"storable";15;"EUR";"11.40";"EUR";88;"2013-01-01";;4;1;14;"false";;"false";
20;"Café moulu 250g";"CONS-0005";"Ground coffee 250g";"CONS-0005";"Origine Colombie, 100% Pur arabica";"Origin Columbia, 100% pur arabica";4;11;1;"buy";"true";"U";"storable";3;"EUR";"2.16";"EUR";88;"2013-01-01";;4;1;3;"false";;"true";12
21;"Bouteille Eau (1,5L)";"CONS-0006";"Bottle of Water (1,5L)";"CONS-0006";;;4;11;1;"buy";"true";"U";"storable";"0.9";"EUR";"0.69";"EUR";88;"2013-01-01";;4;1;1;"false";;"true";12
22;"Chef de projet";"SERV-0001";"Project Manager";"SERV-0001";;;5;12;2;;"false";"JR";"service";"1000";"EUR";770;"EUR";;"2013-01-01";;5;2;900;"false";;"false";
23;"Consultant";"SERV-0002";"Consultant";"SERV-0002";;;5;12;2;;"false";"JR";"service";"800";"EUR";600;"EUR";;"2013-01-01";;5;2;720;"false";;"false";
24;"Etude";"SERV-0003";"Project";"SERV-0003";;;5;13;1;;"false";"U";"service";"8000";"EUR";6560;"EUR";;"2013-01-01";;5;1;7200;"false";;"false";
25;"Billets de train/metro/tramway";"NDF-0001";"Train/metro/tramway tickets";"NDF-0001";"Remboursement des frais de transport liés au déplacement du personnel à l'extérieur de l'entreprise par Train, Métro ou Tramway.";"Reimbursement of travel expenses for employees traveling outside the company by either Train, Metro or Subway";6;14;3;;"false";"U";"service";"80";"EUR";"67.2";"EUR";;"2013-01-01";;6;3;72;"false";;"false";
26;"Billets d'avion";"NDF-0002";"Plane ticket";"NDF-0002";"Remboursement des frais de transport liés au déplacement du personnel à l'extérieur de l'entreprise par avion.";"Reimbursement of travel expenses for employees traveling outside the company by Plane";6;14;3;;"false";"U";"service";"150";"EUR";"109.5";"EUR";;"2013-01-01";;6;3;135;"false";;"false";
27;"Taxi/Location voiture";"NDF-0003";"Taxi/Car Rental";"NDF-0003";"Remboursement des frais de transport liés au déplacement du personnel à l'extérieur de l'entreprise par taxi ou via un véhicule loué.";"Reimbursement of travel expenses for employees traveling outside the company by Taxi or Car Rental";6;14;3;;"false";"U";"service";"1";"EUR";"0.73";"EUR";;"2013-01-01";;6;3;1;"false";;"false";
28;"Frais kilométriques";"NDF-0004";"Mileage expenses";"NDF-0004";"Remboursement des frais de transport liés au déplacement du personnel à l'extérieur de l'entreprise ayant utilisé leur véhicule personnel.";"Reimbursement of travel expenses for employees traveling outside the company while using their own vehicle.";6;14;3;;"false";"U";"service";"1";"EUR";"0.82";"EUR";;"2013-01-01";;6;3;1;"false";;"false";
29;"Repas";"NDF-0005";"Meal";"NDF-0005";"Remboursement des frais de repas liés au déplacement du personnel à l'extérieur de l'entreprise.";"Reimbursement of meal expenses for employees traveling outside the company.";6;15;3;;"false";"U";"service";"20";"EUR";"16.4";"EUR";;"2013-01-01";;6;3;18;"false";;"false";
30;"Hôtel ( ou autres hébergements)";"NDF-0006";"Hotel (or other accomodations)";"NDF-0006";"Remboursement d'hébergement liés au déplacement du personnel à l'extérieur de l'entreprise.";"Reimbursement of accomodation expenses for employees traveling outside the company.";6;16;3;;"false";"U";"service";"90";"EUR";"75.6";"EUR";;"2013-01-01";;6;3;81;"false";;"false";
