"importId";"metaModel";"metaField";"title";"addressTemplate.importId";"isRequired"
"51";"Address";"townLocationName";"Localisation village";"8";"false"
"52";"Address";"buildingNumber";"N°Batiment";"9";"false"
"53";"Address";"department";"Departement";"9";"false"
"54";"Address";"buildingName";"Nom du batiment";"9";"false"
"55";"Address";"streetName";"Rue";"9";"false"
"56";"Address";"floor";"Etage";"9";"false"
"57";"Address";"room";"Appartement";"9";"false"
"58";"Address";"zip";"Zip";"9";"true"
"59";"Address";"townName";"Village";"9";"true"
"60";"Address";"postBox";"Post Box";"9";"false"
"61";"Address";"buildingNumber";"N°Batiment";"10";"true"
"62";"Address";"department";"Departement";"10";"false"
"63";"Address";"streetName";"Rue";"10";"true"
"64";"Address";"floor";"Etage";"10";"false"
"65";"Address";"room";"Appartement";"10";"false"
"66";"Address";"zip";"Zip";"10";"true"
"67";"Address";"townName";"Village";"10";"true"
"68";"Address";"countrySubDivision";"Province";"10";"true"
"69";"Address";"townLocationName";"Localisation village";"10";"false"
"70";"Address";"buildingNumber";"N°Batiment";"11";"true"
"71";"Address";"department";"Departement";"11";"false"
"72";"Address";"streetName";"Rue";"11";"true"
"73";"Address";"districtName";"District";"11";"false"
"74";"Address";"zip";"Zip";"11";"true"
"75";"Address";"townName";"Village";"11";"true"
"76";"Address";"countrySubDivision";"Etat";"11";"true"
"77";"Address";"postBox";"Post Box";"12";"true"
"78";"Address";"city";;"12";"true"
"79";"Address";"buildingNumber";"N°Batiment";"13";"false"
"80";"Address";"department";"Departement";"13";"false"
"81";"Address";"buildingName";"Nom du batiment";"13";"false"
"82";"Address";"streetName";"Rue";"13";"false"
"83";"Address";"room";"Appartement";"13";"false"
"84";"Address";"zip";"Zip";"13";"true"
"85";"Address";"townName";"Village";"13";"true"
"86";"Address";"postBox";"Post Box";"13";"false"
"87";"Address";"zip";"Zip";"14";"true"
"88";"Address";"townName";"Village";"14";"true"
"89";"Address";"buildingNumber";"N°Batiment";"14";"false"
"90";"Address";"countrySubDivision";"County";"14";"true"
"91";"Address";"streetName";"Rue";"14";"true"
"92";"Address";"department";"Departement";"15";"false"
"93";"Address";"streetName";"Rue";"15";"false"
"94";"Address";"townName";"Village";"15";"true"
"95";"Address";"buildingNumber";"N°Batiment";"15";"false"
"96";"Address";"zip";"zip";"15";"false"
"97";"Address";"countrySubDivision";"Province Code";"15";"true"
"98";"Address";"floor";"Etage";"15";"false"
"99";"Address";"room";"Appartement";"15";"false"
"100";"Address";"townLocationName";"Localisation village";"15";"false"
"101";"Address";"zip";"zip";"16";"false"
"102";"Address";"countrySubDivision";"Prefecture";"16";"true"
"103";"Address";"department";"Departement";"16";"false"
"104";"Address";"streetName";"Rue";"16";"false"
"105";"Address";"townName";"Village";"16";"true"
"106";"Address";"postBox";"Post Box";"16";"false"
"107";"Address";"streetName";"Rue";"17";"false"
"108";"Address";"townName";"Sub Province";"17";"true"
"109";"Address";"postBox";"Post Box";"17";"false"
"110";"Address";"zip";"zip";"17";"true"
"111";"Address";"countrySubDivision";"Province";"17";"true"
"112";"Address";"room";"Appartement";"17";"false"
"113";"Address";"buildingName";"Nom du batiment";"17";"false"
"114";"Address";"buildingNumber";"N°Batiment";"17";"true"
"115";"Address";"buildingNumber";"N°Batiment";"18";"false"
"116";"Address";"postBox";"Post Box";"18";"false"
"117";"Address";"zip";"zip";"18";"true"
"118";"Address";"townName";"Village";"18";"true"
"119";"Address";"department";"Departement";"18";"false"
"120";"Address";"streetName";"Rue";"18";"false"
"121";"Address";"streetName";"Rue";"19";"true"
"122";"Address";"townName";"Village";"19";"true"
"123";"Address";"zip";"zip";"19";"true"
"124";"Address";"room";"Appartement";"19";"false"
"125";"Address";"countrySubDivision";"Abbréviation Etat";"19";"true"
"126";"Address";"districtName";"District";"19";"true"
"127";"Address";"buildingNumber";"N°Batiment";"20";"false"
"128";"Address";"postBox";"Post Box";"20";"false"
"129";"Address";"zip";"zip";"20";"true"
"130";"Address";"townName";"Village";"20";"true"
"131";"Address";"department";"Departement";"20";"false"
"132";"Address";"streetName";"Rue";"20";"false"
"133";"Address";"room";"Appartement";"20";"false"
"134";"Address";"buildingName";"Nom du batiment";"20";"false"
"135";"Address";"buildingNumber";"N°Batiment";"21";"false"
"136";"Address";"postBox";"Post Box";"21";"false"
"137";"Address";"zip";"zip";"21";"true"
"138";"Address";"townName";"Village";"21";"true"
"139";"Address";"department";"Departement";"21";"false"
"140";"Address";"streetName";"Rue";"21";"true"
"141";"Address";"room";"Appartement";"21";"false"
"142";"Address";"buildingName";"Nom du batiment";"21";"false"
"143";"Address";"floor";"Etage";"21";"false"
"144";"Address";"countrySubDivision";"Province";"21";"true"
"145";"Address";"postBox";"Post Box";"22";"false"
"146";"Address";"zip";"zip";"22";"true"
"147";"Address";"townName";"Village";"22";"true"
"148";"Address";"department";"Departement";"22";"false"
"149";"Address";"streetName";"Rue";"22";"true"
"150";"Address";"room";"Appartement";"22";"false"
"151";"Address";"buildingName";"Nom du batiment";"22";"false"
"152";"Address";"floor";"Etage";"22";"false"
"153";"Address";"buildingNumber";"N°Batiment";"22";"true"
"154";"Address";"townLocationName";"Localisation village";"22";"false"
"155";"Address";"department";"Departement";"23";"false"
"156";"Address";"subDepartment";"Sous Division";"23";"false"
"157";"Address";"streetName";"Rue";"23";"false"
"158";"Address";"room";"Appartement";"23";"false"
"159";"Address";"buildingName";"Nom du batiment";"23";"false"
"160";"Address";"floor";"Etage";"23";"false"
"161";"Address";"buildingNumber";"N°Batiment";"23";"false"
"162";"Address";"zip";"zip";"23";"false"
"163";"Address";"streetName";"Rue";"24";"true"
"164";"Address";"room";"Appartement";"24";"false"
"165";"Address";"buildingName";"Nom du batiment";"24";"false"
"166";"Address";"floor";"Etage";"24";"false"
"167";"Address";"buildingNumber";"N°Batiment";"24";"true"
"168";"Address";"zip";"zip";"24";"true"
"169";"Address";"townName";"Village";"24";"true"
"170";"Address";"countrySubDivision";"Province";"24";"false"
"171";"Address";"postBox";"Post Box";"24";"false"

