importId;inseeCode;name;nbInhCommune;canton.code;department.code;region.code;artmin;country_alpha3Code;zip
CHN0007;;NINGBO;;;;;;CHN;
CHN0008;;XINGTAI;;;;;;CHN;
CHN0009;;JINHUA;;;;;;CHN;
DEU0001;;BERLIN;;;;;;DEU;
DEU0002;;MUNICH;;;;;;DEU;
DEU0003;;HAMBOURG;;;;;;DEU;
GBR0001;;LONDRES;;;;;;GBR;
GBR0002;;MANCHESTER;;;;;;GBR;
GBR0003;;LEEDS;;;;;;GBR;
GBR0004;;BIRMINGHAM;;;;;;GBR;
GBR0005;;SOUTHAMPTON;;;;;;GBR;
GBR0006;;LIVERPOOL;;;;;;GBR;
GBR0007;;NEWCASTLE;;;;;;GBR;
ITA0001;;ROME;;;;;;ITA;
ITA0002;;MILAN;;;;;;ITA;
ITA0003;;TURIN;;;;;;ITA;
JPN0001;;TOKYO;;;;;;JPN;
JPN0002;;FUKUOKA;;;;;;JPN;
JPN0003;;OSAKA;;;;;;JPN;
LUX0001;;LUXEMBOURG;;;;;;LUX;
NLD0001;;AMSTERDAM;;;;;;NLD;
NLD0002;;ROTTERDAM;;;;;;NLD;
USA0001;;WASHINGTON;;;;;;USA;
USA0002;;NEW YORK;;;;;;USA;
USA0003;;BOSTON;;;;;;USA;
USA0004;;LAS VEGAS;;;;;;USA;
USA0005;;LOS ANGELES;;;;;;USA;
USA0006;;SAN FRANCISCO;;;;;;USA;
USA0007;;DENVER;;;;;;USA;
USA0008;;SAN JOSE;;;;;;USA;
USA0009;;DALLAS;;;;;;USA;
USA0010;;MIAMI;;;;;;USA;
USA0011;;TAMPA;;;;;;USA;
USA0012;;PHILADELPHIE;;;;;;USA;
USA0013;;NASHVILLE;;;;;;USA;
USA0014;;PITTSBURGH;;;;;;USA;
RUS0001;;MOSCOU;;;;;;RUS;
KOR0001;;SEOUL;;;;;;KOR;
MEX0001;;MEXICO;;;;;;MEX;
IND0001;;NEW DELHI;;;;;;IND;
IND0002;;BANGALORE;;;;;;IND;
IND0003;;MUMBAI;;;;;;IND;
ESP0001;;MADRID;;;;;;ESP;
ESP0002;;BARCELONE;;;;;;ESP;
CAN0001;;OTTAWA;;;;;;CAN;
CAN0002;;TORONTO;;;;;;CAN;
CAN0003;;MONTREAL;;;;;;CAN;
CAN0004;;EDMONTON;;;;;;CAN;
CAN0005;;VANCOUVER;;;;;;CAN;
BRA0002;;RIO DE JANEIRO;;;;;;BRA;
BRA0003;;SAO PAULO;;;;;;BRA;
AUT0001;;VIENNE;;;;;;AUT;
DNK001;;COPENHAGUE;;;;;;DNK;
AUS0001;;CANBERRA;;;;;;AUS;
AUS0002;;SYDNEY;;;;;;AUS;
AUS0003;;MELBOURNE;;;;;;AUS;
ARG0001;;BUENOS AIRES;;;;;;ARG;
PRT0001;;LISBONNE;;;;;;PRT;
CHE0002;;GENEVE;;;;;;CHE;
CHE0003;;ZURICH;;;;;;CHE;
TUR0002;;ISTANBUL;;;;;;TUR;
IRL0001;;DUBLIN;;;;;;IRL;
SGP0001;;SINGAPOUR;;;;;;SGP;
MAR0001;;RABAT;;;;;;MAR;
MAR0002;;CASABLANCA;;;;;;MAR;
ARE0001;;DUBAI;;;;;;ARE;
SEN00001;;DAKAR;;;;;;SEN;
CIV00002;;ABIDJAN;;;;;;CIV;
VNM00001;;HANOI;;;;;;VNM;
THA00001;;BANGKOK;;;;;;THA;
MLI00001;;BAMAKO;;;;;;MLI;
PAN00001;;PANAMA CITY;;;;;;PAN;
PRY00001;;ASUNCION;;;;;;PRY;
MYS00001;;KUALA LUMPUR;;;;;;MYS;
SWE00001;;STOCKHOLM;;;;;;SWE;
NOR00001;;OSLO;;;;;;NOR;
KEN00001;;NAIROBI;;;;;;KEN;
