"importId";"company_id";"typeSelect";"product.importId";"tax.code";"productFamily.importId";"paymentMode.importId";"saleAccount_code";"saleTaxVatSystem1Account_code";"saleTaxVatSystem2Account_code";"saleTaxSet";"purchaseAccount_code";"purchaseTaxVatSystem1Account_code";"purchaseTaxVatSystem2Account_code";"purchaseTaxSet";"cashAccount_code";"journal_importId";"sequence_importId";"bankDetails_importId";"purchFixedAssetsAccount.code";"purchFixedAssetsTaxVatSystem1Account_code";"purchFixedAssetsTaxVatSystem2Account_code";"fixedAssetCategory.importId";"interbankCodeLine.importId";"purchVatRegulationAccount_code";"saleVatRegulationAccount_code";"globalAccountingCashAccount_code";"chequeDepositJournal_code";"financialDiscountAccount.code";"vatPendingAccount_code"
40;1;2;;"U_D";;;;;;;445514;445514;445514;"U_D";;;;;445620;445620;445620;;;445860;;;;;445800
41;1;2;;"X_D";;;;;;;445510;445510;445510;"X_D";;;;;445620;445620;445620;;;445860;;;;;445800
42;1;2;;"UE_X_C";;;445200;445200;445200;"UE_X_C";;;;;;;;;;;;;;;445870;;;;445800
43;1;2;;"EXP_X_C";;;445710;445710;445710;"EXP_X_C";;;;;;;;;;;;;;;445870;;;;445800
44;1;2;;"UE_N_D";;;;;;;445662;445662;445662;"UE_N_D";;;;;445620;445620;445620;;;445860;;;;;445800
45;1;2;;"UE_R1_D";;;;;;;445662;445662;445662;"UE_R1_D";;;;;445620;445620;445620;;;445860;;;;;445800
46;1;2;;"UE_R2_D";;;;;;;445662;445662;445662;"UE_R2_D";;;;;445620;445620;445620;;;445860;;;;;445800
47;1;2;;"UE_U_D";;;;;;;445662;445662;445662;"UE_U_D";;;;;445620;445620;445620;;;445860;;;;;445800
48;1;2;;"UE_X_D";;;;;;;445200;445200;445200;"UE_X_D";;;;;445620;445620;445620;;;445860;;;;;445800
49;1;2;;"IMP_X_D";;;;;;;445203;445203;445203;"IMP_X_D";;;;;445620;445620;445620;;;445860;;;;;445800
1000;1;2;;"UE_N_D_REV";;;;;;;445201;445201;445201;"UE_N_D_REV";;;;;445201;445201;445201;;;;;;;;445800
1001;1;2;;"UE_R1_D_REV";;;;;;;445202;445202;445202;"UE_R1_D_REV";;;;;445202;445202;445202;;;;;;;;445800
1002;1;2;;"UE_R2_D_REV";;;;;;;445202;445202;445202;"UE_R2_D_REV";;;;;445202;445202;445202;;;;;;;;445800
1003;1;2;;"UE_U_D_REV";;;;;;;445203;445203;445203;"UE_U_D_REV";;;;;445203;445203;445203;;;;;;;;445800
501;1;1;1801;;;;763100;;;"X_C";;;;;;;;;;;;;;;;;;;
502;1;1;1802;;;;763100;;;"X_C";;;;;;;;;;;;;;;;;;;
