"importId";"typeSelect";"product_importId";"tax_code";"productFamily_importId";"paymentMode.code";"saleAccount_code";"saleTaxVatSystem1Account_code";"saleTaxVatSystem2Account_code";"saleTax_code";"purchaseAccount_code";"purchaseTaxVatSystem1Account_code";"purchaseTaxVatSystem2Account_code";"purchaseTax_code";"cashAccount_code";"journal_code";"sequence_importId";"bankDetails_importId";"purchFixedAssetsAccount_code";"purchFixedAssetsTaxVatSystem1Account_code";"purchFixedAssetsTaxVatSystem2Account_code";"fixedAssetCategory_importId";"interbankCodeLine_importId";"allowedFinDiscountTaxVatSystem1Account_code";"allowedFinDiscountTaxVatSystem2Account_code";"obtainedFinDiscountTaxVatSystem1Account_code";"obtainedFinDiscountTaxVatSystem2Account_code";"purchVatRegulationAccount_code";"saleVatRegulationAccount_code";"globalAccountingCashAccount_code";"chequeDepositJournal_code";"financialDiscountAccount_code"
"MAR_PCG23";2;;"096";;;;;;"096";;;;;;;;;;;;;;;;;;;;;;
"MAR_PCG24";2;;"097";;;;;;"097";;;;;;;;;;;;;;;;;;;;;;
"MAR_PCG25";2;;"098";;;;;;"098";;;;;;;;;;;;;;;;;;;;;;
"MAR_PCG26";2;;"099";;;;;;"099";;;;;;;;;;;;;;;;;;;;;;
"MAR_PCG27";2;;"100";;;;;;"100";;;;;;;;;;;;;;;;;;;;;;
"MAR_PCG28";2;;"101";;;;;;"101";;;;;;;;;;;;;;;;;;;;;;
"MAR_PCG29";2;;"103";;;;;;"103";;;;;;;;;;;;;;;;;;;;;;
"MAR_PCG30";2;;"105";;;;;;"105";;;;;;;;;;;;;;;;;;;;;;
"MAR_PCG31";2;;"108";;;;;;"108";;;;;;;;;;;;;;;;;;;;;;
"MAR_PCG32";2;;"109";;;;;;"109";;;;;;;;;;;;;;;;;;;;;;
"MAR_PCG33";2;;"112";;;;;;"112";;;;;;;;;;;;;;;;;;;;;;
"MAR_PCG34";2;;"118";;;;;;"118";;;;;;;;;;;;;;;;;;;;;;
"MAR_PCG35";2;;"078";;;;;;"078";;;;;;;;;;;;;;;;;;;;;;
"MAR_PCG36";2;;"106";;;;;;"106";;;;;;;;;;;;;;;;;;;;;;
"MAR_PCG37";2;;"107";;;;;;"107";;;;;;;;;;;;;;;;;;;;;;
"MAR_PCG38";2;;"110";;;;;;"110";;;;;;;;;;;;;;;;;;;;;;
"MAR_PCG39";2;;"111";;;;;;"111";;;;;;;;;;;;;;;;;;;;;;
"MAR_PCG40";2;;"113";;;;;;"113";;;;;;;;;;;;;;;;;;;;;;
"MAR_PCG41";2;;"114";;;;;;"114";;;;;;;;;;;;;;;;;;;;;;
"MAR_PCG42";2;;"115";;;;;;"115";;;;;;;;;;;;;;;;;;;;;;
"MAR_PCG43";2;;"116";;;;;;"116";;;;;;;;;;;;;;;;;;;;;;
"MAR_PCG44";2;;"117";;;;;;"117";;;;;;;;;;;;;;;;;;;;;;
"MAR_PCG45";2;;"119";;;;;;"119";;;;;;;;;;;;;;;;;;;;;;
"MAR_PCG46";2;;"140";;;;;;;;;;"140";;;;;;;;;;;;;;;;;;
"MAR_PCG47";2;;"141";;;;;;;;;;"141";;;;;;;;;;;;;;;;;;
"MAR_PCG48";2;;"142";;;;;;;;;;"142";;;;;;;;;;;;;;;;;;
"MAR_PCG49";2;;"143";;;;;;;;;;"143";;;;;;;;;;;;;;;;;;
"MAR_PCG50";2;;"144";;;;;;;;;;"144";;;;;;;;;;;;;;;;;;
"MAR_PCG51";2;;"153";;;;;;;;;;"153";;;;;;;;;;;;;;;;;;
"MAR_PCG52";2;;"145";;;;;;;;;;"145";;;;;;;;;;;;;;;;;;
"MAR_PCG53";2;;"146";;;;;;;;;;"146";;;;;;;;;;;;;;;;;;
"MAR_PCG54";2;;"147";;;;;;;;;;"147";;;;;;;;;;;;;;;;;;
"MAR_PCG55";2;;"148";;;;;;;;;;"148";;;;;;;;;;;;;;;;;;
"MAR_PCG56";2;;"149";;;;;;;;;;"149";;;;;;;;;;;;;;;;;;
"MAR_PCG57";2;;"150";;;;;;;;;;"150";;;;;;;;;;;;;;;;;;
"MAR_PCG58";2;;"151";;;;;;;;;;"151";;;;;;;;;;;;;;;;;;
"MAR_PCG59";2;;"152";;;;;;;;;;"152";;;;;;;;;;;;;;;;;;
"MAR_PCG60";2;;"155";;;;;;;;;;"155";;;;;;;;;;;;;;;;;;
"MAR_PCG61";2;;"156";;;;;;;;;;"156";;;;;;;;;;;;;;;;;;
"MAR_PCG62";2;;"162";;;;;;;;;;"162";;;;;;;;;;;;;;;;;;
"MAR_PCG63";2;;"163";;;;;;;;;;"163";;;;;;;;;;;;;;;;;;
"MAR_PCG64";2;;"164";;;;;;;;;;"164";;;;;;;;;;;;;;;;;;
"MAR_PCG65";2;;"165";;;;;;;;;;"165";;;;;;;;;;;;;;;;;;
"MAR_PCG66";2;;"166";;;;;;;;;;"166";;;;;;;;;;;;;;;;;;
"MAR_PCG67";2;;"167";;;;;;;;;;"167";;;;;;;;;;;;;;;;;;
"MAR_PCG68";2;;"168";;;;;;;;;;"168";;;;;;;;;;;;;;;;;;
"MAR_PCG69";2;;"169";;;;;;;;;;"169";;;;;;;;;;;;;;;;;;
