"importId";"move";"partner.importId";"date";"dueDate";"account.code";"credit";"debit";"taxline.importId";"origin";"description"
"1030-3";1030;70;"2019-11-09";"2019-11-09";"601100";;7000;13;"FC20191030";"Achats divers"
"1031-1";1031;77;"2019-11-18";"2019-11-18";"401100";3600;;;"FC20191031";"Achats divers"
"1031-2";1031;77;"2019-11-18";"2019-11-18";"445511";;600;;"FC20191031";"Achats divers"
"1031-3";1031;77;"2019-11-18";"2019-11-18";"601100";;3000;13;"FC20191031";"Achats divers"
"1032-1";1032;88;"2019-11-27";"2019-11-27";"401100";10800;;;"FC20191032";"Achats divers"
"1032-2";1032;88;"2019-11-27";"2019-11-27";"445511";;1800;;"FC20191032";"Achats divers"
"1032-3";1032;88;"2019-11-27";"2019-11-27";"601100";;9000;13;"FC20191032";"Achats divers"
"1033-1";1033;132;"2019-12-09";"2019-12-09";"401100";3600;;;"FC20191033";"Achats divers"
"1033-2";1033;132;"2019-12-09";"2019-12-09";"445511";;600;;"FC20191033";"Achats divers"
"1033-3";1033;132;"2019-12-09";"2019-12-09";"601100";;3000;13;"FC20191033";"Achats divers"
"1034-1";1034;237;"2019-12-18";"2019-12-18";"401100";4800;;;"FC20191034";"Achats divers"
"1034-2";1034;237;"2019-12-18";"2019-12-18";"445511";;800;;"FC20191034";"Achats divers"
"1034-3";1034;237;"2019-12-18";"2019-12-18";"601100";;4000;13;"FC20191034";"Achats divers"
"1035-1";1035;20;"2019-12-27";"2019-12-27";"401100";6000;;;"FC20191035";"Achats divers"
"1035-2";1035;20;"2019-12-27";"2019-12-27";"445511";;1000;;"FC20191035";"Achats divers"
"1035-3";1035;20;"2019-12-27";"2019-12-27";"601100";;5000;13;"FC20191035";"Achats divers"
