"importId";"journal";"move";"partner.importId";"date";"dueDate";"account.code";"credit";"debit";"taxline.importId";"origin";"description"
"5029-2";"DEC_CHQ";5029;44;"2019-10-27";"2019-10-27";"512100";3000;;;"CHQ20195029";"Paiement fournisseur par CHQ20195029"
"5030-1";"DEC_CHQ";5030;70;"2019-11-09";"2019-11-09";"401100";;2800;;"CHQ20195030";"Paiement fournisseur par CHQ20195030"
"5030-2";"DEC_CHQ";5030;70;"2019-11-09";"2019-11-09";"512100";2800;;;"CHQ20195030";"Paiement fournisseur par CHQ20195030"
"5031-1";"DEC_CHQ";5031;77;"2019-11-18";"2019-11-18";"401100";;900;;"CHQ20195031";"Paiement fournisseur par CHQ20195031"
"5031-2";"DEC_CHQ";5031;77;"2019-11-18";"2019-11-18";"512100";900;;;"CHQ20195031";"Paiement fournisseur par CHQ20195031"
"5032-1";"DEC_CHQ";5032;88;"2019-11-27";"2019-11-27";"401100";;1800;;"CHQ20195032";"Paiement fournisseur par CHQ20195032"
"5032-2";"DEC_CHQ";5032;88;"2019-11-27";"2019-11-27";"512100";1800;;;"CHQ20195032";"Paiement fournisseur par CHQ20195032"
"5033-1";"DEC_CHQ";5033;132;"2019-12-09";"2019-12-09";"401100";;300;;"CHQ20195033";"Paiement fournisseur par CHQ20195033"
"5033-2";"DEC_CHQ";5033;132;"2019-12-09";"2019-12-09";"512100";300;;;"CHQ20195033";"Paiement fournisseur par CHQ20195033"
"5034-1";"DEC_CHQ";5034;237;"2019-12-18";"2019-12-18";"401100";;2000;;"CHQ20195034";"Paiement fournisseur par CHQ20195034"
"5034-2";"DEC_CHQ";5034;237;"2019-12-18";"2019-12-18";"512100";2000;;;"CHQ20195034";"Paiement fournisseur par CHQ20195034"
"5035-1";"DEC_CHQ";5035;20;"2019-12-27";"2019-12-27";"401100";;2500;;"CHQ20195035";"Paiement fournisseur par CHQ20195035"
"5035-2";"DEC_CHQ";5035;20;"2019-12-27";"2019-12-27";"512100";2500;;;"CHQ20195035";"Paiement fournisseur par CHQ20195035"
