"importId";"company.code";"paymentMode.code";"journal.code";"reference";"date";"technicalOriginSelect";"period.code";"statusSelect";"currency.code";"companyCurrency.code";"partner.importId"
5060;"AXE";"ENC_VIR";"ENC_VIR";"EP_VIR195060";"2019-11-05";4;"11/AF2019_AXE";3;"EUR";"EUR";70
5061;"AXE";"DEC_VIR";"DEC_VIR";"ER_VIR195061";"2019-11-09";4;"11/AF2019_AXE";3;"EUR";"EUR";77
5062;"AXE";"ENC_VIR";"ENC_VIR";"EP_VIR195062";"2019-11-14";4;"11/AF2019_AXE";3;"EUR";"EUR";136
5063;"AXE";"DEC_CHQ";"DEC_CHQ";"ER_CHQ195063";"2019-11-18";4;"11/AF2019_AXE";3;"EUR";"EUR";88
5064;"AXE";"ENC_CHQ";"ENC_CHQ";"EP_CHQ195064";"2019-11-22";4;"11/AF2019_AXE";3;"EUR";"EUR";1012
5065;"AXE";"DEC_VIR";"DEC_VIR";"ER_VIR195065";"2019-11-25";4;"11/AF2019_AXE";3;"EUR";"EUR";20
5066;"AXE";"ENC_VIR";"ENC_VIR";"EP_VIR195066";"2019-12-05";4;"12/AF2019_AXE";3;"EUR";"EUR";1033
5067;"AXE";"DEC_VIR";"DEC_VIR";"ER_VIR195067";"2019-12-09";4;"12/AF2019_AXE";3;"EUR";"EUR";44
5068;"AXE";"ENC_VIR";"ENC_VIR";"EP_VIR195068";"2019-12-14";4;"12/AF2019_AXE";3;"EUR";"EUR";70
5069;"AXE";"DEC_CHQ";"DEC_CHQ";"ER_CHQ195069";"2019-12-18";4;"12/AF2019_AXE";3;"EUR";"EUR";77
5070;"AXE";"ENC_VIR";"ENC_VIR";"EP_VIR195070";"2019-12-22";4;"12/AF2019_AXE";3;"EUR";"EUR";136
5071;"AXE";"DEC_VIR";"DEC_VIR";"ER_VIR195071";"2019-12-25";4;"12/AF2019_AXE";3;"EUR";"EUR";88
