"importId";"reportType_importId";"reportTypeColumnId";"sequence";"typeSelect";"ruleTypeSelect";"label";"code";"styleSelect";"percentageTotalLine";"detailBySelect";"resultSelect";"negateValue";"rule";"accountCode";"analyticAccountCode";"accountTypeSet_code";"accountSet_code";"analyticAccountSet_code";"hidden";"notComputedIfIntersect";"balanceBeforePeriod"
"GBR_COA10201";;"GBR_COA102";;1;2;"Balance";"bal";0;;0;4;"false";;;;;;;;;
"GBR_COA10202";"GBR_COA102";;0;1;1;"Assets";"AST";1;;0;;"false";;;;;;;"false";"false";"false"
"GBR_COA10203";"GBR_COA102";;1;1;1;"Current Assets";"CAST";0;;0;;"false";;;;;;;"false";"false";"false"
"GBR_COA10204";"GBR_COA102";;2;1;1;"Cash";"CSH";1;;0;;"false";;;;;;;"false";"false";"false"
"GBR_COA10205";"GBR_COA102";;3;1;2;"Cash in national currency";"CSH_NC";0;;0;1;"false";;"1201%";;;;;"false";"false";"false"
"GBR_COA10206";"GBR_COA102";;4;1;2;"Bank in national currency";"BNK";0;;0;1;"false";;"1240%";;;;;"false";"false";"false"
"GBR_COA10207";"GBR_COA102";;5;1;3;"Total cash";"TCH";1;;0;;"false";"CSH_NC + BNK";;;;;;"false";"false";"false"
"GBR_COA10208";"GBR_COA102";;6;1;1;"Account Receivables";"AR";1;;0;;"false";;;;;;;"false";"false";"false"
"GBR_COA10209";"GBR_COA102";;7;1;2;"Sundry Debtors";"SD";0;;0;1;"false";;"1101%";;;;;"false";"false";"false"
"GBR_COA10210";"GBR_COA102";;8;1;2;"Other debtors";"OD";0;;0;1;"false";;"1102%";;;;;"false";"false";"false"
"GBR_COA10211";"GBR_COA102";;9;1;3;"Total AR";"TAR";1;;0;;"false";"SD + OD";;;;;;"false";"false";"false"
"GBR_COA10212";"GBR_COA102";;10;1;1;"Inventory";"INV";1;;0;;"false";;;;;;;"false";"false";"false"
"GBR_COA10213";"GBR_COA102";;11;1;2;"Raw naterials";"RM";0;;0;1;"false";;"1001%";;;;;"false";"false";"false"
"GBR_COA10214";"GBR_COA102";;12;1;2;"Work in progress";"WIP";0;;0;1;"false";;"1002%";;;;;"false";"false";"false"
"GBR_COA10215";"GBR_COA102";;13;1;2;"Finished goods";"FG";0;;0;1;"false";;"1003%";;;;;"false";"false";"false"
"GBR_COA10216";"GBR_COA102";;14;1;3;"Total goods";"TG";1;;0;;"false";"RM + WIP + FG";;;;;;"false";"false";"false"
"GBR_COA10217";"GBR_COA102";;15;1;1;"Fixed Asset";"FA";1;;0;;"false";;;;;;;"false";"false";"false"
"GBR_COA10218";"GBR_COA102";;16;1;1;"Intangible Asset";"INT";1;;0;;"false";;;;;;;"false";"false";"false"
"GBR_COA10219";"GBR_COA102";;17;1;2;"Software";"SW";0;;0;1;"false";;"10";;;;;"false";"false";"false"
"GBR_COA10220";"GBR_COA102";;18;1;2;"Patents & Trademarks";"PT";0;;0;1;"false";;"20";;;;;"false";"false";"false"
"GBR_COA10221";"GBR_COA102";;19;1;3;"Total Intangible Assets";"TINT";1;;0;;"false";"SW + PT";;;;;;"false";"false";"false"
"GBR_COA10222";"GBR_COA102";;20;1;1;"Tangible Assets";"TA";1;;0;;"false";;;;;;;"false";"false";"false"
"GBR_COA10223";"GBR_COA102";;21;1;2;"Fixtures and fittings";"FF";0;;0;1;"false";;;;;;;"false";"false";"false"
"GBR_COA10224";"GBR_COA102";;22;1;2;"Land and buildings";"LB";0;;0;1;"false";;30;;;;;"false";"false";"false"
"GBR_COA10225";"GBR_COA102";;23;1;2;"Motor vehicles";"MV";0;;0;1;"false";;40;;;;;"false";"false";"false"
"GBR_COA10226";"GBR_COA102";;24;1;2;"Office equipment (inc computer equipment)";"OE";0;;0;1;"false";;50;;;;;"false";"false";"false"
"GBR_COA10227";"GBR_COA102";;25;1;2;"Plant and machinery";"PM";0;;0;1;"false";;60;;;;;"false";"false";"false"
"GBR_COA10228";"GBR_COA102";;26;1;3;"Total Tangible Assets";"TTA";1;;0;;"false";"FF + LB + MV + OE + PM";70;;;;;"false";"false";"false"
"GBR_COA10229";"GBR_COA102";;27;1;1;"Accumulated depreciation";"AD";1;;0;;"false";;;;;;;"false";"false";"false"
"GBR_COA10230";"GBR_COA102";;28;1;2;"Software Depreciation";"SDP";0;;0;1;"false";;11;;;;;"false";"false";"false"
"GBR_COA10231";"GBR_COA102";;29;1;2;"Patents & Trademarks Depreciation";"PTD";0;;0;1;"false";;21;;;;;"false";"false";"false"
"GBR_COA10232";"GBR_COA102";;30;1;2;"Fixtures and fittings Depreciation";"FFD";0;;0;1;"false";;31;;;;;"false";"false";"false"
"GBR_COA10233";"GBR_COA102";;31;1;2;"Land and buildings Depreciation";"LBD";0;;0;1;"false";;41;;;;;"false";"false";"false"
"GBR_COA10234";"GBR_COA102";;32;1;2;"Motor vehicles Depreciation";"MVD";0;;0;1;"false";;51;;;;;"false";"false";"false"
"GBR_COA10235";"GBR_COA102";;33;1;2;"Office equipment (inc computer equipment) Depreciation";"OED";0;;0;1;"false";;61;;;;;"false";"false";"false"
"GBR_COA10236";"GBR_COA102";;34;1;2;"Plant and machinery Depreciation";"PMD";0;;0;1;"false";;71;;;;;"false";"false";"false"
"GBR_COA10237";"GBR_COA102";;35;1;3;"Total accumulated depreciation";"TAD";1;;0;;"false";"SDP + PTD + FFD + LBD + MVD + OED + PMD";;;;;;"false";"false";"false"
"GBR_COA10238";"GBR_COA102";;36;1;3;"Total Assets";"TASS";1;;0;;"false";"TCH + TAR + TG + TINT + TTA + TAD";;;;;;"false";"false";"false"
"GBR_COA10239";"GBR_COA102";;37;1;1;"Liabilities";"LIB";1;;0;;"false";;;;;;;"false";"false";"false"
"GBR_COA10240";"GBR_COA102";;38;1;1;"Current Liabilities";"CLIB";1;;0;;"false";;;;;;;"false";"false";"false"
"GBR_COA10241";"GBR_COA102";;39;1;1;"Accounts Payable";"AP";1;;0;;"false";;;;;;;"false";"false";"false"
"GBR_COA10242";"GBR_COA102";;40;1;2;"Creditors due within one year";"CDD";0;;0;1;"true";;"2100%";;;;;"false";"false";"false"
"GBR_COA10243";"GBR_COA102";;41;1;2;"Creditors Control Account";"CCA";0;;0;1;"true";;"2101%";;;;;"false";"false";"false"
"GBR_COA10244";"GBR_COA102";;42;1;2;"Sundry Creditors";"SC";0;;0;1;"true";;"2102%";;;;;"false";"false";"false"
"GBR_COA10245";"GBR_COA102";;43;1;2;"Other Creditors";"OC";0;;0;1;"true";;"2200%";;;;;"false";"false";"false"
"GBR_COA10246";"GBR_COA102";;44;1;3;"Total Accounts Payable";"TCL";1;;0;;"false";"CDD + CCA+ SC + OC";;;;;;"false";"false";"false"
"GBR_COA10247";"GBR_COA102";;45;1;1;"Accruals";"ACL";1;;0;;"false";;;;;;;"false";"false";"false"
"GBR_COA10248";"GBR_COA102";;46;1;2;"Total Accruals";"TACL";0;;0;1;"true";;"2320%";;;;;"false";"false";"false"
"GBR_COA10249";"GBR_COA102";;47;1;1;"Other Current Liabilities";"OCL";1;;0;;"false";;;;;;;"false";"false";"false"
"GBR_COA10250";"GBR_COA102";;48;1;2;"HMRC - VAT Account";"VAT";0;;0;1;"true";;"2204%";;;;;"false";"false";"false"
"GBR_COA10251";"GBR_COA102";;49;1;2;"P.A.Y.E. & NI";"PAY";0;;0;1;"true";;"2220%";;;;;"false";"false";"false"
"GBR_COA10252";"GBR_COA102";;50;1;2;"Net Wages";"NW";0;;0;1;"true";;"2230%";;;;;"false";"false";"false"
"GBR_COA10253";"GBR_COA102";;51;1;3;"Total other liabilities";"TOL";1;;0;;"false";"VAT + PAY + NW";;;;;;"false";"false";"false"
"GBR_COA10254";"GBR_COA102";;52;1;1;"Long term Liabilities";"LTL";1;;0;;"false";;;;;;;"false";"false";"false"
"GBR_COA10255";"GBR_COA102";;53;1;2;"Creditors due after one year";"CDA";0;;0;1;"true";;"2300%";;;;;"false";"false";"false"
"GBR_COA10256";"GBR_COA102";;54;1;2;"Loans";"LN";0;;0;1;"true";;"2310%";;;;;"false";"false";"false"
"GBR_COA10257";"GBR_COA102";;55;1;2;"Hire Purchase";"HP";0;;0;1;"true";;"2330%";;;;;"false";"false";"false"
"GBR_COA10258";"GBR_COA102";;56;1;3;"Total Long term liabilities";"TLTL";1;;0;;"false";"CDA+LN+HP";;;;;;"false";"false";"false"
"GBR_COA10259";"GBR_COA102";;57;1;3;"Total Liabilities";"TLIB";1;;0;;"false";"TCL + TACL + TLTL + TOL";;;;;;"false";"false";"false"
"GBR_COA10260";"GBR_COA102";;58;1;1;"Shareholder's Equity";"EQ";1;;0;;"false";;;;;;;"false";"false";"false"
"GBR_COA10261";"GBR_COA102";;59;1;1;"Capital Stock";"CST";1;;0;;"false";;;;;;;"false";"false";"false"
"GBR_COA10262";"GBR_COA102";;60;1;2;"Capital & Reserves";"CR";0;;0;1;"true";;"3000%";;;;;"false";"false";"false"
"GBR_COA10263";"GBR_COA102";;61;1;2;"Called up share capital";"CSC";0;;0;1;"true";;"3010%";;;;;"false";"false";"false"
"GBR_COA10264";"GBR_COA102";;62;1;2;"Share premium account";"SPA";0;;0;1;"true";;"3020%";;;;;"false";"false";"false"
"GBR_COA10265";"GBR_COA102";;63;1;2;"Revaluation reserve";"RR";0;;0;1;"true";;"3030%";;;;;"false";"false";"false"
"GBR_COA10266";"GBR_COA102";;64;1;2;"Retained earnings";"RE";0;;0;1;"true";;"3200%";;;;;"false";"false";"false"
"GBR_COA10267";"GBR_COA102";;65;1;3;"Total Equity";"TE";1;;0;;"false";"CR + CSC + SPA + RR + RE";;;;;;"false";"false";"false"
