"importId";"typeSelect";"subject";"statusSelect";"startDateTimeNow";"endDateTimeNow";"duration";"eventCategory.importId";"prioritySelect";"relatedToSelect";"relatedToSelectId";"description";"user.importId";"team.importId";"clientPartner.importId";"contactPartner.importId";"lead.importId";"meetingType.importId";"location";"progressSelect";"responsibleUser.importId";"project.importId";"task.importId"
14;1;"Appeler S&S Conseil";1;"NOW[+1d10H30m]";"NOW[+1d11H00m]";1800;;;;;;10;1;;;27;;;;;;
200;2;"Rev. Offre 123 Services";2;"NOW[-5M14H00m]";"NOW[-5M16H00m]";7200;;;"com.axelor.apps.sale.db.SaleOrder";1;;9;1;88;89;;1;"Salle A. Einstein";;;;
201;2;"Rev. Offre APOLLO";2;"NOW[-4M14H00m]";"NOW[-4M17H00m]";10800;;;"com.axelor.apps.sale.db.SaleOrder";2;;11;2;20;21;;1;"Salle A. Einstein";;;;
202;2;"Rev. Offre BLUEBERRY TELECOM";2;"NOW[-3M14H00m]";"NOW[-3M16H00m]";7200;;;"com.axelor.apps.sale.db.SaleOrder";3;;11;2;44;45;;1;"Salle A. Einstein";;;;
203;2;"Rev. Offre BOURGEOIS INDUSTRIE";2;"NOW[-2M14H00m]";"NOW[-2M16H00m]";7200;;;"com.axelor.apps.sale.db.SaleOrder";4;;8;3;70;71;;1;"Salle A. Einstein";;;;
204;2;"Rev. Offre GERARD Solutions";2;"NOW[-1M14H00m]";"NOW[-1M16H00m]";7200;;;"com.axelor.apps.sale.db.SaleOrder";5;;12;2;77;78;;1;"Salle A. Einstein";;;;
205;2;"Rev. Offre 123 Services";2;"NOW[-21d14H00m]";"NOW[-21d16H00m]";7200;;;"com.axelor.apps.sale.db.SaleOrder";6;;9;1;88;90;;1;"Salle A. Einstein";;;;
206;2;"Rdv 123 Services";2;"NOW[-14d14H00m]";"NOW[-14d16H00m]";7200;;;"com.axelor.apps.sale.db.SaleOrder";7;;9;1;88;89;;3;"LILLE";;;;
207;2;"Rdv DE KIMPE Engineering";1;"NOW[-7d14H00m]";"NOW[-7d17H00m]";7200;;;"com.axelor.apps.sale.db.SaleOrder";8;;13;3;185;186;;3;"BRUXELLES";;;;
208;2;"Rdv 123 Services";2;"NOW[-6M+7d10H00m]";"NOW[-6M+7d10H30m]";1800;;;;;;9;1;;;1;3;"LILLE";;;;
209;2;"Rdv APP Solutions";2;"NOW[-5M+7d11H00m]";"NOW[-5M+7d11H30m]";1800;;;;;;11;2;;;2;3;"NICE";;;;
210;2;"Rdv KGM Media";2;"NOW[-4M+7d17H00m]";"NOW[-4M+7d17H30m]";1800;;;;;;13;1;;;5;3;"LILLE";;;;
211;2;"Rdv BT Tech";2;"NOW[-3M+7d16H00m]";"NOW[-3M+7d17H00m]";3600;;;;;;12;2;;;8;3;"CLERMONT-FERRAND";;;;
212;2;"Rdv B&X Web";2;"NOW[-3M+7d17H00m]";"NOW[-3M+7d18H00m]";3600;;;;;;11;2;;;9;3;"CLERMONT-FERRAND";;;;
213;2;"Rdv WIX Solutions";2;"NOW[-2M+7d11H00m]";"NOW[-2M+7d11H30m]";1800;;;;;;13;3;;;10;3;"MELUN";;;;
214;2;"Rdv Q&L Solutions";2;"NOW[-2M+7d14H00m]";"NOW[-2M+7d14H30m]";1800;;;;;;9;1;;;11;3;"STRASBOURG";;;;
215;2;"Rdv GEH Systems";2;"NOW[-2M+14d14H00m]";"NOW[-2M+14d14H30m]";1800;;;;;;8;3;;;12;3;"PUTEAUX";;;;
216;2;"Rdv Z&C Industries";2;"NOW[-1M+7d10H00m]";"NOW[-1M+7d10H30m]";1800;;;;;;8;3;;;19;3;"TORCY";;;;
217;2;"Rdv Shelton Media";2;"NOW[-7d09H00m]";"NOW[-7d09H30m]";1800;;;;;;9;1;;;24;3;"LILLE";;;;
218;2;"Rdv Oister Media";2;"NOW[-7d14H30m]";"NOW[-7d17H30m]";10800;;;;;;8;3;;;26;3;"MELUN";;;;
219;2;"Rdv Connolly Solutions";1;"NOW[+1d10H30m]";"NOW[+1d11H30m]";5400;;;;;;9;1;;;28;3;"LILLE";;;;
220;2;"Rdv GVS Services";1;"NOW[+1d11H00m]";"NOW[+1d12H30m]";5400;;;;;;8;3;;;29;3;"LONDON";;;;
221;2;"Séminaire commercial";1;"NOW[+7d09H00m]";"NOW[+8d18H00m]";54000;;;;;;8;3;;;;1;;;;;
222;2;"Séminaire commercial";1;"NOW[+7d09H00m]";"NOW[+8d18H00m]";54000;;;;;;13;3;;;;1;;;;;
223;2;"Séminaire commercial";1;"NOW[+7d09H00m]";"NOW[+8d18H00m]";54000;;;;;;9;1;;;;1;;;;;
224;2;"Séminaire commercial";1;"NOW[+7d09H00m]";"NOW[+8d18H00m]";54000;;;;;;10;1;;;;1;;;;;
300;3;"Préparer le support commercial";1;"NOW[10H00m]";"NOW[11H00m]";3600;;2;;;;9;1;;;;;;;;;
301;3;"Sortir le bilan d'activité";1;"NOW[14H00m]";"NOW[15H00m]";3600;;4;;;;9;1;;;;;;;;;
302;3;"Rédiger fiche produit";1;"NOW[14H00m]";"NOW[15H30m]";5400;;3;"com.axelor.apps.base.db.Product";3;;8;3;;;;;;;;;
303;3;"Préparation phoning";1;"NOW[15H00m]";"NOW[18H30m]";12600;;4;"com.axelor.apps.base.db.Product";3;;13;3;;;;;;;;;
304;3;"Préparation phoning";1;"NOW[15H00m]";"NOW[18H30m]";12600;;4;"com.axelor.apps.base.db.Product";3;;10;1;;;;;;;;;
305;3;"Sortir le bilan d'activité";1;"NOW[09H00m]";"NOW[10H00m]";3600;;4;;;;13;3;;;;;;;;;
500;3;"Où télécharger les sources de l'ERP ?";1;"NOW[-2d14H00m]";"NOW[-2d16H00m]";300;1;1;;;;8;3;77;78;;;;100;8;;
501;3;"Comment accéder à la doc technique ? ";1;"NOW[-1d09H00m]";"NOW[-1d12H00m]";300;1;1;;;;8;3;70;71;;;;100;8;;
502;3;"Impossible de se connecter avec l’utilisateur Admin";1;"NOW[-1d10H00m]";"NOW[09H30m]";1800;1;3;;;;17;4;88;90;;;;100;17;3;10
503;3;"Comment joindre un fichier ?";1;"NOW[-1d14H00m]";"NOW[-1d13H00m]";3600;2;2;;;;9;1;88;90;;;;10;9;3;10
504;3;"Comment effectuer une recherche avancée ? ";1;"NOW[09H00m]";"NOW[10H00m]";3600;2;3;;;;9;1;88;90;;;;0;9;3;10
505;3;"Comment effectuer une mise à jour en masse d'enregistrements ?";1;"NOW[09H30m]";"NOW[10H30m]";3600;2;4;;;;8;3;88;90;;;;0;8;3;10
