"importId";"company.code";"debitMoveLine";"creditMoveLine";"amount";"reconciliationDate";"reconcileSeq";"mustBeZeroBalanceOk"
100048;"AXE";"1048-1";"5048-1";6000;"2019-09-05";"RECON2009100048";"true"
100049;"AXE";"5049-1";"1049-1";7500;"2019-09-09";"RECON2009100049";"true"
100050;"AXE";"1050-1";"5050-1";12000;"2019-09-14";"RECON2009100050";"true"
100051;"AXE";"5051-1";"1051-1";7500;"2019-09-18";"RECON2009100051";"true"
100052;"AXE";"1052-1";"5052-1";5000;"2019-09-22";"RECON2009100052";"true"
100053;"AXE";"5053-1";"1053-1";4500;"2019-09-25";"RECON2009100053";"true"
100054;"AXE";"1054-1";"5054-1";5000;"2019-10-05";"RECON2010100054";"true"
100055;"AXE";"5055-1";"1055-1";5500;"2019-10-09";"RECON2010100055";"true"
100056;"AXE";"1056-1";"5056-1";6000;"2019-10-14";"RECON2010100056";"true"
100057;"AXE";"5057-1";"1057-1";3000;"2019-10-18";"RECON2010100057";"true"
100058;"AXE";"1058-1";"5058-1";11000;"2019-10-22";"RECON2010100058";"true"
100059;"AXE";"5059-1";"1059-1";2000;"2019-10-25";"RECON2010100059";"true"
100060;"AXE";"1060-1";"5060-1";11000;"2019-11-05";"RECON2011100060";"true"
100061;"AXE";"5061-1";"1061-1";1875;"2019-11-09";"RECON2011100061";"true"
100062;"AXE";"1062-1";"5062-1";9000;"2019-11-14";"RECON2011100062";"true"
100063;"AXE";"5063-1";"1063-1";3900;"2019-11-18";"RECON2011100063";"true"
100064;"AXE";"1064-1";"5064-1";5000;"2019-11-22";"RECON2011100064";"true"
100065;"AXE";"5065-1";"1065-1";1400;"2019-11-25";"RECON2011100065";"true"
100066;"AXE";"1066-1";"5066-1";2700;"2019-12-05";"RECON2012100066";"true"
100067;"AXE";"5067-1";"1067-1";1000;"2019-12-09";"RECON2012100067";"true"
100068;"AXE";"1068-1";"5068-1";1100;"2019-12-14";"RECON2012100068";"true"
100069;"AXE";"5069-1";"1069-1";4750;"2019-12-18";"RECON2012100069";"true"
100070;"AXE";"1070-1";"5070-1";6000;"2019-12-22";"RECON2012100070";"true"
100071;"AXE";"5071-1";"1071-1";500;"2019-12-25";"RECON2012100071";"true"
