"code";"label";"description"
"370";"Dépenses et recettes civiles des administrations publiques non résidentes";"- Dépenses et recettes civiles effectuées par les administrations publiques non résidentes et non enregistrées ailleurs
Sont exclus de cette rubrique les règlements suivants :
° impôts, taxes et droits divers payés par des résidents et au remboursement de trop-perçus sur ces droits (code 380),
° salaires au profit de résidents (code 310),
° dépenses locales des fonctionnaires non résidents en poste dans la collectivité (code 382). "
"377";"Dépenses et recettes militaires des administrations publiques non résidentes";"Dépenses militaires des administrations publiques non résidentes
Sont exclus de cette rubrique les règlements suivants : salaires au profit de résidents (code 310),"
"380";"Transferts unilatéraux (tous secteurs) d’ordre ou au profit des administrations publiques non résidentes";"- Impôts, taxes et droits divers payés par des résidents aux administrations publiques non résidentes et remboursements de tropperçus sur ces droits.
- Subventions versées par les divers organismes européens 2 à des résidents.
- Contributions privées aux frais de fonctionnement des organismes internationaux. "
"381";"Transferts des migrants (FG)";"Transferts de capitaux effectués par les immigrants ou les émigrants au titre de la liquidation de leurs biens meubles ou immeubles, à la suite de leur changement de statut de résidence. Sont notamment repris sous cette rubrique les avoirs (en comptes, portefeuilles, etc.) et les engagements contractés auprès des intermédiaires, lors du changement de statut de la clientèle résidente qui devient non résidente et vice versa."
"382";"Économies des travailleurs (FG)";"Transferts à destination de l’extérieur effectués par des travailleurs résidents, quelle que soit leur nationalité, exerçant leur activité au profit d’un employeur résident et vice versa. "
"383";"Autres transferts unilatéraux (tous secteurs)";
"384";"Plus ou moins values sur cessions de créances du secteur des IFM";"Plus ou moins value dégagée lors de la cession d’une créance commerciale ou financière à un non-résident. NB – N’est pas déclarable la cession d’une créance entre deux banques résidentes. "
"388";"Pertes ou profits sur créances ou engagements du secteur des IFM et des autres secteurs";"Perte ou profit dégagé lors de l’extinction définitive d’une créance ou d’un engagement (commercial ou financier) d’un résident vis-à-vis d’un non-résident. Remises de dettes au profit d’un emprunteur non résident notamment dans le cadre d’accords de restructuration   "
"390";"Prestations gratuites des administrations publiques résidentes";"Subventions versées ou reçues au titre des péréquations de prix par les administrations publiques.  NB – Les dons recensés dans cette rubrique sont destinés à financer des dépenses courantes (alimentation, médicaments, coopération courante...) "
"442";"Investissements directs en capital social des résidents non-IFM dans des entreprises non résidentes";
"443";"Investissements directs, par consolidation, des résidents non-IFM dans des entreprises non résidentes";"Investissements des résidents non-IFM dans des entreprises non résidentes, sous forme de :
- consolidations de prêts à court ou à long terme antérieurement consentis par les non-IFM résidentes,
- mises en jeu de garanties consenties par les non-IFM résidentes,
- versements de subventions d’équilibre par les non-IFM résidentes, pour apurement de pertes.
Ne sont pas déclarables sous forme de CRP les apurements de pertes par réduction du capital social "
"446";"Investissements directs en capital social des IFM résidentes dans des entreprises non résidentes";"° Investissements des IFM résidentes dans des entreprises non résidentes, sous forme de :
- participations (acquisitions initiales et ultérieures) au capital social d’entreprises non résidentes, dès lors que le seuil de 10 % de ce capital est atteint
- cessions totales ou partielles de ces participations, jusqu’au seuil de 10 % ;
- dotations de succursales et filiales non résidentes
- liquidations totales ou partielles de ces dotations ;
- subventions ou avances non remboursables versées à des entreprises non résidentes du même groupe ;
- acquisitions/cessions de terrains ou d’immeubles hors de la collectivité, destinés à l’usage d’entreprises non résidentes du même groupe.
Sont exclus des flux en capital social :
- les autres investissements immobiliers (code 445),
- les prêts participatifs et subordonnés (codes 420 et 424).
Ne sont pas déclarables sous forme de CRP les augmentations de capital provenant de l’intégration de bénéfices réinvestis. "
"447";"Investissements directs, par consolidation, des IFM résidentes dans des entreprises non résidentes";"Investissements des IFM résidentes dans des entreprises non résidentes, sous forme de :
- consolidations de prêts à court ou à long terme antérieurement consentis par les IFM résidentes,
- mises en jeu de garanties consenties par les IFM résidentes,
- versements de subventions d’équilibre par les IFM résidentes, pour apurement de pertes. Ne sont pas déclarables sous forme de CRP les apurements de pertes par réduction du capital social. "
"452";"Investissements directs des non-résidents dans des entreprises résidentes non IFM";"Investissements des non-résidents dans des non-IFM résidentes, sous forme de :
- participations (acquisitions initiales et ultérieures) au capital social d’entreprises résidentes, dès lors que le seuil de 10 % de ce capital est atteint
- cessions totales ou partielles de ces participations, jusqu’au seuil de 10 % ;
- dotations de succursales et filiales résidentes
- liquidations totales ou partielles de ces dotations
- subventions ou avances non remboursables versées à des entreprises résidentes du même groupe
- acquisitions/cessions d’obligations convertibles en actions, dès lors que leur montant représente au moins 10 % du capital de l’entreprise résidente émettrice
- apports en nature (biens d’équipements) représentatifs d’une part du capital dans des entreprises résidentes du même groupe
- liquidations totales ou partielles de ces apports
- acquisitions/cessions de terrains ou d’immeubles dans la collectivité, destinés à l’usage d’entreprises résidentes du même groupe ;
- acquisitions/cessions d’exploitations agricoles, vignobles, forêts, cheval pour reproduction dans un haras…
Sont exclus des flux en capital social :
- les autres investissements immobiliers (code 455),
- les prêts participatifs et subordonnés (codes 430 et 434). Ne sont pas déclarables sous forme de CRP les augmentations de capital provenant de l’intégration de bénéfices réinvestis. "
"453";"Investissements directs des non-résidents, par consolidation, dans des non-IFM résidentes";"Investissements des non-résidents dans des non-IFM résidentes, sous forme de :
- consolidations de prêts à court ou à long terme antérieurement consentis par les non-résidents,
- mises en jeu de garanties consenties par les non-résidents,
- versements de subventions d’équilibre par les non-résidents, pour apurements de pertes. Ne sont pas déclarables sous forme de CRP les apurements de pertes par réduction du capital social. "
"456";"Investissements directs des non-résidents dans le capital social des IFM résidentes";"Investissements des non-résidents dans des IFM résidentes, sous forme de :
- participations (acquisitions initiales et ultérieures) au capital social d’IFM résidentes, dès lors que le seuil de 10 % de ce capital est atteint
- cessions totales ou partielles de ces participations, jusqu’au seuil de 10 % ;
- dotations de succursales et filiales résidentes (liquidations totales ou partielles de ces dotations) ;
- subventions ou avances non remboursables versées aux IFM résidentes du même groupe ;
- acquisitions/cessions de terrains ou d’immeubles dans la collectivité, destinés à l’usage des IFM résidentes du même groupe. Sont exclus des flux en capital social :
- les autres investissements immobiliers (code 455),
- les prêts participatifs et subordonnés (codes 430 et 434). Ne sont pas déclarables sous forme de CRP les augmentations de capital provenant de l’intégration de bénéfices réinvestis. "
"457";"Investissements directs des non-résidents, par consolidation, dans des IFM résidentes";"Investissements des non-résidents dans des IFM résidentes, sous forme de :
- consolidations de prêts à court ou à long terme antérieurement consentis par les non-résidents,
- mises en jeu de garanties consenties par les non-résidents,
- versements de subventions d’équilibre par les non-résidents, pour apurements de pertes.
Ne sont pas déclarables sous forme de CRP les apurements de pertes par réduction du capital social. "
"406";"Autres investissements des administrations publiques résidentes";"Ce code inclut les investissements immobiliers des administrations publiques résidentes. "
"445";"Investissements immobiliers des résidents (sauf administrations publiques) à l’extérieur de la collectivité";"- Achats et cessions totales ou partielles à l’extérieur de la collectivité de terrains ou d'immeubles (y compris de constructions nouvelles ou en cours) par des résidents.
- Immobilier privé à caractère résidentiel, quelle que soit sa destination (usage privatif ou location).
- Immobilier à usage industriel ou commercial destiné à la location.
Sont exclues de cette rubrique :
- l’acquisition ou la cession par des résidents de terrains ou d’immeubles à l’extérieur de la collectivité, destinés à l’usage d’entreprises non résidentes du même groupe (code 442 ou 446).
- Les opérations de construction et de génie civil effectuées à l’extérieur de la collectivité par des résidents, quelle que soit la durée du chantier (code 272 – Grands travaux). "
"420";"Prêts à long terme des résidents à tout non-résident du même groupe, hors maison mère non résidente";"- Prêts participatifs et subordonnés des résidents de tous secteurs à leurs filiales ou sociétés sœurs 2 non résidentes de tous secteurs. Octroi et remboursement de ces prêts.
- Prêts à long terme (échéance initiale supérieure à un an) des résidents (SAUF IFM 3 ) à leurs filiales et sociétés sœurs 2 non résidentes. Octroi et remboursement de ces prêts."
"424";"Prêts à long terme des résidents à leur maison mère non résidente";"Prêts participatifs et subordonnés des résidents de tous secteurs (IFM 3 et non-IFM) à leurs maisons mères 2 non résidentes (quel que soit leur secteur 4 ). Octroi et remboursement de ces prêts.° Prêts à long terme (échéance initiale supérieure à un an) par les résidents (SAUF IFM 3 ) à leurs maisons mères 2 non résidentes. Octroi et remboursement de ces prêts. "
"520";"Prêts à court terme et dépôts des résidents (sauf IFM) à tout non-résidents du même groupe";"- Prêts à court terme (jusqu’à un an d’échéance initiale) des résidents (SAUF IFM 3 ) à tout non-résident du même groupe (maison mère, filiale, société sœur 2 ). Octroi et remboursement de ces prêts.
- Dépôts (quelle que soit leur échéance) par les résidents (SAUF IFM 3 ) chez tout non-résident du même groupe (maison mère, filiale, société sœur). Constitution et liquidation de ces dépôts. "
"430";"Prêts à long terme des non-résidents à un résident du même groupe, hors maison mère résidente";"- Prêts participatifs et subordonnés des non-résidents de tous secteurs 2 à leurs filiales et sociétés sœurs 3 résidentes (quel que soit leur secteur : IFM 4 , autres secteurs). Octroi et remboursement de ces prêts.
- Prêts à long terme (échéance initiale supérieure à un an) des nonrésidents ( maisons mères ) de tous secteurs 2 à leurs filiales et sociétés sœurs 3 résidentes SAUF IFM 4 résidentes. Octroi et remboursement de ces prêts. "
"434";"Prêts à long terme des non-résidents à leur maison mère résidente";"- Prêts participatifs et subordonnés des non-résidents de tous secteurs 2 à leurs maisons mères 3 résidentes (quel que soit le secteur : IFM, autres secteurs). Octroi et remboursement de ces prêts.
- Prêts à long terme (échéance initiale supérieure à un an) des nonrésidents à leurs maisons mères 3 résidentes, SAUF IFM et entreprises d’investissement résidentes non-IFM. Octroi et remboursement de ces prêts. "
"530";"Prêts à court terme et dépôts des non-résidents à tout résident du même groupe, sauf IFM";"- Prêts à court terme (jusqu’à un an d’échéance initiale) des nonrésidents de tous secteurs 2 à tout résident du même groupe (maison mère, filiale, société sœur 3 ), SAUF IFM 4 résidentes. Octroi et remboursement de ces prêts.
- Dépôts (quelle que soit leur échéance) des non-résidents de tous secteurs 2 chez tout résident du même groupe (maison mère, filiale, société sœur 3 ), SAUF IFM 4 et entreprises d’investissements résidentes. Constitution et liquidation de ces dépôts. "
"428";"Autres prêts à long terme accordés par des résidents, sauf IFM";"Prêts à long terme (échéance initiale supérieure à un an) des résidents SAUF IFM 2 résidentes à tout non-résident non-affilié. Octroi et remboursement de ces prêts. "
"524";"Autres prêts à court terme accordés par des résidents, sauf IFM";"Prêts à court terme (jusqu’à un an d’échéance initiale) des résidents, SAUF IFM 2 résidentes à tout non-résident non affilié. Octroi et remboursement de ces prêts "
"526";"Placements à l’étranger des résidents sauf IFM";"Dépôts (quelle que soit leur échéance) des résidents SAUF IFM 2 résidentes chez tout non-résident non affilié :
- dépôts à vue, à terme, à préavis,
- bons de caisse,
- dépôts de garantie sur les marchés à terme financiers ou de marchandises,
- mises en pension non livrées,
- pensions livrées sur titres : contrepartie monétaire des titres reçus de non-résident par des clients résidents.
Constitution et liquidation de ces dépôts. "
"438";"Autres prêts à long terme accordés par des non-résidents";"- Prêts à long terme (échéance initiale supérieure à un an) des nonrésidents de tous secteurs aux résidents non affiliés, SAUF IFM 2 résidentes. Octroi et remboursement de ces prêts.
- Cessions, à tout non-résident non affilié, de prêts à long terme précédemment consentis à des clients résidents "
"534";"Autres prêts à court terme accordés par des non-résidents";"- Prêts à court terme (jusqu’à un an d’échéance initiale) des nonrésidents de tous secteurs aux résidents non affiliés, SAUF IFM 2 résidentes. Octroi et remboursement de ces prêts.
- Cessions, à tout non-résident non affilié, de prêts à court terme précédemment consentis à des clients résidents "
"536";"Placements de non-résidents auprès de résidents, sauf IFM";"Dépôts (quelle que soit leur échéance) par les non-résidents de tous secteurs chez des résidents non-affiliés SAUF IFM 2 résidentes :
- constitution et liquidation d’avoirs en compte courant et de dépôts,
- opérations de pensions livrées sur titres : contrepartie monétaire de titres donnés en pension par un client résident avec un nonrésident,
- constitutions et liquidation de dépôts de garantie sur les marchés à terme financiers ou de marchandises. Constitution et liquidation de ces dépôts "
"400";"Prêts à long terme accordés par des administrations publiques résidentes à des non-résidents";"- Prêts à long terme accordés par les administrations publiques résidentes à des non-résidents.
- Remboursements de ces prêts. Les intérêts reçus doivent être déclarés sous le code 290. "
"403";"Prêts à court terme accordés par des administrations publiques résidentes à des non-résidents";"- Prêts à court terme accordés par les administrations publiques résidentes à des non-résidents.
- Remboursements de ces prêts. Les intérêts reçus doivent être déclarés sous le code 290 "
"406";"Autres investissements des administrations publiques";"Ce code inclut également les investissements immobiliers (cf page 26). "
