"importId";"journal";"move";"partner.importId";"date";"dueDate";"account.code";"credit";"debit";"taxline.importId";"origin";"description"
"5007-2";"DEC_CHQ";5007;88;"2019-02-09";"2019-02-09";"512100";8000;;;"CHQ20195007";"Paiement pour 123 SOLUTIONS Ref. CHQ20195007"
"5008-1";"ENC_VIR";5008;1012;"2019-02-14";"2019-02-14";"411100";7000;;;"VIR2019-02-145008";"Paiement recu de PICARD Anna Ref. VIR2019-02-145008"
"5008-2";"ENC_VIR";5008;1012;"2019-02-14";"2019-02-14";"512100";;7000;;"VIR2019-02-145008";"Paiement recu de PICARD Anna Ref. VIR2019-02-145008"
"5009-1";"DEC_VIR";5009;20;"2019-02-18";"2019-02-18";"401100";;4500;;"VIR2019-02-185009";"Paiement pour APOLLO Ref. VIR2019-02-185009"
"5009-2";"DEC_VIR";5009;20;"2019-02-18";"2019-02-18";"512100";4500;;;"VIR2019-02-185009";"Paiement pour APOLLO Ref. VIR2019-02-185009"
"5010-1";"ENC_CHQ";5010;1033;"2019-02-22";"2019-02-22";"411100";5000;;;"CHQ20195010";"Paiement recu de MEYER Philippe Ref. CHQ20195010"
"5010-2";"ENC_CHQ";5010;1033;"2019-02-22";"2019-02-22";"512100";;5000;;"CHQ20195010";"Paiement recu de MEYER Philippe Ref. CHQ20195010"
"5011-1";"DEC_CHQ";5011;44;"2019-02-25";"2019-02-25";"401100";;7500;;"CHQ20195011";"Paiement pour BLUEBERRRY Ref. CHQ20195011"
"5011-2";"DEC_CHQ";5011;44;"2019-02-25";"2019-02-25";"512100";7500;;;"CHQ20195011";"Paiement pour BLUEBERRRY Ref. CHQ20195011"
"5012-1";"ENC_VIR";5012;70;"2019-03-05";"2019-03-05";"411100";8000;;;"VIR2019-03-055012";"Paiement recu de MASSON Ref. VIR2019-03-055012"
"5012-2";"ENC_VIR";5012;70;"2019-03-05";"2019-03-05";"512100";;8000;;"VIR2019-03-055012";"Paiement recu de MASSON Ref. VIR2019-03-055012"
"5013-1";"DEC_CHQ";5013;77;"2019-03-09";"2019-03-09";"401100";;10000;;"CHQ20195013";"Paiement pour GERARD Ref. CHQ20195013"
"5013-2";"DEC_CHQ";5013;77;"2019-03-09";"2019-03-09";"512100";10000;;;"CHQ20195013";"Paiement pour GERARD Ref. CHQ20195013"
"5014-1";"ENC_VIR";5014;136;"2019-03-14";"2019-03-14";"411100";12000;;;"VIR2019-03-145014";"Paiement recu de GERARD SOLUTIONS Ref. VIR2019-03-145014"
"5014-2";"ENC_VIR";5014;136;"2019-03-14";"2019-03-14";"512100";;12000;;"VIR2019-03-145014";"Paiement recu de GERARD SOLUTIONS Ref. VIR2019-03-145014"
"5015-1";"DEC_VIR";5015;88;"2019-03-18";"2019-03-18";"401100";;1000;;"VIR2019-03-185015";"Paiement pour 123 SOLUTIONS Ref. VIR2019-03-185015"
"5015-2";"DEC_VIR";5015;88;"2019-03-18";"2019-03-18";"512100";1000;;;"VIR2019-03-185015";"Paiement pour 123 SOLUTIONS Ref. VIR2019-03-185015"
"5016-1";"ENC_VIR";5016;1012;"2019-03-22";"2019-03-22";"411100";6000;;;"VIR2019-03-225016";"Paiement recu de PICARD Anna Ref. VIR2019-03-225016"
"5016-2";"ENC_VIR";5016;1012;"2019-03-22";"2019-03-22";"512100";;6000;;"VIR2019-03-225016";"Paiement recu de PICARD Anna Ref. VIR2019-03-225016"
"5017-1";"DEC_VIR";5017;20;"2019-03-25";"2019-03-25";"401100";;1500;;"VIR2019-03-255017";"Paiement pour APOLLO Ref. VIR2019-03-255017"
"5017-2";"DEC_VIR";5017;20;"2019-03-25";"2019-03-25";"512100";1500;;;"VIR2019-03-255017";"Paiement pour APOLLO Ref. VIR2019-03-255017"
"5018-1";"ENC_VIR";5018;1033;"2019-04-05";"2019-04-05";"411100";11000;;;"VIR2019-04-055018";"Paiement recu de MEYER Philippe Ref. VIR2019-04-055018"
"5018-2";"ENC_VIR";5018;1033;"2019-04-05";"2019-04-05";"512100";;11000;;"VIR2019-04-055018";"Paiement recu de MEYER Philippe Ref. VIR2019-04-055018"
"5019-1";"DEC_CHQ";5019;44;"2019-04-09";"2019-04-09";"401100";;7000;;"CHQ20195019";"Paiement pour BLUEBERRRY Ref. CHQ20195019"
"5019-2";"DEC_CHQ";5019;44;"2019-04-09";"2019-04-09";"512100";7000;;;"CHQ20195019";"Paiement pour BLUEBERRRY Ref. CHQ20195019"
"5020-1";"ENC_VIR";5020;70;"2019-04-14";"2019-04-14";"411100";8000;;;"VIR2019-04-145020";"Paiement recu de MASSON Ref. VIR2019-04-145020"
"5020-2";"ENC_VIR";5020;70;"2019-04-14";"2019-04-14";"512100";;8000;;"VIR2019-04-145020";"Paiement recu de MASSON Ref. VIR2019-04-145020"
"5021-1";"DEC_CHQ";5021;77;"2019-04-18";"2019-04-18";"401100";;8500;;"CHQ20195021";"Paiement pour GERARD Ref. CHQ20195021"
"5021-2";"DEC_CHQ";5021;77;"2019-04-18";"2019-04-18";"512100";8500;;;"CHQ20195021";"Paiement pour GERARD Ref. CHQ20195021"
"5022-1";"ENC_VIR";5022;136;"2019-04-22";"2019-04-22";"411100";10000;;;"VIR2019-04-225022";"Paiement recu de GERARD SOLUTIONS Ref. VIR2019-04-225022"
"5022-2";"ENC_VIR";5022;136;"2019-04-22";"2019-04-22";"512100";;10000;;"VIR2019-04-225022";"Paiement recu de GERARD SOLUTIONS Ref. VIR2019-04-225022"
"5023-1";"DEC_CHQ";5023;88;"2019-04-25";"2019-04-25";"401100";;9000;;"CHQ20195023";"Paiement pour 123 SOLUTIONS Ref. CHQ20195023"
"5023-2";"DEC_CHQ";5023;88;"2019-04-25";"2019-04-25";"512100";9000;;;"CHQ20195023";"Paiement pour 123 SOLUTIONS Ref. CHQ20195023"
"5024-1";"ENC_VIR";5024;1012;"2019-05-05";"2019-05-05";"411100";11000;;;"VIR2019-05-055024";"Paiement recu de PICARD Anna Ref. VIR2019-05-055024"
"5024-2";"ENC_VIR";5024;1012;"2019-05-05";"2019-05-05";"512100";;11000;;"VIR2019-05-055024";"Paiement recu de PICARD Anna Ref. VIR2019-05-055024"
"5025-1";"DEC_VIR";5025;20;"2019-05-09";"2019-05-09";"401100";;4500;;"VIR2019-05-095025";"Paiement pour APOLLO Ref. VIR2019-05-095025"
"5025-2";"DEC_VIR";5025;20;"2019-05-09";"2019-05-09";"512100";4500;;;"VIR2019-05-095025";"Paiement pour APOLLO Ref. VIR2019-05-095025"
"5026-1";"ENC_VIR";5026;1033;"2019-05-14";"2019-05-14";"411100";6000;;;"VIR2019-05-145026";"Paiement recu de MEYER Philippe Ref. VIR2019-05-145026"
"5026-2";"ENC_VIR";5026;1033;"2019-05-14";"2019-05-14";"512100";;6000;;"VIR2019-05-145026";"Paiement recu de MEYER Philippe Ref. VIR2019-05-145026"
"5027-1";"DEC_CHQ";5027;44;"2019-05-18";"2019-05-18";"401100";;8000;;"CHQ20195027";"Paiement pour BLUEBERRRY Ref. CHQ20195027"
"5027-2";"DEC_CHQ";5027;44;"2019-05-18";"2019-05-18";"512100";8000;;;"CHQ20195027";"Paiement pour BLUEBERRRY Ref. CHQ20195027"
"5028-1";"ENC_VIR";5028;70;"2019-05-22";"2019-05-22";"411100";9000;;;"VIR2019-05-225028";"Paiement recu de MASSON Ref. VIR2019-05-225028"
"5028-2";"ENC_VIR";5028;70;"2019-05-22";"2019-05-22";"512100";;9000;;"VIR2019-05-225028";"Paiement recu de MASSON Ref. VIR2019-05-225028"
"5029-1";"DEC_CHQ";5029;77;"2019-05-25";"2019-05-25";"401100";;7500;;"CHQ20195029";"Paiement pour GERARD Ref. CHQ20195029"
"5029-2";"DEC_CHQ";5029;77;"2019-05-25";"2019-05-25";"512100";7500;;;"CHQ20195029";"Paiement pour GERARD Ref. CHQ20195029"
"5030-1";"ENC_VIR";5030;136;"2019-06-05";"2019-06-05";"411100";9000;;;"VIR2019-06-055030";"Paiement recu de GERARD SOLUTIONS Ref. VIR2019-06-055030"
"5030-2";"ENC_VIR";5030;136;"2019-06-05";"2019-06-05";"512100";;9000;;"VIR2019-06-055030";"Paiement recu de GERARD SOLUTIONS Ref. VIR2019-06-055030"
"5031-1";"DEC_CHQ";5031;88;"2019-06-09";"2019-06-09";"401100";;7000;;"CHQ20195031";"Paiement pour 123 SOLUTIONS Ref. CHQ20195031"
"5031-2";"DEC_CHQ";5031;88;"2019-06-09";"2019-06-09";"512100";7000;;;"CHQ20195031";"Paiement pour 123 SOLUTIONS Ref. CHQ20195031"
"5032-1";"ENC_VIR";5032;1012;"2019-06-14";"2019-06-14";"411100";10000;;;"VIR2019-06-145032";"Paiement recu de PICARD Anna Ref. VIR2019-06-145032"
"5032-2";"ENC_VIR";5032;1012;"2019-06-14";"2019-06-14";"512100";;10000;;"VIR2019-06-145032";"Paiement recu de PICARD Anna Ref. VIR2019-06-145032"
"5033-1";"DEC_VIR";5033;20;"2019-06-18";"2019-06-18";"401100";;4500;;"VIR2019-06-185033";"Paiement pour APOLLO Ref. VIR2019-06-185033"
"5033-2";"DEC_VIR";5033;20;"2019-06-18";"2019-06-18";"512100";4500;;;"VIR2019-06-185033";"Paiement pour APOLLO Ref. VIR2019-06-185033"
"5034-1";"ENC_VIR";5034;1033;"2019-06-22";"2019-06-22";"411100";9000;;;"VIR2019-06-225034";"Paiement recu de MEYER Philippe Ref. VIR2019-06-225034"
"5034-2";"ENC_VIR";5034;1033;"2019-06-22";"2019-06-22";"512100";;9000;;"VIR2019-06-225034";"Paiement recu de MEYER Philippe Ref. VIR2019-06-225034"
"5035-1";"DEC_CHQ";5035;44;"2019-06-25";"2019-06-25";"401100";;7500;;"CHQ20195035";"Paiement pour BLUEBERRRY Ref. CHQ20195035"
"5035-2";"DEC_CHQ";5035;44;"2019-06-25";"2019-06-25";"512100";7500;;;"CHQ20195035";"Paiement pour BLUEBERRRY Ref. CHQ20195035"
"5036-1";"ENC_VIR";5036;70;"2019-07-05";"2019-07-05";"411100";10000;;;"VIR2019-07-055036";"Paiement recu de MASSON Ref. VIR2019-07-055036"
"5036-2";"ENC_VIR";5036;70;"2019-07-05";"2019-07-05";"512100";;10000;;"VIR2019-07-055036";"Paiement recu de MASSON Ref. VIR2019-07-055036"
"5037-1";"DEC_VIR";5037;77;"2019-07-09";"2019-07-09";"401100";;3500;;"VIR2019-07-095037";"Paiement pour GERARD Ref. VIR2019-07-095037"
"5037-2";"DEC_VIR";5037;77;"2019-07-09";"2019-07-09";"512100";3500;;;"VIR2019-07-095037";"Paiement pour GERARD Ref. VIR2019-07-095037"
"5038-1";"ENC_VIR";5038;136;"2019-07-14";"2019-07-14";"411100";10000;;;"VIR2019-07-145038";"Paiement recu de GERARD SOLUTIONS Ref. VIR2019-07-145038"
"5038-2";"ENC_VIR";5038;136;"2019-07-14";"2019-07-14";"512100";;10000;;"VIR2019-07-145038";"Paiement recu de GERARD SOLUTIONS Ref. VIR2019-07-145038"
"5039-1";"DEC_VIR";5039;88;"2019-07-18";"2019-07-18";"401100";;5000;;"VIR2019-07-185039";"Paiement pour 123 SOLUTIONS Ref. VIR2019-07-185039"
"5039-2";"DEC_VIR";5039;88;"2019-07-18";"2019-07-18";"512100";5000;;;"VIR2019-07-185039";"Paiement pour 123 SOLUTIONS Ref. VIR2019-07-185039"
"5040-1";"ENC_VIR";5040;1012;"2019-07-22";"2019-07-22";"411100";7000;;;"VIR2019-07-225040";"Paiement recu de PICARD Anna Ref. VIR2019-07-225040"
"5040-2";"ENC_VIR";5040;1012;"2019-07-22";"2019-07-22";"512100";;7000;;"VIR2019-07-225040";"Paiement recu de PICARD Anna Ref. VIR2019-07-225040"
"5041-1";"DEC_VIR";5041;20;"2019-07-25";"2019-07-25";"401100";;1500;;"VIR2019-07-255041";"Paiement pour APOLLO Ref. VIR2019-07-255041"
"5041-2";"DEC_VIR";5041;20;"2019-07-25";"2019-07-25";"512100";1500;;;"VIR2019-07-255041";"Paiement pour APOLLO Ref. VIR2019-07-255041"
"5042-1";"ENC_CHQ";5042;1033;"2019-08-05";"2019-08-05";"411100";5000;;;"CHQ20195042";"Paiement recu de MEYER Philippe Ref. CHQ20195042"
"5042-2";"ENC_CHQ";5042;1033;"2019-08-05";"2019-08-05";"512100";;5000;;"CHQ20195042";"Paiement recu de MEYER Philippe Ref. CHQ20195042"
"5043-1";"DEC_VIR";5043;44;"2019-08-09";"2019-08-09";"401100";;5000;;"VIR2019-08-095043";"Paiement pour BLUEBERRRY Ref. VIR2019-08-095043"
"5043-2";"DEC_VIR";5043;44;"2019-08-09";"2019-08-09";"512100";5000;;;"VIR2019-08-095043";"Paiement pour BLUEBERRRY Ref. VIR2019-08-095043"
"5044-1";"ENC_VIR";5044;70;"2019-08-14";"2019-08-14";"411100";12000;;;"VIR2019-08-145044";"Paiement recu de MASSON Ref. VIR2019-08-145044"
"5044-2";"ENC_VIR";5044;70;"2019-08-14";"2019-08-14";"512100";;12000;;"VIR2019-08-145044";"Paiement recu de MASSON Ref. VIR2019-08-145044"
"5045-1";"DEC_CHQ";5045;77;"2019-08-18";"2019-08-18";"401100";;9500;;"CHQ20195045";"Paiement pour GERARD Ref. CHQ20195045"
"5045-2";"DEC_CHQ";5045;77;"2019-08-18";"2019-08-18";"512100";9500;;;"CHQ20195045";"Paiement pour GERARD Ref. CHQ20195045"
"5046-1";"ENC_CHQ";5046;136;"2019-08-22";"2019-08-22";"411100";4000;;;"CHQ20195046";"Paiement recu de GERARD SOLUTIONS Ref. CHQ20195046"
"5046-2";"ENC_CHQ";5046;136;"2019-08-22";"2019-08-22";"512100";;4000;;"CHQ20195046";"Paiement recu de GERARD SOLUTIONS Ref. CHQ20195046"
"5047-1";"DEC_VIR";5047;88;"2019-08-25";"2019-08-25";"401100";;5500;;"VIR2019-08-255047";"Paiement pour 123 SOLUTIONS Ref. VIR2019-08-255047"
"5047-2";"DEC_VIR";5047;88;"2019-08-25";"2019-08-25";"512100";5500;;;"VIR2019-08-255047";"Paiement pour 123 SOLUTIONS Ref. VIR2019-08-255047"
"5048-1";"ENC_VIR";5048;1012;"2019-09-05";"2019-09-05";"411100";6000;;;"VIR2019-09-055048";"Paiement recu de PICARD Anna Ref. VIR2019-09-055048"
"5048-2";"ENC_VIR";5048;1012;"2019-09-05";"2019-09-05";"512100";;6000;;"VIR2019-09-055048";"Paiement recu de PICARD Anna Ref. VIR2019-09-055048"
"5049-1";"DEC_CHQ";5049;20;"2019-09-09";"2019-09-09";"401100";;7500;;"CHQ20195049";"Paiement pour APOLLO Ref. CHQ20195049"
"5049-2";"DEC_CHQ";5049;20;"2019-09-09";"2019-09-09";"512100";7500;;;"CHQ20195049";"Paiement pour APOLLO Ref. CHQ20195049"
"5050-1";"ENC_VIR";5050;1033;"2019-09-14";"2019-09-14";"411100";12000;;;"VIR2019-09-145050";"Paiement recu de MEYER Philippe Ref. VIR2019-09-145050"
"5050-2";"ENC_VIR";5050;1033;"2019-09-14";"2019-09-14";"512100";;12000;;"VIR2019-09-145050";"Paiement recu de MEYER Philippe Ref. VIR2019-09-145050"
"5051-1";"DEC_CHQ";5051;44;"2019-09-18";"2019-09-18";"401100";;7500;;"CHQ20195051";"Paiement pour BLUEBERRRY Ref. CHQ20195051"
"5051-2";"DEC_CHQ";5051;44;"2019-09-18";"2019-09-18";"512100";7500;;;"CHQ20195051";"Paiement pour BLUEBERRRY Ref. CHQ20195051"
"5052-1";"ENC_CHQ";5052;70;"2019-09-22";"2019-09-22";"411100";5000;;;"CHQ20195052";"Paiement recu de MASSON Ref. CHQ20195052"
"5052-2";"ENC_CHQ";5052;70;"2019-09-22";"2019-09-22";"512100";;5000;;"CHQ20195052";"Paiement recu de MASSON Ref. CHQ20195052"
"5053-1";"DEC_VIR";5053;77;"2019-09-25";"2019-09-25";"401100";;4500;;"VIR2019-09-255053";"Paiement pour GERARD Ref. VIR2019-09-255053"
"5053-2";"DEC_VIR";5053;77;"2019-09-25";"2019-09-25";"512100";4500;;;"VIR2019-09-255053";"Paiement pour GERARD Ref. VIR2019-09-255053"
"5054-1";"ENC_CHQ";5054;136;"2019-10-05";"2019-10-05";"411100";5000;;;"CHQ20195054";"Paiement recu de GERARD SOLUTIONS Ref. CHQ20195054"
"5054-2";"ENC_CHQ";5054;136;"2019-10-05";"2019-10-05";"512100";;5000;;"CHQ20195054";"Paiement recu de GERARD SOLUTIONS Ref. CHQ20195054"
"5055-1";"DEC_VIR";5055;88;"2019-10-09";"2019-10-09";"401100";;5500;;"VIR2019-10-095055";"Paiement pour 123 SOLUTIONS Ref. VIR2019-10-095055"
"5055-2";"DEC_VIR";5055;88;"2019-10-09";"2019-10-09";"512100";5500;;;"VIR2019-10-095055";"Paiement pour 123 SOLUTIONS Ref. VIR2019-10-095055"
"5056-1";"ENC_VIR";5056;1012;"2019-10-14";"2019-10-14";"411100";6000;;;"VIR2019-10-145056";"Paiement recu de PICARD Anna Ref. VIR2019-10-145056"
"5056-2";"ENC_VIR";5056;1012;"2019-10-14";"2019-10-14";"512100";;6000;;"VIR2019-10-145056";"Paiement recu de PICARD Anna Ref. VIR2019-10-145056"
"5057-1";"DEC_VIR";5057;20;"2019-10-18";"2019-10-18";"401100";;3000;;"VIR2019-10-185057";"Paiement pour APOLLO Ref. VIR2019-10-185057"
"5057-2";"DEC_VIR";5057;20;"2019-10-18";"2019-10-18";"512100";3000;;;"VIR2019-10-185057";"Paiement pour APOLLO Ref. VIR2019-10-185057"
"5058-1";"ENC_VIR";5058;1033;"2019-10-22";"2019-10-22";"411100";11000;;;"VIR2019-10-225058";"Paiement recu de MEYER Philippe Ref. VIR2019-10-225058"
"5058-2";"ENC_VIR";5058;1033;"2019-10-22";"2019-10-22";"512100";;11000;;"VIR2019-10-225058";"Paiement recu de MEYER Philippe Ref. VIR2019-10-225058"
"5059-1";"DEC_VIR";5059;44;"2019-10-25";"2019-10-25";"401100";;2000;;"VIR2019-10-255059";"Paiement pour BLUEBERRRY Ref. VIR2019-10-255059"
"5059-2";"DEC_VIR";5059;44;"2019-10-25";"2019-10-25";"512100";2000;;;"VIR2019-10-255059";"Paiement pour BLUEBERRRY Ref. VIR2019-10-255059"
"5060-1";"ENC_VIR";5060;70;"2019-11-05";"2019-11-05";"411100";11000;;;"VIR2019-11-055060";"Paiement recu de MASSON Ref. VIR2019-11-055060"
"5060-2";"ENC_VIR";5060;70;"2019-11-05";"2019-11-05";"512100";;11000;;"VIR2019-11-055060";"Paiement recu de MASSON Ref. VIR2019-11-055060"
"5061-1";"DEC_VIR";5061;77;"2019-11-09";"2019-11-09";"401100";;1875;;"VIR2019-11-095061";"Paiement pour GERARD Ref. VIR2019-11-095061"
"5061-2";"DEC_VIR";5061;77;"2019-11-09";"2019-11-09";"512100";1875;;;"VIR2019-11-095061";"Paiement pour GERARD Ref. VIR2019-11-095061"
"5062-1";"ENC_VIR";5062;136;"2019-11-14";"2019-11-14";"411100";9000;;;"VIR2019-11-145062";"Paiement recu de GERARD SOLUTIONS Ref. VIR2019-11-145062"
"5062-2";"ENC_VIR";5062;136;"2019-11-14";"2019-11-14";"512100";;9000;;"VIR2019-11-145062";"Paiement recu de GERARD SOLUTIONS Ref. VIR2019-11-145062"
"5063-1";"DEC_CHQ";5063;88;"2019-11-18";"2019-11-18";"401100";;3900;;"CHQ20195063";"Paiement pour 123 SOLUTIONS Ref. CHQ20195063"
"5063-2";"DEC_CHQ";5063;88;"2019-11-18";"2019-11-18";"512100";3900;;;"CHQ20195063";"Paiement pour 123 SOLUTIONS Ref. CHQ20195063"
"5064-1";"ENC_CHQ";5064;1012;"2019-11-22";"2019-11-22";"411100";5000;;;"CHQ20195064";"Paiement recu de PICARD Anna Ref. CHQ20195064"
"5064-2";"ENC_CHQ";5064;1012;"2019-11-22";"2019-11-22";"512100";;5000;;"CHQ20195064";"Paiement recu de PICARD Anna Ref. CHQ20195064"
"5065-1";"DEC_VIR";5065;20;"2019-11-25";"2019-11-25";"401100";;1400;;"VIR2019-11-255065";"Paiement pour APOLLO Ref. VIR2019-11-255065"
"5065-2";"DEC_VIR";5065;20;"2019-11-25";"2019-11-25";"512100";1400;;;"VIR2019-11-255065";"Paiement pour APOLLO Ref. VIR2019-11-255065"
"5066-1";"ENC_VIR";5066;1033;"2019-12-05";"2019-12-05";"411100";2700;;;"VIR2019-12-055066";"Paiement recu de MEYER Philippe Ref. VIR2019-12-055066"
"5066-2";"ENC_VIR";5066;1033;"2019-12-05";"2019-12-05";"512100";;2700;;"VIR2019-12-055066";"Paiement recu de MEYER Philippe Ref. VIR2019-12-055066"
"5067-1";"DEC_VIR";5067;44;"2019-12-09";"2019-12-09";"401100";;1000;;"VIR2019-12-095067";"Paiement pour BLUEBERRRY Ref. VIR2019-12-095067"
"5067-2";"DEC_VIR";5067;44;"2019-12-09";"2019-12-09";"512100";1000;;;"VIR2019-12-095067";"Paiement pour BLUEBERRRY Ref. VIR2019-12-095067"
"5068-1";"ENC_VIR";5068;70;"2019-12-14";"2019-12-14";"411100";1100;;;"VIR2019-12-145068";"Paiement recu de MASSON Ref. VIR2019-12-145068"
"5068-2";"ENC_VIR";5068;70;"2019-12-14";"2019-12-14";"512100";;1100;;"VIR2019-12-145068";"Paiement recu de MASSON Ref. VIR2019-12-145068"
"5069-1";"DEC_CHQ";5069;77;"2019-12-18";"2019-12-18";"401100";;4750;;"CHQ20195069";"Paiement pour GERARD Ref. CHQ20195069"
"5069-2";"DEC_CHQ";5069;77;"2019-12-18";"2019-12-18";"512100";4750;;;"CHQ20195069";"Paiement pour GERARD Ref. CHQ20195069"
"5070-1";"ENC_VIR";5070;136;"2019-12-22";"2019-12-22";"411100";6000;;;"VIR2019-12-225070";"Paiement recu de GERARD SOLUTIONS Ref. VIR2019-12-225070"
"5070-2";"ENC_VIR";5070;136;"2019-12-22";"2019-12-22";"512100";;6000;;"VIR2019-12-225070";"Paiement recu de GERARD SOLUTIONS Ref. VIR2019-12-225070"
"5071-1";"DEC_VIR";5071;88;"2019-12-25";"2019-12-25";"401100";;500;;"VIR2019-12-255071";"Paiement pour 123 SOLUTIONS Ref. VIR2019-12-255071"
"5071-2";"DEC_VIR";5071;88;"2019-12-25";"2019-12-25";"512100";500;;;"VIR2019-12-255071";"Paiement pour 123 SOLUTIONS Ref. VIR2019-12-255071"
