"importId";"move";"partner.importId";"date";"originDate";"account.code";"credit";"debit";"taxLine.importId";"taxLine.startDate";"origin";"description"
"1006-1";1006;136;"2019-02-05";"2019-02-05";"411100";;14400;;"";"FC20191006";"Vente divers"
"1006-2";1006;136;"2019-02-05";"2019-02-05";"445711";2400;;;"";"FC20191006";"Vente divers"
"1006-3";1006;136;"2019-02-05";"2019-02-05";"701000";12000;;11;"2014-01-01";"FC20191006";"Vente divers"
"1007-1";1007;88;"2019-02-09";"2019-02-09";"401100";9600;;;"";"FC20191007";"Achats divers"
"1007-2";1007;88;"2019-02-09";"2019-02-09";"445511";;1600;;"";"FC20191007";"Achats divers"
"1007-3";1007;88;"2019-02-09";"2019-02-09";"601100";;8000;13;"2014-01-01";"FC20191007";"Achats divers"
"1008-1";1008;1012;"2019-02-14";"2019-02-14";"411100";;8400;;"";"FC20191008";"Vente divers"
"1008-2";1008;1012;"2019-02-14";"2019-02-14";"445711";1400;;;"";"FC20191008";"Vente divers"
"1008-3";1008;1012;"2019-02-14";"2019-02-14";"701000";7000;;11;"2014-01-01";"FC20191008";"Vente divers"
"1009-1";1009;20;"2019-02-18";"2019-02-18";"401100";5400;;;"";"FC20191009";"Achats divers"
"1009-2";1009;20;"2019-02-18";"2019-02-18";"445511";;900;;"";"FC20191009";"Achats divers"
"1009-3";1009;20;"2019-02-18";"2019-02-18";"601100";;4500;13;"2014-01-01";"FC20191009";"Achats divers"
"1010-1";1010;1033;"2019-02-22";"2019-02-22";"411100";;6000;;"";"FC20191010";"Vente divers"
"1010-2";1010;1033;"2019-02-22";"2019-02-22";"445711";1000;;;"";"FC20191010";"Vente divers"
"1010-3";1010;1033;"2019-02-22";"2019-02-22";"701000";5000;;11;"2014-01-01";"FC20191010";"Vente divers"
"1011-1";1011;44;"2019-02-25";"2019-02-25";"401100";9000;;;"";"FC20191011";"Achats divers"
"1011-2";1011;44;"2019-02-25";"2019-02-25";"445511";;1500;;"";"FC20191011";"Achats divers"
"1011-3";1011;44;"2019-02-25";"2019-02-25";"601100";;7500;13;"2014-01-01";"FC20191011";"Achats divers"
"1012-1";1012;70;"2019-03-05";"2019-03-05";"411100";;9600;;"";"FC20191012";"Vente divers"
"1012-2";1012;70;"2019-03-05";"2019-03-05";"445711";1600;;;"";"FC20191012";"Vente divers"
"1012-3";1012;70;"2019-03-05";"2019-03-05";"701000";8000;;11;"2014-01-01";"FC20191012";"Vente divers"
"1013-1";1013;77;"2019-03-09";"2019-03-09";"401100";12000;;;"";"FC20191013";"Achats divers"
"1013-2";1013;77;"2019-03-09";"2019-03-09";"445511";;2000;;"";"FC20191013";"Achats divers"
"1013-3";1013;77;"2019-03-09";"2019-03-09";"601100";;10000;13;"2014-01-01";"FC20191013";"Achats divers"
"1014-1";1014;136;"2019-03-14";"2019-03-14";"411100";;14400;;"";"FC20191014";"Vente divers"
"1014-2";1014;136;"2019-03-14";"2019-03-14";"445711";2400;;;"";"FC20191014";"Vente divers"
"1014-3";1014;136;"2019-03-14";"2019-03-14";"701000";12000;;11;"2014-01-01";"FC20191014";"Vente divers"
"1015-1";1015;88;"2019-03-18";"2019-03-18";"401100";1200;;;"";"FC20191015";"Achats divers"
"1015-2";1015;88;"2019-03-18";"2019-03-18";"445511";;200;;"";"FC20191015";"Achats divers"
"1015-3";1015;88;"2019-03-18";"2019-03-18";"601100";;1000;13;"2014-01-01";"FC20191015";"Achats divers"
"1016-1";1016;1012;"2019-03-22";"2019-03-22";"411100";;7200;;"";"FC20191016";"Vente divers"
"1016-2";1016;1012;"2019-03-22";"2019-03-22";"445711";1200;;;"";"FC20191016";"Vente divers"
"1016-3";1016;1012;"2019-03-22";"2019-03-22";"701000";6000;;11;"2014-01-01";"FC20191016";"Vente divers"
"1017-1";1017;20;"2019-03-25";"2019-03-25";"401100";1800;;;"";"FC20191017";"Achats divers"
"1017-2";1017;20;"2019-03-25";"2019-03-25";"445511";;300;;"";"FC20191017";"Achats divers"
"1017-3";1017;20;"2019-03-25";"2019-03-25";"601100";;1500;13;"2014-01-01";"FC20191017";"Achats divers"
"1018-1";1018;1033;"2019-04-05";"2019-04-05";"411100";;13200;;"";"FC20191018";"Vente divers"
"1018-2";1018;1033;"2019-04-05";"2019-04-05";"445711";2200;;;"";"FC20191018";"Vente divers"
"1018-3";1018;1033;"2019-04-05";"2019-04-05";"701000";11000;;11;"2014-01-01";"FC20191018";"Vente divers"
"1019-1";1019;44;"2019-04-09";"2019-04-09";"401100";8400;;;"";"FC20191019";"Achats divers"
"1019-2";1019;44;"2019-04-09";"2019-04-09";"445511";;1400;;"";"FC20191019";"Achats divers"
"1019-3";1019;44;"2019-04-09";"2019-04-09";"601100";;7000;13;"2014-01-01";"FC20191019";"Achats divers"
"1020-1";1020;70;"2019-04-14";"2019-04-14";"411100";;9600;;"";"FC20191020";"Vente divers"
"1020-2";1020;70;"2019-04-14";"2019-04-14";"445711";1600;;;"";"FC20191020";"Vente divers"
"1020-3";1020;70;"2019-04-14";"2019-04-14";"701000";8000;;11;"2014-01-01";"FC20191020";"Vente divers"
"1021-1";1021;77;"2019-04-18";"2019-04-18";"401100";10200;;;"";"FC20191021";"Achats divers"
"1021-2";1021;77;"2019-04-18";"2019-04-18";"445511";;1700;;"";"FC20191021";"Achats divers"
"1021-3";1021;77;"2019-04-18";"2019-04-18";"601100";;8500;13;"2014-01-01";"FC20191021";"Achats divers"
"1022-1";1022;136;"2019-04-22";"2019-04-22";"411100";;12000;;"";"FC20191022";"Vente divers"
"1022-2";1022;136;"2019-04-22";"2019-04-22";"445711";2000;;;"";"FC20191022";"Vente divers"
"1022-3";1022;136;"2019-04-22";"2019-04-22";"701000";10000;;11;"2014-01-01";"FC20191022";"Vente divers"
"1023-1";1023;88;"2019-04-25";"2019-04-25";"401100";10800;;;"";"FC20191023";"Achats divers"
"1023-2";1023;88;"2019-04-25";"2019-04-25";"445511";;1800;;"";"FC20191023";"Achats divers"
"1023-3";1023;88;"2019-04-25";"2019-04-25";"601100";;9000;13;"2014-01-01";"FC20191023";"Achats divers"
"1024-1";1024;1012;"2019-05-05";"2019-05-05";"411100";;13200;;"";"FC20191024";"Vente divers"
"1024-2";1024;1012;"2019-05-05";"2019-05-05";"445711";2200;;;"";"FC20191024";"Vente divers"
"1024-3";1024;1012;"2019-05-05";"2019-05-05";"701000";11000;;11;"2014-01-01";"FC20191024";"Vente divers"
"1025-1";1025;20;"2019-05-09";"2019-05-09";"401100";5400;;;"";"FC20191025";"Achats divers"
"1025-2";1025;20;"2019-05-09";"2019-05-09";"445511";;900;;"";"FC20191025";"Achats divers"
"1025-3";1025;20;"2019-05-09";"2019-05-09";"601100";;4500;13;"2014-01-01";"FC20191025";"Achats divers"
"1026-1";1026;1033;"2019-05-14";"2019-05-14";"411100";;7200;;"";"FC20191026";"Vente divers"
"1026-2";1026;1033;"2019-05-14";"2019-05-14";"445711";1200;;;"";"FC20191026";"Vente divers"
"1026-3";1026;1033;"2019-05-14";"2019-05-14";"701000";6000;;11;"2014-01-01";"FC20191026";"Vente divers"
"1027-1";1027;44;"2019-05-18";"2019-05-18";"401100";9600;;;"";"FC20191027";"Achats divers"
"1027-2";1027;44;"2019-05-18";"2019-05-18";"445511";;1600;;"";"FC20191027";"Achats divers"
"1027-3";1027;44;"2019-05-18";"2019-05-18";"601100";;8000;13;"2014-01-01";"FC20191027";"Achats divers"
"1028-1";1028;70;"2019-05-22";"2019-05-22";"411100";;10800;;"";"FC20191028";"Vente divers"
"1028-2";1028;70;"2019-05-22";"2019-05-22";"445711";1800;;;"";"FC20191028";"Vente divers"
"1028-3";1028;70;"2019-05-22";"2019-05-22";"701000";9000;;11;"2014-01-01";"FC20191028";"Vente divers"
"1029-1";1029;77;"2019-05-25";"2019-05-25";"401100";9000;;;"";"FC20191029";"Achats divers"
"1029-2";1029;77;"2019-05-25";"2019-05-25";"445511";;1500;;"";"FC20191029";"Achats divers"
"1029-3";1029;77;"2019-05-25";"2019-05-25";"601100";;7500;13;"2014-01-01";"FC20191029";"Achats divers"
"1030-1";1030;136;"2019-06-05";"2019-06-05";"411100";;10800;;"";"FC20191030";"Vente divers"
"1030-2";1030;136;"2019-06-05";"2019-06-05";"445711";1800;;;"";"FC20191030";"Vente divers"
"1030-3";1030;136;"2019-06-05";"2019-06-05";"701000";9000;;11;"2014-01-01";"FC20191030";"Vente divers"
"1031-1";1031;88;"2019-06-09";"2019-06-09";"401100";8400;;;"";"FC20191031";"Achats divers"
"1031-2";1031;88;"2019-06-09";"2019-06-09";"445511";;1400;;"";"FC20191031";"Achats divers"
"1031-3";1031;88;"2019-06-09";"2019-06-09";"601100";;7000;13;"2014-01-01";"FC20191031";"Achats divers"
"1032-1";1032;1012;"2019-06-14";"2019-06-14";"411100";;12000;;"";"FC20191032";"Vente divers"
"1032-2";1032;1012;"2019-06-14";"2019-06-14";"445711";2000;;;"";"FC20191032";"Vente divers"
"1032-3";1032;1012;"2019-06-14";"2019-06-14";"701000";10000;;11;"2014-01-01";"FC20191032";"Vente divers"
"1033-1";1033;20;"2019-06-18";"2019-06-18";"401100";5400;;;"";"FC20191033";"Achats divers"
"1033-2";1033;20;"2019-06-18";"2019-06-18";"445511";;900;;"";"FC20191033";"Achats divers"
"1033-3";1033;20;"2019-06-18";"2019-06-18";"601100";;4500;13;"2014-01-01";"FC20191033";"Achats divers"
"1034-1";1034;1033;"2019-06-22";"2019-06-22";"411100";;10800;;"";"FC20191034";"Vente divers"
"1034-2";1034;1033;"2019-06-22";"2019-06-22";"445711";1800;;;"";"FC20191034";"Vente divers"
"1034-3";1034;1033;"2019-06-22";"2019-06-22";"701000";9000;;11;"2014-01-01";"FC20191034";"Vente divers"
"1035-1";1035;44;"2019-06-25";"2019-06-25";"401100";9000;;;"";"FC20191035";"Achats divers"
"1035-2";1035;44;"2019-06-25";"2019-06-25";"445511";;1500;;"";"FC20191035";"Achats divers"
"1035-3";1035;44;"2019-06-25";"2019-06-25";"601100";;7500;13;"2014-01-01";"FC20191035";"Achats divers"
