"code";"name";"nextNum";"padding";"prefixe";"suffixe";"toBeAdded";"yearlyResetOk";"company.importId"
"paymentVoucher";"N° for payments received in Cheque";1;10;"CSH_IN_CHQ_%Y_";;1;1;1
"paymentVoucher";"N° for payments received in Credit Card";1;10;"CSH_IN_CC_%Y_";;1;1;1
"paymentVoucher";"N° for payments received through Internet";1;10;"CSH_IN_WEB_%Y_";;1;1;1
"paymentVoucher";"N° for payments received in IPO";1;10;"CSH_IN_TIP_%Y_";;1;1;1
"paymentVoucher";"N° for payments received in IPOC";1;10;"CSH_IN_TEC_%Y_";;1;1;1
"paymentVoucher";"N° for payments received in Wire Transfer";1;10;"CSH_IN_VIR_%Y_";;1;1;1
"paymentVoucher";"N° for payments received in Direct Debit (invoice and installments)";1;10;"CSH_IN_PRE_%Y_";;1;1;1
"paymentVoucher";"N° for payments received by other means";1;10;"CSH_IN_OTH_%Y_";;1;1;1
"paymentVoucher";"N° for payments executed by Cash";1;10;"CSH_OUT_ESP_%Y_";;1;1;1
"paymentVoucher";"N° for payments executed by Cheque";1;10;"CSH_OUT_CHQ_%Y_";;1;1;1
"paymentVoucher";"N° for payments executed by Credit Card";1;10;"CSH_OUT_CB_%Y_";;1;1;1
"paymentVoucher";"N° for payments executed by IPO";1;10;"CSH_OUT_TIP_%Y_";;1;1;1
"paymentVoucher";"N° for payments executed by Wire Transfer";1;10;"CSH_OUT_VIR_%Y_";;1;1;1
"paymentVoucher";"N° for payments executed by Direct Debit (invoice and installments)";1;10;"CSH_OUT_PRE_%Y_";;1;1;1
"paymentVoucher";"N° for payments executed by other means";1;10;"CSH_OUT_OTH_%Y_";;1;1;1
"paymentVoucherReceiptNo";"Voucher Receipt N°";1;10;"RECPT_%Y_";;1;1;1
"purchaseInterface";"Purchase interface";1;10;"PURINT_%Y_";;1;1;1
"refundInterface";"Refund interface";1;10;"REFINT_%Y_";;1;1;1
"reimbursement";"Reimbursement proposals";1;10;"REIMB_%Y_";;1;1;1
"saleInterface";"Sale interface";1;10;"SALINT_%Y_";;1;1;1
"treasuryInterface";"Cash flow interface";1;10;"CSHFLWINT_%Y_";;1;1;1
"partner";"Identifier for accounts and contacts";100;10;"P";;1;0;1
"saleOrder";"Sale Order / Customer Order";12;5;"SO";;1;0;1
"purchaseOrder";"RFQ/Quotes for Suppliers";10;5;"PO";;1;0;1
"eventTicket";"Ticket N°";7;4;"TKT";;1;0;1
"intStockMove";"Internal stock move N°";1;4;"ISM";;1;0;1
"outStockMove";"Delivery order N°";1;4;"DO";;1;0;1
"inStockMove";"Goods receipt order N°";1;4;"RO";;1;0;1
"inventory";"Inventory N°";2;4;"INV%M%Y";;1;0;1
"productTrackingNumber";"Tracking N°";1;5;"TN";;1;0;1
"productionOrder";"Production Order N°";1;5;"PDO";;1;0;1
"manufOrder";"Manufacturing Order N°";1;5;"MO";;1;0;1
