"importId";"name_fr";"code_fr";"name_en";"code_en";"description_fr";"description_en";"productCategory.code";"productCategory_code_en";"productFamily.code";"productFamily_code_en";"applicationTypeSelect";"procurementMethodSelect";"isRawMaterial";"unit.code";"productTypeSelect";"salePrice";"saleCurrency.code";"purchasePrice";"purchaseCurrency.code";"startDate";"endDate";"invoiceLineType.id"
17;"Imprimante LC - Kyocera Mita FS-C8600DN";"IMP-JE-0017";"Printer LC - Kyocera Mita FS-C8600DN";"PRT-IJ-0017";"Résolution impression : 9600x600 dpi / Vitesse impression : 45 ppm / Recto/verso : Standard / Wifi : non / Resolution scanner : - / Ecran : -";"Printer resolution : 9600x600 dpi / Printing speed : 45 ppm / Recto/verso : Standard / Wifi : non / Sacanner Resolution : - / Screen : -";"IMP";"PRT";"JE";"IJ";1;"buy";"false";"U";"storable";4950;"EUR";3663;"EUR";"2013-01-01";;1
18;"Imprimante LC - Epson Aculaser C1750W";"IMP-JE-0018";"Printer LC - Epson Aculaser C1750W";"PRT-IJ-0018";"Résolution impression : 600 dpi / Vitesse impression : 12 ppm / Recto/verso : non / Wifi : oui / Resolution scanner : - / Ecran : Monochrome 16x2";"Printer resolution : 600 dpi / Printing speed : 12 ppm / Recto/verso : non / Wifi : oui / Sacanner Resolution : - / Screen : Monochrome 16x2";"IMP";"PRT";"JE";"IJ";1;"buy";"false";"U";"storable";259;"EUR";"209.79";"EUR";"2013-01-01";;1
19;"Imprimante JE - Epson WorkForce Pro WP 4025dw";"IMP-JE-0019";"Printer JE - Epson WorkForce Pro WP 4025dw";"PRT-IJ-0019";"Résolution impression : 4800x1200 dpi / Vitesse impression : 24 ppm / Recto/verso : oui / Wifi : oui / Resolution scanner : - / Ecran : non";"Printer resolution : 4800x1200 dpi / Printing speed : 24 ppm / Recto/verso : oui / Wifi : oui / Sacanner Resolution : - / Screen : non";"IMP";"PRT";"JE";"IJ";1;"buy";"false";"U";"storable";"249.99";"EUR";"202.4919";"EUR";"2013-01-01";;1
20;"Imprimante JE - HP Officejet Pro 251dw";"IMP-JE-0020";"Printer JE - HP Officejet Pro 251dw";"PRT-IJ-0020";"Résolution impression : 1200x1200 dpi / Vitesse impression : 15 ppm / Recto/verso : Automatique / Wifi : oui / Resolution scanner : - / Ecran : tactile CGD 10,92 cm";"Printer resolution : 1200x1200 dpi / Printing speed : 15 ppm / Recto/verso : Automatique / Wifi : oui / Sacanner Resolution : - / Screen : tactile CGD 10,92 cm";"IMP";"PRT";"JE";"IJ";1;"buy";"false";"U";"storable";229;"EUR";"183.2";"EUR";"2013-01-01";;1
21;"Imprimante JE - CANON PIXMA iP7250";"IMP-JE-0021";"Printer JE - CANON PIXMA iP7250";"PRT-IJ-0021";"Résolution impression : 9600x2400 dpi / Vitesse impression : 10 ppm / Recto/verso : Automatique / Wifi : oui / Resolution scanner : - / Ecran : non";"Printer resolution : 9600x2400 dpi / Printing speed : 10 ppm / Recto/verso : Automatique / Wifi : oui / Sacanner Resolution : - / Screen : non";"IMP";"PRT";"JE";"IJ";1;"buy";"false";"U";"storable";"70.5";"EUR";"56.4";"EUR";"2013-01-01";;1
22;"Cartouche  Canon CLI551BK 6508B001";"CNS-CRT-0022";"Cartridge Canon CLI551BK 6508B001";"CNS-CRT-0022";"Couleur : Noir/ Capacité : 7 ml";"Color : Noir/ Capacity : 7 ml";"CNS";"CNS";"CRT";"CRT";1;"buy";"false";"U";"storable";"13.34";"EUR";"5.25";"EUR";"2013-01-01";;3
23;"Cartouche Canon CLI551BK 6508B001";"CNS-CRT-0023";"Cartridge Canon CLI551BK 6508B001";"CNS-CRT-0023";"Couleur : Noir/ Capacité : 7 ml";"Color : Noir/ Capacity : 7 ml";"CNS";"CNS";"CRT";"CRT";1;"buy";"false";"U";"storable";"13.34";"EUR";"5.25";"EUR";"2013-01-01";;3
24;"Cartouche Canon CLI551C 6509B001";"CNS-CRT-0024";"Cartridge Canon CLI551C 6509B001";"CNS-CRT-0024";"Couleur : Cyan/ Capacité : 7 ml";"Color : Cyan/ Capacity : 7 ml";"CNS";"CNS";"CRT";"CRT";1;"buy";"false";"U";"storable";"13.34";"EUR";"5.25";"EUR";"2013-01-01";;3
25;"Cartouche Canon CLI551C 6509B001";"CNS-CRT-0025";"Cartridge Canon CLI551C 6509B001";"CNS-CRT-0025";"Couleur : Cyan/ Capacité : 7 ml";"Color : Cyan/ Capacity : 7 ml";"CNS";"CNS";"CRT";"CRT";1;"buy";"false";"U";"storable";"13.34";"EUR";"5.25";"EUR";"2013-01-01";;3
26;"Cartouche Canon CLI551M 6510B001";"CNS-CRT-0026";"Cartridge Canon CLI551M 6510B001";"CNS-CRT-0026";"Couleur : Magenta/ Capacité : 7 ml";"Color : Magenta/ Capacity : 7 ml";"CNS";"CNS";"CRT";"CRT";1;"buy";"false";"U";"storable";"13.34";"EUR";"5.25";"EUR";"2013-01-01";;3
27;"Cartouche Canon CLI551M 6510B001";"CNS-CRT-0027";"Cartridge Canon CLI551M 6510B001";"CNS-CRT-0027";"Couleur : Magenta/ Capacité : 7 ml";"Color : Magenta/ Capacity : 7 ml";"CNS";"CNS";"CRT";"CRT";1;"buy";"false";"U";"storable";"13.34";"EUR";"5.25";"EUR";"2013-01-01";;3
28;"Cartouche Canon CLI551Y 6511B001";"CNS-CRT-0028";"Cartridge Canon CLI551Y 6511B001";"CNS-CRT-0028";"Couleur : Jaune/ Capacité : 7 ml";"Color : Jaune/ Capacity : 7 ml";"CNS";"CNS";"CRT";"CRT";1;"buy";"false";"U";"storable";"13.34";"EUR";"5.25";"EUR";"2013-01-01";;3
29;"Cartouche Canon CLI551Y 6511B001";"CNS-CRT-0029";"Cartridge Canon CLI551Y 6511B001";"CNS-CRT-0029";"Couleur : Jaune/ Capacité : 7 ml";"Color : Jaune/ Capacity : 7 ml";"CNS";"CNS";"CRT";"CRT";1;"buy";"false";"U";"storable";"13.34";"EUR";"5.25";"EUR";"2013-01-01";;3
30;"Cartouche Canon PFI102BK 0895B001";"CNS-CRT-0030";"Cartridge Canon PFI102BK 0895B001";"CNS-CRT-0030";"Couleur : Noir/ Capacité : 130 ml";"Color : Noir/ Capacity : 130 ml";"CNS";"CNS";"CRT";"CRT";1;"buy";"false";"U";"storable";"78.63";"EUR";"64.4766";"EUR";"2013-01-01";;3
31;"Cartouche Canon PFI102C 0896B001";"CNS-CRT-0031";"Cartridge Canon PFI102C 0896B001";"CNS-CRT-0031";"Couleur : Cyan/ Capacité : 130 ml";"Color : Cyan/ Capacity : 130 ml";"CNS";"CNS";"CRT";"CRT";1;"buy";"false";"U";"storable";"78.63";"EUR";"59.7588";"EUR";"2013-01-01";;3
32;"Cartouche Canon PFI102MBK 0894B001";"CNS-CRT-0032";"Cartridge Canon PFI102MBK 0894B001";"CNS-CRT-0032";"Couleur : Noir Mat/ Capacité : 130 ml";"Color : Noir Mat/ Capacity : 130 ml";"CNS";"CNS";"CRT";"CRT";1;"buy";"false";"U";"storable";"82.08";"EUR";"68.1264";"EUR";"2013-01-01";;3
33;"Cartouche Canon PFI102Y 0898B001";"CNS-CRT-0033";"Cartridge Canon PFI102Y 0898B001";"CNS-CRT-0033";"Couleur : Jaune/ Capacité : 130 ml";"Color : Jaune/ Capacity : 130 ml";"CNS";"CNS";"CRT";"CRT";1;"buy";"false";"U";"storable";"78.63";"EUR";"63.6903";"EUR";"2013-01-01";;3
34;"Cartouche Canon PFI104M 3631B001";"CNS-CRT-0034";"Cartridge Canon PFI104M 3631B001";"CNS-CRT-0034";"Couleur : Magenta/ Capacité : 130 ml";"Color : Magenta/ Capacity : 130 ml";"CNS";"CNS";"CRT";"CRT";1;"buy";"false";"U";"storable";"82.61";"EUR";"57.827";"EUR";"2013-01-01";;3
35;"Cartouche Epson C13T596100 T596100";"CNS-CRT-0035";"Cartridge Epson C13T596100 T596100";"CNS-CRT-0035";"Couleur : Noir Photo/ Capacité : 350 ml";"Color : Noir Photo/ Capacity : 350 ml";"CNS";"CNS";"CRT";"CRT";1;"buy";"false";"U";"storable";"191.99";"EUR";"136.3129";"EUR";"2013-01-01";;3
36;"Cartouche Epson C13T596200 T596200";"CNS-CRT-0036";"Cartridge Epson C13T596200 T596200";"CNS-CRT-0036";"Couleur : Cyan/ Capacité : 350 ml";"Color : Cyan/ Capacity : 350 ml";"CNS";"CNS";"CRT";"CRT";1;"buy";"false";"U";"storable";"191.99";"EUR";"138.2328";"EUR";"2013-01-01";;3
37;"Cartouche Epson C13T596300 T596300";"CNS-CRT-0037";"Cartridge Epson C13T596300 T596300";"CNS-CRT-0037";"Couleur : Magenta/ Capacité : 350 ml";"Color : Magenta/ Capacity : 350 ml";"CNS";"CNS";"CRT";"CRT";1;"buy";"false";"U";"storable";"191.99";"EUR";"153.592";"EUR";"2013-01-01";;3
38;"Cartouche Epson C13T596400 T596400";"CNS-CRT-0038";"Cartridge Epson C13T596400 T596400";"CNS-CRT-0038";"Couleur : Jaune/ Capacité : 350 ml";"Color : Jaune/ Capacity : 350 ml";"CNS";"CNS";"CRT";"CRT";1;"buy";"false";"U";"storable";"191.99";"EUR";"159.3517";"EUR";"2013-01-01";;3
39;"Cartouche Epson C13T596500 T596500";"CNS-CRT-0039";"Cartridge Epson C13T596500 T596500";"CNS-CRT-0039";"Couleur : Cyan Clair/ Capacité : 350 ml";"Color : Cyan Clair/ Capacity : 350 ml";"CNS";"CNS";"CRT";"CRT";1;"buy";"false";"U";"storable";"191.99";"EUR";"147.8323";"EUR";"2013-01-01";;3
40;"Cartouche Epson C13T596600 T596600";"CNS-CRT-0040";"Cartridge Epson C13T596600 T596600";"CNS-CRT-0040";"Couleur : Magenta Clair/ Capacité : 350 ml";"Color : Magenta Clair/ Capacity : 350 ml";"CNS";"CNS";"CRT";"CRT";1;"buy";"false";"U";"storable";"191.99";"EUR";"136.3129";"EUR";"2013-01-01";;3
41;"Cartouche Epson C13T596700 T596700";"CNS-CRT-0041";"Cartridge Epson C13T596700 T596700";"CNS-CRT-0041";"Couleur : Grise/ Capacité : 350 ml";"Color : Grise/ Capacity : 350 ml";"CNS";"CNS";"CRT";"CRT";1;"buy";"false";"U";"storable";"191.99";"EUR";"163.1915";"EUR";"2013-01-01";;3
42;"Cartouche Epson C13T596800 T596800";"CNS-CRT-0042";"Cartridge Epson C13T596800 T596800";"CNS-CRT-0042";"Couleur : Noir Mat/ Capacité : 350 ml";"Color : Noir Mat/ Capacity : 350 ml";"CNS";"CNS";"CRT";"CRT";1;"buy";"false";"U";"storable";"191.99";"EUR";"155.5119";"EUR";"2013-01-01";;3
43;"Cartouche Epson C13T596900 T596900";"CNS-CRT-0043";"Cartridge Epson C13T596900 T596900";"CNS-CRT-0043";"Couleur : Gris Clair/ Capacité : 350 ml";"Color : Gris Clair/ Capacity : 350 ml";"CNS";"CNS";"CRT";"CRT";1;"buy";"false";"U";"storable";"191.99";"EUR";"134.393";"EUR";"2013-01-01";;3
44;"Cartouche Epson C13T596A00 T596A00";"CNS-CRT-0044";"Cartridge Epson C13T596A00 T596A00";"CNS-CRT-0044";"Couleur : Orange/ Capacité : 350 ml";"Color : Orange/ Capacity : 350 ml";"CNS";"CNS";"CRT";"CRT";1;"buy";"false";"U";"storable";"191.99";"EUR";"151.6721";"EUR";"2013-01-01";;3
45;"Cartouche Epson C13T596B00 T596B00";"CNS-CRT-0045";"Cartridge Epson C13T596B00 T596B00";"CNS-CRT-0045";"Couleur : Vert/ Capacité : 350 ml";"Color : Vert/ Capacity : 350 ml";"CNS";"CNS";"CRT";"CRT";1;"buy";"false";"U";"storable";"157.56";"EUR";"115.0188";"EUR";"2013-01-01";;3
46;"Cartouche Epson C13T703140 T703140";"CNS-CRT-0046";"Cartridge Epson C13T703140 T703140";"CNS-CRT-0046";"Couleur : Noir/ Capacité : 1200 copies";"Color : Noir/ Capacity : 1200 copies";"CNS";"CNS";"CRT";"CRT";1;"buy";"false";"U";"storable";"28.17";"EUR";"19.719";"EUR";"2013-01-01";;3
47;"Cartouche Epson C13T703140 T703140";"CNS-CRT-0047";"Cartridge Epson C13T703140 T703140";"CNS-CRT-0047";"Couleur : Noir/ Capacité : 1200 copies";"Color : Noir/ Capacity : 1200 copies";"CNS";"CNS";"CRT";"CRT";1;"buy";"false";"U";"storable";"28.17";"EUR";"22.2543";"EUR";"2013-01-01";;3
48;"Cartouche Epson C13T703240 T703240";"CNS-CRT-0048";"Cartridge Epson C13T703240 T703240";"CNS-CRT-0048";"Couleur : Cyan/ Capacité : 800 copies";"Color : Cyan/ Capacity : 800 copies";"CNS";"CNS";"CRT";"CRT";1;"buy";"false";"U";"storable";"18.78";"EUR";"13.5216";"EUR";"2013-01-01";;3
49;"Cartouche Epson C13T703240 T703240";"CNS-CRT-0049";"Cartridge Epson C13T703240 T703240";"CNS-CRT-0049";"Couleur : Cyan/ Capacité : 800 copies";"Color : Cyan/ Capacity : 800 copies";"CNS";"CNS";"CRT";"CRT";1;"buy";"false";"U";"storable";"18.78";"EUR";"15.7752";"EUR";"2013-01-01";;3
50;"Cartouche Epson C13T703340 T703340";"CNS-CRT-0050";"Cartridge Epson C13T703340 T703340";"CNS-CRT-0050";"Couleur : Magenta/ Capacité : 800 copies";"Color : Magenta/ Capacity : 800 copies";"CNS";"CNS";"CRT";"CRT";1;"buy";"false";"U";"storable";"18.78";"EUR";"14.8362";"EUR";"2013-01-01";;3
51;"Cartouche Epson C13T703340 T703340";"CNS-CRT-0051";"Cartridge Epson C13T703340 T703340";"CNS-CRT-0051";"Couleur : Magenta/ Capacité : 800 copies";"Color : Magenta/ Capacity : 800 copies";"CNS";"CNS";"CRT";"CRT";1;"buy";"false";"U";"storable";"18.78";"EUR";"15.7752";"EUR";"2013-01-01";;3
52;"Cartouche Epson C13T703440 T703440";"CNS-CRT-0052";"Cartridge Epson C13T703440 T703440";"CNS-CRT-0052";"Couleur : Jaune/ Capacité : 800 copies";"Color : Jaune/ Capacity : 800 copies";"CNS";"CNS";"CRT";"CRT";1;"buy";"false";"U";"storable";"18.78";"EUR";"14.2728";"EUR";"2013-01-01";;3
53;"Cartouche Epson C13T703440 T703440";"CNS-CRT-0053";"Cartridge Epson C13T703440 T703440";"CNS-CRT-0053";"Couleur : Jaune/ Capacité : 800 copies";"Color : Jaune/ Capacity : 800 copies";"CNS";"CNS";"CRT";"CRT";1;"buy";"false";"U";"storable";"18.78";"EUR";"13.8972";"EUR";"2013-01-01";;3
54;"Cartouche HP N°82 C4911A";"CNS-CRT-0054";"Cartridge HP N°82 C4911A";"CNS-CRT-0054";"Couleur : Cyan/ Capacité : 69 ml";"Color : Cyan/ Capacity : 69 ml";"CNS";"CNS";"CRT";"CRT";1;"buy";"false";"U";"storable";"47.29";"EUR";"37.3591";"EUR";"2013-01-01";;3
55;"Cartouche HP N°82 C4912A";"CNS-CRT-0055";"Cartridge HP N°82 C4912A";"CNS-CRT-0055";"Couleur : Magenta/ Capacité : 69 ml";"Color : Magenta/ Capacity : 69 ml";"CNS";"CNS";"CRT";"CRT";1;"buy";"false";"U";"storable";"47.29";"EUR";"38.7778";"EUR";"2013-01-01";;3
56;"Cartouche HP N°82 C4913A";"CNS-CRT-0056";"Cartridge HP N°82 C4913A";"CNS-CRT-0056";"Couleur : Jaune/ Capacité : 69 ml";"Color : Jaune/ Capacity : 69 ml";"CNS";"CNS";"CRT";"CRT";1;"buy";"false";"U";"storable";"47.29";"EUR";"39.2507";"EUR";"2013-01-01";;3
57;"Cartouche HP N°84 C5016A";"CNS-CRT-0057";"Cartridge HP N°84 C5016A";"CNS-CRT-0057";"Couleur : Noir/ Capacité : 69 ml";"Color : Noir/ Capacity : 69 ml";"CNS";"CNS";"CRT";"CRT";1;"buy";"false";"U";"storable";"52.95";"EUR";"37.5945";"EUR";"2013-01-01";;3
58;"Cartouche HP N°84 C5017A";"CNS-CRT-0058";"Cartridge HP N°84 C5017A";"CNS-CRT-0058";"Couleur : Cyan Clair/ Capacité : 69 ml";"Color : Cyan Clair/ Capacity : 69 ml";"CNS";"CNS";"CRT";"CRT";1;"buy";"false";"U";"storable";"60.67";"EUR";"44.8958";"EUR";"2013-01-01";;3
59;"Cartouche HP N°84 C5018A";"CNS-CRT-0059";"Cartridge HP N°84 C5018A";"CNS-CRT-0059";"Couleur : Magenta Clair/ Capacité : 69 ml";"Color : Magenta Clair/ Capacity : 69 ml";"CNS";"CNS";"CRT";"CRT";1;"buy";"false";"U";"storable";"60.67";"EUR";"42.469";"EUR";"2013-01-01";;3
60;"Cartouche HP N°950 CN049AE";"CNS-CRT-0060";"Cartridge HP N°950 CN049AE";"CNS-CRT-0060";"Couleur : Noir/ Capacité : 1100 copies";"Color : Noir/ Capacity : 1100 copies";"CNS";"CNS";"CRT";"CRT";1;"buy";"false";"U";"storable";"27.35";"EUR";"21.333";"EUR";"2013-01-01";;3
61;"Cartouche HP n°950XL CN045AE";"CNS-CRT-0061";"Cartridge HP n°950XL CN045AE";"CNS-CRT-0061";"Couleur : Noir/ Capacité : 2500 copies";"Color : Noir/ Capacity : 2500 copies";"CNS";"CNS";"CRT";"CRT";1;"buy";"false";"U";"storable";"37.77";"EUR";"30.216";"EUR";"2013-01-01";;3
62;"Cartouche HP n°951XL CN046AE";"CNS-CRT-0062";"Cartridge HP n°951XL CN046AE";"CNS-CRT-0062";"Couleur : Cyan/ Capacité : 1500 copies";"Color : Cyan/ Capacity : 1500 copies";"CNS";"CNS";"CRT";"CRT";1;"buy";"false";"U";"storable";"27.94";"EUR";"22.352";"EUR";"2013-01-01";;3
63;"Cartouche HP n°951XL CN046AE";"CNS-CRT-0063";"Cartridge HP n°951XL CN046AE";"CNS-CRT-0063";"Couleur : Cyan/ Capacité : 1500 copies";"Color : Cyan/ Capacity : 1500 copies";"CNS";"CNS";"CRT";"CRT";1;"buy";"false";"U";"storable";"27.94";"EUR";"21.5138";"EUR";"2013-01-01";;3
