"importId","importOrigin","product_importId","unit_importId","qty","lastInventoryDateT","lastInventoryRealQty","avgPrice","rack","stockLocation_importId","detailsStockLocation_importId","trackingNumber_importId"
"31",,"31","1","0E-10",,"0E-10","0E-10",,,"1","83"
"32",,"32","1","0E-10",,"0E-10","0E-10",,,"1","84"
"33",,"33","1","1.0000000000",,"0E-10","0E-10",,,"1","82"
"34",,"34","1","0E-10",,"0E-10","0E-10",,,"1","110"
"35",,"35","1","0E-10",,"0E-10","0E-10",,,"1","104"
"36",,"36","1","0E-10",,"0E-10","0E-10",,,"1","105"
"37",,"37","1","0E-10",,"0E-10","0E-10",,,"1","106"
"38",,"38","1","0E-10",,"0E-10","0E-10",,,"1","107"
"39",,"39","1","0E-10",,"0E-10","0E-10",,,"1","108"
"40",,"40","1","0E-10",,"0E-10","0E-10",,,"1","109"
"41",,"41","1","1.0000000000",,"0E-10","0E-10",,,"1","101"
"42",,"42","1","1.0000000000",,"0E-10","0E-10",,,"1","102"
"43",,"43","1","1.0000000000",,"0E-10","0E-10",,,"1","103"
"44",,"44","1","0E-10",,"0E-10","0E-10",,,"1","180"
"45",,"45","1","0E-10",,"0E-10","0E-10",,,"1","177"
"46",,"46","1","0E-10",,"0E-10","0E-10",,,"1","178"
"47",,"47","1","0E-10",,"0E-10","0E-10",,,"1","179"
"48",,"48","1","0E-10",,"0E-10","0E-10",,,"1","128"
"49",,"49","1","0E-10",,"0E-10","0E-10",,,"1","119"
"50",,"50","1","0E-10",,"0E-10","0E-10",,,"1","120"
"51",,"51","1","0E-10",,"0E-10","0E-10",,,"1","121"
"52",,"52","1","0E-10",,"0E-10","0E-10",,,"1","122"
"53",,"53","1","0E-10",,"0E-10","0E-10",,,"1","123"
"54",,"54","1","0E-10",,"0E-10","0E-10",,,"1","124"
"55",,"55","1","0E-10",,"0E-10","0E-10",,,"1","125"
"56",,"56","1","0E-10",,"0E-10","0E-10",,,"1","126"
"57",,"57","1","0E-10",,"0E-10","0E-10",,,"1","127"
"58",,"58","1","0E-10",,"0E-10","0E-10",,,"1","147"
"59",,"59","1","100.0000000000","2025-11-28T15:52:14.964360","100.0000000000","0E-10",,"1",,
"60",,"60","1","0E-10",,"0E-10","0E-10",,"1",,
"61",,"61","1","0E-10",,"0E-10","0E-10",,"1",,
"62",,"62","1","1.0000000000",,"0E-10","0E-10",,,"1","140"
"63",,"63","1","0E-10",,"0E-10","0E-10",,"1",,
"64",,"64","1","10.0000000000","2025-11-28T15:52:14.964360","10.0000000000","0E-10",,"1",,
"65",,"65","1","5.0000000000","2025-11-28T15:52:14.964360","5.0000000000","0E-10",,"1",,
"66",,"66","1","1.0000000000",,"0E-10","1661.0000000000",,"1",,
"67",,"67","1","10.0000000000","2025-11-28T15:52:14.964360","10.0000000000","0E-10",,"1",,
"68",,"68","1","500.0000000000","2025-11-28T15:52:14.964360","500.0000000000","0E-10",,"1",,
"69",,"69","1","2.0000000000","2025-11-28T15:52:14.964360","2.0000000000","0E-10",,"1",,
"70",,"70","1","0E-10",,"0E-10","0E-10",,,"1","144"
"71",,"71","1","0E-10",,"0E-10","0E-10",,,"1","145"
"72",,"72","1","100.0000000000",,"0E-10","0E-10",,,"1","143"
"73",,"73","1","1.0000000000",,"0E-10","0E-10",,,"1","142"
"74",,"74","1","1.0000000000",,"0E-10","0E-10",,,"1","141"
"75",,"75","1","0E-10",,"0E-10","0E-10",,,"1","151"
"76",,"76","1","0E-10",,"0E-10","0E-10",,,"1","148"
"77",,"77","1","0E-10",,"0E-10","0E-10",,,"1","149"
"78",,"78","1","0E-10",,"0E-10","0E-10",,,"1","146"
"79",,"79","1","0E-10",,"0E-10","0E-10",,,"1","1"
"80",,"80","1","5.0000000000",,"0E-10","0E-10",,,"1","2"
"81",,"81","1","2.0000000000",,"0E-10","0E-10",,,"1","38"
"82",,"82","1","0E-10",,"0E-10","0E-10",,,"1","156"
"83",,"83","1","0E-10",,"0E-10","0E-10",,,"1","153"
"84",,"84","1","0E-10",,"0E-10","0E-10",,,"1","152"
"85",,"85","1","0E-10",,"0E-10","0E-10",,,"1","150"
"86",,"86","1","0E-10",,"0E-10","0E-10",,,"1","162"
"87",,"87","1","0E-10",,"0E-10","0E-10",,,"1","157"
"88",,"88","1","0E-10",,"0E-10","0E-10",,,"1","158"
"89",,"89","1","0E-10",,"0E-10","0E-10",,,"1","154"
"90",,"90","1","0E-10",,"0E-10","0E-10",,,"1","155"
"91",,"91","1","0E-10",,"0E-10","0E-10",,,"1","159"
"92",,"92","1","0E-10",,"0E-10","0E-10",,,"1","160"
"93",,"93","1","0E-10",,"0E-10","0E-10",,,"1","161"
"94",,"94","1","0E-10",,"0E-10","0E-10",,,"1","172"
"95",,"95","1","0E-10",,"0E-10","0E-10",,,"1","163"
"96",,"96","1","0E-10",,"0E-10","0E-10",,,"1","164"
"97",,"97","1","0E-10",,"0E-10","0E-10",,,"1","165"
"98",,"98","1","0E-10",,"0E-10","0E-10",,,"1","166"
"99",,"99","1","0E-10",,"0E-10","0E-10",,,"1","167"
"100",,"100","1","0E-10",,"0E-10","0E-10",,,"1","168"
"101",,"101","1","0E-10",,"0E-10","0E-10",,,"1","169"
"102",,"102","1","0E-10",,"0E-10","0E-10",,,"1","170"
"103",,"103","1","0E-10",,"0E-10","0E-10",,,"1","171"
