"importId";"budgetLevel.importId";"globalBudget.importId";"code";"name";"totalAmountExpected";"availableAmount";"availableAmountWithSimulated";"fromDate";"toDate";"typeSelect";"statusSelect";"companyImportId";"accountSet";"analyticAxis.importId";"analyticAccount.importId";"category"
410;418;41;"Mutuelle";"Mutuelle";1800;1800;1800;"TODAY[1d]";"TODAY[30d]";"budget";1;1;645200;1;1;2
411;419;41;"Internet";"Internet";79;79;79;"TODAY[1d]";"TODAY[30d]";"budget";1;1;626000;1;1;5
412;420;41;"Logiciel 1";"Logiciel 1";48;48;48;"TODAY[1d]";"TODAY[30d]";"budget";1;1;606400;1;1;5
413;420;41;"Logiciel 2";"Logiciel 2";69;69;69;"TODAY[1d]";"TODAY[30d]";"budget";1;1;606400;1;2;5
414;421;41;"Flotte téléphonique";"Flotte téléphonique";220;220;220;"TODAY[1d]";"TODAY[30d]";"budget";1;1;626000;1;1;5
415;422;41;"Electricité des locaux";"Electricité des locaux";890;890;890;"TODAY[1d]";"TODAY[30d]";"budget";1;1;606100;1;1;6
416;423;41;"Eau";"Eau";190;190;190;"TODAY[1d]";"TODAY[30d]";"budget";1;1;606100;1;1;6
417;403;41;"Moteurs de recherche";"Moteurs de recherche";380;380;380;"TODAY[1d]";"TODAY[30d]";"budget";1;1;623000;1;1;6
418;403;41;"Réseaux sociaux";"Réseaux sociaux";630;630;630;"TODAY[1d]";"TODAY[30d]";"budget";1;1;623000;1;1;5
419;403;41;"Salons";"Salons";1300;1300;1300;"TODAY[1d]";"TODAY[30d]";"budget";1;1;618500;1;1;5
420;404;41;"Expert comptable";"Expert comptable";450;450;450;"TODAY[1d]";"TODAY[30d]";"budget";1;1;622600;1;1;5
421;404;41;"Juridique";"Juridique";900;900;900;"TODAY[1d]";"TODAY[30d]";"budget";1;1;622600;1;1;5
422;404;41;"Sous traitance";"Sous traitance";4500;4500;4500;"TODAY[1d]";"TODAY[30d]";"budget";1;1;604000;1;1;6
423;405;41;"Transports/péages/Carburant";"Transports/péages/Carburant";900;900;900;"TODAY[1d]";"TODAY[30d]";"budget";1;1;625100;1;1;5
424;405;41;"Hotels";"Hotels";2000;2000;2000;"TODAY[1d]";"TODAY[30d]";"budget";1;1;625100;1;1;5
425;405;41;"Restaurants";"Restaurants";1800;1800;1800;"TODAY[1d]";"TODAY[30d]";"budget";1;1;625100;1;1;5
426;406;41;"Local entreprise";"Local entreprise";2200;2200;2200;"TODAY[1d]";"TODAY[30d]";"budget";1;1;613200;1;1;6
427;407;41;"Locaux & Salles";"Locaux & Salles";550;550;550;"TODAY[1d]";"TODAY[30d]";"budget";1;1;616000;1;1;6
428;407;41;"Véhicules";"Véhicules";710;710;710;"TODAY[1d]";"TODAY[30d]";"budget";1;1;616000;1;1;5
429;407;41;"Téléphones";"Téléphones";79;79;79;"TODAY[1d]";"TODAY[30d]";"budget";1;1;616000;1;1;5
430;407;41;"Assurance liés à l’exercice de l’activité";"Assurance liés à l’exercice de l’activité";1100;1100;1100;"TODAY[1d]";"TODAY[30d]";"budget";1;1;616200;1;1;5
431;438;41;"BNP";"BNP";2300;2300;2300;"TODAY[1d]";"TODAY[30d]";"budget";1;1;164000;1;1;7
432;438;41;"CIC";"CIC";800;800;800;"TODAY[1d]";"TODAY[30d]";"budget";1;1;164000;1;1;7
433;439;41;"Taux d’intérêts";"Taux d’intérêts";149;149;149;"TODAY[1d]";"TODAY[30d]";"budget";1;1;661100;1;1;5
434;439;41;"Frais de tenue de compte";"Frais de tenue de compte";119;119;119;"TODAY[1d]";"TODAY[30d]";"budget";1;1;627000;1;1;5
435;409;41;"Cotisation foncière";"Cotisation foncière";800;800;800;"TODAY[1d]";"TODAY[30d]";"budget";1;1;635120;1;1;9
436;409;41;"Taxe d’apprentissage";"Taxe d’apprentissage";490;490;490;"TODAY[1d]";"TODAY[30d]";"budget";1;1;631200;1;1;9
437;409;41;"Impôt sur les sociétés (IS)";"Impôt sur les sociétés (IS)";0;0;0;"TODAY[1d]";"TODAY[30d]";"budget";1;1;695000;1;1;9
438;410;41;"TVA";"TVA";0;0;0;"TODAY[1d]";"TODAY[30d]";"budget";1;1;445510;1;1;9
439;411;41;"Cadeaux et fournitures clients";"Cadeaux et fournitures clients";930;930;930;"TODAY[1d]";"TODAY[30d]";"budget";1;1;623400;1;1;5
440;411;41;"Courses diverses";"Courses diverses";3400;3400;3400;"TODAY[1d]";"TODAY[30d]";"budget";1;1;606800;1;1;5
