"importId";"name";"code";"description";"internalDescription";"productSubTypeSelect";"productFamily.importId";"productCategory.importId";"expense";"procurementMethodSelect";"unit.importId";"productTypeSelect";"salePrice";"saleCurrency.code";"purchasePrice";"purchaseCurrency.code";"defaultSupplierPartner.importId";"startDate";"endDate";"saleSupplySelect";"costPrice";"hasWarranty";"warrantyNbrOfMonths";"isPerishable";"perishableNbrOfMonths";"defaultBillOfMaterial.importId";"managPriceCoef";"picture_fileName";"isActivity";"productVariantConfig.importId";"manageVariantPrice"
200;"Hard Disk SATA 1To";"COMP-0001";"Internal HDD 3,5'' - Capacity : 1 To / Memory : 64 Mo / Speed : 7200 trs/min";"Internal HDD 3,5'' - Capacity : 1 To / Memory : 64 Mo / Speed : 7200 trs/min";3;3;5;"false";"buy";1;"storable";60;"EUR";"46.2";"EUR";148;"TODAY[-4M1d]";;1;54;"true";12;"false";;;"1.40";"img/product/COMP-0001.png";;;
201;"Hard Disk SSD 100 Go";"COMP-0002";"DD SSD 100 Go - SATA 6Go/s - 7 mm";"DD SSD 100 Go - SATA 6Go/s - 7 mm";3;3;5;"false";"buy";1;"storable";80;"EUR";"64.8";"EUR";148;"TODAY[-4M1d]";;1;72;"true";12;"false";;;"1.40";"img/product/COMP-0002.png";;;
210;"Processor 4x3,4 GHz";"COMP-0003";"Processor 4 core - 8 threads - 3,4 GHz - 8 Mo Cache";"Processor 4 core - 8 threads - 3,4 GHz - 8 Mo Cache";3;3;6;"false";"buy";1;"storable";180;"EUR";"138.6";"EUR";152;"TODAY[-4M1d]";;1;162;"true";12;"false";;;"1.40";"img/product/COMP-0003.jpg";;;
211;"Processor 6x3,2 GHz";"COMP-0004";"Processor 6 core - 12 threads - 3,2 GHz - 8 Mo Cache";"Processor 6 core - 12 threads - 3,2 GHz - 8 Mo Cache";3;3;6;"false";"buy";1;"storable";540;"EUR";"448.2";"EUR";152;"TODAY[-4M1d]";;1;486;"true";12;"false";;;"1.40";"img/product/COMP-0004.jpg";;;
220;"Rack Casing";"COMP-0005";;;3;3;7;"false";"buy";1;"storable";70;"EUR";"54.6";"EUR";148;"TODAY[-3M1d]";;1;63;"false";;"false";;;"1.40";"img/product/COMP-0005.jpg";;;
230;"Memory 8 Go DDR3";"COMP-0006";;;3;3;8;"false";"buy";1;"storable";80;"EUR";"60.8";"EUR";170;"TODAY[-3M1d]";;1;72;"true";12;"false";;;"1.40";"img/product/COMP-0006.jpg";;;
231;"Memory 16 Go DDR3";"COMP-0007";;;3;3;8;"false";"buy";1;"storable";160;"EUR";120;"EUR";170;"TODAY[-3M1d]";;1;144;"true";12;"false";;;"1.40";"img/product/COMP-0007.jpg";;;
240;"Classic MotherBoard";"COMP-0008";;;3;3;9;"false";"buy";1;"storable";150;"EUR";105;"EUR";152;"TODAY[-3M1d]";;1;135;"true";12;"false";;;"1.40";"img/product/COMP-0008.png";;;
241;"High Performance MotherBoard";"COMP-0009";;;3;3;9;"false";"buy";1;"storable";250;"EUR";"187.5";"EUR";152;"TODAY[-3M1d]";;1;225;"true";12;"false";;;"1.40";"img/product/COMP-0009.jpg";;;
250;"Power Supply";"COMP-0010";;;3;3;9;"false";"buy";1;"storable";40;"EUR";"30.4";"EUR";152;"TODAY[-3M1d]";;1;36;"true";12;"false";;;"1.40";"img/product/COMP-0010.png";;;
300;"Cables set";"CONS-0001";;;3;4;10;"false";"buy";1;"storable";20;"EUR";"15.6";"EUR";70;;;1;18;"false";;"false";;;"1.40";"img/product/CONS-0001.jpg";;;
301;"Screws set";"CONS-0002";;;3;4;10;"false";"buy";1;"storable";4;"EUR";"3.16";"EUR";70;;;1;4;"false";;"false";;;"1.40";"img/product/CONS-0002.jpg";;;
302;"Ink Cartridge";"CONS-0003";"Color : Black, Magenta, Yellow, Blue/ Capacity : 1500 copies";"Color : Black, Magenta, Yellow, Blue/ Capacity : 1500 copies";;4;10;"false";"buy";1;"storable";"32.9";"EUR";21;"EUR";70;"TODAY[-1M1d]";;1;"24.35";"false";;"false";;;"1.40";"img/product/CONS-0003.jpg";;;
303;"Laser Cartridge";"CONS-0004";"Color : Black, Magenta, Yellow, Blue/ Capacity : 2600 copies";"Color : Black, Magenta, Yellow, Blue/ Capacity : 2600 copies";;4;10;"false";"buy";1;"storable";"84.5";"EUR";54;"EUR";70;"TODAY[-1M1d]";;1;"58.75";"false";;"false";;;"1.40";"img/product/CONS-0004.jpg";;;
304;"Paper ream 500 Sheets A4 Standard 80 g";"CONS-0005";"Format : A4 / Quantity : 500 Sheets / Mass : 80 g";"Format : A4 / Quantity : 500 Sheets / Mass : 80 g";3;4;10;"false";"buy";1;"storable";"6.99";"EUR";"5.4522";"EUR";70;"TODAY[-1M1d]";;1;6;"false";;"false";;;"1.40";"img/product/CONS-0005.jpg";;;
305;"Inkball Pen medium (Box 50)";"CONS-0006";"Available colors : Black, Blue, Red, Green";"Available colors : Black, Blue, Red, Green";;4;10;"false";"buy";1;"storable";15;"EUR";"10.8";"EUR";70;;;1;14;"false";;"false";;;"1.40";"img/product/CONS-0006.png";;1;"true"
306;"Ground coffee 250g";"CONS-0007";"Origin Columbia, 100% pur arabica";"Origin Columbia, 100% pur arabica";;4;11;"false";"buy";1;"storable";3;"EUR";"2.49";"EUR";70;;;1;3;"true";;"true";12;;"1.40";"img/product/CONS-0007.png";;;
307;"Bottle of Water (1,5L)";"CONS-0008";;;;4;11;"false";"buy";1;"storable";"0.9";"EUR";"0.684";"EUR";70;;;1;1;"true";;"true";12;;"1.40";"img/product/CONS-0008.jpg";;;
400;"Project";"SERV-0001";;;;5;13;"false";;1;"service";8000;"EUR";6480;"EUR";;"TODAY[-2M1d]";;1;7200;"false";;"false";;;"1.40";"img/product/SERV-0001.jpg";"true";;
401;"Task";"SERV-0002";;;;5;12;"false";;1;"service";1;"EUR";1;"EUR";;"TODAY[-2M1d]";;1;1;"false";;"false";;;"1.40";"img/product/SERV-0002.jpg";"true";;
402;"WorkLoad";"SERV-0003";;;;5;12;"false";;1;"service";100;"EUR";100;"EUR";;"TODAY[-2M1d]";;1;90;"false";;"false";;;"1.40";"img/product/SERV-0003.jpg";"true";;
410;"Project Manager";"SERV-0004";;;;5;12;"false";;103;"service";1000;"EUR";790;"EUR";;"TODAY[-2M1d]";;2;800;"false";;"false";;;"1.40";"img/product/SERV-0004.jpg";"true";;
411;"Consultant";"SERV-0005";;;;5;12;"false";;103;"service";800;"EUR";568;"EUR";;"TODAY[-2M1d]";;2;640;"false";;"false";;;"1.40";"img/product/SERV-0005.jpg";"true";;
412;"Technician/Operator Rk 1";"SERV-0006";;;;5;12;"false";;103;"service";400;"EUR";320;"EUR";;;;2;320;"false";;"false";;;"1.40";"img/product/SERV-0006.jpg";"true";;
413;"Technician/Operator Rk 2";"SERV-0007";;;;5;12;"false";;103;"service";500;"EUR";380;"EUR";;;;2;400;"false";;"false";;;"1.40";"img/product/SERV-0007.jpg";"true";;
414;"Sales";"SERV-0008";;;;5;12;"false";;103;"service";700;"EUR";525;"EUR";;;;2;560;"false";;"false";;;"1.40";"img/product/SERV-0008.png";"true";;
415;"Manager";"SERV-0009";;;;5;12;"false";;103;"service";1100;"EUR";781;"EUR";;;;2;880;"false";;"false";;;"1.40";"img/product/SERV-0009.jpg";"true";;
416;"General Manager";"SERV-0010";;;;5;12;"false";;103;"service";1500;"EUR";1110;"EUR";;;;2;1200;"false";;"false";;;"1.40";"img/product/SERV-0010.png";"true";;
500;"Train/metro/tramway tickets";"NDF-0001";"Reimbursement of travel expenses for employees traveling outside the company by either Train, Metro or Subway";"Reimbursement of travel expenses for employees traveling outside the company by either Train, Metro or Subway";;6;14;"true";;1;"service";80;"EUR";"63.2";"EUR";;;;3;72;"false";;"false";;;"1.40";"img/product/EXP-0001.jpg";;;
501;"Plane ticket";"EXP-0002";"Reimbursement of travel expenses for employees traveling outside the company by Plane";"Reimbursement of travel expenses for employees traveling outside the company by Plane";;6;14;"true";;1;"service";150;"EUR";"106.5";"EUR";;;;3;135;"false";;"false";;;"1.40";"img/product/EXP-0002.jpg";;;
502;"Taxi/Car Rental";"EXP-0003";"Reimbursement of travel expenses for employees traveling outside the company by Taxi or Car Rental";"Reimbursement of travel expenses for employees traveling outside the company by Taxi or Car Rental";;6;14;"true";;1;"service";1;"EUR";"0.78";"EUR";;;;3;1;"false";;"false";;;"1.40";;;;
503;"Mileage expenses";"EXP-0004";"Reimbursement of travel expenses for employees traveling outside the company while using their own vehicle.";"Reimbursement of travel expenses for employees traveling outside the company while using their own vehicle.";;6;14;"true";;1;"service";1;"EUR";"0.76";"EUR";;;;3;1;"false";;"false";;;"1.40";;;;
504;"Meal";"EXP-0005";"Reimbursement of meal expenses for employees traveling outside the company.";"Reimbursement of meal expenses for employees traveling outside the company.";;6;14;"true";;1;"service";20;"EUR";15;"EUR";;;;3;18;"false";;"false";;;"1.40";"img/product/EXP-0005.jpg";;;
505;"Hotel (or other accomodations)";"EXP-0006";"Reimbursement of accomodation expenses for employees traveling outside the company.";"Reimbursement of accomodation expenses for employees traveling outside the company.";;6;14;"true";;1;"service";90;"EUR";"63.9";"EUR";;;;3;81;"false";;"false";;;"1.40";"img/product/EXP-0006.jpg";;;
600;"Advance payment invoice product";"APP-0000";"Product use for advance payment invoice.";;;;;;;;"service";;;;;;;;;;;;;;;;;;;
601;"Partial invoice product";"PIP-0000";"Product use for partial invoice.";;;;;;;;"service";;;;;;;;;;;;;;;;;;;
