"name";"title";"groups"
"admin-root-batch-base";"Base batches";"admins|ERP"
"admin-root-batch";"Batches";"admins|ERP"
"manufacturing-root-bill-of-material";"Bills of materials";"admins|ERP|MGT|OPS"
"business-root-project";"Business";"admins|ERP|MGT|VTE|ACH|OPS"
"business-root-project-all-business";"Business";"admins|ERP|MGT|VTE|ACH|OPS"
"business-root";"Business";"admins|ERP|MGT|VTE|ACH|OPS"
"crm-conf-calendar-configuration";"Calendar Configurations";"admins|ERP|MGT|CRM"
"crm-conf-calendar";"Calendars";"admins|ERP|MGT|CRM"
"crm-root-create-call";"Call";"admins|ERP|CST|CRM|VTE|HRM|OPS|MGT"
"crm-root-call";"Calls";"admins|ERP|CST|CRM|VTE|HRM|OPS|MGT"
"hr-root-recruitment-candidate";"Candidates";"admins|ERP|MGT|HRM"
"admin-root-organisation-territory-canton";"Cantons";"admins|ERP"
"account-root-periodic-processing-cash-register-closure";"Cash register closure";"admins|ERP|CPT|MGT"
"mail-root-email-cash-register";"Cash register emails";"admins|ERP|CPT|MGT"
"mail-root-mail-cash-register";"Cash register mails";"admins|ERP|CPT|MGT"
"account-conf-cash-register";"Cash registers";"admins|ERP|CPT|MGT"
"manufacturing-root-charge-by-machine-dashboard";"Charge by machine";"admins|ERP|MGT|OPS"
"account-conf-financial-accounting-plan";"Chart of Accounts";"admins|ERP|CPT|MGT"
"admin-root-organisation-territory-commune";"Cities/Communes";"admins|ERP"
"admin-root-user-company";"Companies";"admins|ERP"
"contact-root";"Companies/Contacts";"admins|ERP|CRM"
"admin-conf-general";"Configuration";"admins|ERP"
"crm-conf";"Configuration";"admins|ERP|MGT|CRM"
"alarm-conf";"Configuration";"admins|ERP"
"debt-recovery-root-conf";"Configuration";"admins|ERP|CPT|MGT"
"contact-conf";"Configuration";"admins|ERP"
"mail-root-email-conf";"Configuration";"admins"
"hr-root-conf";"Configuration";"admins|ERP|MGT|HRM"
"product-conf";"Configuration";"admins|ERP"
"mail-conf";"Configuration";"admins|ERP"
"account-conf";"Configuration";"admins|ERP|CPT|MGT"
"stock-root-conf";"Configuration";"admins|ERP|MGT|OPS"
"manufacturing-conf";"Configurations";"admins|ERP|MGT|OPS"
"menu-wkf-configurations";"Configurations";"admins|ERP|MGT|BPM"
"contact-root-contact";"Contacts";"admins|ERP|CRM"
"top-relations-contacts";"Contacts";"admins|ERP|CRM"
"admin-root-organisation-country";"Countries";"admins|ERP"
"crm-root-create";"Create";"admins|ERP|CST|CRM|VTE|HRM|OPS|MGT"
"top-menu-utility";"Create";"admins|ERP"
"top-menu-activity-create-call";"Create Call";"admins|ERP|CST|CRM|VTE|HRM|OPS|MGT"
"top-menu-create-contact";"Create Contact";"admins|ERP"
"account-root-payments-new-cust-payment";"Create Cust. Payment";"admins|ERP|CPT|MGT|VTE"
"account-root-payments-new-cust-refund";"Create Cust. Refund";"admins|ERP|CPT|MGT|VTE"
"menu-consultant-create-expense";"Create Expense";"consultant"
"top-new-partner-individual";"Create Individual Partner";"admins|ERP"
"top-menu-create-lead";"Create Lead";"admins|ERP|CST|CRM|VTE|HRM|OPS|MGT"
"menu-consultant-create-leave-request";"Create Leave request";"consultant"
"top-menu-activity-create-meeting";"Create Meeting";"admins|ERP|CST|CRM|VTE|HRM|OPS|MGT"
"top-menu-create-opportunity";"Create Opportunity";"admins|ERP|CST|CRM|VTE|HRM|OPS|MGT"
"top-menu-create-partner";"Create Partner";"admins|ERP"
"top-menu-create-so";"Create SO";"admins|ERP|MGT|VTE"
"account-root-payments-new-suppl-payment";"Create Suppl. Payment";"admins|ERP|CPT|MGT"
"account-root-payments-new-suppl-refund";"Create Suppl. Refund";"admins|ERP|CPT|MGT"
"top-menu-activity-create-task";"Create Task";"admins|ERP|CST|CRM|VTE|HRM|OPS|MGT"
"menu-consultant-create-timesheet";"Create Timesheet";"consultant"
"crm-root";"CRM";"admins|ERP|CST|CRM|VTE|HRM|OPS|MGT"
"admin-root-batch-crm";"CRM batches";"admins|ERP|MGT|CRM"
"menu-crm-dashboards";"CRM Dashboards";"admins|ERP|MGT|CRM"
"admin-conf-general-currency";"Currencies";"admins|ERP"
"invoice-root-sales-custinvoices";"Cust. Invoices";"admins|ERP|CPT|MGT|VTE"
"top-invoice-custinvoices";"Cust. Invoices";"admins|ERP|CPT|MGT|VTE"
"top-stock-cust-deliveries";"Customer deliveries";"admins|ERP|MGT|VTE|OPS"
"stock-root-custdeliveries";"Customer Deliveries";"admins|ERP|MGT|VTE|OPS"
"invoice-root-sales-custrefunds";"Cust. Refunds";"admins|ERP|CPT|MGT|VTE"
"top-invoice-custrefunds";"Cust. Refunds";"admins|ERP|CPT|MGT|VTE"
"menu-dashboards";"Dashboards";"admins|ERP"
"account-root-debt-recovery";"Debt recovery";"admins|ERP|CPT|MGT"
"admin-root-organisation-territory-department";"Departments";"admins|ERP"
"menu-domain";"Domains";"admins|ERP"
"mail-root-email-draft";"Draft emails";"admins"
"mail-root-email-conf-mail-account";"Email account";"admins"
"mail-root-email-conf-email-address";"Email addresses";"admins"
"mail-root-email-box";"Email box";"admins"
"menu-wkf-intermediate-email-message-event";"E-mail events";"admins|ERP|MGT|BPM"
"mail-conf-mail-model-tag";"Email/Mail model tags";"admins|ERP"
"mail-conf-email-model";"Email models";"admins|ERP"
"mail-root";"Emails/Mails";"admins|ERP"
"hr-root-employee";"Employees";"admins|ERP|MGT|HRM"
"menu-wkf-end-event";"End events";"admins|ERP|MGT|BPM"
"admin-root";"ERP Administration";"admins|ERP"
"crm-conf-category";"Event Categories";"admins|ERP|MGT|CRM"
"portal.crm.event.graph";"Event Chart Report";"admins|ERP|CST|CRM|VTE|HRM|OPS|MGT"
"portal.crm.event";"Event List Report";"admins|ERP|CST|CRM|VTE|HRM|OPS|MGT"
"menu-wkf-nodes-root-event";"Events";"admins|ERP|MGT|BPM"
"menu-wkf-exclusive-gateway";"Exclusive gateways";"admins|ERP|MGT|BPM"
"hr-root-paymentforms-expenses";"Expenses to be paid";"admins|ERP|MGT|HRM"
"hr-root-validationforms-Expenses-commercial";"Expenses to validate by commercial";"admins|ERP|MGT|HRM"
"hr-root-validationforms-expenses-manager";"Expenses to validate by RSC Manager";"admins|ERP|MGT|HRM"
"menu-wkf-intermediate-facebook-event";"Facebook events";"admins|ERP|MGT|BPM"
"menu-wkf-filter-event";"Filters";"admins|ERP|MGT|BPM"
"menu-wkf-nodes-root-filter";"Filters";"admins|ERP|MGT|BPM"
"account-conf-financial";"Financial";"admins|ERP|CPT|MGT"
"account-conf-financial-account";"Financial Accounts";"admins|ERP|CPT|MGT"
"account-conf-financial-account-management";"Financial Accounts Management";"admins|ERP|CPT|MGT"
"contact-conf-fiscal-position";"Fiscal positions";"admins|ERP|CPT|MGT"
"account-conf-financial-year";"Fiscal years";"admins|ERP|CPT|MGT"
"menu-wkf-nodes-root-gateway";"Gateways";"admins|ERP|MGT|BPM"
"admin-root-general";"General";"admins|ERP"
"admin-root-general-general";"General admin";"admins|ERP"
"menu-auth-groups";"Groups";"admins"
"hr-root-history";"History";"admins|ERP|MGT|HRM"
"hr-root";"Human Resources";"admins|ERP|MGT|HRM"
"menu-human-resources-dashboard-sample";"Human Resources Dashboard";"admins|ERP|MGT|HRM"
"admin-root-import-permission";"Import permissions";"admins|ERP"
"admin-root-import";"Imports";"admins|ERP"
"mail-root-email-inbox";"Inbox";"admins"
"menu-wkf-inclusive-gateway";"Inclusive gateways";"admins|ERP|MGT|BPM"
"admin-root-indicator-generator";"Indicators generators";"admins|ERP"
"admin-root-indicator-generator-grouping";"Indicators groups";"admins|ERP"
"hr-root-inputforms";"Input forms";"admins|ERP|MGT|HRM"
"menu-wkf-instances";"Instances";"admins|ERP|MGT|BPM"
"top-stock-internal-moves";"Internal moves";"admins|ERP|MGT|OPS"
"stock-root-internal";"Internal Stock Moves";"admins|ERP|MGT|OPS"
"menu-wkf-intermediate-internet-site-event";"Internet site events";"admins|ERP|MGT|BPM"
"stock-root-inventories-draft";"Inventories";"admins|ERP|MGT|OPS"
"invoice-root";"Invoice";"admins|ERP|CPT|MGT|VTE"
"top-invoice";"Invoices/Refunds";"admins|ERP|CPT|MGT|VTE"
"menu-job-management";"Job Management";"admins"
"hr-root-recruitment-jobOffer";"Job Offer";"admins|ERP|MGT|HRM"
"account-conf-financial-journal";"Journals";"admins|ERP|CPT|MGT"
"account-conf-financial-journal-type";"Journal types";"admins|ERP|CPT|MGT"
"admin-conf-general-keyword";"Keywords";"admins|ERP"
"portal.crm.lead.graph";"Lead Chart Report";"admins|ERP|CST|CRM|VTE|HRM|OPS|MGT"
"portal.crm.lead.list";"Lead List Report";"admins|ERP|CST|CRM|VTE|HRM|OPS|MGT"
"crm-root-lead";"Leads";"admins|ERP|MGT|CRM|VTE"
"top-prospection-leads";"Leads";"admins|ERP|MGT|CRM|VTE"
"crm-conf-lead-source";"Leads Source";"admins|ERP|MGT|CRM"
"hr-root-conf-task-leave-request-reason";"Leave request reasons";"admins|ERP|MGT|HRM"
"hr-root-validationforms-leave-request";"Leave requests to validate";"admins|ERP|MGT|HRM"
"menu-wkf-intermediate-linkedin-event";"Linkedin events";"admins|ERP|MGT|BPM"
"manufacturing-conf-machine";"Machines";"admins|ERP|MGT|OPS"
"menu-wkf-intermediate-mail-event";"Mail events";"admins|ERP|MGT|BPM"
"mail-conf-mail-model";"Mail models";"admins|ERP"
"manufacturing-root";"Manufacturing";"admins|ERP|MGT|OPS"
"menu-manufacturing-dashboard-sample";"Manufacturing Dashboard";"admins|ERP|MGT|OPS"
"manufacturing-root-manuf-order";"Manufacturing orders";"admins|ERP|MGT|OPS"
"manufacturing-root-prod-process";"Manufacturing processes";"admins|ERP|MGT|OPS"
"crm-root-create-meeting";"Meeting";"admins|ERP|CST|CRM|VTE|HRM|OPS|MGT"
"crm-conf-participant";"Meeting Participants";"admins|ERP|MGT|CRM"
"crm-root-meeting";"Meetings";"admins|ERP|CST|CRM|VTE|HRM|OPS|MGT"
"crm-conf-meeting-type";"Meeting Types";"admins|ERP|MGT|CRM"
"menu-wkf-nodes-root-message";"Messages";"admins|ERP|MGT|BPM"
"stock-root-conf-min-stock-rules";"Minimum stock rules";"admins|ERP|MGT|OPS"
"hr-root-mission-order";"Mission order";"admins|ERP|MGT|HRM"
"menu-model";"Model Management";"admins"
"menu-module-management";"Module Management";"admins"
"admin-root-conf";"Modules configurations";"admins|ERP"
"account-root-move-move-line";"Move Lines";"admins|ERP|CPT|MGT"
"account-root-move-move";"Moves";"admins|ERP|CPT|MGT"
"account-root-move";"Moves";"admins|ERP|CPT|MGT"
"crm-root-meeting-my-calendar";"My Calendar";"admins|ERP|CST|CRM|VTE|HRM|OPS|MGT"
"top-menu-activity-my-calendar";"My Calendar";"admins|ERP|CST|CRM|VTE|HRM|OPS|MGT"
"menu-consultant-dashbord";"My DashBord";"consultant"
"hr-root-inputforms-expenses";"My expenses";"admins|ERP|MGT|HRM"
"menu-consultant-expense";"My Expenses";"consultant"
"menu-consultant-leave-request-calendar";"My Leave request calendar";"consultant"
"hr-root-inputforms-leave-request";"My leave requests";"admins|ERP|MGT|HRM"
"menu-consultant-leave-request";"My Leave requests";"consultant"
"hr-root-inputforms-overtimes";"My overtimes";"admins|ERP|MGT|HRM"
"menu-consultant-my-task";"My Tasks";"consultant"
"top-menu-activity-team-calendar";"My Team Calendar";"admins|ERP|CST|CRM|VTE|HRM|OPS|MGT"
"menu-consultant-my-tickets";"My Tickets";"consultant"
"hr-root-inputforms-timesheet";"My timesheet";"admins|ERP|MGT|HRM"
"hr-root-my-timesheet-line-calendar";"My timesheet calendar";"admins|ERP|MGT|HRM"
"menu-consultant-timesheet";"My Timesheets";"consultant"
"menu-network-root";"Network";"admins|ERP"
"menu-network-configuration";"Network configuration";"admins|ERP"
"business-root-project-new-business";"New Business";"admins|ERP|MGT|VTE|ACH|OPS"
"invoice-root-cust-invoice";"New cust. invoice";"admins|ERP|CPT|MGT|VTE"
"mail-root-email-new";"New email";"admins"
"sc-root-purchase-order-new";"New Purchase order";"admins|ERP|MGT|ACH|OPS"
"sc-root-sales-new-so";"New Sale order";"admins|ERP|MGT|VTE|OPS|CRM"
"invoice-root-sup-invoice";"New sup. invoice";"admins|ERP|CPT|MGT|ACH"
"menu-wkf-nodes-root";"Nodes";"admins|ERP|MGT|BPM"
"hr-root-history-olds-timesheets";"Olds timesheets";"admins|ERP|MGT|HRM"
"menu-operating-system";"Operating Systems";"admins|ERP|MGT|HRM"
"manufacturing-root-operation-order";"Operations orders";"admins|ERP|MGT|OPS"
"crm-root-opportunity";"Opportunities";"admins|ERP|MGT|CRM|VTE"
"top-prospection-opportunity";"Opportunities";"admins|ERP|MGT|CRM|VTE"
"portal.opportunities.graph";"Opportunity Chart Report";"admins|ERP|CST|CRM|VTE|HRM|OPS|MGT"
"portal.opportunities";"Opportunity List Report";"admins|ERP|CST|CRM|VTE|HRM|OPS|MGT"
"top-sales-orders";"Orders";"admins|ERP|MGT|VTE|OPS|CRM"
"top-purchase-orders";"Orders";"admins|ERP|MGT|ACH|OPS"
"menu-organisation-dashboard-sample";"Organisation Dashboard";"admins|ERP|MGT|HRM"
"admin-root-organisation";"Organization";"admins|ERP|MGT|HRM"
"account-root-periodic-processing-overpayment-clearances";"Overpayments clearances";"admins|ERP|CPT|MGT"
"hr-root-paymentforms-overtimes";"Overtimes to be paid";"admins|ERP|MGT|VTE|ACH|OPS"
"hr-root-validationforms-overtimes";"Overtimes to validate";"admins|ERP|MGT|VTE|ACH|OPS"
"menu-wkf-parallel-gateway";"Parallel gateways";"admins|ERP|MGT|BPM"
"contact-conf-category";"Partner categories";"admins|ERP"
"portal.base.crm.partner.graph";"Partner List Report";"admins|ERP|CST|CRM|VTE|HRM|OPS|MGT"
"mail-conf-email-list";"Partners lists";"admins|ERP"
"account-conf-payment-paybox";"Paybox";"admins|ERP|CPT|MGT"
"account-conf-payment";"Payment";"admins|ERP|CPT|MGT"
"account-conf-payment-payment-condition";"Payment conditions";"admins|ERP|CPT|MGT"
"hr-root-paymentforms";"Payment forms";"admins|ERP|MGT|HRM"
"account-conf-payment-payment-mode";"Payment modes";"admins|ERP|MGT|HRM"
"account-root-payments";"Payments";"admins|ERP|CPT|MGT"
"account-root-payment-schedule";"Payment Schedule";"admins|ERP|CPT|MGT|VTE"
"account-root-payment-schedule-payment-schedule";"Payment Schedule";"admins|ERP|CPT|MGT|VTE"
"account-root-payment-schedule-payment-schedule-line";"Payment schedule line";"admins|ERP|CPT|MGT|VTE"
"account-root-payments-payment-voucher";"Payment vouchers";"admins|ERP|CPT|MGT|VTE|ACH"
"stock-root-inventories";"Periodical processing";"admins|ERP|MGT|OPS"
"account-root-periodic-processing";"Periodical processing";"admins|ERP|CPT|MGT"
"account-conf-financial-period";"Periods";"admins|ERP|CPT|MGT"
"admin-conf-general-period";"Periods";"admins|ERP"
"menu-auth-permissions";"Permissions";"admins"
"menu-wkf-intermediate-phone-call-event";"Phone call events";"admins|ERP|MGT|BPM"
"manufacturing-root-operation-order-planned-calendar";"Planned operations";"admins|ERP|MGT|OPS"
"hr-root-planning";"Plannings";"admins|ERP|MGT|HRM"
"contact-conf-price-list";"Price lists";"admins|ERP|MGT|HRM"
"product-conf-product-category";"Product categories";"admins|ERP"
"product-conf-product-family";"Product families";"admins|ERP"
"admin-root-conf-production-config";"Production configurations";"admins|ERP|MGT|OPS"
"manufacturing-root-production-order";"Productions orders";"admins|ERP|MGT|OPS"
"product-root";"Products";"admins|ERP|CRM"
"product-root-product";"Products";"admins|ERP|CRM"
"product-root-product-model";"Products models";"admins|ERP|CRM"
"protraining-root";"Professional training";"admins|ERP"
"project-root";"Project";"admins|ERP|MGT|VTE|ACH|OPS"
"project-root-project";"Projects";"admins|ERP|MGT|VTE|ACH|OPS"
"top-prospection";"Prospection";"admins|ERP|MGT|CRM|VTE"
"hr-root-config-public-holidays";"Public holidays";"admins|ERP|MGT|HRM"
"menu-purchase-buyer-dashboard-sample";"Purchase Buyer Dashboard";"admins|ERP|MGT|ACH|OPS"
"menu-purchase-manager-dashboard-sample";"Purchase Manager Dashboard";"admins|ERP|MGT|OPS"
"menu-purchase-order-dashboard-sample";"Purchase Order Dashboard";"admins|ERP|MGT|ACH|OPS"
"sc-root-purchase-orders";"Purchase orders";"admins|ERP|MGT|ACH|OPS"
"sc-root-purchases";"Purchases";"admins|ERP|MGT|ACH|OPS"
"top-purchase";"Purchases";"admins|ERP|MGT|ACH|OPS"
"invoice-root-purchases";"Purchases";"admins|ERP|CPT|MGT|ACH"
"top-sales-offers";"Quotes";"admins|ERP|MGT|VTE|OPS|CRM"
"manufacturing-root-operation-order-real-calendar";"Real operations";"admins|ERP|MGT|OPS"
"account-root-periodic-processing-reconcile";"Reconcilations";"admins|ERP|CPT|MGT"
"hr-root-recruitment";"Recruitment";"admins|ERP|MGT|HRM"
"admin-root-organisation-region";"Regions";"admins|ERP|MGT|HRM"
"mail-root-email-reimboursement";"Reimbursement emails";"admins|ERP|CPT|MGT"
"mail-root-mail-reimboursement";"Reimbursement mails";"admins|ERP|CPT|MGT"
"account-root-accounting-reimbursement";"Reimbursements";"admins|ERP|CPT|MGT"
"mail-root-email-reject-import";"Reject emails";"admins|ERP|CPT|MGT"
"account-conf-reporting-interbank-code";"Reject/Return reason codes";"admins|ERP|CPT|MGT"
"account-root-periodic-processing-cheque-reject";"Rejects of cheques";"admins|ERP|CPT|MGT"
"top-relations";"Relations";"admins|ERP|CRM"
"mail-root-email-debtrecovery";"Reminder emails";"admins|ERP|CPT|MGT"
"debt-recovery-root-conf-reminder-level";"Reminder levels";"admins|ERP|CPT|MGT"
"debt-recovery-root-conf-mail-model";"Reminder mail models";"admins|ERP|CPT|MGT"
"mail-root-mail-debtrecovery";"Reminder mails";"admins|ERP|CPT|MGT"
"debt-recovery-root-conf-reminder-method";"Reminder methods";"admins|ERP|CPT|MGT"
"debt-recovery-root-reminders";"Reminders history";"admins|ERP|CPT|MGT"
"account-conf-reporting";"Reportings/Exports";"admins|ERP|CPT|MGT"
"manufacturing-conf-prod-resource";"Resources";"admins|ERP|MGT|OPS"
"top-purchase-quotes";"RFQ";"admins|ERP|MGT|ACH|OPS"
"menu-auth-roles";"Roles";"admins"
"mail-root-email-conf-routing";"Routings";"admins"
"sc-root-sales-orders";"Sale orders";"admins|ERP|MGT|VTE|OPS|CRM"
"invoice-root-sales";"Sales";"admins|ERP|CPT|MGT|VTE"
"sc-root-sales";"Sales";"admins|ERP|MGT|VTE|OPS|CRM"
"top-sales";"Sales";"admins|ERP|MGT|VTE|OPS|CRM"
"menu-sales-manager-dashboard-sample";"Sales Manager Dashboard";"admins|ERP|MGT|OPS"
"menu-salesman-dashboard-sample";"Salesman Dashboard";"admins|ERP|MGT|VTE|OPS"
"menu-dashboards-sample";"Sample";"admins|ERP"
"mail-root-email-sent";"Sentbox";"admins"
"admin-conf-general-sequence-generic";"Sequences";"admins|ERP"
"menu-server-account";"Server accounts";"admins|ERP"
"menu-server-application";"Server applications";"admins|ERP"
"menu-server";"Servers";"admins|ERP"
"menu-server-type";"Server types";"admins|ERP"
"account-root-periodic-processing-shift-irrecoverable";"Shift to irrecoverable";"admins|ERP|CPT|MGT"
"contact-conf-invoice-site";"Sites";"admins|ERP"
"business-root-site";"Sites";"admins|ERP|MGT|HRM"
"menu-wkf-intermediate-sms-event";"Sms events";"admins|ERP|MGT|BPM"
"menu-wkf-nodes-root-social-network";"Social networks";"admins|ERP|MGT|BPM"
"contact-conf-invoice-sources";"Sources";"admins|ERP"
"admin-conf-general-source";"Sources";"admins|ERP"
"menu-wkf-start-event";"Start events";"admins|ERP|MGT|BPM"
"top-stock";"Stock";"admins|ERP|MGT|OPS"
"menu-stock-dashboard-sample";"Stock Dashboard";"admins|ERP|MGT|OPS"
"stock-root-location";"Stock Locations";"admins|ERP|MGT|OPS"
"stock-root";"Stock management";"admins|ERP|MGT|OPS"
"stock-root-all-line";"Stock Moves Lines";"admins|ERP|MGT|VTE|ACH|OPS"
"menu-wkf-stop-filter-event";"Stop filters";"admins|ERP|MGT|BPM"
"stock-root-suparrivals";"Supplier Arrivals";"admins|ERP|MGT|ACH|OPS"
"top-stock-suppl-deliveries";"Supplier deliveries";"admins|ERP|MGT|ACH|OPS"
"top-invoice-supplinvoices";"Suppl. Invoices";"admins|ERP|CPT|MGT|ACH"
"invoice-root-purchases-supinvoices";"Suppl. Invoices";"admins|ERP|CPT|MGT|ACH"
"invoice-root-purchases-suprefunds";"Suppl. Refunds";"admins|ERP|CPT|MGT|ACH"
"top-invoice-supplrefunds";"Suppl. Refunds";"admins|ERP|CPT|MGT|ACH"
"admin-root-batch-supplychain";"Supplychain batches";"admins|ERP|MGT|OPS"
"admin-root-conf-supplychain-config";"Supplychain configurations";"admins|ERP|MGT|OPS"
"contact-conf-invoice-bic";"SWIFT codes";"admins|ERP"
"crm-conf-target";"Targets";"admins|ERP|MGT"
"crm-conf-target-configuration";"Targets configurations";"admins|ERP|MGT"
"menu-target-team-dashboard";"Target team Dashboard";"admins|ERP|MGT"
"menu-target-user-dashboard";"Target user Dashboard";"admins|ERP|MGT"
"crm-root-create-task";"Task";"admins|ERP|CST|CRM|VTE|HRM|OPS|MGT"
"crm-root-task";"Tasks";"admins|ERP|CST|CRM|VTE|HRM|OPS|MGT"
"project-root-task";"Tasks";"admins|ERP|MGT|VTE|ACH|OPS"
"crm-root-meeting-team-calendar";"Team Calendar";"admins|ERP|CST|CRM|VTE|HRM|OPS|MGT"
"admin-root-user-team";"Teams";"admins|ERP"
"admin-root-maintenance";"Technical maintenance";"admins|ERP"
"admin-root-templating-template";"Template";"admins|ERP"
"admin-root-templating-template-rules";"Template Rules";"admins|ERP"
"admin-root-templating";"Templating";"admins|ERP"
"admin-root-organisation-territory";"Territories";"admins|ERP"
"crm-root-create-ticket";"Ticket";"admins|ERP|CST|CRM|VTE|OPS|MGT"
"crm-root-ticket";"Tickets";"admins|ERP|CST|CRM|VTE|OPS|MGT"
"menu-wkf-intermediate-timer-event";"Timer events";"admins|ERP|MGT|BPM"
"hr-root-validationforms-timesheet";"Timesheets to validate";"admins|ERP|MGT|HRM"
"admin-root-maintenance-trace-back";"Tracebacks";"admins|ERP|MGT|HRM"
"product-conf-tracking-number-config";"Tracking number configuration";"admins|ERP"
"hr-root-training";"Trainings";"admins|ERP|MGT|HRM"
"protraining-root-pro-training";"Trainings";"admins|ERP|MGT|HRM"
"menu-wkf-transitions";"Transitions";"admins|ERP|MGT|BPM"
"mail-root-email-trash";"Trash";"admins"
"menu-wkf-intermediate-twitter-event";"twitter events";"admins|ERP|MGT|BPM"
"admin-conf-general-unit-conversion";"Unit conversions";"admins|ERP"
"admin-conf-general-unit";"Units";"admins|ERP"
"menu-auth";"User Management";"admins"
"menu-auth-users";"Users";"admins"
"admin-root-user-user-info";"Users";"admins|ERP"
"admin-root-user";"Users/Companies";"admins|ERP"
"hr-root-validationforms";"Validation forms";"admins|ERP|MGT|HRM"
"account-conf-financial-tax";"V.A.T.";"admins|ERP|MGT|HRM"
"menu-view-management";"View Management";"admins"
"menu-wkf";"Wkf Management";"admins|ERP|MGT|BPM"
"menu-wkf-workflows";"Workflows";"admins|ERP|MGT|BPM"
"hr-root-schedule";"Working hours";"admins|ERP|MGT|HRM"
"admin-conf-general-year";"Years";"admins|ERP|MGT|HRM"
