"code";"name";"nextNum";"padding";"prefixe";"suffixe";"toBeAdded";"yearlyResetOk";"company.importId";"journal.importId"
"paymentVoucher";"N° de paiement enc. internet ";1;10;"ENC_WEB_%Y_";;1;1;1;8
"paymentVoucher";"N° de paiement enc. TIP ";1;10;"ENC_TIP_%Y_";;1;1;1;9
"paymentVoucher";"N° de paiement enc. TIP+Cheque ";1;10;"ENC_TEC_%Y_";;1;1;1;10
"paymentVoucher";"N° de paiement enc. virement ";1;10;"ENC_VIR_%Y_";;1;1;1;11
"paymentVoucher";"N° de paiement enc. prélèvement  (factures et échéanciers hors mensu)";1;10;"ENC_PRE_%Y_";;1;1;1;12
"paymentVoucher";"N° de paiement enc. autres moyens ";1;10;"ENC_OTH_%Y_";;1;1;1;13
"paymentVoucher";"N° de paiement dec. espèces ";1;10;"DEC_ESP_%Y_";;1;1;1;15
"paymentVoucher";"N° de paiement dec. chèques ";1;10;"DEC_CHQ_%Y_";;1;1;1;16
"paymentVoucher";"N° de paiement dec. CB ";1;10;"DEC_CB_%Y_";;1;1;1;17
"paymentVoucher";"N° de paiement dec. TIP ";1;10;"DEC_TIP_%Y_";;1;1;1;18
"paymentVoucher";"N° de paiement dec. virement ";1;10;"DEC_VIR_%Y_";;1;1;1;19
"paymentVoucher";"N° de paiement dec. prélèvement  (factures et échéanciers hors mensu) ";1;10;"DEC_PRE_%Y_";;1;1;1;20
"paymentVoucher";"N° de paiement dec. autres moyens ";1;10;"DEC_OTH_%Y_";;1;1;1;21
"paymentVoucherReceiptNo";"N° de reçu";1;10;"RECU_%Y_";;1;1;1;
"purchaseInterface";"Interface achat";1;10;"INTACH_%Y_";;1;1;1;
"refundInterface";"Interface avoir";1;10;"INTAVO_%Y_";;1;1;1;
"reimbursement";"Proposition remboursement";1;10;"REMB_%Y_";;1;1;1;
"salesInterface";"Interface vente";1;10;"INTVEN_%Y_";;1;1;1;
"treasuryInterface";"Interface trésorerie";1;10;"INTTRESO_%Y_";;1;1;1;
"partner";"Numéro identifiant tiers";400;10;"T";;1;0;1;
"salesOrder";"Devis/Cmde client";9;5;"VTE";;1;0;1;
"purchaseOrder";"Cotations/Cmde fournisseur";2;5;"ACH";;1;0;1;
"eventTicket";"N° de ticket";6;4;"TKT";;1;0;1;
"intStockMove";"N° de bon de transfert de marchandise";1;4;"BT";;1;0;1;
"outStockMove";"N° de bon de livraison";1;4;"BL";;1;0;1;
"inStockMove";"N° de bon de réception";1;4;"BR";;1;0;1;
"inventory";"N° inventaire";2;4;"INV%M%Y";;1;0;1;
"productTrackingNumber";"N° de suivi";1;5;"NS";;1;0;1;
"productionOrder";"Ordre de production";1;5;"OP";;1;0;1;
"manufOrder";"Ordre de fabrication";1;5;"OF";;1;0;1;
