"name";"title";"groups"
"manufacturing-root-bill-of-material";"Bills of materials";"admins|ERP"
"business-root-project";"Business";"admins|ERP"
"business-root-project-all-business";"Business";"admins|ERP|MGT|OPS"
"business-root";"Business";"admins|ERP|MGT|VTE|ACH|OPS"
"crm-conf-calendar-configuration";"Calendar Configurations";"admins|ERP|MGT|VTE|ACH|OPS"
"crm-conf-calendar";"Calendars";"admins|ERP|MGT|VTE|ACH|OPS"
"crm-root-create-call";"Call";"admins|ERP|MGT|CRM"
"crm-root-call";"Calls";"admins|ERP|MGT|CRM"
"hr-root-recruitment-candidate";"Candidates";"admins|ERP|CST|CRM|VTE|HRM|OPS|MGT"
"admin-root-organisation-territory-canton";"Cantons";"admins|ERP|CST|CRM|VTE|HRM|OPS|MGT"
"account-root-periodic-processing-cash-register-closure";"Cash register closure";"admins|ERP|CST|CRM|VTE|HRM|OPS|MGT"
"mail-root-email-cash-register";"Cash register emails";"admins|ERP|CST|CRM|VTE|HRM|OPS|MGT"
"mail-root-mail-cash-register";"Cash register mails";"admins|ERP|MGT|HRM"
"account-conf-cash-register";"Cash registers";"admins|ERP"
"manufacturing-root-charge-by-machine-dashboard";"Charge by machine";"admins|ERP|CPT|MGT"
"account-conf-financial-accounting-plan";"Chart of Accounts";"admins|ERP|CPT|MGT"
"admin-root-organisation-territory-commune";"Cities/Communes";"admins|ERP|CPT|MGT"
"admin-root-user-company";"Companies";"admins|ERP|CPT|MGT"
"contact-root";"Companies/Contacts";"admins|ERP|CRM|VTE|ACH"
"admin-conf-general";"Configuration";"admins|ERP|CRM|VTE|ACH"
"crm-conf";"Configuration";"admins|ERP|MGT|OPS"
"alarm-conf";"Configuration";"admins|ERP|CPT|MGT"
"debt-recovery-root-conf";"Configuration";"admins|ERP"
"contact-conf";"Configuration";"admins"
"mail-root-email-conf";"Configuration";"admins|ERP|CRM"
"hr-root-conf";"Configuration";"admins|ERP"
"product-conf";"Configuration";"admins|ERP|MGT|CRM"
"mail-conf";"Configuration";"admins|ERP"
"account-conf";"Configuration";"admins|ERP|CPT|MGT"
"stock-root-conf";"Configuration";"admins|ERP"
"manufacturing-conf";"Configurations";"admins"
"menu-wkf-configurations";"Configurations";"admins|ERP|MGT|HRM"
"contact-root-contact";"Contacts";"admins|ERP"
"top-relations-contacts";"Contacts";"admins|ERP"
"admin-root-organisation-country";"Countries";"admins|ERP|CPT|MGT"
"crm-root-create";"Create";"admins|ERP|MGT|OPS"
"top-menu-utility";"Create";"admins|ERP|MGT|OPS"
"top-menu-activity-create-call";"Create Call";"admins|ERP|MGT|BPM"
"top-menu-create-contact";"Create Contact";"admins|ERP|CRM"
"account-root-payments-new-cust-payment";"Create Cust. Payment";"admins|ERP|CRM"
"account-root-payments-new-cust-refund";"Create Cust. Refund";"admins|ERP|CRM|VTE|ACH"
"menu-consultant-create-expense";"Create Expense";"admins|ERP|CRM|VTE|ACH"
"top-new-partner-individual";"Create Individual Partner";"admins|ERP"
"top-menu-create-lead";"Create Lead";"admins|ERP|CST|CRM|VTE|HRM|OPS|MGT"
"menu-consultant-create-leave-request";"Create Leave request";"admins|ERP|CRM|VTE|ACH"
"top-menu-activity-create-meeting";"Create Meeting";"admins|ERP|CST|CRM|VTE|HRM|OPS|MGT"
"top-menu-create-opportunity";"Create Opportunity";"admins|ERP|CRM|VTE|ACH"
"top-menu-create-partner";"Create Partner";"admins|ERP|CPT|MGT|VTE"
"top-menu-create-so";"Create SO";"admins|ERP|CPT|MGT|VTE"
"account-root-payments-new-suppl-payment";"Create Suppl. Payment";"consultant"
"account-root-payments-new-suppl-refund";"Create Suppl. Refund";"admins|ERP|CRM|VTE"
"top-menu-activity-create-task";"Create Task";"admins|ERP|CST|CRM|VTE|HRM|OPS|MGT"
"menu-consultant-create-timesheet";"Create Timesheet";"consultant"
"crm-root";"CRM";"admins|ERP|CST|CRM|VTE|HRM|OPS|MGT"
"admin-root-batch-crm";"CRM batches";"admins|ERP|CST|CRM|VTE|HRM|OPS|MGT"
"menu-crm-dashboards";"CRM Dashboards";"admins|ERP"
"admin-conf-general-currency";"Currencies";"admins|ERP|MGT|VTE"
"invoice-root-sales-custinvoices";"Cust. Invoices";"admins|ERP|CPT|MGT"
"top-invoice-custinvoices";"Cust. Invoices";"admins|ERP|CPT|MGT"
"top-stock-cust-deliveries";"Customer deliveries";"admins|ERP|CST|CRM|VTE|HRM|OPS|MGT"
"stock-root-custdeliveries";"Customer Deliveries";"consultant"
"invoice-root-sales-custrefunds";"Cust. Refunds";"admins|ERP|CST|CRM|VTE|HRM|OPS|MGT"
"top-invoice-custrefunds";"Cust. Refunds";"admins|ERP|MGT|CRM"
"menu-dashboards";"Dashboards";"admins|ERP|MGT|CRM"
"account-root-debt-recovery";"Debt recovery";"admins|ERP"
"admin-root-organisation-territory-department";"Departments";"admins|ERP|CPT|MGT|VTE"
"menu-domain";"Domains";"admins|ERP|CPT|MGT|VTE"
"mail-root-email-draft";"Draft emails";"admins|ERP|CPT|MGT|VTE"
"mail-root-email-conf-mail-account";"Email account";"admins|ERP|CPT|MGT|VTE"
"mail-root-email-conf-email-address";"Email addresses";"admins|ERP|MGT|VTE|OPS"
"mail-root-email-box";"Email box";"admins|ERP|MGT|VTE|OPS"
"menu-wkf-intermediate-email-message-event";"E-mail events";"admins|ERP|CST|CRM|VTE|HRM|OPS|MGT"
"mail-conf-mail-model-tag";"Email/Mail model tags";"admins|ERP|CPT|MGT"
"mail-conf-email-model";"Email models";"admins|ERP"
"mail-root";"Emails/Mails";"admins"
"hr-root-employee";"Employees";"admins"
"menu-wkf-end-event";"End events";"admins"
"admin-root";"ERP Administration";"admins"
"crm-conf-category";"Event Categories";"admins"
"portal.crm.event.graph";"Event Chart Report";"admins|ERP|MGT|BPM"
"portal.crm.event";"Event List Report";"admins"
"menu-wkf-nodes-root-event";"Events";"admins"
"menu-wkf-exclusive-gateway";"Exclusive gateways";"admins"
"hr-root-paymentforms-expenses";"Expenses to be paid";"admins|ERP|MGT|HRM"
"hr-root-validationforms-Expenses-commercial";"Expenses to validate by commercial";"admins|ERP|MGT|BPM"
"hr-root-validationforms-expenses-manager";"Expenses to validate by RSC Manager";"admins|ERP"
"menu-wkf-intermediate-facebook-event";"Facebook events";"admins|ERP|MGT|CRM"
"menu-wkf-filter-event";"Filters";"admins|ERP|MGT|CRM"
"menu-wkf-nodes-root-filter";"Filters";"admins|ERP|CST|CRM|VTE|HRM|OPS|MGT"
"account-conf-financial";"Financial";"admins|ERP|CRM|VTE|ACH"
"account-conf-financial-account";"Financial Accounts";"admins|ERP|CST|CRM|VTE|HRM|OPS|MGT"
"account-conf-financial-account-management";"Financial Accounts Management";"admins|ERP|MGT|BPM"
"contact-conf-fiscal-position";"Fiscal positions";"admins|ERP|MGT|BPM"
"account-conf-financial-year";"Fiscal years";"admins|ERP|MGT|HRM"
"menu-wkf-nodes-root-gateway";"Gateways";"admins|ERP|MGT|HRM"
"admin-root-general";"General";"admins|ERP|MGT|HRM"
"admin-root-general-general";"General admin";"admins|ERP|MGT|BPM"
"menu-auth-groups";"Groups";"admins|ERP|CRM|VTE|ACH"
"hr-root-history";"History";"admins|ERP|CRM|VTE|ACH"
"hr-root";"Human Resources";"admins|ERP|MGT|BPM"
"menu-human-resources-dashboard-sample";"Human Resources Dashboard";"admins|ERP|MGT|BPM"
"admin-root-import-permission";"Import permissions";"admins|ERP|CPT|MGT"
"admin-root-import";"Imports";"admins|ERP|CPT|MGT"
"mail-root-email-inbox";"Inbox";"admins|ERP|CPT|MGT"
"menu-wkf-inclusive-gateway";"Inclusive gateways";"admins|ERP|CPT|MGT"
"admin-root-indicator-generator";"Indicators generators";"admins|ERP|CPT|MGT"
"admin-root-indicator-generator-grouping";"Indicators groups";"admins|ERP|MGT|BPM"
"hr-root-inputforms";"Input forms";"admins|ERP"
"menu-wkf-instances";"Instances";"admins"
"top-stock-internal-moves";"Internal moves";"admins"
"stock-root-internal";"Internal Stock Moves";"admins|ERP|MGT|HRM"
"menu-wkf-intermediate-internet-site-event";"Internet site events";"admins|ERP|MGT|HRM"
"stock-root-inventories-draft";"Inventories";"admins|ERP|MGT|HRM"
"invoice-root";"Invoice";"admins|ERP|MGT|HRM"
"top-invoice";"Invoices/Refunds";"admins|ERP|MGT|HRM"
"menu-job-management";"Job Management";"admins|ERP|MGT|HRM"
"hr-root-recruitment-jobOffer";"Job Offer";"admins|ERP|MGT|HRM"
"account-conf-financial-journal";"Journals";"admins|ERP|MGT|HRM"
"account-conf-financial-journal-type";"Journal types";"admins"
"admin-conf-general-keyword";"Keywords";"admins"
"portal.crm.lead.graph";"Lead Chart Report";"admins"
"portal.crm.lead.list";"Lead List Report";"admins|ERP|MGT|BPM"
"crm-root-lead";"Leads";"admins"
"top-prospection-leads";"Leads";"admins"
"crm-conf-lead-source";"Leads Source";"admins|ERP|MGT|HRM"
"hr-root-conf-task-leave-request-reason";"Leave request reasons";"admins|ERP|MGT|BPM"
"hr-root-validationforms-leave-request";"Leave requests to validate";"admins|ERP|MGT|OPS"
"menu-wkf-intermediate-linkedin-event";"Linkedin events";"admins|ERP|MGT|OPS"
"manufacturing-conf-machine";"Machines";"admins|ERP|MGT|BPM"
"menu-wkf-intermediate-mail-event";"Mail events";"admins|ERP|MGT|OPS"
"mail-conf-mail-model";"Mail models";"admins|ERP|CPT|MGT|VTE"
"manufacturing-root";"Manufacturing";"admins|ERP|CPT|MGT|VTE|ACH"
"menu-manufacturing-dashboard-sample";"Manufacturing Dashboard";"admins|ERP|CPT|MGT|VTE|ACH"
"manufacturing-root-manuf-order";"Manufacturing orders";"admins|ERP|CPT|MGT|VTE|ACH"
"manufacturing-root-prod-process";"Manufacturing processes";"admins|ERP|CPT|MGT|VTE"
"crm-root-create-meeting";"Meeting";"admins"
"crm-conf-participant";"Meeting Participants";"admins|ERP|MGT|HRM"
"crm-root-meeting";"Meetings";"admins|ERP|CPT|MGT"
"crm-conf-meeting-type";"Meeting Types";"admins|ERP|CPT|MGT"
"menu-wkf-nodes-root-message";"Messages";"admins|ERP"
"stock-root-conf-min-stock-rules";"Minimum stock rules";"admins|ERP|MGT|CRM|VTE"
"hr-root-mission-order";"Mission order";"admins|ERP|CST|CRM|VTE|HRM|OPS|MGT"
"menu-model";"Model Management";"admins|ERP|MGT|CRM|VTE"
"menu-module-management";"Module Management";"admins|ERP|CST|CRM|VTE|HRM|OPS|MGT"
"admin-root-conf";"Modules configurations";"admins|ERP|MGT|CRM|VTE"
"account-root-move-move-line";"Move Lines";"admins|ERP|MGT|CRM|VTE"
"account-root-move-move";"Moves";"admins|ERP|MGT|CRM"
"account-root-move";"Moves";"admins|ERP|MGT|HRM"
"crm-root-meeting-my-calendar";"My Calendar";"admins|ERP|MGT|HRM"
"top-menu-activity-my-calendar";"My Calendar";"admins|ERP|MGT|BPM"
"menu-consultant-dashbord";"My DashBord";"admins|ERP|MGT|OPS"
"hr-root-inputforms-expenses";"My expenses";"admins|ERP|MGT|BPM"
"menu-consultant-expense";"My Expenses";"admins|ERP"
"menu-consultant-leave-request-calendar";"My Leave request calendar";"admins|ERP|MGT|OPS"
"hr-root-inputforms-leave-request";"My leave requests";"admins|ERP|MGT|OPS"
"menu-consultant-leave-request";"My Leave requests";"admins|ERP|MGT|OPS"
"hr-root-inputforms-overtimes";"My overtimes";"admins|ERP|MGT|OPS"
"menu-consultant-my-task";"My Tasks";"admins|ERP|MGT|OPS"
"top-menu-activity-team-calendar";"My Team Calendar";"admins|ERP|MGT|OPS"
"menu-consultant-my-tickets";"My Tickets";"admins|ERP|CST|CRM|VTE|HRM|OPS|MGT"
"hr-root-inputforms-timesheet";"My timesheet";"admins|ERP|MGT|CRM"
"hr-root-my-timesheet-line-calendar";"My timesheet calendar";"admins|ERP|MGT|CRM"
"menu-consultant-timesheet";"My Timesheets";"admins|ERP|CST|CRM|VTE|HRM|OPS|MGT"
"menu-network-root";"Network";"admins|ERP|MGT|CRM|VTE"
"menu-network-configuration";"Network configuration";"admins|ERP|MGT|CRM|VTE"
"business-root-project-new-business";"New Business";"admins|ERP|MGT|BPM"
"invoice-root-cust-invoice";"New cust. invoice";"admins|ERP|MGT|OPS"
"mail-root-email-new";"New email";"admins|ERP|MGT|HRM"
"sc-root-purchase-order-new";"New Purchase order";"admins"
"sc-root-sales-new-so";"New Sale order";"admins"
"invoice-root-sup-invoice";"New sup. invoice";"admins"
"menu-wkf-nodes-root";"Nodes";"admins|ERP|CPT|MGT"
"hr-root-history-olds-timesheets";"Olds timesheets";"admins|ERP|CPT|MGT"
"menu-operating-system";"Operating Systems";"admins|ERP|CPT|MGT"
"manufacturing-root-operation-order";"Operations orders";"admins|ERP|CST|CRM|VTE|HRM|OPS|MGT"
"crm-root-opportunity";"Opportunities";"admins|ERP|CST|CRM|VTE|HRM|OPS|MGT"
"top-prospection-opportunity";"Opportunities";"consultant"
"portal.opportunities.graph";"Opportunity Chart Report";"admins|ERP|MGT|HRM"
"portal.opportunities";"Opportunity List Report";"consultant"
"top-sales-orders";"Orders";"consultant"
"top-purchase-orders";"Orders";"admins|ERP|MGT|HRM"
"menu-organisation-dashboard-sample";"Organisation Dashboard";"consultant"
"admin-root-organisation";"Organization";"admins|ERP|MGT|HRM"
"account-root-periodic-processing-overpayment-clearances";"Overpayments clearances";"consultant"
"hr-root-paymentforms-overtimes";"Overtimes to be paid";"admins|ERP|CST|CRM|VTE|HRM|OPS|MGT"
"hr-root-validationforms-overtimes";"Overtimes to validate";"consultant"
"menu-wkf-parallel-gateway";"Parallel gateways";"admins|ERP|MGT|HRM"
"contact-conf-category";"Partner categories";"admins|ERP|MGT|HRM"
"portal.base.crm.partner.graph";"Partner List Report";"consultant"
"mail-conf-email-list";"Partners lists";"admins"
"account-conf-payment-paybox";"Paybox";"admins"
"account-conf-payment";"Payment";"admins|ERP|MGT|VTE|ACH|OPS"
"account-conf-payment-payment-condition";"Payment conditions";"admins|ERP|CPT|MGT|VTE"
"hr-root-paymentforms";"Payment forms";"admins"
"account-conf-payment-payment-mode";"Payment modes";"admins|ERP|MGT|ACH|OPS"
"account-root-payments";"Payments";"admins|ERP|MGT|VTE|OPS|CRM"
"account-root-payment-schedule";"Payment Schedule";"admins|ERP|CPT|MGT|ACH"
"account-root-payment-schedule-payment-schedule";"Payment Schedule";"admins|ERP|MGT|BPM"
"account-root-payment-schedule-payment-schedule-line";"Payment schedule line";"admins|ERP|MGT|HRM"
"account-root-payments-payment-voucher";"Payment vouchers";"admins|ERP|MGT|HRM"
"stock-root-inventories";"Periodical processing";"admins|ERP|MGT|OPS"
"account-root-periodic-processing";"Periodical processing";"admins|ERP|MGT|CRM|VTE"
"account-conf-financial-period";"Periods";"admins|ERP|MGT|CRM|VTE"
"admin-conf-general-period";"Periods";"admins|ERP|MGT|CRM|VTE"
"menu-auth-permissions";"Permissions";"admins|ERP|MGT|CRM|VTE"
"menu-wkf-intermediate-phone-call-event";"Phone call events";"admins|ERP|MGT|CRM|VTE"
"manufacturing-root-operation-order-planned-calendar";"Planned operations";"admins|ERP|MGT|CRM|VTE"
"hr-root-planning";"Plannings";"admins|ERP|CST|CRM|VTE|HRM|OPS|MGT"
"contact-conf-price-list";"Price lists";"admins|ERP|CST|CRM|VTE|HRM|OPS|MGT"
"product-conf-product-category";"Product categories";"admins|ERP|MGT|VTE|OPS|CRM"
"product-conf-product-family";"Product families";"admins|ERP|MGT|ACH|OPS"
"admin-root-conf-production-config";"Production configurations";"admins|ERP|MGT|HRM"
"manufacturing-root-production-order";"Productions orders";"admins|ERP|MGT|HRM"
"product-root";"Products";"admins|ERP|CPT|MGT"
"product-root-product";"Products";"admins|ERP|MGT|VTE|ACH|OPS"
"product-root-product-model";"Products models";"admins|ERP|MGT|VTE|ACH|OPS"
"protraining-root";"Professional training";"admins|ERP|MGT|BPM"
"project-root";"Project";"admins|ERP|CRM|VTE|ACH"
"project-root-project";"Projects";"admins|ERP"
"top-prospection";"Prospection";"admins|ERP|CRM|VTE|ACH"
"hr-root-config-public-holidays";"Public holidays";"admins|ERP|CST|CRM|VTE|HRM|OPS|MGT"
"menu-purchase-buyer-dashboard-sample";"Purchase Buyer Dashboard";"admins|ERP"
"menu-purchase-manager-dashboard-sample";"Purchase Manager Dashboard";"admins|ERP|CRM|VTE|ACH"
"menu-purchase-order-dashboard-sample";"Purchase Order Dashboard";"admins|ERP|CPT|MGT"
"sc-root-purchase-orders";"Purchase orders";"admins|ERP|CPT|MGT"
"sc-root-purchases";"Purchases";"admins|ERP|CPT|MGT"
"top-purchase";"Purchases";"admins|ERP|MGT|HRM"
"invoice-root-purchases";"Purchases";"admins|ERP|MGT|HRM"
"top-sales-offers";"Quotes";"admins|ERP|CPT|MGT|VTE"
"manufacturing-root-operation-order-real-calendar";"Real operations";"admins|ERP|CPT|MGT|VTE"
"account-root-periodic-processing-reconcile";"Reconcilations";"admins|ERP|CPT|MGT|VTE"
"hr-root-recruitment";"Recruitment";"admins|ERP|CPT|MGT|VTE|ACH"
"admin-root-organisation-region";"Regions";"admins|ERP|CPT|MGT"
"mail-root-email-reimboursement";"Reimbursement emails";"admins|ERP|MGT|OPS"
"mail-root-mail-reimboursement";"Reimbursement mails";"admins|ERP|CPT|MGT"
"account-root-accounting-reimbursement";"Reimbursements";"admins|ERP|CPT|MGT"
"mail-root-email-reject-import";"Reject emails";"admins|ERP"
"account-conf-reporting-interbank-code";"Reject/Return reason codes";"admins"
"account-root-periodic-processing-cheque-reject";"Rejects of cheques";"admins|ERP|MGT|BPM"
"top-relations";"Relations";"admins|ERP|MGT|OPS"
"mail-root-email-debtrecovery";"Reminder emails";"admins|ERP|MGT|HRM"
"debt-recovery-root-conf-reminder-level";"Reminder levels";"admins|ERP|MGT|HRM"
"debt-recovery-root-conf-mail-model";"Reminder mail models";"admins|ERP"
"mail-root-mail-debtrecovery";"Reminder mails";"admins|ERP"
"debt-recovery-root-conf-reminder-method";"Reminder methods";"admins|ERP"
"debt-recovery-root-reminders";"Reminders history";"admins|ERP|MGT|OPS"
"account-conf-reporting";"Reportings/Exports";"admins|ERP|MGT|OPS"
"manufacturing-conf-prod-resource";"Resources";"admins|ERP|CRM"
"top-purchase-quotes";"RFQ";"admins|ERP|CRM"
"menu-auth-roles";"Roles";"admins|ERP|CRM|VTE|ACH"
"mail-root-email-conf-routing";"Routings";"admins|ERP|CRM"
"sc-root-sales-orders";"Sale orders";"admins|ERP|CRM|VTE|ACH"
"invoice-root-sales";"Sales";"admins|ERP"
"sc-root-sales";"Sales";"admins|ERP|MGT|VTE|ACH|OPS"
"top-sales";"Sales";"admins|ERP"
"menu-sales-manager-dashboard-sample";"Sales Manager Dashboard";"admins|ERP"
"menu-salesman-dashboard-sample";"Salesman Dashboard";"admins|ERP|MGT|VTE|ACH|OPS"
"menu-dashboards-sample";"Sample";"admins|ERP|MGT|CRM|VTE"
"mail-root-email-sent";"Sentbox";"admins|ERP|MGT|HRM"
"admin-conf-general-sequence-generic";"Sequences";"admins|ERP|MGT|ACH|OPS"
"menu-server-account";"Server accounts";"admins|ERP|CPT|MGT|ACH"
"menu-server-application";"Server applications";"admins|ERP|CPT|MGT|ACH"
"menu-server";"Servers";"admins|ERP|MGT|OPS"
"menu-server-type";"Server types";"admins|ERP|MGT|ACH|OPS"
"account-root-periodic-processing-shift-irrecoverable";"Shift to irrecoverable";"admins|ERP|MGT|ACH|OPS"
"contact-conf-invoice-site";"Sites";"admins|ERP|MGT|ACH|OPS"
"business-root-site";"Sites";"admins|ERP|MGT|ACH|OPS"
"menu-wkf-intermediate-sms-event";"Sms events";"admins|ERP|CPT|MGT|ACH"
"menu-wkf-nodes-root-social-network";"Social networks";"admins|ERP|CPT|MGT|ACH"
"contact-conf-invoice-sources";"Sources";"admins|ERP|CPT|MGT|ACH"
"admin-conf-general-source";"Sources";"admins|ERP|CPT|MGT|ACH"
"menu-wkf-start-event";"Start events";"admins|ERP|CPT|MGT|ACH"
"top-stock";"Stock";"admins|ERP|MGT|VTE|OPS|CRM"
"menu-stock-dashboard-sample";"Stock Dashboard";"admins|ERP|MGT|OPS"
"stock-root-location";"Stock Locations";"admins|ERP|CPT|MGT"
"stock-root";"Stock management";"admins|ERP|MGT|HRM"
"stock-root-all-line";"Stock Moves Lines";"admins|ERP|MGT|HRM"
"menu-wkf-stop-filter-event";"Stop filters";"admins|ERP|CPT|MGT"
"stock-root-suparrivals";"Supplier Arrivals";"admins|ERP|CPT|MGT"
"top-stock-suppl-deliveries";"Supplier deliveries";"admins|ERP|CPT|MGT"
"top-invoice-supplinvoices";"Suppl. Invoices";"admins|ERP|CPT|MGT"
"invoice-root-purchases-supinvoices";"Suppl. Invoices";"admins|ERP|CPT|MGT"
"invoice-root-purchases-suprefunds";"Suppl. Refunds";"admins|ERP|CPT|MGT"
"top-invoice-supplrefunds";"Suppl. Refunds";"admins|ERP|CRM"
"admin-root-batch-supplychain";"Supplychain batches";"admins|ERP|CPT|MGT"
"admin-root-conf-supplychain-config";"Supplychain configurations";"admins|ERP|CPT|MGT"
"contact-conf-invoice-bic";"SWIFT codes";"admins|ERP|CPT|MGT"
"crm-conf-target";"Targets";"admins|ERP|CPT|MGT"
"crm-conf-target-configuration";"Targets configurations";"admins|ERP|CPT|MGT"
"menu-target-team-dashboard";"Target team Dashboard";"admins|ERP|CPT|MGT"
"menu-target-user-dashboard";"Target user Dashboard";"admins|ERP|CPT|MGT"
"crm-root-create-task";"Task";"admins|ERP|MGT|OPS"
"crm-root-task";"Tasks";"admins|ERP|MGT|ACH|OPS"
"project-root-task";"Tasks";"admins"
"crm-root-meeting-team-calendar";"Team Calendar";"admins"
"admin-root-user-team";"Teams";"admins|ERP|MGT|VTE|OPS|CRM"
"admin-root-maintenance";"Technical maintenance";"admins|ERP|CPT|MGT|VTE"
"admin-root-templating-template";"Template";"admins|ERP|MGT|VTE|OPS|CRM"
"admin-root-templating-template-rules";"Template Rules";"admins|ERP|MGT|VTE|OPS|CRM"
"admin-root-templating";"Templating";"admins|ERP"
"admin-root-organisation-territory";"Territories";"admins|ERP"
"crm-root-create-ticket";"Ticket";"admins|ERP"
"crm-root-ticket";"Tickets";"admins|ERP"
"menu-wkf-intermediate-timer-event";"Timer events";"admins|ERP"
"hr-root-validationforms-timesheet";"Timesheets to validate";"admins|ERP"
"admin-root-maintenance-trace-back";"Tracebacks";"admins|ERP|MGT|OPS"
"product-conf-tracking-number-config";"Tracking number configuration";"admins|ERP|MGT|VTE|OPS"
"hr-root-training";"Trainings";"admins|ERP|MGT|VTE|ACH|OPS|HRM|CPT"
"protraining-root-pro-training";"Trainings";"admins"
"menu-wkf-transitions";"Transitions";"admins"
"mail-root-email-trash";"Trash";"admins|ERP"
"menu-wkf-intermediate-twitter-event";"twitter events";"admins|ERP"
"admin-conf-general-unit-conversion";"Unit conversions";"admins|ERP"
"admin-conf-general-unit";"Units";"admins|ERP"
"menu-auth";"User Management";"admins|ERP|CPT|MGT"
"menu-auth-users";"Users";"admins|ERP"
"admin-root-user-user-info";"Users";"admins|ERP|MGT|HRM"
"admin-root-user";"Users/Companies";"admins|ERP|MGT|BPM"
"hr-root-validationforms";"Validation forms";"admins|ERP|MGT|BPM"
"account-conf-financial-tax";"V.A.T.";"admins|ERP"
"menu-view-management";"View Management";"admins|ERP"
"menu-wkf";"Wkf Management";"admins|ERP|MGT|BPM"
"menu-wkf-workflows";"Workflows";"admins|ERP|MGT|OPS"
"hr-root-schedule";"Working hours";"admins|ERP|MGT|OPS"
"admin-conf-general-year";"Years";"admins|ERP|MGT|OPS"
"menu-stock-dashboard-1";"Stock Db";"admins|ERP|MGT|OPS"
"stock-root-location";"Stock Locations";"admins|ERP|MGT|OPS"
"stock-root";"Stock management";"admins|ERP|MGT|OPS"
"stock-root-all-line";"Stock Moves Lines";"admins|ERP|MGT|VTE|ACH|OPS"
"menu-wkf-stop-filter-event";"Stop filters";"admins|ERP|MGT|BPM"
"top-invoice-supplinvoices";"Suppl. Invoices";"admins|ERP|CPT|MGT|ACH"
"invoice-root-purchases-supinvoices";"Suppl. Invoices";"admins|ERP|CPT|MGT|ACH"
"invoice-root-purchases-suprefunds";"Suppl. Refunds";"admins|ERP|CPT|MGT|ACH"
"top-invoice-supplrefunds";"Suppl. Refunds";"admins|ERP|CPT|MGT|ACH"
"stock-root-suparrivals";"Supplier Arrivals";"admins|ERP|MGT|ACH|OPS"
"top-stock-suppl-deliveries";"Supplier deliveries";"admins|ERP|MGT|ACH|OPS"
"admin-root-batch-supplychain";"Supplychain batches";"admins|ERP|MGT|OPS"
"admin-root-conf-supplychain-config";"Supplychain configurations";"admins|ERP|MGT|OPS"
"contact-conf-invoice-bic";"SWIFT codes";"admins|ERP"
"menu-target-dashboard";"Target";"admins|ERP|MGT|CRM"
"menu-target-team-dashboard";"Target team Dashboard";"admins|ERP|MGT|CRM"
"menu-target-user-dashboard";"Target user Dashboard";"admins|ERP|MGT|CRM"
"crm-conf-target";"Targets";"admins|ERP|MGT|CRM"
"crm-conf-target-configuration";"Targets configurations";"admins|ERP|MGT|CRM"
"crm-root-create-task";"Task";"admins|ERP|CST|CRM|VTE|HRM|OPS|MGT"
"crm-root-task";"Tasks";"admins|ERP|CST|CRM|VTE|HRM|OPS|MGT"
