"importId";"typeSelect";"subject";"statusSelect";"startDateTime";"endDateTime";"duration";"eventCategory.importId";"prioritySelect";"relatedToSelect";"relatedToSelectId";"description";"userInfo.importId";"team.importId";"clientPartner.importId";"contactPartner.importId";"lead.importId";"callStatusSelect";"meetingType.importId";"location";"taskStatusSelect";"ticketNumberSeq";"ticketStatusSelect";"progressSelect";"responsibleUserInfo.importId";"project.importId";"task.importId"
12;2;"Rev. Offre BLUEBERRY TELECOM";2;"NOW[-3M14H00m]";"NOW[-3M16H00m]";7200;;;"com.axelor.apps.supplychain.db.SalesOrder";3;;11;2;44;45;;;1;"Salle A. Einstein";;;;;;;
13;2;"Rev. Offre MASSON Logistics";2;"NOW[-2M14H00m]";"NOW[-2M16H00m]";7200;;;"com.axelor.apps.supplychain.db.SalesOrder";4;;12;2;70;71;;;1;"Salle A. Einstein";;;;;;;
14;2;"Rev. Offre GERARD Solutions";2;"NOW[-1M14H00m]";"NOW[-1M16H00m]";7200;;;"com.axelor.apps.supplychain.db.SalesOrder";5;;12;2;77;78;;;1;"Salle A. Einstein";;;;;;;
15;2;"Rev. Offre 123 Services";2;"NOW[-21d14H00m]";"NOW[-21d16H00m]";7200;;;"com.axelor.apps.supplychain.db.SalesOrder";6;;11;2;88;90;;;1;"Salle A. Einstein";;;;;;;
16;2;"Rdv 123 Services";2;"NOW[-14d14H00m]";"NOW[-14d16H00m]";7200;;;"com.axelor.apps.supplychain.db.SalesOrder";7;;9;1;88;89;;;3;"LILLE";;;;;;;
17;2;"Rdv DE KIMPE Engineering";1;"NOW[-7d14H00m]";"NOW[-7d17H00m]";7200;;;"com.axelor.apps.supplychain.db.SalesOrder";8;;13;3;185;186;;;3;"BRUXELLES";;;;;;;
18;2;"Rdv 123 Services";2;"NOW[-6M+7d10H00m]";"NOW[-6M+7d10H30m]";1800;;;;;;9;1;;;1;;3;"LILLE";;;;;;;
19;2;"Rdv APP Solutions";2;"NOW[-5M+7d11H00m]";"NOW[-5M+7d11H30m]";1800;;;;;;11;2;;;2;;3;"NICE";;;;;;;
20;2;"Rdv G&Q International";2;"NOW[-5M+7d14H00m]";"NOW[-5M+7d14H30m]";1800;;;;;;11;2;;;3;;3;"TOULOUSE";;;;;;;
21;2;"Rdv GORDON Solutions";2;"NOW[-4M+7d10H00m]";"NOW[-4M+7d10H30m]";1800;;;;;;11;2;;;4;;3;"BORDEAUX";;;;;;;
22;2;"Rdv KGM Media";2;"NOW[-4M+7d17H00m]";"NOW[-4M+7d17H30m]";1800;;;;;;13;1;;;5;;3;"LILLE";;;;;;;
23;2;"Rdv YEU Solutions";2;"NOW[-3M+7d09H00m]";"NOW[-3M+7d09H30m]";1800;;;;;;12;2;;;6;;3;"LYON";;;;;;;
24;2;"Rdv A&U Webcast";2;"NOW[-3M+7d11H00m]";"NOW[-3M+7d12H30m]";5400;;;;;;12;2;;;7;;3;"TOULOUSE";;;;;;;
25;2;"Rdv BT Tech";2;"NOW[-3M+7d16H00m]";"NOW[-3M+7d17H00m]";3600;;;;;;12;2;;;8;;3;"CLERMONT-FERRAND";;;;;;;
26;2;"Rdv B&X Web";2;"NOW[-3M+7d17H00m]";"NOW[-3M+7d18H00m]";3600;;;;;;11;2;;;9;;3;"CLERMONT-FERRAND";;;;;;;
27;2;"Rdv WIX Solutions";1;"NOW[-2M+7d11H00m]";"NOW[-2M+7d11H30m]";1800;;;;;;13;3;;;10;;3;"MELUN";;;;;;;
28;2;"Rdv Q&L Solutions";1;"NOW[-2M+7d14H00m]";"NOW[-2M+7d14H30m]";1800;;;;;;9;1;;;11;;3;"STRASBOURG";;;;;;;
300;3;"Préparer le support commerciale";;"NOW[10H00m]";"NOW[11H00m]";3600;;2;;;;9;1;;;;;;;3;;;;;;
301;3;"Sortir le bilan d'activité";;"NOW[14H00m]";"NOW[15H00m]";3600;;4;;;;9;1;;;;;;;1;;;;;;
302;3;"Rédiger fiche produit";;"NOW[16H00m]";"NOW[17H30m]";5400;;3;"com.axelor.apps.base.db.Product";3;;8;4;;;;;;;1;;;;;;
500;5;"Impossible de se connecter avec le user Admin";;"NOW[-1d10H00m]";"NOW[09H30m]";1800;1;3;;;;17;1;88;90;;;;;;"TKT0001";3;100;17;3;10
501;5;"Comment rattacher une pièce jointe ?";;"NOW[10H00m]";;;2;2;;;;17;1;88;90;;;;;;"TKT0002";1;0;17;3;10
