"code";"name";"nextNum";"padding";"prefixe";"suffixe";"toBeAdded";"yearlyResetOk";"company.id";"journal.code"
"move";"Clearance Move Live";1;10;"MVCLR_%Y_";;1;1;1;"APU_TP"
"move";"Irrecovrable Move Line";1;10;"MVIRREC_%Y_";;1;1;1;"IRRECOUV"
"moveLineExport";"Accounting Export";1;10;"ACCEXP_%Y_";;1;1;1;
"moveLineReport";"Accounting Report";1;10;"ACCREPORT_%Y_";;1;1;1;
"paymentSchedule";"Installment N°";1;10;"INSTAL_%Y_";;1;1;1;
"paymentVoucher";"N° for payments received in Cash";1;10;"CSH_IN_ESP_%Y_";;1;1;1;"ENC_ESP"
"paymentVoucher";"N° for payments received in Cheque";1;10;"CSH_IN_CHQ_%Y_";;1;1;1;"ENC_CHQ"
"paymentVoucher";"N° for payments received in Credit Card";1;10;"CSH_IN_CC_%Y_";;1;1;1;"ENC_CB"
"paymentVoucher";"N° for payments received through Internet";1;10;"CSH_IN_WEB_%Y_";;1;1;1;"ENC_WEB"
"paymentVoucher";"N° for payments received in IPO";1;10;"CSH_IN_TIP_%Y_";;1;1;1;"ENC_TIP"
"paymentVoucher";"N° for payments received in IPOC";1;10;"CSH_IN_TEC_%Y_";;1;1;1;"ENC_TEC"
"paymentVoucher";"N° for payments received in Wire Transfer";1;10;"CSH_IN_VIR_%Y_";;1;1;1;"ENC_VIR"
"paymentVoucher";"N° for payments received in Direct Debit (invoice and installments)";1;10;"CSH_IN_PRE_%Y_";;1;1;1;"ENC_PRE"
"paymentVoucher";"N° for payments received by other means";1;10;"CSH_IN_OTH_%Y_";;1;1;1;"ENC_OTH"
"paymentVoucher";"N° for payments executed by Cash";1;10;"CSH_OUT_ESP_%Y_";;1;1;1;"DEC_ESP"
"paymentVoucher";"N° for payments executed by Cheque";1;10;"CSH_OUT_CHQ_%Y_";;1;1;1;"DEC_CHQ"
"paymentVoucher";"N° for payments executed by Credit Card";1;10;"CSH_OUT_CB_%Y_";;1;1;1;"DEC_CB"
"paymentVoucher";"N° for payments executed by IPO";1;10;"CSH_OUT_TIP_%Y_";;1;1;1;"DEC_TIP"
"paymentVoucher";"N° for payments executed by Wire Transfer";1;10;"CSH_OUT_VIR_%Y_";;1;1;1;"DEC_VIR"
"paymentVoucher";"N° for payments executed by Direct Debit (invoice and installments)";1;10;"CSH_OUT_PRE_%Y_";;1;1;1;"DEC_PRE"
"paymentVoucher";"N° for payments executed by other means";1;10;"CSH_OUT_OTH_%Y_";;1;1;1;"DEC_OTH"
"paymentVoucherReceiptNo";"Voucher Receipt N°";1;10;"RECPT_%Y_";;1;1;1;
"purchaseInterface";"Purchase interface";1;10;"PURINT_%Y_";;1;1;1;
"refundInterface";"Refund interface";1;10;"REFINT_%Y_";;1;1;1;
"reimbursement";"Reimbursement proposals";1;10;"REIMB_%Y_";;1;1;1;
"salesInterface";"Sale interface";1;10;"SALINT_%Y_";;1;1;1;
"treasuryInterface";"Cash flow interface";1;10;"CSHFLWINT_%Y_";;1;1;1;
"partner";"Identifier for accounts and contacts";400;10;"P_";;1;0;1;
"salesOrder";"Sale Order / Customer Order";9;5;"SO_";;1;0;1;
"purchaseOrder";"RFQ/Quotes for Suppliers";2;5;"PO_";;1;0;1;
"eventTicket";"Ticket N°";1;5;"TKT_";;1;0;1;
"intStockMove";"Internal stock move N°";1;4;"ISM_";;1;0;1;
"outStockMove";"Delivery order N°";1;4;"DO_";;1;0;1;
"inStockMove";"Goods receipt order N°";1;4;"RO_";;1;0;1;
"inventory";"Inventory N°";2;4;"INV_";;1;0;1;
"productTrackingNumber";"Tracking N°";1;5;"TN_";;1;0;1;
"productionOrder";"Production Order N°";1;4;"PDO_";;1;0;1;
"manufOrder";"Manufacturing Order N°";1;4;"MO_";;1;0;1;
